Orthogroup	Arabidopsis_lyrata_NCBI	Arabis_alpina
OG0000003	XP_020881895.1	Aa_G505500.h1.t1
OG0000004	XP_020870151.1, XP_020870162.1, XP_020886397.1, XP_020866436.1	Aa_G305790.h1.t1
OG0000005	XP_020877200.1	Aa_G301670.h1.t1
OG0000005	XP_020871957.1, XP_020866342.1, XP_020887113.1	Aa_G418640.h1.t1
OG0000007	XP_020866419.1	Aa_G596260.h1.t1
OG0000007	XP_002893144.2, XP_020870776.1, XP_020871034.1, XP_002875947.2, XP_002868379.2	Aa_G437570.h1.t1
OG0000008	XP_020881885.1, XP_020881611.1, XP_020881699.1, XP_020881700.1	Aa_G302250.h1.t1
OG0000011	XP_020881814.1, XP_020878850.1	Aa_G396980.h1.t1
OG0000011	XP_020876758.1, XP_020889800.1, XP_020881514.1	Aa_G277650.h1.t1
OG0000015	XP_020865814.1	Aa_G982290.h1.t1
OG0000020	XP_020887777.1, XP_002862745.2, XP_020874187.1, XP_020879010.1, XP_020874114.1, XP_002883754.2	Aa_G135640.h1.t1
OG0000022	XP_020878202.1	Aa_G447870.h1.t1
OG0000022	XP_020869316.1	Aa_G10820.h1.t1
OG0000022	XP_020869508.1, XP_020870927.1	Aa_G291980.h1.t1, Aa_G291990.h1.t1, Aa_G291960.h1.t1, Aa_G328340.h1.t1
OG0000022	XP_020869233.1	Aa_G22660.h1.t1
OG0000022	XP_002868609.1, XP_002883021.2	Aa_G97120.h1.t1
OG0000023	XP_020885189.1	Aa_G50170.h1.t1
OG0000023	XP_020866256.1	Aa_G297380.h1.t1
OG0000024	XP_020866667.1, XP_002891475.2, XP_020869784.1, XP_020870297.1, XP_020870502.1, XP_020866340.1, XP_002890925.2, XP_020869389.1, XP_020869783.1, XP_020866486.1, XP_020866487.1, XP_002893661.2, XP_020869388.1	Aa_G737030.h1.t1, Aa_G731070.h1.t1
OG0000024	XP_020881113.1, XP_020879759.1, XP_020879758.1, XP_002875716.2	Aa_G565550.h1.t1, Aa_G614530.h1.t1, Aa_G511000.h1.t1, Aa_G14060.h1.t1
OG0000024	XP_002893654.2	Aa_G230140.h1.t1
OG0000025	XP_020881073.1, XP_020879655.1, XP_020877486.1, XP_020889652.1, XP_020876192.1	Aa_G387540.h1.t1
OG0000026	XP_020879791.1	Aa_G283920.h1.t1, Aa_G56940.h1.t1, Aa_G262080.h1.t1
OG0000027	XP_020873345.1	Aa_G200970.h1.t1
OG0000027	XP_020873341.1	Aa_G92870.h1.t1, Aa_G92760.h1.t1, Aa_G494730.h1.t1
OG0000027	XP_020873352.1	Aa_G200900.h1.t1
OG0000027	XP_020867640.1	Aa_G597270.h1.t1
