Orthogroup	Capsella_rubella	Cochlearia_excelsa
OG0000000	XP_023638874.1	g42971, g27882
OG0000000	XP_023632701.1	g16658, g48700, g28585, g48697, g20926, g15557, g42275, g38565, g15527, g8257, g49005, g8925, g33141, g33365, g33163
OG0000000	XP_023639960.1	g8542, g8860, g34135, g42650, g21489, g24928, g49072, g4102, g33631, g15592, g33584, g42845, g43176, g15021, g14313, g26667, g34561, g33258, g9320, g52602, g15980, g9399, g48666, g48519, g42149, g33583, g9343, g3511, g4436, g52504, g4171, g14802, g26362, g33443, g24882, g17665, g42071, g52754, g33447, g35195, g52439, g3554, g15622, g26364, g3780, g17945, g33478, g11402, g42267
OG0000000	XP_023639601.1	g46951, g33415, g26941
OG0000000	XP_023641956.1	g26369, g53691, g29897, g17778, g52768, g3993, g34250, g49067, g39618, g21507, g33660, g48079, g36483, g14733, g38645, g35277, g16169, g53172
OG0000002	XP_023640941.1	g43921, g32761, g36765, g14069, g17547, g14322, g41536, g45709, g24274, g47656, g12054, g47868, g1902, g19537, g26066, g35225, g28127, g22356, g22360, g22520, g44403, g12891, g44628, g35850, g4203, g35639, g26118, g50077, g31091, g4823, g32236, g44742, g2225, g49283, g24145, g22362, g11797, g37739, g31863, g39437, g26239
OG0000002	XP_023638855.1	g22299, g22517, g35849, g15943, g22279, g17546, g39920, g50076, g50948, g9965, g36751, g31361, g40655, g36749, g37143, g29002, g12407, g13031, g36480, g51473, g1614, g15078, g35122, g9947, g12827, g14099, g16024, g3989, g16867, g54126, g32227, g12708, g12890, g2531, g40366, g51791, g33609, g22707, g54221, g17420, g33085, g52853, g12053, g57, g36475, g22753
OG0000003	XP_023640321.1	g34343, g34347, g42612, g3007
OG0000003	XP_023639598.1	g41973
OG0000003	XP_023639625.1	g33680, g9355, g15407, g21631, g38950, g34586, g21782, g21660, g39023, g15482, g21883, g21100, g15220, g22475, g21086, g11617, g8880, g21791, g21805
OG0000003	XP_023634510.1	g8668
OG0000003	XP_023638126.1	g4552
OG0000003	XP_023633682.1	g41143
OG0000003	XP_023636063.1	g21054, g49855, g48912, g42470, g38715
OG0000003	XP_023643044.1	g21626, g21658, g15405, g9357, g42284, g8878, g15438, g21629, g14823
OG0000003	XP_023642453.1	g15422, g52461, g39056
OG0000004	XP_023633818.1	g31287
OG0000004	XP_023639065.1	g2536, g39580
OG0000004	XP_023643231.1	g36335
OG0000004	XP_023633877.1	g53040
OG0000005	XP_023641325.1	g36068
OG0000005	XP_023639354.1	g9847, g53582
OG0000005	XP_023644435.1, XP_023644436.1	g35969, g32059, g53845
OG0000005	XP_023634342.1	g10582
OG0000005	XP_023640809.1	g43360
OG0000006	XP_023643663.1	g41913, g42739
OG0000006	XP_023640317.1	g4635
OG0000006	XP_023635150.1	g35540, g24723, g1457, g1504, g5172
OG0000006	XP_023634518.1, XP_023644453.1	g5266
OG0000007	XP_023633451.1	g25323, g24433, g4497, g26082, g34709, g48927
OG0000008	XP_023633645.1	g27813
OG0000008	XP_023641963.1	g26783
OG0000008	XP_023633617.1	g43762, g4391, g33124, g29630, g27680
OG0000008	XP_006299996.2	g26784, g43729, g37068, g49593
OG0000008	XP_006300347.2, XP_006279329.2, XP_023644459.1, XP_023634290.1, XP_006304508.2, XP_023640337.1, XP_023644475.1, XP_023633664.1, XP_023642844.1	g25554, g12608, g36094, g19408
OG0000008	XP_023633344.1	g11343
OG0000010	XP_023639612.1	g2094
OG0000010	XP_023634279.1, XP_023638462.1	g53601, g53295
OG0000010	XP_023636068.1	g14831, g34423, g35491, g35669, g35087, g35755, g18651, g26611, g4943, g52427, g52674, g21529, g41485, g33235, g36341, g8788, g16258, g52347, g35846, g35744, g30444, g14379, g42953, g14356, g14384, g52404, g17805, g25898, g25814, g30464, g35692, g16617, g9281, g32574, g26347, g32793, g35940, g14826, g7994, g49794, g8736, g4606, g33305, g14815, g34293, g14527, g14496, g14517, g14547, g14537, g11187, g16004, g53096, g14905, g53882, g22487, g35355, g4138, g42653, g16383, g53565, g43940, g30053, g4300, g16405, g16306, g25793, g26674, g48962, g8176, g30713, g21148, g21439, g22288, g16078, g52575, g42688, g53174, g49808, g18274, g39499, g12078, g35616, g50919, g24841, g33516, g27931, g19968, g46898, g24737, g1435, g4281, g11525, g30755, g47267, g13624, g15004, g21561, g16231, g25610, g53953, g24133, g5069, g6129, g43741, g18000, g35457, g1379, g18846, g35661, g42731, g26143, g18595, g43148, g35809, g16137, g34943, g43958, g3907, g43037, g19791, g52909, g16014, g4016, g43535, g4183, g33671, g41787, g41846, g43093, g53227, g43201, g4531, g16664, g33603, g14840, g43003, g4520, g52875, g24630, g26742, g52545, g53459, g3878, g21347, g41826, g18386, g3729, g13559, g3050, g16142, g44064, g25878, g20318, g15860, g36237, g50939, g25736, g30068, g18103, g14080, g41336, g27919, g3037, g33261, g25224, g28146, g53461, g17330, g43038, g43841, g24783, g17957, g10083, g33273, g44036, g3444, g6177, g25144, g15533, g22676, g52662, g49032, g19839, g12644, g27320, g24782, g24931, g1434, g4257, g2095, g35984, g45228, g14612, g42927, g25054, g53995, g45988, g42723, g37170, g13740, g50987, g44719, g14315, g44935, g40898, g35162, g46753, g17634, g44711, g42947, g14694, g30462, g52428
OG0000010	XP_023644214.1	g34324, g14220, g3040, g52357
OG0000011	XP_023645773.1, XP_023636126.1	g42924
OG0000012	XP_023636242.1	g15121
OG0000012	XP_023636237.1	g15122, g44912
OG0000013	XP_023644225.1	g52620, g48035, g4139, g16474
OG0000013	XP_023638853.1	g52356
OG0000014	XP_023638088.1	g53053, g15956, g36000, g14332
OG0000014	XP_023641911.1	g37854, g44201, g25623
OG0000014	XP_023636039.1	g15957, g36628, g15947, g35046, g34969, g44092, g17909, g17916
OG0000014	XP_023636038.1	g43483, g43482, g50927, g53476, g50930, g37855, g34322, g34333, g14397, g1371, g9158, g24560, g8931, g20629, g40584, g25627
OG0000015	XP_023644452.1	g23355, g634
OG0000017	XP_023640323.1	g5712, g5713
OG0000017	XP_023638851.1, XP_023638850.1	g4190, g3679, g33003
OG0000017	XP_006302668.2	g34543, g3669, g48346, g48867, g4186, g8266, g18079, g4346, g43594, g39831, g34285, g14580, g11710, g15029, g42252, g42255, g27048, g41999, g23596, g2978, g14557, g17020, g39315
OG0000017	XP_023636109.1	g41997, g33121, g3359, g6214
OG0000017	XP_023644234.1, XP_023642646.1, XP_023636041.1, XP_023633702.1, XP_023644500.1, XP_023633829.1, XP_023644232.1	g49587, g25192, g31804, g25430, g49408, g2974, g53154, g46949, g43284, g4232, g36899, g2975, g21115, g46328, g31759, g19143, g51013, g17279, g1555, g46224, g35267, g34284, g6170, g31341, g9914, g35675, g23910, g6802, g4158, g33390, g4583, g24610, g25001, g1556, g34853, g4345, g51012, g14558, g19142, g29187, g49407, g42003, g53153, g44074, g47797, g33120, g7898, g14750, g3057, g43352, g14036, g15607, g52007, g51052, g52970, g32655, g4343, g43479, g2953, g50650, g41998, g23595, g2979
OG0000018	XP_023634149.1, XP_023640318.1, XP_023645856.1, XP_023634431.1, XP_023634319.1	g2213, g49590, g14568, g25751, g34956, g53077, g43442, g33130, g45148, g29629, g43760, g4386, g2331, g37069
OG0000018	XP_023642574.1, XP_023637243.1, XP_023644454.1, XP_023641378.1, XP_023641962.1	g14567, g33125, g25750
OG0000019	XP_023641372.1	g36529, g42561, g14492, g51080, g41576
OG0000019	XP_023644226.1	g48
OG0000019	XP_023633409.1	g1178, g47379, g24167, g49419, g51762, g16903, g1734, g36528, g3381, g27830, g4724, g3830, g6933, g40849, g17697
OG0000019	XP_023638956.1	g2720, g19256
OG0000019	XP_023641370.1	g2721, g18071, g42559
OG0000020	XP_023632591.1	g25930, g51375
OG0000020	XP_023634318.1	g35282, g34309, g41784, g25262, g3253, g8229, g5355, g32774, g16031, g35327, g35065, g34339, g4385, g27854, g31992, g15955, g29531, g13754, g35344, g16096
OG0000023	XP_023634683.1	g47441
OG0000023	XP_006283253.1	g23897
OG0000023	XP_023635866.1	g25717, g25713
OG0000023	XP_006287218.1	g25723
OG0000023	XP_006287240.1	g25720
OG0000023	XP_006286185.1	g25715, g48949
OG0000024	XP_023644211.1, XP_023634363.1, XP_023638107.1	g45320, g32515
OG0000026	XP_023639056.1	g17281, g33392, g4347, g50791, g25246, g46637
OG0000026	XP_023633701.1, XP_023644236.1	g33118
OG0000026	XP_023641784.1	g14806, g32688
OG0000026	XP_023644550.1, XP_023641958.1, XP_023644451.1, XP_023634078.1, XP_023644235.1, XP_023636040.1	g51053, g47798, g4344, g43478, g23597, g14579, g3360, g43692, g7899, g2954, g49586, g31803, g4274, g32656, g11709, g44075, g3058, g46225, g1554, g17019, g6169, g23909, g34283, g6803, g35674, g46329, g52008, g14035, g43351, g35266, g9915, g25002, g31760, g21114, g4157, g14556, g51014, g34854, g39311, g31342, g29188, g6804, g35673, g23908, g6168, g46330, g19145, g15615, g14034, g4585, g1553, g34282, g43477, g2977, g7900, g49409, g28254, g23598, g14578, g6312, g46948, g36898, g25431, g17280, g25191, g41992, g4231, g43283, g2973, g33119, g33391
OG0000027	XP_023633039.1	g28294
OG0000027	XP_023633004.1, XP_023639207.1	g2269
OG0000030	XP_023634283.1	g50559, g3768
OG0000030	XP_023644481.1	g6340, g37181, g16111
OG0000031	XP_006301194.2, XP_006300860.1, XP_006302102.1	g40889
OG0000031	XP_006301297.1	g40881, g40949, g40859, g40857, g40951, g6403, g40794
OG0000031	XP_023636761.1	g5030
OG0000031	XP_006297483.1	g13269
OG0000031	XP_006283550.1	g17118
OG0000031	XP_006301814.1	g40888
OG0000031	XP_006302132.1	g40752
OG0000033	XP_006283285.1	g23911
OG0000033	XP_023634856.1	g24014
OG0000033	XP_023638280.1, XP_006287210.1	g40468
OG0000034	XP_023635220.1	g15118, g44910
OG0000034	XP_023636243.1	g15120
OG0000035	XP_023632757.1	g51286, g36519
OG0000035	XP_023641959.1	g3814
OG0000035	XP_006289868.2, XP_023636083.1, XP_023643229.1, XP_023643230.1	g29294, g52064, g52069, g52073
OG0000038	XP_023633418.1, XP_023633386.1	g1070
OG0000038	XP_023635611.1	g49458
OG0000038	XP_023642772.1	g44982, g44984, g44985, g7414
OG0000040	XP_023632886.1, XP_023632793.1, XP_006303634.1	g38367, g38376, g38372, g38380
OG0000040	XP_006305030.1, XP_006299109.2	g44631
OG0000040	XP_006293126.1	g13797, g13799
OG0000043	XP_023634647.1	g53889, g53885, g42037, g14337, g24011, g3506, g47231
OG0000043	XP_023633331.1	g30257, g34533, g34524
OG0000045	XP_023635342.1	g42618
OG0000046	XP_006286236.1	g46717
OG0000046	XP_023638604.1, XP_023638598.1, XP_006290694.2	g18113
OG0000046	XP_023643067.1	g18042
OG0000047	XP_023634337.1	g12885, g12881, g4320, g7910, g17624, g3384, g3851
OG0000047	XP_023645924.1	g17625, g1600, g9048, g38613, g25950, g51908, g51086, g3105, g35778, g4908, g50533, g4057, g45362, g11965, g14017, g40648, g36233, g53480, g48919, g51839, g3386, g1262, g46383, g37253, g10849, g36778, g1473, g49160, g47659, g43703, g25474, g28245, g53765, g45296, g42772
OG0000052	XP_023640424.1	g37450
OG0000052	XP_023639525.1	g53934
OG0000055	XP_023643438.1	g44205
OG0000057	XP_006286657.2, XP_006299604.1	g50182, g50184, g50186
OG0000057	XP_023641570.1	g700
OG0000057	XP_006300113.1, XP_006299228.1	g27361, g5648
OG0000059	XP_023637566.1, XP_023637460.1	g39389, g39352
OG0000059	XP_023638041.1	g42622
OG0000061	XP_023641960.1	g11094, g32135, g50796, g25177
OG0000066	XP_006284727.1, XP_006302978.1, XP_006284722.1, XP_006288773.2	g5393
OG0000066	XP_006301260.2, XP_006304637.1, XP_006292533.1	g156
OG0000069	XP_023644313.1	g37235, g35439
OG0000069	XP_023644828.1	g4931
OG0000070	XP_023634145.1	g20468, g34721, g33207, g34715, g30435, g4159, g25159, g15815, g15828, g15878, g3657
OG0000070	XP_023639630.1	g24990, g40193
OG0000073	XP_023638542.1	g18482
OG0000074	XP_006306513.2	g27549, g27550
OG0000075	XP_006289118.1	g5026
OG0000076	XP_023638292.1	g3195, g1602
OG0000076	XP_006291102.1	g44053
OG0000076	XP_006291090.1	g2410
OG0000076	XP_006291114.1, XP_006291129.1	g19225
OG0000076	XP_023638056.1, XP_023639204.1	g10535
OG0000077	XP_006286716.1	g46525
OG0000077	XP_006283916.1, XP_023635518.1	g25975, g22716
OG0000078	XP_023642819.1, XP_023644458.1, XP_023644523.1, XP_023633346.1, XP_023633349.1, XP_023640339.1	g32727, g44450, g24957
OG0000078	XP_023634352.1	g46791, g24881
OG0000079	XP_006291126.2	g2000
OG0000079	XP_006292365.1	g18915
OG0000080	XP_023633781.1	g23667
OG0000080	XP_006286287.2	g23668
OG0000081	XP_023644303.1	g36469
OG0000081	XP_023636904.1	g13268
OG0000082	XP_023642613.1	g20916, g29940, g2519
OG0000082	XP_023639594.1	g17872, g19303, g50427, g1249, g293, g13608, g19934, g6552, g27203
OG0000083	XP_006299320.2, XP_006299852.1	g46885
OG0000084	XP_006295595.1, XP_006295861.1	g51024
OG0000087	XP_006287738.1	g9991
OG0000087	XP_006292748.1, XP_006291122.1	g9845, g2817, g339
OG0000087	XP_006289933.1	g5316
OG0000087	XP_006281513.1	g40485, g11055
OG0000087	XP_006283733.1	g17371, g24042
OG0000087	XP_006307490.1, XP_006302256.1	g46232
OG0000088	XP_023640385.1, XP_006296540.2	g11453
OG0000088	XP_023639002.1	g19510, g40516, g11030
OG0000088	XP_023637739.1	g46886
OG0000088	XP_023636467.1, XP_023635698.1	g28933, g28934
OG0000089	XP_006287952.1	g29544
OG0000089	XP_006305090.1, XP_006297920.1	g13323, g11989
OG0000089	XP_006295441.1	g52029
OG0000089	XP_006291303.1	g2333
OG0000090	XP_006304273.1	g50123
OG0000090	XP_006302938.1	g46242
