Orthogroup	Rorippa_islandica	Arabidopsis_thaliana
OG0000003	Roisl.0058s0055.1.p	AT1G43760.1
OG0000008	Roisl.0082s0661.1.p	AT5G28780.1
OG0000009	Roisl.0075s0043.1.p	AT3G27495.1
OG0000011	Roisl.0008s0052.1.p	AT3G30370.1, AT1G18050.1
OG0000016	Roisl.0020s0190.1.p	AT2G12880.1
OG0000020	Roisl.0210s2188.1.p, Roisl.0083s0053.1.p	AT2G06420.1
OG0000021	Roisl.0066s0388.1.p	AT1G52950.1
OG0000021	Roisl.0014s0139.1.p	AT3G31925.1
OG0000022	Roisl.0022s0346.1.p	AT4G26800.2
OG0000022	Roisl.0210s1365.1.p	AT5G16640.1
OG0000022	Roisl.0010s0089.1.p, Roisl.0010s0086.1.p	AT1G62914.1, AT1G62670.1
OG0000022	Roisl.0010s0095.1.p	AT1G63130.1
OG0000022	Roisl.0010s0065.1.p	AT1G62680.1
OG0000022	Roisl.0010s0092.1.p	AT1G63080.1, AT1G62930.1
OG0000022	Roisl.0008s0013.1.p	AT1G63070.1
OG0000022	Roisl.0010s0069.1.p	AT1G62720.1
OG0000022	Roisl.0021s0361.1.p	AT1G12700.2
OG0000022	Roisl.0091s0926.1.p	AT1G06580.1
OG0000022	Roisl.0050s0030.1.p	AT1G64583.1
OG0000022	Roisl.0050s0031.1.p	AT1G64580.1
OG0000022	Roisl.0009s0109.1.p	AT5G41170.1
OG0000022	Roisl.0074s0275.1.p	AT3G16710.1
OG0000024	Roisl.0213s0506.1.p	AT1G33010.1
OG0000027	Roisl.0213s0582.1.p	AT4G11470.2
OG0000027	Roisl.0008s0130.1.p	AT4G23320.3
OG0000027	Roisl.0184s0130.1.p	AT4G23240.1
OG0000027	Roisl.0184s0126.1.p	AT4G23250.2
OG0000027	Roisl.0008s0080.1.p	AT4G23200.1
OG0000027	Roisl.0008s0069.1.p	AT4G23190.1
OG0000028	Roisl.0080s0376.1.p	AT4G13680.1
OG0000028	Roisl.0210s1185.1.p	AT5G53240.1
OG0000028	Roisl.0080s0746.1.p, Roisl.0080s0747.1.p	AT5G55870.1, AT5G54330.1
OG0000030	Roisl.0115s0348.1.p, Roisl.0115s0350.1.p, Roisl.0115s0351.1.p	AT5G60560.2, AT3G20030.1
OG0000030	Roisl.0019s0830.1.p, Roisl.0019s0831.1.p	AT1G67450.1
OG0000030	Roisl.0213s0186.1.p	AT1G25150.1, AT1G25055.1, AT1G25211.1, AT1G24800.1, AT1G24881.1
OG0000030	Roisl.0074s0600.1.p, Roisl.0043s0011.1.p	AT1G59680.2
OG0000030	Roisl.0046s0887.1.p	AT1G54550.1, AT3G49510.1, AT3G49520.1
OG0000030	Roisl.0042s0059.1.p	AT1G66490.1
OG0000030	Roisl.0074s0618.1.p	AT3G13680.1
OG0000034	Roisl.0008s0068.1.p	AT4G23180.1
OG0000034	Roisl.0091s0192.1.p, Roisl.0091s0193.1.p, Roisl.0091s0191.1.p	AT4G21400.1
OG0000034	Roisl.0091s0190.1.p	AT4G21410.3
OG0000034	Roisl.0191s0566.1.p	AT4G00970.1
OG0000034	Roisl.0214s0897.1.p, Roisl.0214s0900.1.p, Roisl.0214s0898.1.p	AT4G23140.2
