Euclidium_syriacum	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
ESY10_g13661_DN2_SP0_c0.t1	69					
ESY10_g13664_DN2_SP0_c0.t1	229					
ESY10_g13674_DN3_SP0_c0.t1	586	AT3G27390.1	AT3G27390.1	orthologue	GO:0003674;GO:0005575;GO:0016020	Uncharacterized membrane protein At3g27390
ESY10_g13676_DN3_SP0_c0.t1	127					
ESY10_g13677_DN2_SP0_c0.t1	492					
ESY10_g13678_DN3_SP0_c0.t1	444	AT1G31960.1, AT1G36970.1, AT2G07280.1, AT3G31560.1, AT4G05555.1	AT1G36970.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0005634;GO:0016020	Transmembrane protein, putative (DUF1985);Uncharacterized protein;Uncharacterized protein F5M6.4 (Uncharacterized protein T12O21.13)
ESY10_g13679_DN3_SP8_c0.t1	279	AT5G40650.1, AT3G27380.1	AT3G27380.1	orthologue	GO:0009060;GO:0022904;GO:0005739;GO:0006099;GO:0006121;GO:0009055;GO:0008177;GO:0008270;GO:0009536;GO:0045273;GO:0000104;GO:0005829;GO:0005743;GO:0051537;GO:0051538;GO:0051539;GO:0046872;GO:0051536;GO:0016491	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit 1, mitochondrial (EC 1.3.5.1) (Iron-sulfur subunit of complex II) (Ip);Succinate dehydrogenase [ubiquinone] iron-sulfur subunit 2, mitochondrial (EC 1.3.5.1) (Iron-sulfur subunit of complex II) (Ip);Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial (EC 1.3.5.1)
ESY10_g13680_DN2_SP0_c0.t1	151	AT3G27355.1	AT3G27355.1	orthologue	GO:0003674;GO:0005634	Hop-interacting protein
ESY10_g13681_DN3_SP0_c0.t1	287	AT3G27350.2	AT3G27350.2	orthologue	GO:0005634;GO:0003674	Transcriptional regulator ATRX-like protein
ESY10_g13686_DN1_SP0_c0.t1	69					
ESY10_g13688_DN3_SP0_c0.t1	320	AT1G34170.3, AT1G43950.1, AT1G35520.1, AT1G35240.1, AT1G34410.1, AT1G34390.1, AT1G34310.1, AT1G35540.1	AT1G35240.1	orthologue	GO:0000976;GO:0006355;GO:0005634;GO:0003700;GO:0009734;GO:0003677;GO:0009725	Auxin response factor;Auxin response factor 12;Auxin response factor 13;Auxin response factor 20;Auxin response factor 22;Putative auxin response factor 14;Putative auxin response factor 15;Putative auxin response factor 21;Putative auxin response factor 23
