Orthogroup	Brassica_napus	Raphanus_sativus
OG0000000	XP_048608765.1, XP_013717677.1, XP_013742199.2, XP_022552099.2, XP_048602423.1, XP_048601883.1, XP_013700776.2, XP_048610814.1, XP_022557457.2, XP_048621525.1, XP_048629703.1, XP_048630076.1, XP_013653834.3, XP_013652645.3, XP_048599758.1, XP_013725452.3, XP_013713140.3, XP_013699442.2, XP_013646109.3	XP_018466160.1, XP_018473944.1
OG0000000	XP_048622406.1	XP_018459207.1, XP_018459208.1
OG0000000	XP_013658077.1	XP_018465985.1, XP_018462320.1
OG0000000	XP_048624135.1	XP_018435922.1
OG0000000	XP_048635065.1, XP_048596306.1, XP_013669519.2, XP_048604928.1, XP_048620124.1, XP_048600598.1, XP_048633279.1, XP_013728730.2, XP_048598145.1, XP_048593431.1, XP_013659995.1, XP_048615615.1, XP_013645609.2, XP_048591404.1, XP_013694115.1, XP_048594901.1	XP_018454350.1
OG0000000	XP_048605189.1, XP_048609263.1	XP_018479771.1
OG0000000	XP_048613195.1	XP_018456393.1
OG0000000	XP_048605732.1, XP_048634956.1, XP_048617343.1, XP_013658727.2, XP_048638333.1, XP_013739503.2, XP_013669656.1, XP_048605185.1, XP_048635006.1, XP_048609119.1, XP_048632974.1, XP_048599975.1, XP_048599815.1, XP_048596434.1, XP_048633106.1, XP_048599601.1, XP_048622962.1, XP_048611457.1, XP_048615726.1, XP_048609430.1, XP_013730002.2, XP_048638475.1, XP_048637474.1, XP_013654353.2, XP_048613448.1, XP_048634924.1	XP_018487754.1
OG0000000	XP_013650497.2, XP_013645047.1, XP_022566278.2	XP_018462401.1
OG0000000	XP_013708996.2, XP_048622901.1, XP_013654443.2, XP_048605703.1, XP_048630710.1	XP_018463541.1
OG0000000	XP_022556310.1, XP_048599740.1, XP_048610442.1, XP_048612193.1	XP_018459749.1
OG0000000	XP_048616517.1, XP_048605168.1, XP_048610163.1, XP_048605519.1, XP_048622155.1, XP_048594846.1, XP_048627981.1, XP_048604862.1, XP_048621926.1, XP_048600318.1, XP_048622627.1, XP_048623922.1, XP_048620208.1	XP_018464654.1
OG0000000	XP_048622769.1	XP_018453711.1
OG0000000	XP_048632191.1	XP_018458644.1, XP_018474819.1
OG0000000	XP_048621624.1	XP_018435304.1
OG0000000	XP_048626126.1, XP_048609471.1	XP_018467378.1
OG0000000	XP_048634050.1	XP_018459921.1
OG0000000	XP_048618529.1	XP_018458866.1
OG0000002	XP_022566414.1, XP_022558213.1	XP_018436084.1
OG0000002	XP_048601867.1	XP_018453671.1, XP_018459832.1
OG0000002	XP_013689910.2	XP_018436085.1
OG0000002	XP_048599943.1, XP_013739462.1, XP_013673932.1, XP_048622631.1	XP_018461909.1
OG0000002	XP_013669043.1	XP_018459223.1
OG0000002	XP_013689755.1, XP_013721006.1, XP_013719469.1	XP_018465757.1, XP_018435975.1, XP_018458091.1
OG0000002	XP_013680020.1, XP_048604981.1, XP_013700214.1, XP_013751912.1	XP_018453716.1
OG0000002	XP_013658791.1, XP_048622703.1	XP_018459052.1
OG0000002	XP_013673642.1, XP_048598070.1, XP_048622695.1, XP_022568272.1, XP_048619908.1, XP_048605843.1, XP_048611539.1, XP_013704325.2, XP_013745790.2, XP_048605726.1	XP_018463421.1, XP_018453822.1
OG0000002	XP_048622095.1	XP_018466031.1
OG0000002	XP_022549820.1, XP_013689535.2, XP_048619845.1, XP_013715871.1	XP_018453709.1
OG0000002	XP_048604645.1, XP_048621889.1	XP_018467472.1
OG0000002	XP_048599369.1	XP_018465756.1
OG0000002	XP_013720337.1	XP_018487759.1, XP_018464934.1
OG0000002	XP_013673462.1	XP_018477393.1
OG0000002	XP_048613404.1, XP_048611643.1, XP_048623756.1, XP_048615560.1, XP_048605535.1, XP_013674344.2, XP_048608675.1, XP_048605721.1, XP_048613199.1, XP_013721281.1, XP_048605601.1, XP_048599856.1, XP_048605621.1, XP_048623642.1, XP_013731515.1, XP_048604101.1, XP_048614819.1, XP_048613396.1, XP_013738897.2, XP_013669035.2, XP_048622678.1, XP_048623931.1, XP_048607224.1, XP_048605163.1, XP_048600552.1, XP_013650953.2	XP_018463380.1
OG0000002	XP_013673725.1, XP_048622679.1	XP_018463383.1
OG0000002	XP_013689350.1, XP_048590889.1, XP_022575799.1, XP_048605884.1, XP_048611767.1, XP_048637575.1, XP_048596375.1	XP_018462785.1
OG0000002	XP_013745502.1, XP_048611628.1, XP_013700006.2	XP_018479516.1, XP_018465012.1, XP_018453728.1
OG0000002	XP_048613381.1	XP_018435987.1
OG0000003	XP_048623031.1	XP_018448864.1
OG0000003	XP_048612037.1, XP_048604599.1, XP_013700336.2, XP_013709251.1	XP_018463988.1, XP_018464531.1
OG0000003	XP_013729530.2	XP_018459385.1
OG0000003	XP_022560082.1, XP_013729306.2, XP_022567565.1	XP_018453823.1, XP_018473854.1
OG0000003	XP_048605472.1	XP_018454154.1, XP_018436209.1
OG0000003	XP_022573072.1	XP_018460938.1
OG0000003	XP_013745520.2	XP_018435851.1, XP_018435852.1
OG0000003	XP_048629524.1, XP_048627545.1, XP_048599996.1	XP_018460948.1, XP_018465356.1, XP_018467176.1
OG0000003	XP_048611684.1, XP_048604999.1, XP_048605785.1, XP_048605458.1, XP_013717832.1	XP_018462233.1
OG0000003	XP_048628762.1, XP_048628164.1, XP_048630693.1	XP_018460462.1, XP_018463058.1
OG0000003	XP_013658381.1, XP_013751798.1	XP_018463109.1
OG0000003	XP_048627106.1, XP_048612100.1, XP_048619938.1	XP_018461854.1
OG0000003	XP_048628244.1, XP_048628243.1, XP_048628350.1, XP_048630864.1, XP_048628796.1, XP_048627881.1, XP_048628805.1, XP_048590783.1	XP_018479521.1
OG0000003	XP_048637535.1, XP_048627980.1, XP_048593358.1, XP_048627912.1, XP_048629520.1, XP_048596408.1, XP_048613491.1, XP_048611562.1, XP_048630520.1, XP_022557580.1	XP_018458503.1
OG0000003	XP_013688944.1, XP_048631221.1, XP_048629910.1	XP_018460386.1, XP_018465458.1, XP_018464439.1
OG0000003	XP_048628610.1, XP_048628617.1, XP_048611574.1	XP_018463188.1, XP_018462737.1
OG0000003	XP_048630645.1	XP_018464076.1, XP_018465694.1
OG0000003	XP_013669098.1, XP_048611542.1	XP_018459974.1
OG0000003	XP_048628351.1	XP_018462024.1, XP_018463630.1, XP_018463010.1
OG0000004	XP_048593472.1, XP_048633069.1	XP_018462059.1
