Orthogroup	Aethionema_saxatile	Euclidium_syriacum
OG0000000	As011G257780	ESY7_g17009_DN2_SP0_c60.t1
OG0000002	As006G147770, As004G091160, As006G147780, As004G091170	ESY9_g43349_DN2_SP0_c0.t1
OG0000003	As012G280070	ESY1_g7089_DN3_SP0_c0.t1
OG0000005	As001G006250	ESY6_g47366_DN1_SP0_c0.t1
OG0000005	As007G177090, As005G111430	ESY11_g53352_DN1_SP0_c0.t1
OG0000008	As002G040830, As009G213820, As007G166140, As002G039930, As006G149000, As001G006420	ESY15_g64840_DN3_SP0_c0.t1
OG0000013	As010G228550, As010G230420, As010G230620, As001G011830, As003G066230, As001G010630, As007G166800, As001G010860, As002G040060, As006G147900, As012G279880, As010G230200, As008G192150, As010G226760, As001G010890, As008G191430, As007G165870, As003G066310, As007G165470, As003G067330, As002G039360, As005G111230, As002G039700, As011G257240, As010G228560, As003G066630, As002G039780, As001G012770, As007G167080, As012G280310, As007G176700, As002G039000, As012G279120, As001G006220, As010G228600, As001G010900, As002G042370, As007G165620, As007G165630, As001G013310	ESY8_g60272_DN2_SP0_c0.t1
OG0000015	As007G166610	ESY13_g56759_DN1_SP0_c0.t1
OG0000015	As007G163280, As004G091800, As011G257210, As008G195330, As004G086610	ESY13_g57357_DN1_SP0_c0.t1
OG0000015	As011G257220	ESY13_g56278_DN1_SP0_c1.t1, ESY4_g24528_DN1_SP0_c0.t1, ESY10_g15713_DN2_SP0_c0.t1
OG0000015	As010G225860	ESY18_g63644_DN2_SP0_c0.t1, ESY14_g21118_DN1_SP0_c0.t1, ESY5_g1619_DN2_SP0_c2.t1, ESY4_g23103_DN1_SP0_c0.t1
OG0000015	As011G262470	ESY4_g23102_DN1_SP0_c100.t1
