Orthogroup	Arabidopsis_thaliana	Camelina_sativa
OG0000007	AT2G13770.1	XP_010431016.1
OG0000008	AT5G28780.1	XP_019085413.1
OG0000008	AT3G51690.1	XP_010507400.1, XP_019101905.1, XP_010431252.2
OG0000009	AT4G09490.1	XP_019096542.1
OG0000009	AT2G06845.1	XP_019089031.1
OG0000011	AT5G15685.1	XP_019087287.1
OG0000020	AT2G11570.1, AT2G06420.1	XP_019082585.1
OG0000021	AT1G52950.1	XP_010484820.1, XP_010496602.2
OG0000021	AT3G31925.1	XP_019091495.1, XP_010471217.1, XP_010434877.1, XP_019088976.1, XP_010482610.1, XP_010445118.1, XP_019086509.1, XP_010445483.1, XP_010451671.1, XP_019096477.1, XP_010511144.1, XP_010439761.1, XP_019089680.1
OG0000022	AT4G26800.2	XP_010438694.1, XP_010448208.1, XP_010433436.1
OG0000022	AT5G16640.1	XP_010453827.1, XP_019084725.1, XP_010492576.1
OG0000022	AT1G63130.1	XP_019087557.1
OG0000022	AT1G62680.1	XP_010473491.1, XP_010418269.1, XP_010430336.1
OG0000022	AT1G63400.1, AT1G62590.1	XP_010430428.1, XP_010484817.1, XP_019096365.1, XP_010418422.1
OG0000022	AT1G62910.1, AT1G63150.1	XP_019093579.1, XP_010419492.2, XP_010430431.1
OG0000022	AT1G62930.1	XP_010419464.1
OG0000022	AT1G63070.1	XP_010431725.1, XP_010431724.1, XP_010419467.1, XP_010418350.1, XP_019082755.1, XP_019087757.1, XP_010419472.1, XP_010430432.1
OG0000022	AT1G12615.1	XP_010462675.2
OG0000022	AT1G62720.1	XP_010474584.1, XP_019085228.1, XP_010419465.1
OG0000022	AT1G12700.2	XP_010458700.1
OG0000022	AT1G12620.1	XP_010458689.1, XP_019090833.1, XP_019095236.1, XP_010458718.1, XP_010476232.1, XP_010456672.1
OG0000022	AT1G12300.1, AT1G12775.1	XP_019091381.1, XP_010476184.1, XP_010476252.1, XP_019094809.1, XP_019098970.1, XP_019090986.1, XP_010458712.1, XP_010462662.1, XP_010493846.1, XP_010494656.1
OG0000022	AT1G64583.1	XP_010418533.1, XP_019085324.1
OG0000022	AT1G64580.1	XP_010418529.1, XP_010430597.1
OG0000022	AT5G41170.1	XP_010447152.1, XP_010436064.1
OG0000022	AT3G16710.1	XP_019096254.1, XP_010504570.1, XP_010465692.1
OG0000024	AT1G60370.1	XP_019094488.1
OG0000024	AT1G30925.1	XP_019095769.1, XP_010480790.1
OG0000024	AT1G30930.1	XP_010460917.1, XP_010478547.1
OG0000024	AT1G31080.1	XP_010478553.1, XP_010476674.1, XP_019091556.1
OG0000024	AT1G31090.1	XP_019091095.1, XP_010480880.1, XP_019094490.1, XP_019091554.1
OG0000024	AT1G33020.1, AT1G33010.1	XP_010480848.1, XP_010478732.1, XP_010463094.1
OG0000024	AT3G56890.1, AT3G57580.1	XP_010431261.1, XP_010515603.1, XP_010504688.1, XP_010427639.1, XP_010427857.1, XP_010431427.1, XP_010427640.1, XP_010504689.1
OG0000024	AT3G57590.1	XP_010427641.1, XP_019100391.1
OG0000027	AT4G11480.1	XP_010434889.1
OG0000027	AT4G11470.2	XP_010434897.1, XP_010455557.1, XP_010455558.1
OG0000027	AT4G23320.3	XP_010439188.2, XP_010433919.1
OG0000027	AT4G23290.2	XP_010445177.2
OG0000027	AT4G23240.1	XP_019087868.1, XP_019089322.1
OG0000027	AT4G23260.1	XP_019089325.1, XP_010433927.1
OG0000027	AT4G23250.2	XP_019086460.1
OG0000027	AT4G23200.1	XP_010427119.1, XP_010514748.1, XP_010503063.1
OG0000027	AT4G23220.1	XP_019087866.1, XP_010448736.1, XP_019097923.1
OG0000027	AT4G11521.1	XP_019090217.1, XP_019084079.1
OG0000027	AT4G23190.1	XP_010439208.1, XP_010433929.1, XP_010448752.1
OG0000027	AT4G23210.3	XP_010451236.1
OG0000027	AT4G23300.1	XP_019088139.1
OG0000028	AT4G13680.1	XP_019087714.1, XP_010436629.2, XP_010451562.1, XP_019089771.1
OG0000028	AT5G53240.1	XP_010456475.1
OG0000028	AT5G54320.1	XP_010450245.1
OG0000028	AT5G55270.1	XP_010449339.1
