Orthogroup	Erysimum_linariifolium	Arabidopsis_thaliana
OG0000004	El001G052930, El004G230860, El003G157040	AT2G22440.1
OG0000005	El001G039730	AT4G09490.1
OG0000005	El006G308020, El003G156400	AT2G06845.1
OG0000005	El002G104670, El006G315290, El001G049310, El004G194230	AT1G10000.1
OG0000005	El002G123530	ATMG01250.1
OG0000008	El005G264190	AT5G28780.1
OG0000008	El003G174670	AT3G51700.1, AT3G51690.1
OG0000011	El004G200940	AT5G52547.1
OG0000013	El006G310100, El007G353330, El004G207030, El006G312640, El003G182060, El001G045710	AT2G06105.1
OG0000018	El003G154150, El006G318220, El001G007900, El001G053230	AT1G52950.1
OG0000018	El001G045850, El001G048290, El003G146330	AT3G31925.1
OG0000019	El002G122780, El006G281410, El004G213790	AT1G18050.1
OG0000023	El007G357800	AT4G23260.1
OG0000023	El001G007540	AT4G11470.2
OG0000023	El003G162130	AT4G23190.1
OG0000025	El001G014870, El001G014670	AT4G13680.1
OG0000025	El007G340450, El007G340490	AT5G52940.1
OG0000025	El007G340430	AT5G52930.1
OG0000027	El002G118120, El002G111110	AT5G42430.1
OG0000027	El002G120540	AT1G33010.1, AT1G33020.1
OG0000027	El002G117940	AT1G30930.1
OG0000027	El002G117910	AT5G38810.2
OG0000027	El001G029050	AT3G57580.1, AT3G56890.1
OG0000027	El001G025570	AT3G57590.1
OG0000028	El004G212000, El004G211990, El007G348580	AT5G36225.1
OG0000028	El007G334290	AT2G17905.1
OG0000031	El004G208470, El004G208460	AT1G63080.1, AT1G62930.1
OG0000031	El004G197790	AT1G63400.1, AT1G62590.1
OG0000031	El004G197660	AT1G62680.1
OG0000031	El007G349520	AT1G62914.1, AT1G62670.1
OG0000031	El002G096110	AT1G12620.1
OG0000031	El003G192370	AT5G41170.1
OG0000031	El005G253470	AT3G16710.1
OG0000031	El003G157520	AT4G26800.2
OG0000031	El002G127940, El004G193990	AT1G64583.1
OG0000033	El003G162150	AT4G23180.1
OG0000033	El003G164670	AT4G21400.1
