Camelina_sativa	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
NP_001289901.1	377	AT3G18780.2	AT3G18780.2	orthologue	GO:0005515;GO:0005829;GO:0048768;GO:0048767;GO:0010053;GO:0005737;GO:0010218;GO:0009735;GO:0005634;GO:0015629;GO:0009644;GO:0005200;GO:0010114;GO:0005524;GO:0005856;GO:0016787;GO:0009653;GO:0048468;GO:0048731	Actin 2;Actin-2 (EC 3.6.4.-)
NP_001289902.1	287	AT4G00430.1	AT4G00430.1	orthologue	GO:0005886;GO:0055085;GO:0009414;GO:0015250;GO:0005829;GO:0006833;GO:0005515;GO:0015267;GO:0016020	Plasma membrane intrinsic protein 14;Probable aquaporin PIP1-4 (Plasma membrane intrinsic protein 1-4) (AtPIP1;4) (Transmembrane protein C) (TMP-C)
NP_001289903.1	164	AT4G27170.1, AT4G27140.1	AT4G27170.1	orthologue	GO:0003674;GO:0005576;GO:0008150;GO:0045735	2S seed storage protein 1 (2S albumin storage protein) (NWMU2-2S albumin 1) [Cleaved into: 2S seed storage protein 1 small subunit; 2S seed storage protein 1 large subunit];2S seed storage protein 4 (2S albumin storage protein) (NWMU2-2S albumin 4) [Cleaved into: 2S seed storage protein 4 small subunit; 2S seed storage protein 4 large subunit]
NP_001289904.1	377	AT3G18780.2	AT3G18780.2	orthologue	GO:0005515;GO:0005829;GO:0048768;GO:0048767;GO:0010053;GO:0005737;GO:0010218;GO:0009735;GO:0005634;GO:0015629;GO:0009644;GO:0005200;GO:0010114;GO:0005524;GO:0005856;GO:0016787;GO:0009653;GO:0048468;GO:0048731	Actin 2;Actin-2 (EC 3.6.4.-)
NP_001289905.1	951	AT4G33520.2	AT4G33520.2	orthologue	GO:0005507;GO:0005515;GO:0005886;GO:0009767;GO:0009941;GO:0035434;GO:0055070;GO:0140581;GO:0009507;GO:0015662;GO:0043682;GO:0016531;GO:0009536;GO:0009570;GO:0019829;GO:0016020;GO:0005375;GO:0016887;GO:0005524;GO:0031969;GO:0046872;GO:0006812;GO:0000166;GO:0005215	Copper-transporting ATPase PAA1, chloroplastic (EC 7.2.2.8) (Protein HEAVY METAL ATPASE 6) (Protein glucose insensitive root 1);P-type ATP-ase 1
NP_001289907.1	468	AT5G44120.3	AT5G44120.3	orthologue	GO:0010431;GO:0005634;GO:0045735;GO:0009737;GO:0071215;GO:0000326	12S seed storage protein CRA1 (Cruciferin 1) (AtCRU1) (Cruciferin A1) (Legumin-type globulin storage protein CRA1) [Cleaved into: 12S seed storage protein CRA1 alpha chain (12S seed storage protein CRA1 acidic chain); 12S seed storage protein CRA1 beta chain (12S seed storage protein CRA1 basic chain)];RmlC-like cupins superfamily protein
NP_001289908.1	456	AT1G03880.1	AT1G03880.1	orthologue	GO:0071215;GO:0010431;GO:0045735;GO:0009737;GO:0009845;GO:0005575;GO:0000326	12S seed storage protein CRB (Cruciferin 2) (AtCRU2) (Cruciferin B) (Legumin-type globulin storage protein CRU2) [Cleaved into: 12S seed storage protein CRB alpha chain (12S seed storage protein CRB acidic chain); 12S seed storage protein CRB beta chain (12S seed storage protein CRB basic chain)]
NP_001289909.1	458	AT1G03880.1	AT1G03880.1	orthologue	GO:0071215;GO:0010431;GO:0045735;GO:0009737;GO:0009845;GO:0005575;GO:0000326	12S seed storage protein CRB (Cruciferin 2) (AtCRU2) (Cruciferin B) (Legumin-type globulin storage protein CRU2) [Cleaved into: 12S seed storage protein CRB alpha chain (12S seed storage protein CRB acidic chain); 12S seed storage protein CRB beta chain (12S seed storage protein CRB basic chain)]
NP_001289910.1	416	AT1G08510.1	AT1G08510.1	orthologue	GO:0006633;GO:0009507;GO:0000036;GO:0016297;GO:0009536;GO:0016790	Palmitoyl-acyl carrier protein thioesterase, chloroplastic (EC 3.1.2.-) (16:0-acyl-carrier protein thioesterase) (16:0-ACP thioesterase) (Acyl-[acyl-carrier-protein] hydrolase) (Acyl-acyl carrier protein thioesterase B1) (AtFATB1)
NP_001289911.1	928	AT5G15580.1	AT5G15580.1	orthologue	GO:0051513;GO:0009826;GO:0005515;GO:0005829;GO:0005634	Protein LONGIFOLIA 1 (Protein TON1 RECRUITING MOTIF 2)
