Orthogroup	Alyssum_gmelinii	Arabis_alpina
OG0000000	Ag015G2212200, Ag003G0412200, Ag039G4234000, Ag027G3008000, Ag067G5180300, Ag033G3494500	Aa_G175710.h1.t1
OG0000002	Ag027G3030200	Aa_G166190.h1.t1, Aa_G871860.h1.t1, Aa_G879130.h1.t1, Aa_G251820.h1.t1, Aa_G700320.h1.t1, Aa_G179770.h1.t1, Aa_G940570.h1.t1, Aa_G202640.h1.t1
OG0000003	Ag005G0787400	Aa_G505500.h1.t1
OG0000004	Ag014G1801700, Ag035G4075300, Ag012G1323700, Ag071G5244600, Ag012G1283500, Ag054G4887800, Ag042G4418600, Ag014G2066300, Ag034G4033900, Ag038G4153200, Ag024G2851700, Ag068G5218800, Ag004G0700600	Aa_G305790.h1.t1
OG0000005	Ag078G5366100	Aa_G249080.h1.t1, Aa_G249080.h2.t1
OG0000008	Ag001G0025300	Aa_G302250.h1.t1
OG0000009	Ag004G0738200	Aa_G326720.h1.t1
OG0000011	Ag015G2211300	Aa_G396980.h1.t1
OG0000015	Ag034G3936100	Aa_G982290.h1.t1
OG0000015	Ag024G2875100	Aa_G522550.h1.t1
OG0000020	Ag016G2337300, Ag068G5227400, Ag060G5002800, Ag014G2139700, Ag001G0002100, Ag013G1354100, Ag034G3996700, Ag078G5375900, Ag036G4119800, Ag019G2511100, Ag025G2915300, Ag017G2430400, Ag041G4354300, Ag013G1396100, Ag067G5206100, Ag022G2668600, Ag064G5103400, Ag023G2811600, Ag011G1267500	Aa_G135640.h1.t1
OG0000022	Ag002G0160300, Ag002G0160500	Aa_G830960.h1.t1
OG0000022	Ag024G2896000	Aa_G22660.h1.t1
OG0000022	Ag006G0805800, Ag058G4977300, Ag022G2695300, Ag014G2040000	Aa_G97120.h1.t1
OG0000023	Ag039G4287100, Ag014G2100500, Ag054G4895500, Ag002G0253500, Ag004G0626900, Ag043G4432400, Ag013G1395400, Ag044G4498400, Ag010G1003500	Aa_G297380.h1.t1
OG0000024	Ag013G1663800	Aa_G565560.h1.t1, Aa_G381220.h1.t1
OG0000024	Ag031G3235600	Aa_G737030.h1.t1, Aa_G731070.h1.t1
OG0000024	Ag013G1754200	Aa_G565550.h1.t1, Aa_G614530.h1.t1, Aa_G511000.h1.t1, Aa_G14060.h1.t1, Aa_G230140.h1.t1
OG0000025	Ag015G2255100, Ag067G5188200, Ag030G3132300, Ag002G0276000, Ag054G4878700, Ag011G1115100, Ag066G5134600, Ag066G5170900, Ag064G5112200	Aa_G387540.h1.t1
OG0000026	Ag013G1736700, Ag015G2272100, Ag016G2403600, Ag025G2906900, Ag031G3406200, Ag063G5074500, Ag063G5074300, Ag016G2402400	Aa_G283920.h1.t1, Aa_G56940.h1.t1, Aa_G262080.h1.t1
OG0000027	Ag077G5324400	Aa_G200970.h1.t1
OG0000027	Ag021G2620200	Aa_G597270.h1.t1
OG0000027	Ag033G3496400	Aa_G200830.h1.t1
OG0000028	Ag034G4010900	Aa_G687010.h2.t1, Aa_G687010.h3.t1, Aa_G687010.h1.t1, Aa_G687040.h1.t1, Aa_G604290.h1.t1, Aa_G604300.h1.t1
OG0000029	Ag002G0180900, Ag022G2648100	Aa_G248570.h1.t1
OG0000030	Ag014G2099300, Ag027G3062200, Ag014G1975300	Aa_G522160.h1.t1, Aa_G425920.h1.t1, Aa_G89020.h1.t1
OG0000030	Ag013G1357800	Aa_G152820.h1.t1
OG0000032	Ag005G0786000	Aa_G209100.h1.t1
OG0000034	Ag093G5459200, Ag033G3498700	Aa_G782810.h1.t1, Aa_G619140.h1.t1
OG0000034	Ag033G3477100, Ag052G4847100	Aa_G191730.h1.t1
OG0000034	Ag048G4579800	Aa_G317970.h1.t1, Aa_G58870.h2.t1, Aa_G58870.h1.t1, Aa_G58900.h1.t1, Aa_G58880.h1.t1, Aa_G58910.h1.t1, Aa_G317980.h1.t1, Aa_G58920.h1.t1
OG0000034	Ag033G3500200, Ag093G5460400	Aa_G191690.h1.t1
OG0000034	Ag033G3498800, Ag093G5459400	Aa_G92800.h1.t1, Aa_G474070.h1.t1
OG0000035	Ag061G5042200, Ag007G0851700, Ag007G0851600, Ag015G2256800, Ag031G3385600	Aa_G7660.h1.t1, Aa_G44290.h1.t1
OG0000035	Ag003G0378200	Aa_G155360.h1.t1
OG0000035	Ag023G2806500	Aa_G275180.h1.t1
OG0000035	Ag093G5463700	Aa_G9270.h1.t1
OG0000042	Ag046G4535300, Ag066G5171000, Ag024G2870100	Aa_G963460.h1.t1, Aa_G338960.h1.t1, Aa_G347570.h1.t1, Aa_G618610.h1.t1, Aa_G125500.h1.t1
OG0000042	Ag007G0876900, Ag096G5474100	Aa_G834810.h1.t1
OG0000042	Ag023G2817300, Ag039G4253700, Ag002G0154100	Aa_G392560.h1.t1, Aa_G500830.h1.t1
OG0000042	Ag014G2104800	Aa_G517310.h1.t1, Aa_G660430.h1.t1, Aa_G361630.h1.t1, Aa_G569810.h1.t1, Aa_G61910.h1.t1
OG0000043	Ag014G2139900, Ag038G4145200	Aa_G30.h1.t1
OG0000044	Ag087G5424800	Aa_G685510.h1.t1
OG0000046	Ag004G0691700	Aa_G882110.h35.t1, Aa_G882110.h11.t1, Aa_G882110.h19.t1, Aa_G882110.h5.t1, Aa_G882110.h24.t1, Aa_G882110.h29.t1, Aa_G882110.h7.t1, Aa_G882110.h33.t1, Aa_G882110.h21.t1, Aa_G882110.h12.t1, Aa_G882110.h30.t1, Aa_G882110.h27.t1, Aa_G882110.h34.t1, Aa_G882110.h25.t1, Aa_G882110.h1.t1, Aa_G882110.h14.t1, Aa_G882110.h9.t1, Aa_G882110.h8.t1, Aa_G882110.h23.t1, Aa_G882110.h13.t1, Aa_G882110.h3.t1, Aa_G882110.h26.t1, Aa_G882110.h32.t1, Aa_G882110.h16.t1, Aa_G882110.h18.t1, Aa_G882110.h22.t1, Aa_G882110.h15.t1, Aa_G882110.h2.t1, Aa_G882110.h10.t1, Aa_G882110.h17.t1, Aa_G882110.h6.t1, Aa_G882110.h31.t1, Aa_G882110.h4.t1, Aa_G882110.h20.t1, Aa_G882110.h28.t1, Aa_G675110.h1.t1
OG0000048	Ag013G1657300, Ag013G1657200, Ag013G1657100, Ag013G1657000, Ag013G1657400, Ag013G1658600, Ag013G1658500, Ag013G1651500, Ag013G1657700, Ag022G2632300	Aa_G154560.h1.t1
OG0000048	Ag034G3744100, Ag013G1648400, Ag016G2390700, Ag013G1573400, Ag013G1573000, Ag013G1626000, Ag013G1648500, Ag013G1647900	Aa_G584300.h1.t1
OG0000048	Ag062G5058500	Aa_G570500.h1.t1
OG0000050	Ag031G3328800, Ag019G2527600, Ag020G2554600	Aa_G263310.h1.t1, Aa_G634370.h1.t1, Aa_G7430.h1.t1
OG0000051	Ag034G3687900	Aa_G217710.h1.t1, Aa_G818500.h2.t1, Aa_G818500.h1.t1, Aa_G18920.h1.t1
OG0000051	Ag003G0386300, Ag003G0378700, Ag003G0386600	Aa_G399340.h1.t1
OG0000051	Ag003G0387300	Aa_G599340.h1.t1
OG0000055	Ag014G2041700	Aa_G659190.h1.t1
OG0000055	Ag039G4264100	Aa_G253800.h1.t1
OG0000056	Ag011G1149600, Ag011G1148500, Ag039G4248400	Aa_G643840.h1.t1, Aa_G487430.h1.t1, Aa_G594110.h1.t1, Aa_G488310.h1.t1, Aa_G643830.h1.t1, Aa_G594100.h1.t1
OG0000056	Ag002G0180000	Aa_G162440.h1.t1
OG0000058	Ag001G0033300, Ag033G3511000, Ag006G0820100	Aa_G444220.h1.t1
OG0000058	Ag007G0902800, Ag002G0124000, Ag002G0117600, Ag027G3030700, Ag004G0691500, Ag027G3040100, Ag048G4695000, Ag056G4940000	Aa_G527390.h1.t1
OG0000060	Ag031G3386000	Aa_G448310.h5.t1
OG0000060	Ag034G3746900	Aa_G197130.h4.t1
OG0000060	Ag004G0636900	Aa_G550780.h7.t1
