Orthogroup	Arabidopsis_lyrata_Rawat	Arabidopsis_lyrata_NCBI
OG0000000	AL7G44730	XP_020890704.1, XP_020869115.1
OG0000000	AL3G23500, AL3G28120, AL7G39870	XP_020887909.1
OG0000000	AL5G18640	XP_020885673.1
OG0000000	AL7G35240	XP_020885936.1
OG0000000	AL5G12810	XP_020867739.1
OG0000000	AL6G49130	XP_020872418.1, XP_020889487.1
OG0000000	AL8G13780, AL5G13370, AL3G47190, AL8G30500, AL1G48610, AL7G43930, AL4G15390, AL5G12120, AL5G12320, AL5G21300, AL2G19780, AL6G42260, AL4G14060, AL7G38790, AL5G30910, AL5G11100, AL8G22530, AL6G50660, AL110U10010, AL2G18100	XP_020874113.1
OG0000003	AL1G64130, AL5G19200, AL5G16490, AL6G17120, AL3G42610, AL1G59200, AL3G47980, AL6G47170, AL3G48090, AL6G41430, AL1G46060, AL4G47110, AL6G10850, AL8G41490, AL4G39950, AL363U10020, AL7G48880	XP_020889841.1
OG0000003	AL7G34100	XP_020887717.1
OG0000004	AL7G43300	XP_020870151.1, XP_020870162.1, XP_020886397.1, XP_020866436.1, XP_020870326.1, XP_020890321.1, XP_020887182.1, XP_020891399.1, XP_020866272.1, XP_020871264.1, XP_020886308.1, XP_020882759.1, XP_020875043.1, XP_020881970.1, XP_020889966.1, XP_020875528.1, XP_020871434.1, XP_020869121.1, XP_020871489.1, XP_020869697.1, XP_020880754.1, XP_020873125.1, XP_020887737.1
OG0000004	AL8G19530	XP_020889539.1
OG0000004	AL70U10050	XP_020881080.1, XP_020874109.1
OG0000004	AL7G51790, AL1G64940	XP_020866323.1, XP_020871267.1, XP_020874412.1
OG0000004	AL6G45170	XP_020878681.1
OG0000004	AL1G65200	XP_020865758.1
OG0000005	AL63U10040	XP_020877200.1
OG0000005	AL7G13490	XP_020872641.1, XP_020866154.1, XP_020872381.1, XP_020877193.1
OG0000005	AL97U10030, AL8G11290	XP_020871957.1, XP_020866342.1, XP_020887113.1
OG0000005	AL6G48210, AL2G19230	XP_020880760.1, XP_020877199.1
OG0000007	AL1G53130	XP_020870157.1, XP_020870555.1
OG0000007	AL8G18310	XP_020873755.1
OG0000007	AL1G37680	XP_020876409.1, XP_020866331.1
OG0000007	AL3G20440	XP_020872053.1, XP_020879940.1, XP_020872382.1
OG0000007	AL2G22610	XP_020871008.1
OG0000007	AL5G31160	XP_020880934.1
OG0000007	AL5G15300	XP_020866419.1
OG0000007	AL1G34010	XP_002893144.2
OG0000007	AL8G16470	XP_020870776.1, XP_020871034.1
OG0000007	AL1G61810, AL6G29050, AL5G28660	XP_002875947.2
OG0000007	AL7G43440	XP_002868379.2
OG0000007	AL5G42560	XP_020879876.1, XP_020883895.1, XP_020866620.1, XP_020873499.1
OG0000007	AL4G15130, AL1G41850, AL7G40730, AL6G17970	XP_020887609.1, XP_020874852.1
OG0000008	AL6G25540, AL39U10050, AL6G49380, AL226U10010, AL8G21160, AL8G41980	XP_020871586.1
OG0000008	AL5G20470	XP_020882642.1, XP_020879664.1
OG0000008	AL6G44830	XP_020876690.1, XP_020867861.1
OG0000008	AL5G32180	XP_020881885.1, XP_020881611.1
OG0000008	AL5G32140	XP_020881699.1
