Orthogroup	Cardamine_glauca	Arabidopsis_arenosa
OG0000000	Cg002G0506900	jg26753, jg25591
OG0000002	Cg001G0121200	jg21985, jg21988
OG0000004	Cg005G1670400, Cg002G0621600, Cg001G0187300, Cg004G1344800, Cg008G2898200, Cg004G1359700, Cg004G1347000, Cg003G0835900, Cg006G1875200, Cg006G1877400	jg6905
OG0000004	Cg002G0566400, Cg004G1175600, Cg008G2960200, Cg001G0254800, Cg008G2671600, Cg008G2922100, Cg007G2351100, Cg005G1719500, Cg004G1384700, Cg002G0576600, Cg002G0577700	jg12072, jg12472, jg1749
OG0000004	Cg004G1187900	jg17418, jg2001, jg27456, jg72, jg27337, jg20829, jg32155, jg32817, jg21191, jg8262, jg27197
OG0000008	Cg002G0565700	jg15054, jg15062, jg15069, jg15057
OG0000009	Cg003G0834900	jg1846, jg6872
OG0000009	Cg003G0797000	jg28095
OG0000011	Cg003G0778000	jg13840
OG0000011	Cg005G1679200	jg4342, jg1809, jg13975, jg14168, jg21692, jg32528
OG0000011	Cg005G1679100	jg6805
OG0000015	Cg004G1297400	jg11868, jg21314
OG0000018	Cg003G0814300	jg42, jg2924
OG0000020	Cg004G1313600	jg21095, jg27354
OG0000021	Cg006G1871200	jg32225, jg20321, jg1978, jg701, jg3954, jg2029, jg15196, jg12414, jg15089, jg17083, jg11853, jg32267, jg1316, jg16332, jg27287
OG0000021	Cg006G1912000, Cg004G1333000	jg25715
OG0000022	Cg001G0134600	jg9770
OG0000022	Cg007G2277400	jg642
OG0000022	Cg007G2258400	jg372
OG0000022	Cg001G0385000	jg12744
OG0000022	Cg004G1232100	jg25741
OG0000023	Cg001G0296000	jg7019, jg10010, jg11895, jg12128, jg11974, jg21172, jg31034, jg12143, jg17365, jg32719, jg31024, jg26946
OG0000023	Cg006G2067800	jg12454
OG0000024	Cg006G1959100, Cg006G1958900, Cg006G1959600, Cg006G1959000, Cg006G1959800, Cg006G1959300	jg32093, jg31696, jg31707, jg31681, jg31709, jg31713, jg31711, jg31710, jg31714, jg2233, jg31669, jg16933, jg16932, jg31715, jg31705
OG0000024	Cg001G0380300	jg33003, jg33002
OG0000024	Cg002G0647900	jg31857
OG0000024	Cg006G1963900, Cg006G1963800	jg27402, jg18984
OG0000024	Cg002G0447000, Cg002G0448700	jg15695, jg15696, jg15770, jg15771, jg14278
OG0000025	Cg005G1690200, Cg004G1264500	jg21506, jg20543, jg32153, jg27936, jg1637, jg14016, jg1257
OG0000027	Cg003G0758600	jg7517, jg7516
OG0000027	Cg003G0758500	jg7521
OG0000027	Cg001G0170600	jg10174
OG0000027	Cg003G0758900	jg7515
OG0000027	Cg001G0172400	jg10205
OG0000027	Cg003G0757800	jg7537, jg7533, jg7530
OG0000027	Cg001G0171900	jg10192
OG0000027	Cg001G0171700	jg10199, jg10187, jg10190
OG0000028	Cg007G2581000	jg8750
OG0000028	Cg001G0051700	jg4646, jg4645, jg21837, jg21838
OG0000028	Cg006G2183100	jg14606
OG0000028	Cg003G0941300	jg14605, jg28212
OG0000029	Cg007G2405400, Cg007G2364600	jg6737, jg11997
OG0000029	Cg001G0384100	jg26958, jg13640, jg2465, jg2197, jg27218, jg11460, jg13681, jg14797, jg11165, jg17461, jg12004, jg3965
OG0000030	Cg004G1270000	jg26153, jg26152
OG0000030	Cg004G1261500	jg2274
OG0000030	Cg006G1982700	jg30787, jg31203, jg31202
OG0000030	Cg001G0286900	jg25536
OG0000030	Cg002G0532900	jg1537, jg14799, jg17824, jg14802, jg14804
OG0000030	Cg006G2154000	jg29499
OG0000032	Cg001G0339700	jg27281, jg13794, jg27158, jg18577, jg19520, jg25717
OG0000032	Cg007G2361600	jg27186
OG0000034	Cg001G0172000	jg10193, jg10203, jg10197
OG0000034	Cg001G0172200, Cg001G0172300	jg10204
OG0000034	Cg001G0172500	jg10200
OG0000034	Cg001G0190400	jg10426
OG0000034	Cg001G0190500	jg10425
OG0000034	Cg001G0172600	jg10207
OG0000034	Cg001G0172700	jg10202, jg10195, jg10208
OG0000040	Cg001G0375200, Cg007G2426000, Cg008G2852000, Cg008G2867800, Cg005G1448100	jg17939
OG0000042	Cg013G3025700	jg6977
OG0000042	Cg007G2325300	jg33374, jg32294, jg32380
OG0000044	Cg001G0233900	jg21834
OG0000044	Cg004G1386600	jg20587
OG0000044	Cg008G2973700	jg20417
OG0000044	Cg008G2897600	jg20420
OG0000044	Cg008G2973900	jg20412, jg20415
OG0000044	Cg004G1380900	jg6091, jg1752, jg21037
OG0000046	Cg003G0881700	jg12140
OG0000046	Cg001G0284200	jg13501, jg20886
OG0000050	Cg005G1710800	jg11604
OG0000050	Cg007G2389100, Cg006G1872200	jg14086
OG0000050	Cg002G0525300, Cg008G2715000, Cg001G0215700	jg19949, jg4268
