Orthogroup	Capsella_rubella	Eutrema_salsugineum
OG0000000	XP_023637681.1	XP_024013803.1, XP_024004899.1, XP_024011347.1
OG0000000	XP_023634268.1, XP_023644256.1	XP_024006886.1, XP_024011324.1
OG0000000	XP_023642406.1, XP_023644536.1	XP_024010239.1, XP_024016203.1, XP_024012343.1, XP_024011123.1
OG0000000	XP_023632892.1	XP_024014707.1
OG0000000	XP_023634342.1, XP_006300431.2	XP_024006491.1
OG0000002	XP_023638855.1	XP_024006551.1, XP_024016294.1, XP_024010911.1, XP_024010912.1, XP_024010711.1, XP_024016369.1, XP_024014502.1, XP_024010212.1
OG0000003	XP_023641338.1	XP_024004423.1
OG0000005	XP_023640321.1	XP_006404995.2, XP_024013903.1
OG0000005	XP_023639598.1	XP_006402217.2, XP_024013358.1, XP_024016125.1, XP_024013775.1
OG0000005	XP_023645768.1	XP_024013377.1, XP_024015852.1
OG0000005	XP_023636063.1	XP_024015023.1
OG0000007	XP_023640317.1	XP_024009204.1, XP_024014376.1, XP_024006867.1, XP_024007289.1, XP_024011309.1
OG0000007	XP_023635150.1	XP_024006492.1, XP_024006841.1
OG0000007	XP_023639048.1, XP_023644546.1	XP_024007990.1
OG0000007	XP_023643663.1	XP_024010245.1, XP_024016256.1, XP_024013573.1, XP_024016234.1, XP_024007956.1, XP_024014249.1
OG0000007	XP_023636902.1	XP_024008056.1, XP_024008023.1
OG0000007	XP_023640335.1	XP_024004051.1
OG0000007	XP_023643356.1	XP_024006097.1, XP_024011350.1, XP_024004963.1, XP_024013926.1, XP_024004117.1
OG0000007	XP_023634292.1	XP_024013889.1
OG0000007	XP_023634518.1	XP_024013556.1
OG0000007	XP_023644418.1	XP_024014247.1
OG0000007	XP_023644453.1	XP_024007214.1, XP_024006883.1
OG0000008	XP_023641963.1	XP_024013171.1, XP_024010288.1, XP_024007970.1
OG0000008	XP_006305876.2	XP_024013997.1, XP_024010682.1, XP_024009322.1, XP_024015209.1, XP_024009407.1, XP_024014486.1, XP_024013969.1, XP_024004792.1, XP_024006454.1, XP_024009495.1, XP_024009967.1, XP_024013989.1, XP_024014489.1
OG0000008	XP_023644475.1, XP_023640337.1, XP_023633664.1, XP_023642844.1, XP_006279329.2, XP_006300347.2, XP_023644459.1, XP_006304508.2, XP_023634290.1	XP_024014429.1, XP_024004767.1, XP_024016281.1, XP_024015907.1, XP_024010446.1, XP_024004910.1, XP_024006484.1, XP_024007711.1, XP_024006634.1, XP_024014150.1, XP_024011400.1, XP_024010291.1, XP_024006405.1
OG0000008	XP_006282156.2	XP_024007971.1
OG0000008	XP_023638567.1	XP_024013173.1
OG0000008	XP_023633344.1	XP_024010217.1, XP_024010377.1
OG0000009	XP_006292284.1	XP_024007257.1, XP_024009950.1
OG0000011	XP_023644226.1	XP_024003642.1, XP_024003759.1, XP_024004876.1, XP_024016548.1
OG0000011	XP_006298993.2, XP_023637233.1	XP_024004160.1
OG0000011	XP_023638956.1	XP_024012731.1, XP_024004844.1, XP_024004832.1
OG0000012	XP_023640438.1, XP_023633714.1	XP_024006310.1, XP_024010246.1, XP_024010847.1, XP_024006789.1, XP_024013645.1
OG0000012	XP_023636126.1	XP_024009752.1
OG0000014	XP_023639612.1	XP_006408809.2
OG0000014	XP_023638462.1, XP_023634279.1	XP_024014048.1, XP_024013196.1, XP_024005930.1, XP_024011382.1, XP_024011409.1
OG0000015	XP_023633382.1	XP_024009420.1
OG0000015	XP_023638902.1	XP_024013064.1
OG0000016	XP_023639630.1	XP_024010546.1
