Orthogroup	Arabidopsis_arenosa	Noccaea_praecox
OG0000000	jg1749	Np003G167670, Np002G107260, Np004G207890
OG0000002	jg27118	Np002G105760, Np008G427550, Np003G178530, Np001G043410, Np002G102940, Np001G043030
OG0000002	jg11830	Np002G103600, Np002G105770, Np011G436400, Np008G426050
OG0000002	jg1783	Np007G405440
OG0000003	jg11918	Np003G170760
OG0000005	jg12267, jg12278	Np002G080500
OG0000005	jg28095	Np002G098860
OG0000005	jg17698	Np007G395340
OG0000005	jg1846, jg6872, jg23533	Np004G203550, Np005G265280
OG0000005	jg13854	Np006G352060
OG0000005	jg1845	Np002G098830
OG0000005	jg11603	Np002G088460
OG0000005	jg8025, jg11080, jg14183, jg14024, jg21899, jg13959, jg1165, jg13498, jg21058, jg18867, jg13113	Np001G012890, Np001G012870
OG0000005	jg21920	Np001G029170
OG0000005	jg27468	Np008G427710
OG0000007	jg7091	Np005G307400
OG0000007	jg6465	Np007G402890
OG0000008	jg15069, jg15062, jg15057, jg15054	Np001G053530
OG0000011	jg27080, jg13807	Np001G009230, Np006G351190
OG0000012	jg26919	Np005G284530
OG0000012	jg12454, jg31920	Np006G343630, Np002G100520
OG0000012	jg1757, jg32331	Np003G169510, Np006G350820
OG0000012	jg27300	Np006G352650
OG0000013	jg1575	Np005G297160
OG0000014	jg16959	Np001G042570, Np002G073300
OG0000015	jg11869	Np005G274380
OG0000017	jg6965	Np003G166290
OG0000017	jg6883	Np003G171300
OG0000017	jg6884	Np005G282110, Np005G282180, Np007G396400
OG0000018	jg4400, jg32393, jg11989, jg32560, jg26774	Np002G096490, Np002G106410, Np005G301740, Np003G138910, Np007G393420, Np003G172010
OG0000019	jg26287	Np003G156030, Np004G211950
OG0000019	jg13840	Np001G027630
OG0000019	jg13838, jg27639, jg22122, jg16702	Np003G166760, Np002G106220
OG0000019	jg13839	Np001G027620
OG0000020	jg27281, jg27158, jg13794, jg18577, jg25717, jg19520	Np005G303330, Np004G208430
OG0000020	jg27186	Np004G226750
OG0000021	jg17562	Np005G303890
OG0000021	jg27173	Np004G199140
OG0000021	jg17386	Np007G402490, Np003G147560
OG0000021	jg12206	Np002G120150
OG0000023	jg7514	Np003G180610
OG0000023	jg10205, jg10191	Np005G284120
OG0000023	jg10190	Np005G283870
OG0000023	jg10199	Np005G284070
OG0000024	jg2022	Np002G100170, Np001G029650, Np002G091590, Np007G393480
OG0000025	jg22353	Np003G164310
OG0000025	jg22247, jg22250	Np006G368440, Np006G358350, Np006G358300, Np003G181320, Np003G181370, Np006G358330, Np003G181400
OG0000025	jg22445	Np003G160480
OG0000025	jg8748, jg8750, jg23436, jg23431, jg23430, jg23437, jg23433, jg21838, jg4646, jg21837, jg4645	Np006G347410, Np006G369800, Np006G369660, Np006G353350, Np006G347480, Np006G353280, Np006G347370, Np003G146280, Np006G369850, Np006G370360
OG0000026	jg1482, jg6966, jg6980, jg14688, jg1903, jg7349, jg32153, jg20543, jg27936, jg21506, jg1826, jg1637, jg14016, jg1257	Np003G172690
OG0000027	jg31665, jg31668, jg27402, jg18984	Np004G215070
OG0000027	jg14278, jg15770, jg15695, jg15696, jg15771	Np001G057950, Np001G057940
OG0000028	jg32932, jg1778	Np006G356860
OG0000029	jg21060	Np002G073630
OG0000029	jg1946	Np003G172500
OG0000029	jg17949	Np003G172510
OG0000030	jg6977	Np003G173700
OG0000030	jg900, jg26487, jg11586, jg11588, jg2222, jg2223	Np006G330890
OG0000031	jg29724, jg29708, jg29704, jg29712, jg26478, jg29711, jg29722, jg29734, jg29678, jg29676	Np004G244900
OG0000031	jg12744	Np005G318980
OG0000033	jg10203, jg10197, jg10193	Np005G284050, Np005G284060
OG0000033	jg10204	Np005G284130
OG0000033	jg10186, jg10200, jg10207	Np005G283960, Np005G284080
OG0000033	jg10198	Np005G284140
OG0000033	jg10195, jg10202	Np005G284160
OG0000034	jg32731	Np001G040280
OG0000035	jg23606, jg20747, jg20748	Np006G356560
OG0000035	jg18271, jg18309, jg33607, jg12648, jg12649, jg16185, jg16184, jg18469	Np005G313520
OG0000036	jg16618	Np005G260660
OG0000036	jg299, jg1839, jg32415, jg11724, jg17278, jg1046, jg1567	Np006G350450
OG0000036	jg21000, jg17522, jg31083	Np006G342170, Np003G136960, Np002G107350, Np007G403810
OG0000038	jg20023, jg549	Np002G077050, Np002G071470, Np002G072440, Np002G074050, Np002G074120, Np002G072020
OG0000038	jg6336	Np007G415720
OG0000038	jg21941, jg22515	Np003G157800
OG0000038	jg28841	Np005G270740, Np005G270650, Np005G270700
OG0000038	jg31052	Np005G318000
OG0000039	jg6819	Np002G110420
OG0000040	jg30787, jg31202, jg31203	Np001G009070
OG0000040	jg29499, jg25408, jg25347, jg10900, jg11085	Np004G224970, Np004G224940
OG0000040	jg738, jg25360	Np007G407000
OG0000041	jg6878	Np006G342650, Np003G171490, Np002G100930, Np006G346660, Np001G024330, Np002G096610, Np004G224690, Np002G098200, Np002G098220, Np002G100090, Np004G224910, Np001G026070, Np004G224180, Np002G107290, Np002G100540, Np004G224900, Np002G112700, Np004G229610, Np003G171480, Np002G102360, Np002G103630, Np003G170330, Np002G122190, Np006G350530
OG0000042	jg17939	Np004G191660
OG0000042	jg26952	Np006G336410
OG0000044	jg1834, jg309, jg32416, jg1035, jg17283, jg1573	Np003G163540, Np004G207950, Np005G303200, Np006G327150, Np007G408020, Np005G309290, Np004G218300, Np004G229000, Np007G403700, Np002G090130, Np006G327160, Np007G394210, Np006G353360, Np002G081200, Np004G217370, Np004G233430, Np002G100510
OG0000044	jg13501, jg20886, jg12140	Np004G238860, Np001G016070, Np004G246570, Np003G173870, Np002G077010, Np005G260670, Np002G121850
OG0000045	jg21055	Np007G389140
OG0000046	jg12463, jg12464	Np005G314650
OG0000046	jg12335, jg12333, jg12337	Np005G313240
OG0000046	jg10780	Np005G292150
OG0000047	jg14038	Np005G282680
OG0000048	jg24239	Np007G421470
OG0000048	jg5635	Np003G145480
OG0000048	jg5646	Np003G145420
OG0000048	jg5634, jg5644	Np003G145430, Np003G145400, Np003G145550
OG0000049	jg28661	Np002G120530
OG0000050	jg7029, jg13871	Np002G095340
OG0000050	jg21178	Np002G095350
OG0000050	jg32622	Np002G099150
OG0000052	jg29349	Np004G255200, Np007G384340, Np003G131270, Np003G131300, Np003G131610, Np004G236020, Np004G259320, Np007G384920
OG0000052	jg19557	Np006G328530, Np006G328520
OG0000052	jg497	Np002G114270, Np002G114260, Np002G116270, Np002G105580, Np002G115670
OG0000052	jg19552, jg19554	Np006G328590, Np006G328570, Np006G328580
OG0000052	jg19560	Np003G173020
OG0000053	jg1077, jg28178, jg4817, jg5943, jg25268, jg33384, jg11480, jg32839	Np006G348630, Np005G304720, Np005G288880, Np007G395450, Np003G166680, Np003G167380, Np005G287740
OG0000053	jg27640, jg13837	Np001G008270, Np001G039230, Np003G166770
OG0000055	jg14491	Np001G046730
OG0000055	jg728	Np002G119410
OG0000055	jg1420	Np002G119400
OG0000055	jg743, jg744, jg745, jg746, jg747	Np002G119520, Np002G119220, Np002G119170
OG0000056	jg25787	Np005G282430
OG0000057	jg17788	Np007G419120, Np007G419160, Np005G285180
OG0000057	jg12073, jg27919	Np007G375320
OG0000057	jg1195, jg14633, jg25647	Np007G398210, Np010G435080, Np007G401600
OG0000057	jg25753	Np005G317510, Np005G317540
OG0000057	jg25886, jg26868	Np006G333600, Np006G333860, Np003G187520
OG0000057	jg26785, jg32786	Np007G376470
OG0000058	jg1166, jg14086	Np001G038390, Np006G352050, Np005G294870
OG0000058	jg27469, jg29921, jg1167, jg13112, jg18866, jg12231, jg7250, jg7021, jg20411, jg13499, jg11079, jg14182, jg13958, jg21898, jg21900, jg14025, jg21057, jg8024	Np005G264870, Np004G197020, Np006G352040, Np001G038380, Np001G027510
OG0000062	jg7377	Np003G166860, Np003G173970, Np003G170000
OG0000063	jg14371	Np006G337020
OG0000063	jg15309	Np005G306870
OG0000063	jg29120, jg22936	Np003G152310
OG0000063	jg14419	Np001G046020
OG0000064	jg8362	Np005G260880
OG0000066	jg27126, jg7203, jg3219, jg3220	Np005G262320
OG0000066	jg4927	Np005G262330
OG0000066	jg13471	Np003G136700
OG0000066	jg1404	Np003G136710
OG0000067	jg24838, jg24839	Np005G315250, Np005G315220, Np005G316020, Np005G316030, Np005G315340
OG0000067	jg12213	Np006G321540, Np005G281650, Np006G321570, Np006G324160, Np006G322140, Np003G155590
OG0000067	jg4679	Np003G144200
OG0000068	jg13724	Np004G231130, Np004G230610, Np005G282940
OG0000068	jg17311, jg27930, jg12740	Np004G225640
OG0000068	jg32484	Np002G089430
OG0000068	jg13873	Np002G105990, Np001G038360, Np002G099110, Np002G113430, Np005G283070
OG0000071	jg17558	Np001G008970, Np006G370520, Np003G157740
OG0000071	jg28233	Np003G136370, Np006G335610, Np002G086650
OG0000071	jg15329	Np006G331390, Np001G008190, Np007G394880, Np004G207250, Np006G360210, Np003G130630, Np004G204530
OG0000071	jg25723	Np004G192480, Np004G255110, Np001G010810, Np003G136400, Np004G197340, Np001G008060, Np002G121660, Np003G183830, Np001G025430, Np001G046830, Np002G093400, Np006G335600, Np001G045020, Np006G328550, Np004G200670, Np002G093150, Np004G193230, Np002G120650, Np001G051330, Np005G305440, Np005G260960, Np005G280230, Np003G139630, Np003G158800, Np006G328500
OG0000072	jg27454, jg2002, jg1859, jg13895, jg13896, jg17450, jg17336, jg27058, jg17478, jg16476, jg16484, jg29790, jg9963, jg13945, jg11738, jg2091	Np003G172350, Np003G172320, Np003G172380, Np011G435700, Np007G401430, Np005G293510, Np005G297850, Np006G344890, Np002G118450, Np008G428100, Np002G117430, Np002G103330
OG0000074	jg30930	Np004G229920
OG0000074	jg30938	Np004G229890
OG0000074	jg30934	Np004G230030
OG0000074	jg17689, jg30932, jg30931	Np003G180910, Np003G184200
OG0000075	jg4863, jg4865	Np003G136640
OG0000075	jg29636, jg29549, jg29550, jg33257, jg364, jg17315, jg29545, jg29543, jg12227, jg29834, jg21571	Np007G378600
OG0000076	jg13391, jg13389	Np002G083960
OG0000076	jg13388, jg13373, jg13390	Np001G021860
OG0000077	jg7662, jg7663, jg933, jg32683, jg24861, jg24794, jg20353, jg26791, jg7664	Np005G317450, Np005G317430, Np005G317440, Np005G317410, Np005G317490
OG0000077	jg32692, jg26472, jg32685, jg32682, jg8427	Np007G386290
OG0000077	jg8424, jg8422	Np005G261710, Np006G360730
OG0000077	jg8428	Np005G261720
OG0000078	jg13800, jg25795, jg13799, jg25794	Np005G290970, Np008G428930, Np007G401550, Np004G211330, Np002G116110, Np005G303350, Np002G089150, Np002G108660
OG0000078	jg9173	Np002G086990, Np002G097240, Np002G092810
OG0000079	jg15929	Np001G064190
OG0000079	jg17321, jg17317, jg17322	Np007G389360
OG0000079	jg15921	Np001G064140
OG0000080	jg12190	Np006G334220
OG0000080	jg1961, jg32859, jg32843, jg32550, jg32855, jg32866	Np006G321280, Np006G321720, Np003G146070, Np004G250430
OG0000080	jg32551, jg32841, jg32864, jg32857	Np003G179540, Np002G124540
OG0000080	jg375, jg12023	Np002G124500, Np002G124510
OG0000080	jg18020, jg18016	Np005G318150, Np005G318140
OG0000081	jg5657	Np003G145640
OG0000083	jg27544, jg27541	Np002G090350
OG0000083	jg2772, jg16885	Np007G418940
OG0000084	jg17390	Np006G364940
OG0000084	jg17005, jg20640	Np006G364930
OG0000084	jg16995, jg17274, jg17286, jg17001, jg16991	Np006G365030, Np006G365010, Np006G365440, Np006G366050
OG0000084	jg17289	Np006G365060, Np006G365040
OG0000084	jg16989, jg17288	Np006G364950
