Brassica_rapa	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
NP_001288806.1	225	AT1G72290.1	AT1G72290.1	other	GO:0009507;GO:0080092;GO:0080027;GO:0005515;GO:0004869;GO:0010623;GO:0009625;GO:0009505;GO:0048046;GO:0030414;GO:0009611;GO:0005783;GO:0006952;GO:0004866	Kunitz trypsin inhibitor 2 (AtKTI2) (Cysteine protease inhibitor WSCP) (Kunitz-type cysteine protease inhibitor WSCP) (Water-soluble chlorophyll protein) (AtWSCP)
NP_001288807.1	420	AT5G61850.2	AT5G61850.2	orthologue	GO:0006355;GO:0010077;GO:0009740;GO:0042803;GO:0005634;GO:0005515;GO:0003700;GO:0043565;GO:0031490;GO:0009908;GO:0000976;GO:0010582;GO:0030154;GO:0003677;GO:0010074	Floricaula/leafy-like transcription factor;Protein LEAFY
NP_001288808.1	704	AT5G02810.1	AT5G02810.1	orthologue	GO:0010017;GO:0009909;GO:0005634;GO:0000160;GO:0009736;GO:0005739;GO:0005515;GO:0045892;GO:0006355;GO:0009266;GO:0003677;GO:0007623;GO:0000156;GO:0048511	Pseudo-response regulator 7;Two-component response regulator-like APRR7 (Pseudo-response regulator 7)
NP_001288809.1	246	AT2G45130.1	AT2G45130.1	orthologue	GO:0016036;GO:0005737;GO:0080040;GO:0003674	SPX domain-containing protein 3 (Protein SPX DOMAIN GENE 3) (AtSPX3)
NP_001288810.1	350	AT3G44310.1, AT3G44300.1, AT3G44320.1	AT3G44300.1	orthologue	GO:0000257;GO:0009617;GO:0005829;GO:0009684;GO:0051410;GO:0005886;GO:0080061;GO:0003729;GO:0018822;GO:0080109;GO:0019762;GO:0009970;GO:0005515;GO:0009506;GO:0009507;GO:0047427;GO:0048046;GO:0016836;GO:0003824	Nitrilase 1;Nitrilase 1 (EC 3.5.5.1);Nitrilase 2 (EC 3.5.5.1);Nitrilase 3 (EC 3.5.5.1)
NP_001288811.1	321	AT3G02380.1	AT3G02380.1	orthologue	GO:0009909;GO:2000028;GO:0005634;GO:0009658;GO:0003700;GO:0008270;GO:0005515;GO:0003677	Zinc finger protein CONSTANS-LIKE 2
NP_001288814.1	243	AT1G18250.2	AT1G18250.2	orthologue	GO:0003674;GO:0006952;GO:0005576	Pathogenesis-related thaumatin superfamily protein;Thaumatin-like protein
NP_001288816.1	439	AT2G34650.1	AT2G34650.1	orthologue	GO:0005737;GO:0048827;GO:0048825;GO:0004674;GO:0009986;GO:0005634;GO:0048767;GO:0009734;GO:0009958;GO:0016324;GO:0048766;GO:0009926;GO:0005515;GO:0009733;GO:0071944;GO:0005886;GO:0016301;GO:0004672;GO:0005524;GO:0005829;GO:0106310;GO:0006468	Protein kinase PINOID (EC 2.7.11.1) (Protein kinase ABRUPTUS)
NP_001288817.1	157	AT5G59820.1	AT5G59820.1	orthologue	GO:0000976;GO:0010224;GO:0009408;GO:0009631;GO:0009409;GO:0042538;GO:0009611;GO:0005634;GO:0009416;GO:0010200;GO:0071456;GO:0003700;GO:0006979;GO:0009643;GO:0006950;GO:0008270	Zinc finger protein ZAT12 (Protein RESPONSIVE TO HIGH LIGHT 41)
NP_001288818.1	154	AT5G12030.1, AT5G12020.1	AT5G12020.1	other	GO:0071456;GO:0005737;GO:0051259;GO:0006457;GO:0009651;GO:0009408;GO:0051082;GO:0042542;GO:0006972;GO:0005829	17.6 kDa class II heat shock protein (17.6 kDa heat shock protein) (AtHsp17.6);17.7 kDa class II heat shock protein (17.7 kDa heat shock protein) (AtHsp17.7)
NP_001288820.1	355	AT3G47990.1	AT3G47990.1	orthologue	GO:0004842;GO:0010182;GO:0016567;GO:0005739;GO:0008270;GO:0016020	E3 ubiquitin-protein ligase SIS3 (EC 2.3.2.27) (Protein SUGAR INSENSITIVE 3) (RING-type E3 ubiquitin transferase SIS3);SUGAR-INSENSITIVE 3
NP_001288821.1	276	AT3G56400.1	AT3G56400.1	orthologue	GO:0009617;GO:0002229;GO:0005634;GO:0071456;GO:0010150;GO:2000022;GO:2000031;GO:0010120;GO:0003700;GO:0006970;GO:0009864;GO:0045892;GO:0009751;GO:0009862;GO:0080187;GO:0005515;GO:0050832;GO:0006355;GO:0010104;GO:2000070;GO:1900457;GO:0009753;GO:0080151;GO:0031347;GO:0009759;GO:0009625;GO:0047484;GO:1900056;GO:0042742;GO:0043565;GO:0000302;GO:0000976;GO:0009682;GO:0090333;GO:0009742;GO:0009873	Probable WRKY transcription factor 70 (WRKY DNA-binding protein 70)
NP_001288822.1	317	AT4G31800.1	AT4G31800.1	orthologue	GO:0050691;GO:0003700;GO:0050832;GO:0005634;GO:0009751;GO:0005515;GO:0005737;GO:0042802;GO:0042742;GO:0006355;GO:0031347;GO:0002237;GO:0043565	WRKY DNA-binding protein 18;WRKY transcription factor 18 (WRKY DNA-binding protein 18) (AtWRKY18)
NP_001288823.1	242	AT4G14550.2, AT3G23050.1	AT3G23050.1	other	GO:0005515;GO:0000976;GO:0006355;GO:0045892;GO:0010102;GO:0009733;GO:0003700;GO:0005634;GO:0009753;GO:0009611;GO:0009414;GO:0009630;GO:0009734;GO:0016020	Auxin-responsive protein;Auxin-responsive protein IAA14 (Indoleacetic acid-induced protein 14) (Protein SOLITARY ROOT);Auxin-responsive protein IAA7 (Auxin resistant 2) (Indoleacetic acid-induced protein 7)
NP_001288824.1	1183	AT1G22770.1	AT1G22770.1	orthologue	GO:0006950;GO:0009637;GO:0048586;GO:0048578;GO:0005515;GO:0005634;GO:0006355;GO:0010218;GO:0007623;GO:0042542;GO:0010378;GO:0005654;GO:0042752;GO:0009908;GO:0009409;GO:0005737;GO:0009585;GO:0030154;GO:2000028	Protein GIGANTEA
NP_001288826.1	172	AT3G01520.1	AT3G01520.1	orthologue	GO:0005737;GO:0016208;GO:0005829;GO:0005886	Universal stress protein A-like protein
NP_001288827.1	628	AT5G24470.1	AT5G24470.1	orthologue	GO:0051170;GO:0009640;GO:0006355;GO:0007623;GO:0009736;GO:0005634;GO:0005515;GO:0000156;GO:0045892;GO:0003677;GO:0005622;GO:0010114;GO:0010218;GO:0000160;GO:0048511	Two-component response regulator-like APRR5 (Pseudo-response regulator 5)
NP_001288829.1	262	AT4G34670.1	AT4G34670.1	orthologue	GO:0003729;GO:0005737;GO:0022626;GO:0005829;GO:0005886;GO:0009506;GO:0022627;GO:0005730;GO:0009505;GO:0003735;GO:0006412;GO:0005840	Small ribosomal subunit protein eS1y (40S ribosomal protein S3a-2)
NP_001288830.1	162	AT1G60740.1, AT1G65970.1	AT1G65970.1	orthologue	GO:0004601;GO:0034599;GO:0005737;GO:0042744;GO:0045454;GO:0008379;GO:0005886;GO:0016491	Peroxiredoxin-2C (EC 1.11.1.25) (Glutaredoxin-dependent peroxiredoxin) (Peroxiredoxin IIC) (Peroxiredoxin TPx2) (Thioredoxin peroxidase 2C) (Thioredoxin-dependent peroxidase 2);Peroxiredoxin-2D (EC 1.11.1.25) (Glutaredoxin-dependent peroxiredoxin) (Peroxiredoxin IID) (Thioredoxin peroxidase 2D)
NP_001288831.1	257	AT2G40610.1	AT2G40610.1	orthologue	GO:0009828;GO:0009664;GO:0009635;GO:0009826;GO:0003674;GO:0005576;GO:0006949;GO:0016020	Expansin-A8 (AtEXPA8) (Alpha-expansin-8) (At-EXP8) (AtEx8) (Ath-ExpAlpha-1.11)
NP_001288832.1	319	AT2G47260.1	AT2G47260.1	orthologue	GO:1990110;GO:0000976;GO:0005634;GO:0006355;GO:1901703;GO:0009624;GO:2000144;GO:0009733;GO:0003700;GO:0043565	WRKY transcription factor 23 (WRKY DNA-binding protein 23)
NP_001288833.1	1172	AT2G18790.1	AT2G18790.1	orthologue	GO:0005515;GO:0045892;GO:0009687;GO:0016604;GO:0005634;GO:0009630;GO:0017012;GO:0009649;GO:0005886;GO:2000028;GO:0009409;GO:0043565;GO:0042802;GO:0000155;GO:0009584;GO:0009640;GO:0071588;GO:0009867;GO:0009408;GO:0010202;GO:0010617;GO:0042803;GO:0009416;GO:0004673;GO:0015979;GO:1990841;GO:0042742;GO:0005829;GO:0009266;GO:0010218;GO:0010161;GO:0006325;GO:0009643;GO:0031347;GO:0010374;GO:0009638;GO:0010029;GO:0031517;GO:0031516;GO:0009883;GO:0010244;GO:0010148;GO:0016607;GO:0006355;GO:0009585;GO:0009881;GO:0007165;GO:0017006	Phytochrome;Phytochrome B (Protein LONG HYPOCOTYL 3) (Protein OUT OF PHASE 1)
NP_001288834.1	230	AT5G63310.1	AT5G63310.1	orthologue	GO:0006228;GO:0009585;GO:0009734;GO:0006241;GO:0005737;GO:0006183;GO:0004550;GO:0009536;GO:0009941;GO:0009579;GO:0005515;GO:0009507;GO:0042542;GO:0009570;GO:0009411;GO:0005634;GO:0005524;GO:0046872	Nucleoside diphosphate kinase II, chloroplastic (NDK II) (NDP kinase II) (NDPK II) (NDPK Ia) (EC 2.7.4.6)
NP_001288835.1	250	AT4G17030.1	AT4G17030.1	orthologue	GO:0019953;GO:0009828;GO:0003674;GO:0005576;GO:0009653	Expansin-like B1 (At-EXPR1) (AtEXLB1) (AtEXPR1) (Ath-ExpBeta-3.1)
NP_001288836.1	342	AT5G28650.1	AT5G28650.1	orthologue	GO:0006355;GO:0003700;GO:0043565;GO:0005634;GO:0005516	Probable WRKY transcription factor 74 (WRKY DNA-binding protein 74)
NP_001288838.1	349	AT4G06634.1	AT4G06634.1	orthologue	GO:0000978;GO:1900150;GO:0005515;GO:0031011;GO:0009788;GO:0009416;GO:0045893;GO:0043565;GO:0006355;GO:0009737;GO:0006357;GO:0005634;GO:1901000;GO:0009651;GO:0045892;GO:0009646;GO:0009414;GO:0000785;GO:0005667;GO:0006970;GO:0031519;GO:0000981;GO:0003677;GO:0008270;GO:0006952;GO:0009738	Zinc finger (C2H2 type) family protein;Zinc finger transcription factor YY1 (Protein YIN YANG 1) (AtYY1)
NP_001288839.1	157	AT2G41430.1	AT2G41430.1	orthologue	GO:0009617;GO:0009644;GO:0071456;GO:0009414;GO:0005829;GO:0005737;GO:0005515;GO:0042651;GO:0010196	Protein EARLY RESPONSIVE TO DEHYDRATION 15 (PAM2-containing protein CID1) (Polyadenylate-binding protein-interacting protein 1) (PABP-interacting protein 1) (Poly(A)-binding protein-interacting protein 1) (Protein CTC-INTERACTING DOMAIN 1) (Protein LIGHT STRESS-REGULATED 1)
NP_001288840.1	453	AT3G01060.1	AT3G01060.1	orthologue	GO:0007623;GO:0003674;GO:0009507;GO:0016874	Lysine-tRNA ligase
