Orthogroup	Cardamine_hirsuta	Brassica_rapa
OG0000004	CARHR214930	XP_009123632.2, XP_009150012.1, XP_009106474.1
OG0000005	CARHR160220	XP_009142128.2
OG0000005	CARHR248000	XP_033132529.1
OG0000006	CARHR029270, CARHR266880, CARHR156020	XP_033131850.1, XP_033128723.1, XP_033132443.1
OG0000006	CARHR221620	XP_033131629.1
OG0000006	CARHR052510, CARHR150730	XP_033138798.1, XP_033143316.1
OG0000006	CARHR182520	XP_009124768.1
OG0000008	CARHR056560	XP_033137451.1
OG0000008	CARHR103540	XP_033131033.1, XP_033139686.1, XP_033140769.1, XP_033133054.1, XP_033128088.1
OG0000008	CARHR103530	XP_033131793.1
OG0000008	CARHR115010	XP_033147955.1, XP_033146635.1
OG0000008	CARHR161300, CARHR161310, CARHR161290	XP_009115858.3
OG0000008	CARHR131120, CARHR217020, CARHR164530, CARHR288680, CARHR051890, CARHR035430, CARHR217860	XP_033131438.1
OG0000008	CARHR286130, CARHR178960, CARHR119350, CARHR214330	XP_033131838.1
OG0000011	CARHR256470	XP_009107541.1
OG0000011	CARHR130420	XP_033134396.1, XP_009140434.1, XP_009124217.1
OG0000011	CARHR032700	XP_009150017.2
OG0000013	CARHR259710, CARHR057870, CARHR288340	XP_009108251.2, XP_033131804.1, XP_033131809.1, XP_033146254.1, XP_033139285.1
OG0000013	CARHR116230, CARHR285000	XP_033134274.1, XP_033135796.1
OG0000015	CARHR258200	XP_033136397.1, XP_033137014.1, XP_033138269.1, XP_009113103.2
OG0000015	CARHR055900	XP_033143581.1, XP_018509525.1, XP_033143451.1
OG0000017	CARHR049310, CARHR034150	XP_033132628.1, XP_033134397.1, XP_033131911.1, XP_033137097.1, XP_033139322.1, XP_033144538.1, XP_033137868.1, XP_033131263.1, XP_033128364.1, XP_018511251.2, XP_018510172.2, XP_009144112.2, XP_033129018.1
OG0000019	CARHR218510	XP_033139376.1, XP_033144010.1, XP_018509279.1
OG0000019	CARHR259400	XP_033128807.1
