Orthogroup	Arabidopsis_lyrata_Rawat	Cardamine_hirsuta
OG0000000	AL3G23500, AL3G28120, AL7G39870	CARHR228880, CARHR142010
OG0000000	AL3G50410, AL47U10020	CARHR214930
OG0000000	AL396U10020, AL4G14390, AL4G39790, nbis-gene-231, AL8G17890, AL5G12810, AL6G49130	CARHR153350
OG0000007	AL9U10810	CARHR258710
OG0000007	AL1G53130	CARHR121710, CARHR180980, CARHR287750, CARHR115290, CARHR256390, CARHR262640, CARHR216870
OG0000007	AL4G24120	CARHR151410
OG0000007	AL5G15300	CARHR052510, CARHR024460, CARHR221620, CARHR060220, CARHR271650, CARHR286510, CARHR054390, CARHR099640, CARHR266880, CARHR029270, CARHR156020, CARHR055800, CARHR216040, CARHR051840
OG0000007	AL1G34010, AL8G16470, AL1G61810, AL6G29050, AL5G28660, AL7G43440, AL4G23130	CARHR032440, CARHR057030
OG0000008	AL3G23450	CARHR115010
OG0000008	AL5G32180	CARHR161340
OG0000008	AL5G32140, AL5G32150	CARHR161350
OG0000009	AL6G36520	CARHR145720
OG0000009	AL5G14390, AL5G21470	CARHR160220
OG0000009	AL3G41770	CARHR091740
OG0000009	AL8G42570	CARHR059740
OG0000009	AL1G62100	CARHR153540
OG0000011	AL6G32670	CARHR218510
OG0000015	AL8G27740, AL429U10010, AL792U10020, AL1G20970, AL8G24680, AL1G15850, AL3G46050, AL2G24310, AL1G29330, AL6G27260	CARHR110600
OG0000020	AL6G44340, AL6G44350, AL1G18490, AL5G20700, AL4G18270, AL4G19490, AL5G11530, AL6G46630	CARHR213120
OG0000022	AL6G27650	CARHR196550
OG0000022	AL2G18840, AL2G12810, AL2G13140, AL2G12820, AL2G13170, AL2G12830	CARHR048190
OG0000022	AL2G12470	CARHR051050, CARHR048810
OG0000022	AL2G13120	CARHR049170
OG0000022	AL2G13150, AL2G13130	CARHR048480, CARHR048800
OG0000022	AL2G11490	CARHR048440, CARHR047970
OG0000022	AL2G13070	CARHR049120
OG0000022	AL1G24190	CARHR013000
OG0000022	AL2G10190	CARHR046360
OG0000022	AL2G10200	CARHR046370
OG0000022	AL7G48260	CARHR213210
OG0000022	AL3G29640	CARHR091960
OG0000024	AL1G45590, nbis-gene-188	CARHR174240
OG0000024	AL1G47320, AL1G46270, AL1G46260	CARHR113190
OG0000024	AL1G45530	CARHR031540
OG0000024	AL3G45420, AL4G35160	CARHR062310
OG0000024	AL5G23680	CARHR167830
OG0000024	AL1G45210	CARHR030470, CARHR148710, CARHR030440, CARHR030410, CARHR045190
OG0000025	AL6G41860	CARHR288360
OG0000027	AL6G45930	CARHR255070
OG0000027	AL6G45970	CARHR255040
OG0000027	AL6G46000	CARHR255010, CARHR263990, CARHR255060, CARHR254990
OG0000027	AL7G30160	CARHR230510
OG0000027	AL7G30170	CARHR230500
OG0000027	AL7G30270	CARHR230400, CARHR230390
OG0000027	AL1G66280	CARHR254870
OG0000027	AL6G46070	CARHR254910, CARHR254920
OG0000027	AL7G30280	CARHR230300
OG0000027	AL7G30260	CARHR230440
OG0000028	AL7G42840	CARHR285330
OG0000028	AL2G24370	CARHR030080
OG0000028	AL8G29750	CARHR269260
OG0000028	AL8G29760	CARHR269250
OG0000028	AL8G30820, AL236U10020	CARHR268630
OG0000028	AL8G29950	CARHR267700
OG0000029	AL5G20350, AL3G41570	CARHR056480, CARHR153130
OG0000030	AL1G39630	CARHR025790
OG0000030	AL1G35700	CARHR162370
OG0000030	AL3G27510	CARHR260760, CARHR260790
OG0000030	AL5G29320, AL5G29310, AL5G29340	CARHR158520, CARHR158510, CARHR158530
OG0000030	AL3G24770	CARHR088860, CARHR095910, CARHR026350
OG0000030	AL5G24990	CARHR154640
OG0000032	AL4G17980	CARHR266460
OG0000034	AL7G30290	CARHR230270, CARHR230290
OG0000034	AL7G32680	CARHR228050, CARHR228010, CARHR228060, CARHR228080, CARHR228070
OG0000034	AL7G32670	CARHR289950
OG0000034	AL6G46030	CARHR255000
OG0000034	AL7G30310, AL7G30350	CARHR230230, CARHR230200
OG0000035	AL3G42660, AL4G33750, AL7G46520, AL6G43970	CARHR120350
OG0000035	AL7G43840	CARHR034790
OG0000038	AL2G20150, AL1G38790, AL3G17400	CARHR259820
OG0000042	AL3G44120, AL9U11580, AL2G38670, AL103U10010, AL8G23430, AL4G17850	CARHR260310
OG0000043	AL4G22400	CARHR220690
OG0000043	AL3G52960	CARHR104870
OG0000043	AL1G50770	CARHR098760
OG0000043	AL1G48950, AL5G15500	CARHR288090
OG0000043	AL4G18980	CARHR181910, CARHR111550, CARHR213150
OG0000043	AL1G50370	CARHR118730
OG0000043	AL8G19930	CARHR216370
OG0000044	AL8G11940	CARHR289560, CARHR289640, CARHR175800, CARHR175810, CARHR175170, CARHR175250
OG0000044	AL8G11910	CARHR175060
OG0000044	AL8G18480	CARHR116350
OG0000046	AL4G10770	CARHR159300, CARHR215510, CARHR037550, CARHR118760
OG0000046	AL5G16920, AL7G43910, AL3G42580	CARHR116100, CARHR183570, CARHR057390, CARHR107370
OG0000046	AL6G43460, AL8G24550, AL3G45110, AL3G45080, AL6G44180, AL8G21960, AL3G43290, AL1G51180, AL4G17640	CARHR159290
OG0000046	AL1G53510	CARHR150320
OG0000046	AL4G20190, AL3G44690, AL6G40760	CARHR273180, CARHR286710, CARHR217190
OG0000048	AL1G62520	CARHR261660, CARHR042940
OG0000048	AL2G14000, AL2G14020	CARHR126110
OG0000049	AL1G47310	CARHR220930
OG0000051	AL1G20340	CARHR002800
OG0000051	AL4G40940	CARHR137510
OG0000051	nbis-gene-988	CARHR109310
OG0000051	AL4G40960	CARHR137530
OG0000051	AL4G40920, AL4G40910, AL2G15770, AL4G40930	CARHR127280
OG0000051	AL4G41020	CARHR260850
OG0000052	AL1G65610	CARHR065210, CARHR065340
OG0000052	AL8G17190	CARHR162500
OG0000052	AL5G28950	CARHR157840
OG0000054	AL5G20230, AL2G17290	CARHR153240
OG0000055	nbis-gene-725, AL3G41130	CARHR100810, CARHR107470, CARHR177430, CARHR192030
OG0000055	AL3G30470	CARHR092560, CARHR092720
OG0000055	AL3G38080	CARHR094260
OG0000055	AL769U10010	CARHR107830, CARHR149830, CARHR108270
OG0000055	AL3G29670	CARHR092150, CARHR092000
OG0000055	AL4G21820	CARHR149840
OG0000055	AL3G53160, AL3G53140	CARHR111010
OG0000055	AL3G50860	CARHR108730, CARHR108330, CARHR108320, CARHR107820, CARHR108260, CARHR135370
OG0000055	AL3G30370	CARHR092630, CARHR092620, CARHR213520
OG0000056	AL2G14100	CARHR050320
OG0000056	AL2G13770	CARHR049970
OG0000056	AL2G13820	CARHR049990, CARHR050000
OG0000056	AL2G14070	CARHR050280, CARHR049980, CARHR050290
OG0000056	AL2G14080	CARHR050160
OG0000056	AL5G26170	CARHR155600
OG0000059	AL8G40920, AL7G34190, AL2G10380, AL1G59190	CARHR286550, CARHR102470, CARHR152130
OG0000060	AL5G34700	CARHR273260
OG0000061	AL1G55000, AL1G55020, AL1G54370, AL1G25040, AL1G25030	CARHR228580
OG0000061	AL1G54400	CARHR270010
OG0000061	nbis-gene-1510	CARHR039590
OG0000061	AL3G24690, AL1G35400, AL4G24650	CARHR123140
OG0000064	nbis-gene-1176, nbis-gene-2026, nbis-gene-926, nbis-gene-1175, nbis-gene-2028, nbis-gene-2027, nbis-gene-2044, nbis-gene-1, nbis-gene-2024, nbis-gene-2025, nbis-gene-2023	CARHR054420, CARHR289730, CARHR289690
OG0000065	AL2G25320, AL2G25210	CARHR059270, CARHR059250
OG0000065	AL2G25180, AL2G25200	CARHR059080
OG0000065	AL7G51420	CARHR263410
OG0000066	AL6G20900	CARHR202910, CARHR279310
OG0000066	AL6G20890	CARHR279320, CARHR202900, CARHR009160
OG0000066	AL2G35590, AL6G41640	CARHR068990
OG0000066	AL3G43470	CARHR058350, CARHR096450
OG0000066	AL6G21580	CARHR202310
OG0000068	AL6G12890, AL3G38420, AL6G12880, AL6G12910, AL6G12860, AL5G24850, AL6G12550	CARHR210190
OG0000068	AL6G18740	CARHR064230
OG0000069	AL1G16980	CARHR000960
OG0000069	AL8G26350	CARHR070150
OG0000070	AL1G20940	CARHR010350
OG0000070	AL3G47920, AL5G12840, AL5G12830	CARHR145510, CARHR145520, CARHR286680, CARHR145480, CARHR145500
OG0000070	AL4G11370, AL1G32980, AL2G24470	CARHR020650
OG0000070	AL2G35960	CARHR069500
OG0000070	AL8G19640	CARHR284690
OG0000070	AL7G16760	CARHR052170, CARHR288810
OG0000072	AL8G19360, AL8G19010	CARHR153090
OG0000072	AL3G47230	CARHR049910, CARHR219260, CARHR119870, CARHR260200
OG0000075	AL7G11590, AL8G23920	CARHR247180
OG0000075	nbis-gene-1691	CARHR247140
OG0000075	AL7G11690	CARHR247160
OG0000075	AL34U10100, AL8G22340	CARHR286190, CARHR286200, CARHR286160
OG0000075	AL34U10110, AL34U10130, AL8G22350	CARHR285960
OG0000076	AL7G10840	CARHR247830
OG0000076	AL4G29500	CARHR127180
OG0000077	AL8G13920	CARHR177280, CARHR112190
OG0000077	AL1G67300	CARHR054510
OG0000077	AL5G12970, AL5G12940	CARHR145640
OG0000077	AL1G20220	CARHR009640
OG0000078	AL3G13680	CARHR077950
OG0000078	AL6G29270, AL6G29210, AL6G29240, AL6G29180, AL6G29190	CARHR194990, CARHR195030, CARHR195060, CARHR195010
OG0000079	AL3G51940, AL1G57050, AL5G16890, AL1G58560, AL1G58670, AL4G20020, AL1G30000, AL5G27080, AL8G14210	CARHR180710, CARHR151670, CARHR119610
OG0000081	AL2G21910	CARHR217030
OG0000081	AL1G31420, AL8G29100, AL8G26420, AL6G33330	CARHR264280
OG0000086	AL7G53090	CARHR214810
OG0000086	AL8G39760	CARHR276580
OG0000086	nbis-gene-1912	CARHR272990
OG0000086	AL7G46850, AL7G46860	CARHR214830
OG0000086	AL7G53100	CARHR214840
OG0000086	AL7G49470	CARHR214870
OG0000086	AL2G24580	CARHR058600
OG0000089	AL6G35120	CARHR189700
OG0000089	AL5G25960	CARHR155480
OG0000089	AL4G24260	CARHR122890
OG0000089	AL6G23060	CARHR200860
OG0000089	AL8G15560	CARHR178800
OG0000089	AL7G33260	CARHR227450
OG0000089	AL4G30750	CARHR128920
OG0000089	AL1G32740	CARHR020480
OG0000089	AL2G35770	CARHR069200
OG0000091	AL5G26820	CARHR156270
OG0000091	AL5G26340, AL5G26330	CARHR156220, CARHR156240
OG0000091	AL6G32010	CARHR192340, CARHR192330
OG0000091	AL8G24400	CARHR262970
OG0000092	AL3G43310	CARHR216160
OG0000092	AL8G24810	CARHR293270
OG0000095	AL4G15500, AL4G18540	CARHR116960, CARHR117230, CARHR116990
OG0000095	AL4G18550	CARHR117020
OG0000095	nbis-gene-1002	CARHR116980, CARHR117870, CARHR117890
OG0000095	AL4G15600	CARHR116940
OG0000095	AL4G15550	CARHR117220
OG0000095	AL4G14510, AL4G14520	CARHR117860
OG0000096	AL4G22640	CARHR266870
OG0000096	AL3G41350, AL3G41330, AL3G41320, AL3G41340	CARHR084920
OG0000096	AL3G31600, AL3G31620, AL3G31610, AL439U10010, AL3G32310, AL3G32820, AL3G50560	CARHR093690
OG0000096	AL3G31580	CARHR094810, CARHR094850, CARHR094860, CARHR094840
OG0000096	AL3G32300	CARHR092810
OG0000096	AL3G22030	CARHR159090, CARHR101800, CARHR101790, CARHR120380
OG0000098	AL2G26330	CARHR046250
OG0000098	AL1G41020, AL1G41000, AL1G41010, AL1G40990	CARHR174970
OG0000100	AL2G11210	CARHR047460, CARHR047540
OG0000100	AL1G66260	CARHR055030
OG0000100	AL2G11380	CARHR047580, CARHR047440, CARHR261260, CARHR047450
OG0000100	AL2G14410	CARHR047060
OG0000100	AL2G11200	CARHR047100
OG0000101	AL26U10050, AL3G41030	CARHR176810, CARHR287350, CARHR006250, CARHR183060, CARHR099970, CARHR036950
OG0000102	AL6G49090, AL320U10020	CARHR252050, CARHR252070, CARHR252100
OG0000102	AL9U10550	CARHR252110, CARHR252090
OG0000106	AL6G40690	CARHR183910, CARHR055550
OG0000107	AL3G33810	CARHR095660
OG0000107	AL3G33780	CARHR095650
OG0000107	AL3G33770	CARHR095640
OG0000107	AL3G33760	CARHR095610
OG0000107	AL3G34900	CARHR096820, CARHR096830
OG0000107	AL3G33830, AL3G42780	CARHR097220, CARHR095680, CARHR095690, CARHR095670
OG0000108	AL4G34130	CARHR131960
OG0000108	AL5G25390, AL8G35810	CARHR285740
OG0000108	AL3G23740	CARHR086670
