Orthogroup	Cardamine_hirsuta	Arabis_alpina
OG0000007	CARHR128840, CARHR216900, CARHR184100, CARHR117490, CARHR293410	Aa_G711210.h1.t1
OG0000007	CARHR055800, CARHR216040, CARHR051840	Aa_G596260.h1.t1
OG0000007	CARHR032440, CARHR057030	Aa_G437570.h1.t1
OG0000008	CARHR102600	Aa_G426070.h1.t1
OG0000008	CARHR161310, CARHR161290, CARHR161300, CARHR161340, CARHR161350	Aa_G302250.h1.t1
OG0000009	CARHR077050, CARHR056420, CARHR034120	Aa_G430190.h1.t1
OG0000011	CARHR218510	Aa_G396980.h1.t1
OG0000012	CARHR130420, CARHR032720, CARHR190160, CARHR032710	Aa_G57270.h1.t1, Aa_G57260.h1.t1, Aa_G57300.h1.t1, Aa_G57280.h1.t1
OG0000015	CARHR258200, CARHR258330	Aa_G962140.h1.t1
OG0000015	CARHR110600	Aa_G522550.h1.t1
OG0000020	CARHR113350, CARHR034150, CARHR049310	Aa_G135640.h1.t1
OG0000022	CARHR196550	Aa_G447870.h1.t1
OG0000022	CARHR048820, CARHR051020, CARHR048770	Aa_G830960.h1.t1
OG0000022	CARHR048220	Aa_G319760.h1.t1, Aa_G683730.h1.t1
OG0000022	CARHR213210, CARHR091960	Aa_G97120.h1.t1
OG0000024	CARHR030400	Aa_G565560.h1.t1, Aa_G381220.h1.t1
OG0000024	CARHR030460, CARHR030420, CARHR031230, CARHR030890, CARHR126510, CARHR030870, CARHR116780	Aa_G737030.h1.t1, Aa_G731070.h1.t1
OG0000024	CARHR168020, CARHR167830	Aa_G565550.h1.t1, Aa_G614530.h1.t1, Aa_G511000.h1.t1, Aa_G14060.h1.t1
OG0000024	CARHR030470, CARHR148710, CARHR030440, CARHR030410, CARHR045190	Aa_G230140.h1.t1
OG0000025	CARHR288360	Aa_G387540.h1.t1
OG0000026	CARHR104160	Aa_G283920.h1.t1, Aa_G56940.h1.t1, Aa_G262080.h1.t1
OG0000027	CARHR057450, CARHR230660, CARHR230630, CARHR230470, CARHR230480, CARHR230460, CARHR230450	Aa_G200970.h1.t1
OG0000027	CARHR230500	Aa_G92870.h1.t1, Aa_G92760.h1.t1, Aa_G494730.h1.t1
OG0000027	CARHR230410	Aa_G200950.h1.t1, Aa_G200910.h1.t1
OG0000027	CARHR230400, CARHR230390	Aa_G200900.h1.t1
OG0000027	CARHR254870	Aa_G597270.h1.t1
OG0000027	CARHR055330	Aa_G191740.h1.t1
OG0000028	CARHR267510, CARHR281550, CARHR242960, CARHR104940, CARHR028790, CARHR285330, CARHR220000, CARHR100780	Aa_G687010.h2.t1, Aa_G687010.h3.t1, Aa_G687010.h1.t1, Aa_G687040.h1.t1, Aa_G604290.h1.t1, Aa_G604300.h1.t1
OG0000028	CARHR267690, CARHR242050, CARHR244240, CARHR242060, CARHR028780, CARHR203520, CARHR281120, CARHR030060, CARHR267830	Aa_G123410.h1.t1, Aa_G71570.h1.t1, Aa_G123400.h1.t1
OG0000028	CARHR267840, CARHR267700	Aa_G553200.h1.t1
OG0000029	CARHR116610, CARHR153140	Aa_G288600.h1.t1, Aa_G637980.h1.t1, Aa_G988890.h1.t1
OG0000030	CARHR158520, CARHR158510, CARHR158530	Aa_G522160.h1.t1, Aa_G425920.h1.t1, Aa_G89020.h1.t1
OG0000030	CARHR088860, CARHR095910, CARHR026350	Aa_G152820.h1.t1
OG0000032	CARHR287070, CARHR115000, CARHR258320, CARHR152520, CARHR154280, CARHR217870, CARHR103550, CARHR183020, CARHR149880	Aa_G209100.h1.t1
OG0000034	CARHR230270, CARHR230290	Aa_G782810.h1.t1, Aa_G619140.h1.t1
OG0000034	CARHR055320, CARHR230240	Aa_G191730.h1.t1
OG0000034	CARHR228000	Aa_G317970.h1.t1
OG0000034	CARHR228050, CARHR228010, CARHR228060, CARHR228080, CARHR228070	Aa_G58870.h2.t1, Aa_G58870.h1.t1, Aa_G58900.h1.t1, Aa_G58880.h1.t1, Aa_G58910.h1.t1, Aa_G317980.h1.t1
OG0000034	CARHR289950	Aa_G58920.h1.t1
OG0000034	CARHR255000	Aa_G522590.h1.t1
OG0000034	CARHR230360	Aa_G917140.h1.t1
OG0000034	CARHR230230, CARHR230200	Aa_G191690.h1.t1
OG0000034	CARHR230540, CARHR230590, CARHR230570, CARHR230620, CARHR230650	Aa_G92800.h1.t1
OG0000035	CARHR034500, CARHR120350, CARHR104490	Aa_G7660.h1.t1, Aa_G44290.h1.t1
OG0000044	CARHR116340, CARHR036550	Aa_G685510.h1.t1
OG0000044	CARHR223510	Aa_G639660.h1.t1
OG0000044	CARHR175160	Aa_G208050.h1.t1
OG0000044	CARHR116350	Aa_G208060.h1.t1
OG0000044	CARHR116330	Aa_G791970.h1.t1
OG0000044	CARHR223530	Aa_G295890.h1.t1, Aa_G565780.h1.t1, Aa_G369060.h1.t1, Aa_G295880.h1.t1, Aa_G645470.h1.t1
OG0000046	CARHR117470	Aa_G675110.h1.t1
OG0000047	CARHR257880	Aa_G631350.h1.t1
OG0000048	CARHR054750	Aa_G20510.h1.t1
OG0000048	CARHR261660, CARHR042940	Aa_G7360.h1.t1, Aa_G393810.h1.t1, Aa_G274300.h1.t1
OG0000048	CARHR125110	Aa_G584300.h1.t1
OG0000048	CARHR125800	Aa_G312310.h1.t1
OG0000048	CARHR207670	Aa_G43710.h1.t1
OG0000050	CARHR071180, CARHR153550	Aa_G263310.h1.t1, Aa_G634370.h1.t1, Aa_G7430.h1.t1
OG0000051	CARHR002800	Aa_G217710.h1.t1, Aa_G818500.h2.t1, Aa_G818500.h1.t1, Aa_G18920.h1.t1
OG0000051	CARHR109310	Aa_G592860.h1.t1
OG0000051	CARHR127280	Aa_G599340.h1.t1
OG0000051	CARHR260850	Aa_G271540.h1.t1
OG0000052	CARHR278910, CARHR148040	Aa_G696490.h1.t1
OG0000052	CARHR162490	Aa_G521750.h1.t1
OG0000052	CARHR162520	Aa_G521780.h1.t1
OG0000052	CARHR162530, CARHR292090	Aa_G61380.h1.t1
OG0000055	CARHR094260, CARHR107830, CARHR149830, CARHR108270	Aa_G659190.h1.t1
OG0000055	CARHR149840	Aa_G5070.h1.t1
OG0000056	CARHR050320	Aa_G534290.h1.t1
OG0000056	CARHR050310	Aa_G615080.h1.t1
OG0000056	CARHR050280, CARHR049980, CARHR050290, CARHR050160	Aa_G643840.h1.t1, Aa_G487430.h1.t1, Aa_G594110.h1.t1, Aa_G488310.h1.t1, Aa_G643830.h1.t1, Aa_G594100.h1.t1
OG0000056	CARHR155600	Aa_G162440.h1.t1
OG0000060	CARHR007630	Aa_G257700.h7.t1
OG0000060	CARHR273260	Aa_G257700.h6.t1
OG0000060	CARHR273610	Aa_G805160.h1.t1, Aa_G781680.h1.t1, Aa_G781680.h2.t1
OG0000060	CARHR132050	Aa_G550780.h7.t1
OG0000060	CARHR154290	Aa_G197130.h3.t1
OG0000060	CARHR163630	Aa_G550780.h6.t1
OG0000060	CARHR154770	Aa_G318860.h7.t1
OG0000061	CARHR228580	Aa_G496010.h1.t1, Aa_G380720.h1.t1
OG0000065	CARHR214320	Aa_G369740.h1.t1
OG0000065	CARHR059090, CARHR059230, CARHR059320, CARHR124320, CARHR059260, CARHR059160, CARHR059130, CARHR059070, CARHR059140, CARHR059270, CARHR059250, CARHR059080, CARHR059150, CARHR059360, CARHR263420	Aa_G756440.h1.t1, Aa_G190950.h1.t1
OG0000065	CARHR214430, CARHR214400	Aa_G439610.h1.t1
OG0000065	CARHR263400	Aa_G120780.h1.t1, Aa_G120790.h1.t1, Aa_G508110.h1.t1
OG0000066	CARHR202910, CARHR279310, CARHR279320, CARHR202900, CARHR009160	Aa_G159180.h1.t1, Aa_G19080.h5.t1, Aa_G37410.h1.t1, Aa_G37430.h4.t1, Aa_G159180.h4.t1, Aa_G19080.h2.t1, Aa_G159190.h3.t1, Aa_G159180.h2.t1, Aa_G37410.h4.t1, Aa_G37430.h3.t1, Aa_G159180.h5.t1, Aa_G159180.h3.t1, Aa_G159190.h4.t1, Aa_G37410.h2.t1, Aa_G159190.h2.t1, Aa_G159190.h5.t1, Aa_G19080.h3.t1, Aa_G37430.h2.t1, Aa_G37430.h5.t1, Aa_G37410.h3.t1, Aa_G19080.h4.t1, Aa_G37410.h5.t1, Aa_G159190.h1.t1, Aa_G37430.h1.t1, Aa_G19080.h1.t1
OG0000066	CARHR058350, CARHR096450	Aa_G266510.h1.t1, Aa_G586620.h1.t1, Aa_G155110.h1.t1
OG0000066	CARHR202310	Aa_G64790.h4.t1, Aa_G64790.h1.t1, Aa_G503380.h2.t1, Aa_G432280.h2.t1, Aa_G503390.h4.t1, Aa_G64790.h2.t1, Aa_G64790.h3.t1, Aa_G432280.h3.t1, Aa_G503390.h1.t1, Aa_G503380.h4.t1, Aa_G432280.h4.t1, Aa_G503390.h2.t1, Aa_G503380.h3.t1, Aa_G432280.h1.t1, Aa_G503380.h1.t1, Aa_G503390.h3.t1, Aa_G486090.h1.t1
OG0000068	CARHR210960	Aa_G484940.h1.t1, Aa_G389030.h1.t1
OG0000068	CARHR064230	Aa_G416390.h1.t1, Aa_G47520.h1.t1, Aa_G185620.h1.t1, Aa_G170400.h1.t1
OG0000070	CARHR010350	Aa_G349430.h1.t1, Aa_G171980.h1.t1, Aa_G171960.h1.t1, Aa_G171970.h1.t1, Aa_G171940.h1.t1, Aa_G171950.h1.t1
OG0000070	CARHR020650	Aa_G433160.h1.t1, Aa_G266320.h1.t1
OG0000070	CARHR069500	Aa_G410840.h1.t1
OG0000070	CARHR052170, CARHR288810	Aa_G614230.h1.t1
OG0000072	CARHR049910, CARHR219260, CARHR119870, CARHR260200	Aa_G505780.h1.t1
OG0000075	CARHR247180	Aa_G374860.h1.t1, Aa_G374850.h1.t1
OG0000075	CARHR247160	Aa_G136250.h1.t1
OG0000075	CARHR285960	Aa_G545910.h1.t1
OG0000076	CARHR247830	Aa_G137810.h1.t1
OG0000077	CARHR176890, CARHR177190, CARHR158180	Aa_G636230.h1.t1
OG0000077	CARHR288740, CARHR145630	Aa_G683270.h1.t1
OG0000077	CARHR009640	Aa_G160980.h1.t1
OG0000078	CARHR077930	Aa_G339740.h1.t1
OG0000078	CARHR077950	Aa_G339750.h1.t1, Aa_G339690.h1.t1, Aa_G438190.h1.t1, Aa_G759390.h1.t1
OG0000078	CARHR077940	Aa_G339720.h1.t1
OG0000078	CARHR077910	Aa_G339700.h1.t1, Aa_G759400.h1.t1, Aa_G438200.h1.t1
OG0000086	CARHR214810	Aa_G108450.h1.t1
OG0000086	CARHR214870, CARHR214790, CARHR214760, CARHR058600, CARHR058690, CARHR058660, CARHR058640, CARHR058680	Aa_G703520.h1.t1
OG0000089	CARHR189700	Aa_G630880.h1.t1
OG0000089	CARHR155480	Aa_G409550.h1.t1, Aa_G88860.h1.t1
OG0000089	CARHR122890	Aa_G199760.h1.t1
OG0000089	CARHR200860	Aa_G256660.h1.t1
OG0000089	CARHR178800	Aa_G103150.h1.t1
OG0000089	CARHR227450	Aa_G580380.h1.t1
OG0000089	CARHR128920	Aa_G562810.h1.t1
OG0000089	CARHR020480, CARHR069200	Aa_G656110.h1.t1
OG0000091	CARHR156220	Aa_G123680.h1.t1, Aa_G100910.h1.t1
OG0000091	CARHR192340, CARHR192330	Aa_G15590.h1.t1
OG0000091	CARHR262970	Aa_G15570.h1.t1
OG0000092	CARHR225740	Aa_G542470.h1.t1
OG0000095	CARHR117030	Aa_G54460.h1.t1
