Orthogroup	Brassica_oleracea	Arabidopsis_lyrata_NCBI
OG0000000	XP_013639285.1, XP_013616974.1	XP_020887823.1
OG0000000	XP_013631219.1	XP_020890704.1, XP_020869115.1
OG0000000	XP_013639798.1	XP_020887909.1
OG0000000	XP_013594889.1	XP_020883444.1
OG0000000	XP_013599200.1, XP_013607275.1, XP_013601459.1, XP_013624458.1, XP_013633199.1	XP_020872418.1, XP_020889487.1
OG0000000	XP_013624757.1, XP_013608522.1	XP_020890732.1
OG0000000	XP_013617633.1	XP_020874113.1
OG0000003	XP_013594483.1, XP_013632484.1	XP_020881895.1
OG0000003	XP_013589325.1, XP_013589254.1, XP_013614571.1, XP_013624212.1, XP_013633333.1, XP_013624315.1, XP_013588987.1, XP_013583277.1, XP_013607765.1, XP_013601688.1, XP_013617795.1, XP_013601139.1	XP_020889841.1
OG0000003	XP_013624580.1	XP_020887717.1
OG0000004	XP_013588715.1	XP_020866272.1, XP_020871264.1, XP_020886308.1, XP_020882759.1, XP_020875043.1, XP_020881970.1, XP_020889966.1, XP_020875528.1, XP_020871434.1, XP_020869121.1, XP_020871489.1, XP_020869697.1
OG0000004	XP_013608377.1, XP_013620525.1, XP_013639090.1, XP_013617768.1, XP_013634238.1, XP_013594179.1, XP_013594371.1, XP_013595201.1, XP_013602945.1, XP_013601532.1, XP_013623778.1, XP_013607655.1	XP_020880754.1, XP_020873125.1, XP_020887737.1
OG0000004	XP_013639281.1	XP_020886399.1
OG0000004	XP_013608060.1, XP_013632935.1, XP_013632641.1, XP_013624469.1, XP_013614693.1	XP_020878681.1
OG0000004	XP_013601294.1	XP_020865758.1
OG0000005	XP_013601863.1	XP_020877200.1
OG0000005	XP_013639428.1, XP_013607867.1, XP_013615207.1, XP_013632538.1, XP_013624806.1, XP_013589160.1, XP_013589558.1, XP_013615216.1	XP_020872641.1, XP_020866154.1, XP_020872381.1, XP_020877193.1
OG0000005	XP_013633002.1, XP_013624018.1, XP_013624595.1, XP_013624390.1, XP_013601099.1, XP_013624698.1, XP_013601267.1, XP_013624493.1, XP_013607686.1, XP_013589115.1, XP_013632587.1, XP_013617697.1, XP_013617299.1, XP_013624966.1, XP_013601292.1, XP_013615213.1, XP_013627530.1, XP_013589557.1, XP_013632989.1, XP_013594796.1, XP_013624327.1	XP_020871957.1, XP_020866342.1, XP_020887113.1
OG0000005	XP_013624602.1	XP_020874036.1
OG0000007	XP_013634604.1, XP_013617289.1	XP_020870157.1, XP_020870555.1
OG0000007	XP_013601610.1, XP_013595036.1	XP_020873755.1, XP_020876409.1, XP_020866331.1, XP_020872053.1, XP_020879940.1, XP_020872382.1
OG0000007	XP_013632862.1, XP_013639373.1	XP_020871008.1
OG0000007	XP_013595054.1, XP_013617368.1, XP_013589618.1	XP_020880934.1
OG0000007	XP_013607658.1	XP_020866419.1
OG0000008	XP_013624621.1, XP_013639785.1	XP_020876690.1, XP_020867861.1
OG0000008	XP_013601615.1	XP_020881885.1, XP_020881611.1, XP_020881699.1, XP_020881700.1
OG0000009	XP_013616938.1, XP_013608210.1	XP_020887659.1
OG0000009	XP_013617184.1, XP_013595190.1	XP_020883429.1
OG0000009	XP_013633284.1, XP_013589640.1, XP_013617979.1, XP_013608540.1, XP_013595158.1, XP_013589654.1, XP_013601782.1, XP_013588992.1, XP_013633488.1	XP_020877155.1, XP_020876055.1
OG0000009	XP_013616789.1, XP_013617492.1, XP_013624812.1, XP_013607654.1, XP_013615193.1, XP_013583289.1, XP_013617990.1, XP_013633184.1	XP_020881689.1
OG0000009	XP_013639216.1, XP_013589238.1, XP_013589005.1, XP_013608331.1, XP_013589604.1, XP_013595149.1, XP_013639361.1, XP_013601764.1	XP_020882780.1
OG0000009	XP_013616754.1, XP_013615524.1	XP_020867197.1
OG0000011	XP_013617429.1	XP_020881814.1, XP_020878850.1
OG0000011	XP_013586656.1, XP_013616817.1, XP_013639582.1	XP_020873638.1
OG0000011	XP_013627832.1, XP_013615711.1	XP_020878589.1, XP_020869090.1
OG0000011	XP_013601186.1, XP_013594913.1, XP_013639515.1, XP_013601179.1	XP_020872379.1, XP_020877201.1, XP_020879405.1, XP_020871455.1
OG0000011	XP_013615397.1	XP_020881858.1
OG0000011	XP_013622528.1	XP_020885819.1, XP_020866216.1
OG0000011	XP_013589498.1, XP_013632628.1, XP_013633248.1	XP_020875848.1
OG0000012	XP_013639372.1, XP_013624793.1, XP_013613506.1, XP_013623455.1, XP_013626439.1, XP_013611088.1, XP_013612972.1, XP_013594278.1, XP_013608173.1, XP_013617074.1, XP_013632853.1, XP_013632664.1, XP_013583440.1, XP_013608356.1, XP_013594808.1, XP_013632621.1, XP_013624069.1, XP_013589134.1, XP_013617725.1, XP_013617879.1, XP_013632620.1, XP_013589147.1, XP_013594932.1, XP_013607434.1, XP_013632771.1, XP_013632776.1, XP_013633419.1, XP_013584775.1, XP_013608370.1, XP_013589462.1, XP_013631748.1, XP_013601625.1, XP_013624348.1, XP_013639143.1, XP_013608057.1, XP_013624389.1, XP_013617337.1, XP_013623757.1, XP_013617763.1, XP_013632469.1, XP_013617104.1, XP_013624952.1	XP_020871500.1
OG0000020	XP_013624038.1, XP_013608147.1	XP_020873825.1, XP_020878844.1, XP_020877054.1, XP_020869021.1, XP_020872420.1, XP_020884768.1
OG0000021	XP_013608094.1, XP_013632801.1, XP_013599600.1, XP_013589650.1, XP_013633047.1, XP_013613761.1, XP_013639394.1, XP_013601657.1, XP_013615573.1, XP_013608056.1, XP_013583415.1, XP_013624628.1	XP_020872563.1, XP_020870832.1, XP_020872717.1, XP_020874922.1, XP_020879645.1, XP_020889705.1, XP_020876177.1, XP_020889912.1, XP_020882641.1, XP_020879663.1, XP_020876808.1, XP_020879537.1, XP_020888861.1, XP_020872277.1, XP_020871456.1, XP_020872555.1, XP_020886835.1, XP_020867207.1, XP_020876809.1, XP_020887754.1, XP_020885800.1, XP_020871592.1, XP_020879735.1, XP_020879721.1, XP_020887591.1, XP_020885208.1, XP_020885137.1, XP_020886953.1, XP_020886960.1, XP_020890910.1, XP_020885657.1
OG0000021	XP_013594507.1, XP_013631302.1	XP_020879723.1
OG0000022	XP_013590021.1	XP_020873422.1
OG0000022	XP_013611057.1	XP_020878202.1
OG0000022	XP_013606456.1	XP_002886462.1
OG0000022	XP_013606166.1	XP_020890773.1
OG0000022	XP_013601047.1	XP_020869509.1
OG0000022	XP_013601836.1, XP_013605059.1, XP_013600826.1, XP_013605038.1, XP_013605927.1, XP_013600508.1, XP_013601046.1, XP_013599992.1	XP_020869508.1, XP_020870927.1
OG0000022	XP_013603447.1	XP_020869233.1
OG0000022	XP_013635968.1	XP_002868609.1
OG0000022	XP_013609571.1	XP_002883021.2
OG0000023	XP_013624598.1	XP_020871051.1
OG0000023	XP_013630282.1, XP_013633092.1	XP_020885189.1
OG0000023	XP_013632474.1	XP_020874097.1
OG0000023	XP_013617615.1, XP_013631991.1	XP_020876901.1
OG0000023	XP_013608012.1	XP_020881510.1, XP_020874804.1, XP_020872198.1
OG0000023	XP_013620254.1	XP_020888558.1
OG0000023	XP_013624411.1	XP_020874042.1
OG0000023	XP_013639572.1	XP_020875073.1
OG0000024	XP_013632478.1	XP_020888987.1
OG0000024	XP_013605203.1	XP_002875716.2
OG0000024	XP_013624897.1	XP_002893654.2
OG0000025	XP_013617956.1	XP_020877486.1, XP_020889652.1
