Noccaea_praecox	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
Np001G000010	1262	AT5G65930.3	AT5G65930.3	orthologue	GO:0001578;GO:0003777;GO:0019901;GO:0051015;GO:0008017;GO:0005515;GO:0010091;GO:0043622;GO:0048629;GO:0016887;GO:0005874;GO:0008569;GO:0007018;GO:0005737;GO:0009846;GO:0055028;GO:0005856;GO:0009524;GO:0005516;GO:0005871;GO:0072686;GO:0016491;GO:0042803;GO:0005509;GO:0005524;GO:0043531;GO:0003824	Kinesin-like calmodulin-binding protein;Kinesin-like protein KIN-14E (Kinesin-like calmodulin-binding protein) (Protein ZWICHEL)
Np001G000020	395	AT5G65940.1	AT5G65940.1	orthologue	GO:0006635;GO:0009733;GO:0003860;GO:0006574;GO:0009409;GO:0005739;GO:0009536;GO:0005777	3-hydroxyisobutyryl-CoA hydrolase 1 (EC 3.1.2.-) (EC 3.1.2.4) (CoA-thioester hydrolase CHY1)
Np001G000030	79					
Np001G000040	1188	AT5G65950.1	AT5G65950.1	orthologue	GO:0005634;GO:0009536;GO:0006895;GO:0005829;GO:0003674	Trafficking protein particle complex subunit-like protein
Np001G000070	404	AT5G65960.1	AT5G65960.1	orthologue	GO:0005525;GO:0005634;GO:0003924	GTP binding protein
Np001G000080	395	AT5G65980.1	AT5G65980.1	orthologue	GO:0009733;GO:0005789;GO:0080162;GO:0003674;GO:0009734;GO:0016020;GO:0055085	Auxin efflux carrier family protein;Protein PIN-LIKES 7 (Auxin efflux carrier-like protein 7)
Np001G000090	420	AT5G65990.1	AT5G65990.1	orthologue	GO:0015175;GO:0003333;GO:0005774;GO:0015179;GO:0015801;GO:0015171;GO:0015804;GO:0015173;GO:0016020	Amino acid transporter AVT3A (AtAvt3A) (Aromatic and neutral amino acid transporter-like protein 3)
Np001G000100	168	AT5G66000.1	AT5G66000.1	orthologue	GO:0008150;GO:0005634;GO:0003674	Uncharacterized protein At5g66000
Np001G000110	258	AT5G66010.1	AT5G66010.1	orthologue	GO:0003674;GO:0005634;GO:0008150;GO:1990904;GO:0003723;GO:0003676	RNA-binding (RRM/RBD/RNP motifs) family protein
Np001G000120	251	AT5G66010.1	AT5G66010.1	orthologue	GO:0003674;GO:0005634;GO:0008150;GO:1990904;GO:0003723;GO:0003676	RNA-binding (RRM/RBD/RNP motifs) family protein
Np001G000130	589	AT5G66020.1	AT5G66020.1	orthologue	GO:0016791;GO:0009651;GO:0046856;GO:0005739;GO:0005783;GO:0043812;GO:0005789	Phosphoinositide phosphatase SAC6 (AtSAC6) (EC 3.1.3.-) (Protein IMPAIRED IN BABA-INDUCED STERILITY 2) (Protein SUPPRESSOR OF ACTIN 1B) (AtSAC1b) (Protein SUPPRESSOR OF ACTIN 6) (SAC domain protein 6) (SAC1-like protein AtSAC1b)
Np001G000140	793	AT5G66030.1	AT5G66030.1	orthologue	GO:0005802;GO:0048193;GO:0005737;GO:0007131;GO:0005515	Golgi-localized GRIP domain-containing protein;Protein GRIP (AtGRIP)
Np001G000150	123	AT5G66040.1	AT5G66040.1	other	GO:0005829;GO:0009507;GO:0009536;GO:0004792	Sulfurtransferase protein 16;Thiosulfate sulfurtransferase 16, chloroplastic (EC 2.8.1.1) (Rhodanese) (Senescence-associated protein) (Sulfurtransferase 16) (AtStr16)
Np001G000160	92	AT2G20890.1	AT2G20890.1	other	GO:0009570;GO:0050829;GO:0072597;GO:0009532;GO:0009528;GO:0009941;GO:1903426;GO:0009535;GO:0009507;GO:0005515;GO:0045038;GO:0010207;GO:0009527;GO:0009534;GO:2000070;GO:0010319;GO:0015996;GO:1902458;GO:0010182;GO:0005739;GO:0010027;GO:0007186;GO:0045037;GO:0009707	Protein THYLAKOID FORMATION 1, chloroplastic
Np001G000170	343	AT5G66050.1	AT5G66050.1	orthologue	GO:0016567;GO:0003674;GO:0005634;GO:0030891;GO:0004518	Wound-responsive family protein
Np001G000180	423	AT5G66055.1	AT5G66055.1	orthologue	GO:0009707;GO:0009793;GO:0009507;GO:0030941;GO:0005634;GO:0005515;GO:0045036;GO:0140693	Ankyrin repeat domain-containing protein, chloroplastic (AKRP) (Protein EMBRYO DEFECTIVE 2036)
Np001G000190	289	AT5G66060.1	AT5G66060.1	orthologue	GO:0000137;GO:0016705;GO:0005783;GO:0031418;GO:0005506;GO:0004656;GO:0005789;GO:0051213;GO:0018401	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein;Probable prolyl 4-hydroxylase 10 (AtP4H10) (EC 1.14.11.2)
Np001G000200	222	AT5G66070.2	AT5G66070.2	orthologue	GO:0061630;GO:0009788;GO:0005886;GO:0005634;GO:0006952;GO:0008270;GO:0016020	NEP1-interacting protein-like 1 (RING-H2 finger protein ATL27);RING/U-box superfamily protein
Np001G000210	388	AT5G66080.1	AT5G66080.1	orthologue	GO:1900036;GO:0005515;GO:0005886;GO:1902531;GO:0004722;GO:0009507;GO:0017018;GO:0046872;GO:0043169;GO:0006470	Probable protein phosphatase 2C 79 (AtPP2C79) (EC 3.1.3.16);Protein phosphatase 2C family protein
Np001G000220	204	AT5G66090.1	AT5G66090.1	orthologue	GO:0009507;GO:0009570;GO:0003674	Cell wall integrity/stress response component
Np001G000230	438	AT5G66100.1	AT5G66100.1	orthologue	GO:0010150;GO:0003729;GO:0005634;GO:0009507;GO:0003677;GO:0005737;GO:0003723;GO:0005844	La-related protein 1B (AtLARP1b);Winged-helix DNA-binding transcription factor family protein
Np001G000240	148	AT5G66110.1	AT5G66110.1	orthologue	GO:0009624;GO:0005737;GO:0005515;GO:0005886;GO:0046872	Heavy metal transport/detoxification superfamily protein;Heavy metal-associated isoprenylated plant protein 27 (AtHIP27) (AtHIPP27)
Np001G000250	85					
Np001G000260	442	AT5G66120.2	AT5G66120.2	orthologue	GO:0009570;GO:0005737;GO:0003856;GO:0005802;GO:0009507;GO:0009073;GO:0009423;GO:0005794;GO:0005768;GO:0008652;GO:0046872	3-dehydroquinate synthase, chloroplastic (EC 4.2.3.4)
Np001G000270	596	AT5G66130.1	AT5G66130.1	orthologue	GO:0006282;GO:0031347;GO:0006281;GO:0033314;GO:0000077;GO:0003689;GO:0005634;GO:0005515;GO:0003682;GO:0005524;GO:0006952	Cell cycle checkpoint protein RAD17 (AtRAD17) (Radiation-sensitive protein 17);RADIATION SENSITIVE 17
Np001G000280	250	AT5G66140.1	AT5G66140.1	orthologue	GO:0006511;GO:0043161;GO:0005839;GO:0019773;GO:0009536;GO:0005773;GO:0000502;GO:0003674;GO:0005634;GO:0051603	Proteasome subunit alpha type-7-B (20S proteasome alpha subunit D-2) (Proteasome component 6B) (Proteasome component 6C) (Proteasome subunit alpha type-4)
Np001G000290	1028	AT5G66150.1	AT5G66150.1	orthologue	GO:0006013;GO:0004559;GO:0030246;GO:0005576;GO:0005773;GO:0046872;GO:0003824;GO:0005975	Alpha-mannosidase (EC 3.2.1.-);Glycosyl hydrolase family 38 protein;Probable alpha-mannosidase At5g66150 (EC 3.2.1.24)
Np001G000300	328	AT5G66160.1	AT5G66160.1	orthologue	GO:0006511;GO:0000976;GO:0005802;GO:0005783;GO:0006886;GO:0005576;GO:0005515;GO:0061630;GO:0005770;GO:0005737;GO:0000139;GO:0008270;GO:0032586;GO:0012505;GO:0015031	Receptor homology region transmembrane domain ring H2 motif protein 1;Receptor homology region, transmembrane domain- and RING domain-containing protein 1 (AtRMR1) (ReMembR-H2 protein JR700)
Np001G000310	135	AT5G66170.2	AT5G66170.2	orthologue	GO:0003824;GO:0009507;GO:0005737;GO:0004792;GO:0005634	Sulfurtransferase 18;Thiosulfate sulfurtransferase 18 (EC 2.8.1.1) (Sulfurtransferase 18) (AtStr18)
Np001G000320	394	AT5G66180.1	AT5G66180.1	orthologue	GO:0005634;GO:0008173;GO:0001510;GO:0003723;GO:0008168	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Np001G000330	362	AT5G66190.1	AT5G66190.1	orthologue	GO:0009941;GO:0009536;GO:0022900;GO:0009535;GO:0009570;GO:0098807;GO:1901463;GO:0005515;GO:0009579;GO:0009534;GO:0009767;GO:0009507;GO:0045156;GO:0048046;GO:0031977;GO:0004324;GO:0009055;GO:0045157;GO:0003959;GO:0008266;GO:0019904;GO:0015979;GO:0016491	Ferredoxin--NADP reductase, chloroplastic (FNR) (EC 1.18.1.2);Ferredoxin--NADP reductase, leaf isozyme 1, chloroplastic (EC 1.18.1.2) (Leaf FNR 1) (AtLFNR1) (FNR-1)
Np001G000340	652	AT5G66200.1	AT5G66200.1	orthologue	GO:0005886;GO:0007166;GO:0005737;GO:0003674;GO:0005515	Armadillo repeat only 2
Np001G000350	531	AT5G66210.1	AT5G66210.1	orthologue	GO:0005516;GO:0005886;GO:0009931;GO:0004674;GO:0004683;GO:0004722;GO:2000032;GO:0005634;GO:0005737;GO:0005509;GO:1900425;GO:0006468;GO:0005515;GO:0035556;GO:0005524;GO:0006952;GO:0106310;GO:0004672	Calcium-dependent protein kinase 28 (EC 2.7.11.1);non-specific serine/threonine protein kinase (EC 2.7.11.1)
Np001G000380	171	AT5G66230.2	AT5G66230.2	orthologue	GO:0009507;GO:0016872;GO:0016853	At5g66230 (Chalcone-flavanone isomerase family protein) (Emb|CAB62645.1);Chalcone-flavonone isomerase family protein
Np001G000390	88					
Np001G000400	332	AT5G66240.2	AT5G66240.2	orthologue	GO:0009827;GO:0005634;GO:0048188;GO:0005737;GO:0003682;GO:0080008;GO:0005515;GO:0006353;GO:0016070	AT5G66240 protein (Transducin/WD40 repeat-like superfamily protein) (WD repeat protein-like);Transducin/WD40 repeat-like superfamily protein;Transducin/WD40 repeat-like superfamily protein (WD repeat protein-like)
Np001G000420	264	AT5G66250.4	AT5G66250.4	orthologue	GO:0005634;GO:0003674;GO:0009959;GO:0009639	AT5g66250/K1L20_3 (Kinectin-like protein);Kinectin-like protein
Np001G000430	103	AT5G66260.1	AT5G66260.1	orthologue	GO:0009733;GO:0005739;GO:0003674;GO:0009639;GO:0009737;GO:0009741	Auxin-induced protein-like (SAUR-like auxin-responsive protein family)
Np001G000460	175	AT5G66400.1	AT5G66400.1	orthologue	GO:0009414;GO:0005829;GO:0009631;GO:0003674;GO:0009737;GO:0009961;GO:0005507;GO:0016151;GO:0046872;GO:0009409;GO:0009415	Dehydrin Rab18;Dehydrin family protein
