Orthogroup	Arabidopsis_lyrata_Rawat	Camelina_sativa
OG0000000	AL1G62960	XP_010418622.1
OG0000000	AL1G56600	XP_019094484.1, XP_010469202.1
OG0000000	AL7G44730	XP_010419000.1, XP_010431245.1
OG0000000	AL3G23500, AL3G28120, AL7G39870	XP_019097419.1, XP_019093315.1, XP_010419097.1, XP_010445866.1, XP_010513025.1
OG0000000	AL1G31370	XP_010431244.1
OG0000000	AL5G15620, AL7G44660	XP_019089229.1
OG0000000	AL3G39580, AL2G19540	XP_010431321.2, XP_010480531.1
OG0000000	AL5G18640	XP_010484733.1, XP_010507009.1
OG0000000	AL3G15150	XP_010490225.1, XP_010431586.1
OG0000000	AL2G19310	XP_010446064.1
OG0000000	AL2G10230, AL4G12690, AL532U10010, AL8G16910	XP_010507236.1, XP_010513760.1, XP_010495271.1
OG0000000	AL1G56620, AL5G26440, AL3G26530, AL7G44950	XP_019091045.1
OG0000000	AL8G15150, AL7G49620, AL8G11050	XP_010418618.1, XP_010419439.1
OG0000000	AL2G12570, AL4G43860	XP_010436306.1
OG0000000	AL8G18100, AL4G24130, AL1G50800	XP_010518579.1
OG0000000	AL2G17910, AL8G39270	XP_010462992.1
OG0000000	AL6G33910, AL4G36510	XP_010472251.1, XP_019099588.1, XP_010474031.1, XP_010472440.1, XP_010451797.1, XP_010507264.1, XP_010468426.1
OG0000000	AL396U10020, AL4G14390	XP_019101571.1
OG0000000	AL4G39790	XP_010418558.1, XP_010489824.1, XP_019102134.1, XP_010436305.1, XP_010495246.1
OG0000000	AL5G12810	XP_010463143.1
OG0000000	AL1G43930	XP_019082488.1
