Orthogroup	Odontarrhena_muralis	Brassica_napus
OG0000000	Om007G305590	XP_048611822.1, XP_048605327.1
OG0000000	Om008G349060	XP_048622406.1
OG0000000	Om002G080460, Om002G078940, Om002G076380, Om001G000920, Om003G104880, Om006G261430, Om001G034540, Om004G160680, Om008G353120, Om008G341090, Om004G130950, Om003G093730, Om018G373830	XP_048593480.1, XP_048596517.1, XP_048634183.1, XP_048612628.1, XP_048627567.1, XP_048627466.1, XP_048630614.1, XP_048627477.1, XP_048630686.1, XP_048629081.1, XP_048627742.1, XP_048611410.1
OG0000000	Om005G215690, Om007G308190	XP_048635065.1, XP_048596306.1, XP_013669519.2, XP_048604928.1, XP_048620124.1, XP_048600598.1, XP_048633279.1, XP_013728730.2, XP_048598145.1, XP_048593431.1, XP_013659995.1, XP_048615615.1, XP_013645609.2, XP_048591404.1, XP_013694115.1, XP_048594901.1, XP_022557450.2
OG0000000	Om007G308180, Om008G324080, Om005G218420	XP_022549851.1
OG0000000	Om004G142780, Om003G104870, Om003G105610	XP_048621624.1, XP_048626126.1, XP_048609471.1
OG0000000	Om008G350470, Om008G347230, Om008G345480, Om002G077030, Om006G263450	XP_048634050.1
OG0000000	Om004G154060, Om009G363570, Om004G177240, Om006G269410	XP_048618529.1
OG0000000	Om003G112370, Om003G117250, Om003G105660, Om001G018930, Om008G339880, Om004G149120, Om001G020460, Om008G357940	XP_048611829.1
OG0000000	Om004G155370	XP_048599884.1, XP_013718283.1
OG0000002	Om002G054700	XP_048615984.1, XP_048624738.1, XP_048610196.1, XP_048606838.1, XP_048600341.1, XP_048623910.1
OG0000002	Om007G309520, Om002G043270	XP_022549733.2, XP_013730849.1
OG0000002	Om003G105370, Om003G107650, Om008G342070, Om003G102030	XP_048624137.1, XP_048605110.1, XP_013678027.1, XP_013699413.2, XP_048605922.1, XP_013704005.2, XP_013705046.2, XP_013743402.2, XP_022554443.2, XP_022557545.2, XP_048602403.1, XP_048603537.1, XP_048604763.1, XP_048605599.1, XP_048606467.1, XP_048606492.1, XP_048608321.1, XP_048613262.1, XP_048614401.1, XP_048615840.1, XP_048618038.1, XP_048621685.1, XP_048622894.1, XP_048619508.1, XP_048623072.1, XP_048624199.1, XP_048624223.1, XP_048624554.1, XP_048619988.1, XP_048604876.1, XP_022564570.2, XP_022557418.2, XP_048605038.1
OG0000002	Om004G152900	XP_048599943.1, XP_013739462.1, XP_013673932.1, XP_048622631.1, XP_013669043.1, XP_048599750.1, XP_048611618.1, XP_022558122.1, XP_013689755.1, XP_013721006.1, XP_013719469.1, XP_013680020.1, XP_048604981.1, XP_013700214.1, XP_013751912.1, XP_013658791.1, XP_048622703.1, XP_013673642.1, XP_048598070.1, XP_048622695.1, XP_022568272.1, XP_048619908.1, XP_048605843.1, XP_048611539.1, XP_013704325.2, XP_013745790.2, XP_048605726.1, XP_022566326.2
OG0000003	Om007G276690	XP_048623031.1, XP_013694964.1, XP_048630494.1, XP_022553650.2, XP_022551562.1, XP_013650516.2, XP_048611467.1, XP_048622667.1, XP_013679209.2, XP_048613575.1, XP_013704463.1, XP_022549222.1, XP_048615663.1, XP_048596497.1, XP_013650417.1, XP_048599712.1, XP_048612037.1, XP_048604599.1, XP_013700336.2, XP_013709251.1, XP_013713350.1, XP_013729530.2, XP_022560082.1, XP_013729306.2, XP_022567565.1, XP_013723216.2, XP_048599891.1, XP_048621360.1, XP_048605811.1, XP_013751647.1, XP_048605647.1, XP_048605472.1, XP_022575815.1, XP_048599772.1, XP_022573072.1, XP_013745520.2
OG0000003	Om004G173160	XP_048628762.1, XP_048628164.1, XP_048630693.1
OG0000003	Om001G015910	XP_048611587.1
OG0000003	Om001G017050	XP_048620084.1
OG0000003	Om007G309690	XP_048631220.1
OG0000003	Om008G345700	XP_048627963.1
OG0000003	Om005G217790	XP_013688944.1, XP_048631221.1, XP_048629910.1, XP_048628610.1, XP_048628617.1, XP_048611574.1, XP_048630645.1, XP_013669098.1, XP_048611542.1
OG0000004	Om008G333050	XP_048593472.1, XP_048633069.1
OG0000004	Om004G154430, Om006G235390	XP_048630790.1, XP_048635080.1
OG0000004	Om003G099290	XP_048591457.1
OG0000004	Om004G159780	XP_048620167.1, XP_013668578.2, XP_048608449.1, XP_048590919.1, XP_048628328.1, XP_022573038.2, XP_013738903.1, XP_013723746.2, XP_048613577.1, XP_048605567.1, XP_013745811.1, XP_048623656.1, XP_048629721.1, XP_048626338.1, XP_013709365.2, XP_013689957.1, XP_013709295.1, XP_048596464.1, XP_013738880.1, XP_048599985.1, XP_013649372.1, XP_013650878.1, XP_048593474.1, XP_013720997.1, XP_013694423.1, XP_048624048.1, XP_013739852.2, XP_048627721.1, XP_048620311.1, XP_022558258.1, XP_048633040.1, XP_048605017.1, XP_048605537.1, XP_048605491.1, XP_013679256.1, XP_048610021.1, XP_048622593.1, XP_013700233.1, XP_048634122.1, XP_013658287.2, XP_013751510.1, XP_048605041.1, XP_013689881.1, XP_048623794.1, XP_048620086.1, XP_048613285.1, XP_048629226.1, XP_048604979.1, XP_048595626.1, XP_048591584.1, XP_048596364.1, XP_048593215.1, XP_048608697.1, XP_048622814.1, XP_048623574.1, XP_048613300.1, XP_048611589.1, XP_048605505.1, XP_048632972.1, XP_048608917.1, XP_048615720.1, XP_048593487.1, XP_048611438.1, XP_022571217.1, XP_048593392.1, XP_048623644.1, XP_048605797.1, XP_048593344.1, XP_048613313.1, XP_048633060.1, XP_048623952.1, XP_048611432.1, XP_048622601.1, XP_013700421.1, XP_048633139.1, XP_048608961.1, XP_022553652.1, XP_048620199.1, XP_048627170.1, XP_048599931.1, XP_048610005.1, XP_048594891.1, XP_013718382.2, XP_048615660.1, XP_048622886.1, XP_048604743.1, XP_048637537.1, XP_048611782.1, XP_048598079.1, XP_048622723.1, XP_048605708.1, XP_048611774.1, XP_022549590.1, XP_048635018.1, XP_048633082.1, XP_048623919.1, XP_048593299.1, XP_048615701.1, XP_048615546.1, XP_048624014.1, XP_048623890.1, XP_048611535.1, XP_048593475.1, XP_048623608.1, XP_013700585.1, XP_048624010.1
OG0000005	Om002G083130, Om004G139040	XP_048591448.1
OG0000005	Om007G300980, Om001G001060, Om006G273080	XP_022548621.1, XP_013674511.1, XP_013658926.1, XP_013653962.1
OG0000005	Om003G097810	XP_048590917.1, XP_013738879.2, XP_022564438.1
OG0000005	Om007G300990, Om008G339980	XP_048591512.1
OG0000005	Om007G299590	XP_048622755.1, XP_048631394.1, XP_013650434.2
OG0000005	Om005G225270, Om004G159630, Om007G288000, Om007G313780, Om003G127510	XP_048604677.1, XP_013699975.1
OG0000005	Om007G282810	XP_048608242.1
OG0000005	Om003G112530, Om008G348300	XP_048599804.1
OG0000005	Om002G076060	XP_048599654.1, XP_013713504.1, XP_013658645.2, XP_022569213.1, XP_048605927.1, XP_013718672.1
OG0000005	Om008G339990	XP_013700236.1
OG0000005	Om004G151870, Om002G089170, Om004G141530	XP_022557495.1, XP_048623614.1
OG0000005	Om007G309960, Om001G015550, Om009G364000	XP_048611997.1
OG0000005	Om006G257980	XP_048601578.1
OG0000007	Om006G253570, Om001G035080, Om001G019950, Om007G300730	XP_013700020.1, XP_048635088.1
OG0000007	Om004G138310, Om002G075780, Om007G295140, Om006G263650, Om006G268070, Om002G088480, Om002G062480	XP_022569889.1
OG0000007	Om001G019860	XP_013657892.1
OG0000007	Om002G079510	XP_013713348.1, XP_013713792.1
OG0000007	Om006G244810, Om006G267880, Om011G365910, Om003G114390	XP_048609270.1
OG0000007	Om007G297600	XP_048606193.1, XP_048599926.1, XP_048608923.1, XP_048637623.1, XP_022549744.1, XP_013694951.1, XP_022569685.1, XP_013674205.2, XP_048634083.1, XP_048606175.1, XP_048611825.1, XP_048620110.1, XP_013704630.2, XP_048632995.1, XP_048634091.1, XP_013658983.1, XP_048598085.1, XP_013658904.1, XP_048605398.1, XP_013713691.1
OG0000007	Om006G268360, Om002G076040	XP_022553380.1
OG0000007	Om007G308670, Om005G224350	XP_048637520.1, XP_048628012.1, XP_048635094.1, XP_022565607.2
OG0000008	Om007G307170	XP_013709535.2
OG0000008	Om009G364060	XP_013705001.2, XP_048620224.1
OG0000008	Om007G284450, Om008G361640, Om007G313430	XP_048605193.1, XP_048602098.1, XP_013729777.3, XP_048614654.1, XP_048613386.1, XP_013726652.1, XP_048634180.1, XP_048615675.1, XP_048627521.1, XP_048600989.1, XP_013649895.1, XP_048593291.1, XP_048637651.1, XP_048634041.1, XP_048599181.1, XP_048607915.1, XP_048607904.1, XP_013717411.2, XP_013691111.2, XP_013722649.1, XP_048633127.1, XP_048599584.1, XP_048603850.1, XP_048614138.1, XP_022548693.2, XP_022557716.2, XP_048612002.1, XP_048612005.1, XP_048630290.1, XP_048637523.1, XP_048605750.1, XP_048630899.1, XP_048612699.1, XP_048611975.1, XP_048622867.1, XP_022549239.1, XP_048615069.1, XP_048622956.1, XP_048621207.1, XP_048605224.1, XP_048622188.1, XP_022574272.2, XP_048593363.1, XP_048623066.1, XP_022565168.1, XP_048619957.1
OG0000008	Om004G146620	XP_048615501.1
OG0000008	Om001G020680	XP_048606775.1, XP_048634035.1, XP_048605571.1, XP_048616724.1, XP_048607397.1, XP_048606349.1, XP_013668737.2, XP_048592900.1, XP_048615136.1, XP_048628393.1, XP_048604232.1
OG0000008	Om009G364160, Om009G364180	XP_048634791.1, XP_013673836.1, XP_048592068.1
OG0000008	Om001G012780, Om004G176570, Om001G012870, Om001G012790, Om002G085300, Om002G081720, Om001G023520, Om006G274880	XP_048606670.1, XP_048614737.1, XP_048612049.1, XP_048620060.1, XP_013751877.2, XP_048603863.1, XP_048623691.1, XP_048626080.1, XP_048604782.1, XP_048622536.1, XP_048631227.1, XP_048602312.1, XP_048615107.1, XP_048625201.1, XP_048628471.1, XP_048637540.1, XP_022567851.2
OG0000008	Om008G328770, Om004G146610, Om004G145690, Om006G232740, Om007G292230, Om004G145980, Om007G313990, Om006G260180, Om002G073680	XP_048615493.1, XP_048619151.1, XP_022565888.1, XP_048619083.1
OG0000010	Om008G341420	XP_022560075.1
OG0000010	Om003G108840	XP_013745801.1, XP_048615585.1, XP_022567036.1, XP_048605091.1
OG0000011	Om005G184900	XP_013728374.1, XP_013645682.2, XP_013694418.1, XP_013709710.2, XP_048598099.1, XP_048603651.1, XP_013679783.1, XP_022553787.2, XP_048612325.1, XP_048623773.1, XP_013704328.1, XP_048611431.1, XP_013674395.2
OG0000012	Om004G146180	XP_048613104.1
OG0000012	Om003G105470, Om004G154660	XP_048591476.1
OG0000012	Om002G076390	XP_013695049.2, XP_048623277.1
OG0000012	Om008G343540	XP_022552307.2
OG0000012	Om004G153330, Om018G374000	XP_048602192.1, XP_048603410.1, XP_048628529.1, XP_048628532.1, XP_048627388.1, XP_048616616.1
OG0000012	Om007G307770	XP_013657490.1, XP_013674351.2, XP_013691298.1, XP_048614816.1, XP_048623324.1, XP_048630348.1, XP_048628908.1, XP_048624621.1, XP_048619695.1, XP_048614056.1, XP_022569354.1, XP_013734848.1, XP_013726622.1, XP_013691321.1, XP_013703519.1, XP_013708319.1, XP_022548061.2
OG0000013	Om002G088760, Om001G031100, Om003G113450, Om006G258780	XP_013673830.1
OG0000013	Om002G089030	XP_048605773.1, XP_013669126.1, XP_013657861.1, XP_013680128.1, XP_048623792.1, XP_048627540.1, XP_048627019.1, XP_013654293.1, XP_013719470.1, XP_048628567.1, XP_013673938.1, XP_048599702.1, XP_048623790.1, XP_013657845.1, XP_013674358.1, XP_048611696.1, XP_013731674.1, XP_048620209.1, XP_048622591.1, XP_048613189.1, XP_013680096.1, XP_048599805.1, XP_048590782.1, XP_013695068.1, XP_048611913.1, XP_013709233.2, XP_013700181.2, XP_013715874.2, XP_048623780.1, XP_048622700.1, XP_048611935.1, XP_048604998.1, XP_048604852.1, XP_048611575.1, XP_048626950.1, XP_013745730.1, XP_013689885.1, XP_013709546.1, XP_048623897.1, XP_013658724.1, XP_048599858.1, XP_048626494.1, XP_048637553.1, XP_048613190.1, XP_048595147.1, XP_048611591.1, XP_013695057.1, XP_048622786.1, XP_048605855.1, XP_048596261.1, XP_048619839.1, XP_048599844.1, XP_048605676.1, XP_013705952.3, XP_048599685.1, XP_048605016.1, XP_048613311.1, XP_048605019.1, XP_048608870.1, XP_013689149.2, XP_048604885.1, XP_048599929.1, XP_048613405.1, XP_013721758.1, XP_048611835.1, XP_013689890.1, XP_048627565.1, XP_048598108.1, XP_013720996.1, XP_013654288.1, XP_013688904.1, XP_048611534.1, XP_048599780.1, XP_013700321.1
OG0000013	Om003G108850, Om006G268640	XP_013651123.1, XP_013699897.1, XP_013729113.2, XP_048608937.1, XP_048619944.1
OG0000014	Om007G309000	XP_048611805.1
