Orthogroup	Cochlearia_excelsa	Arabidopsis_lyrata_Rawat
OG0000000	g42971, g27882	AL1G59120
OG0000000	g16586, g15065	AL5G28990
OG0000000	g39216, g48656	AL2G12720
OG0000000	g33593, g42788, g3560	AL2G22640
OG0000000	g48658	AL1G57270
OG0000000	g32763	AL8G19530
OG0000000	g35887, g30007, g4104, g45199, g43024, g34225, g2775, g14833, g25767	AL7G43300
OG0000000	g34973, g34594, g8693, g34396, g42237	AL7G51790
OG0000000	g3780, g17945, g33478	AL70U10050
OG0000000	g26383, g33093, g4110, g4097, g30683, g26378, g35533, g25248, g49071, g3552	AL1G65560
OG0000000	g16355, g42223, g17013, g26014, g33173, g33202, g20497, g34087, g33029, g34395, g41929, g42717, g42958, g42647, g20498, g4107, g4095, g16173, g9242, g33222, g4067, g48979, g32855, g33220, g3612, g19851, g19846, g42293, g19831, g19868, g3616, g34753, g25891, g43643, g52519, g34575, g34572, g21397, g33355, g30249, g32910, g22189, g19921, g16275, g35086, g35102, g33126, g42102, g34033, g34767, g3404, g42813, g48326, g34972, g25532, g15237, g17646, g33136, g8692, g42239, g42224, g43574, g53589, g30088, g16117, g4492, g52424, g52436, g3617, g19788, g26543, g3141, g35622, g3985, g26693, g26442, g42189, g43591, g26823, g34869, g35794, g35385	AL4G11460
OG0000000	g17238, g19964, g49089, g43385, g3536, g26493, g26492, g26578, g22227, g2551, g30011, g7406, g52467, g49012, g6426, g25006, g43092, g22046, g22537, g16042, g54033, g8939	AL6G45170
OG0000003	g3918, g36376, g25688, g7971	AL6G48210
OG0000003	g14590, g14600, g9490, g15161	AL2G19230
OG0000003	g10483, g36078, g35024, g42010, g53526, g35068, g51377, g36656, g46847, g52100, g12379, g34343, g34347, g42612, g3007, g19913, g14065, g52866, g43208, g25223, g43589, g14824, g15574, g4576, g20561, g20558, g41973	AL4G38100
OG0000003	g35025, g49126, g50218, g43737, g3006, g16692, g54200, g19882, g28837, g12132, g39267, g40928, g44467, g1720, g6104, g22734, g24732, g26067, g6791, g34544, g15875, g33596, g14436, g4314, g43590	AL4G12740
OG0000003	g34585, g38685, g33681, g53237, g30184, g21769, g48097, g15439, g38758, g38943, g35769	AL7G43820
OG0000003	g26606, g8533, g35008	AL2G18790
OG0000003	g21658, g15405, g9357, g42284, g8878	AL1G51880
OG0000003	g20016, g21330, g20421, g48386, g8588, g16442	AL3G44970
OG0000003	g9440	AL1G65770, AL3G45600
OG0000004	g10434, g43405, g12783, g14416, g3096	AL7G47010
OG0000004	g31287	AL5G12810
OG0000004	g41948, g51566, g43468, g53079, g36758, g17875, g16472, g42672	AL6G27580
OG0000004	g41934	AL5G15620, AL1G31370
OG0000004	g26031, g35347	nbis-gene-231
OG0000004	g26705, g2535, g36022	AL8G17890
OG0000004	g23419, g2263, g52921, g13894, g34861, g19097, g29058	AL6G34180
OG0000004	g52608, g29057	AL3G15150
OG0000004	g30907	AL9U11110, AL7G39420, AL7G41970, AL2G28000, AL7G52320
OG0000004	g2536, g39580	AL2G18100
