Orthogroup	Eutrema_salsugineum	Arabidopsis_arenosa
OG0000000	XP_024016239.1, XP_024006398.1	jg27616
OG0000002	XP_024013294.1	jg13863
OG0000002	XP_024016289.1, XP_024016302.1, XP_024016271.1, XP_024010360.1, XP_024015836.1	jg2023, jg27584
OG0000002	XP_024006551.1	jg11830
OG0000002	XP_024010911.1, XP_024010912.1	jg12347
OG0000002	XP_024009451.1, XP_024013993.1, XP_024016193.1, XP_024013954.1, XP_024016116.1, XP_024013210.1, XP_024015869.1, XP_024011258.1, XP_024010357.1, XP_024015134.1, XP_024014549.1, XP_024010591.1, XP_024010553.1, XP_024009251.1, XP_024010604.1, XP_024014521.1, XP_024006130.1, XP_024009464.1, XP_024009904.1, XP_024010307.1, XP_024013058.1, XP_024015923.1, XP_024011338.1, XP_024007318.1	jg1034, jg12348, jg27118, jg1783
OG0000003	XP_024010659.1, XP_024010914.1	jg27926
OG0000004	XP_024007302.1	jg13997, jg27064, jg6905, jg12072, jg12472, jg1749
OG0000004	XP_024009381.1, XP_024016564.1, XP_024011370.1	jg17418, jg2001, jg27456
OG0000004	XP_024009341.1	jg72, jg27337, jg20829, jg32155, jg32817, jg21191, jg8262, jg27197
OG0000005	XP_024003648.1	jg14786
OG0000005	XP_024013092.1	jg11918
OG0000005	XP_024010905.1, XP_024015845.1	jg1672
OG0000008	XP_024009261.1	jg20324
OG0000008	XP_024013173.1	jg15054, jg15062, jg15069, jg15057
OG0000009	XP_006391314.1	jg3218, jg20691
OG0000011	XP_024003759.1, XP_024004876.1, XP_024016548.1	jg13840
OG0000011	XP_024007764.1	jg33095
OG0000011	XP_024014025.1, XP_024013301.1, XP_024010379.1, XP_024013975.1, XP_024006589.1, XP_024006532.1, XP_024010647.1, XP_024011223.1, XP_024013321.1	jg13838, jg27639, jg22122
OG0000011	XP_024004159.1, XP_024015297.1	jg4342
OG0000011	XP_024004160.1	jg14168
OG0000011	XP_024013228.1	jg6805
OG0000012	XP_024010329.1	jg27079
OG0000012	XP_024010254.1, XP_024009382.1, XP_024009379.1, XP_024004817.1, XP_024016208.1, XP_024013308.1, XP_024006882.1, XP_024015930.1, XP_024014989.1, XP_024006092.1, XP_024013538.1, XP_024013984.1, XP_024013319.1, XP_024007927.1, XP_024006840.1, XP_024006606.1, XP_024009011.1, XP_024010250.1, XP_024014667.1, XP_024007778.1, XP_024013297.1, XP_024004787.1, XP_024009476.1, XP_024014518.1, XP_024009301.1, XP_024004077.1, XP_024011119.1, XP_024009973.1, XP_024016528.1, XP_024010312.1, XP_024006271.1, XP_024011218.1, XP_024016237.1, XP_024016855.1, XP_024007215.1, XP_024011231.1	jg27473, jg29119, jg9712, jg17246
OG0000012	XP_024006310.1, XP_024010246.1, XP_024010847.1, XP_024006789.1, XP_024013645.1	jg22437, jg1376, jg33243, jg13806
OG0000015	XP_024007917.1	jg11868, jg21314
