Orthogroup	Eutrema_salsugineum	Cardamine_glauca
OG0000000	XP_024013803.1, XP_024004899.1, XP_024011347.1	Cg002G0506900
OG0000000	XP_024006886.1, XP_024011324.1	Cg002G0574500
OG0000000	XP_024004414.1	Cg007G2381100
OG0000000	XP_024014707.1	Cg004G1415700
OG0000002	XP_024010711.1, XP_024016369.1	Cg001G0121200
OG0000002	XP_024015214.1, XP_024010428.1, XP_024014055.1, XP_024004035.1, XP_024010274.1, XP_024009787.1, XP_024014545.1, XP_024015965.1, XP_024015835.1, XP_024011225.1, XP_024014994.1, XP_024013910.1, XP_024004913.1, XP_024011113.1, XP_024016286.1, XP_024005018.1, XP_024014765.1, XP_024010367.1, XP_024011386.1, XP_024010917.1, XP_024013995.1, XP_024016214.1, XP_024013252.1, XP_024015942.1, XP_024016545.1, XP_024016832.1, XP_024007222.1, XP_024013919.1, XP_024016563.1, XP_024011289.1, XP_024013913.1, XP_024004935.1, XP_024014816.1, XP_024009618.1, XP_024004973.1, XP_024004934.1, XP_024011355.1, XP_024010481.1, XP_024015298.1, XP_024013904.1, XP_024016251.1, XP_024012926.1, XP_024015916.1, XP_024010916.1, XP_024004042.1, XP_024016831.1, XP_024010385.1, XP_024004936.1, XP_024014573.1, XP_024009949.1, XP_024007765.1, XP_024004949.1, XP_024014451.1, XP_024004820.1, XP_024009486.1, XP_024014438.1, XP_024006401.1, XP_024015242.1, XP_024007240.1, XP_024013349.1	Cg002G0472400, Cg005G1504200
OG0000003	XP_024004423.1	Cg008G2696300, Cg007G2280100
OG0000003	XP_024006573.1, XP_024005010.1, XP_024016553.1	Cg006G1905700
OG0000003	XP_024004813.1, XP_024004020.1	Cg001G0274200, Cg002G0686800
OG0000004	XP_024010229.1	Cg008G2652500
