Orthogroup	Alyssum_gmelinii	Rorippa_islandica
OG0000000	Ag067G5184800, Ag001G0043700	Roisl.0185s0067.1.p
OG0000000	Ag062G5062000	Roisl.0204s0096.1.p, Roisl.0185s0075.1.p
OG0000000	Ag017G2413700, Ag016G2404700, Ag018G2474800, Ag004G0601400, Ag033G3558200, Ag032G3454800	Roisl.0046s1371.1.p, Roisl.0091s0126.1.p
OG0000000	Ag039G4294900, Ag016G2393600	Roisl.0188s0090.1.p
OG0000000	Ag028G3079600, Ag058G4972900, Ag034G4051300, Ag022G2647900	Roisl.0179s0101.1.p, Roisl.0179s0099.1.p, Roisl.0213s0782.1.p, Roisl.0210s2160.1.p
OG0000000	Ag036G4123700	Roisl.0053s0185.1.p, Roisl.0046s0703.1.p, Roisl.0210s0593.1.p
OG0000000	Ag054G4887300	Roisl.0213s0402.1.p
OG0000000	Ag058G4977700	Roisl.0020s0052.1.p
OG0000000	Ag034G3951900, Ag016G2353000	Roisl.0003s0086.1.p
OG0000000	Ag045G4516900, Ag044G4496600, Ag078G5351600, Ag066G5137400, Ag013G1386400, Ag033G3486500, Ag020G2571600, Ag013G1635500	Roisl.0020s0162.1.p, Roisl.0213s0727.1.p
OG0000002	Ag027G3030200	Roisl.0213s0015.1.p, Roisl.0008s0085.1.p, Roisl.0204s0005.1.p, Roisl.0188s0060.1.p, Roisl.0040s0101.1.p, Roisl.0012s0044.1.p, Roisl.0200s0037.1.p, Roisl.0210s2181.1.p, Roisl.0014s0020.1.p, Roisl.0111s0033.1.p, Roisl.0022s0019.1.p, Roisl.0076s0006.1.p, Roisl.0214s0254.1.p, Roisl.0066s0414.1.p, Roisl.0006s0156.1.p, Roisl.0014s0086.1.p, Roisl.0083s0030.1.p, Roisl.0032s0054.1.p, Roisl.0041s0032.1.p
OG0000003	Ag005G0787400	Roisl.0058s0055.1.p
OG0000003	Ag022G2672700, Ag014G2084900	Roisl.0075s0224.1.p, Roisl.0011s0302.1.p, Roisl.0210s0002.1.p, Roisl.0053s0016.1.p
OG0000003	Ag067G5203100	Roisl.0005s0321.1.p, Roisl.0020s0174.1.p, Roisl.0083s0012.1.p, Roisl.0213s0877.1.p, Roisl.0058s0089.1.p, Roisl.0185s0065.1.p, Roisl.0058s0052.1.p, Roisl.0189s0151.1.p, Roisl.0214s0907.1.p, Roisl.0047s0023.1.p, Roisl.0213s0678.1.p, Roisl.0005s0145.1.p, Roisl.0214s0184.1.p, Roisl.0188s0028.1.p, Roisl.0004s0406.1.p, Roisl.0053s0433.1.p, Roisl.0037s0060.1.p, Roisl.0184s0058.1.p, Roisl.0053s0045.1.p, Roisl.0189s0026.1.p, Roisl.0193s0022.1.p, Roisl.0020s0023.1.p, Roisl.0047s0047.1.p, Roisl.0213s0702.1.p, Roisl.0185s0035.1.p, Roisl.0179s0027.1.p, Roisl.0046s0266.1.p, Roisl.0013s0148.1.p, Roisl.0184s0125.1.p, Roisl.0191s0324.1.p, Roisl.0184s0019.1.p, Roisl.0041s0045.1.p, Roisl.0209s0112.1.p, Roisl.0111s0003.1.p, Roisl.0056s0038.1.p, Roisl.0213s0675.1.p, Roisl.0058s0002.1.p, Roisl.0012s0115.1.p, Roisl.0213s0710.1.p, Roisl.0213s0711.1.p, Roisl.0014s0059.1.p, Roisl.0213s0758.1.p
OG0000003	Ag014G1978400, Ag039G4231800, Ag011G1040600, Ag016G2400500, Ag014G1921200, Ag049G4724200	Roisl.0015s0133.1.p, Roisl.0017s0491.1.p, Roisl.0179s0077.1.p, Roisl.0058s0001.1.p
OG0000004	Ag010G0992800, Ag014G1774700	Roisl.0022s0436.1.p
OG0000005	Ag025G2943500	Roisl.0046s0518.1.p
OG0000005	Ag041G4377100	Roisl.0195s0004.1.p
OG0000008	Ag016G2356700	Roisl.0179s0023.1.p
OG0000008	Ag005G0786100	Roisl.0082s0661.1.p, Roisl.0036s0059.1.p
OG0000008	Ag027G3054100	Roisl.0014s0140.1.p, Roisl.0025s0028.1.p, Roisl.0072s0014.1.p, Roisl.0053s0439.1.p
OG0000008	Ag001G0025300	Roisl.0208s0049.1.p, Roisl.0065s0019.1.p, Roisl.0209s0203.1.p, Roisl.0046s1128.1.p, Roisl.0046s1132.1.p, Roisl.0046s1119.1.p, Roisl.0027s0062.1.p, Roisl.0058s0016.1.p, Roisl.0022s0261.1.p, Roisl.0053s0125.1.p
OG0000008	Ag033G3526400	Roisl.0014s0136.1.p, Roisl.0214s0127.1.p, Roisl.0179s0096.1.p, Roisl.0033s0081.1.p, Roisl.0005s0371.1.p, Roisl.0020s0039.1.p, Roisl.0189s0101.1.p
OG0000011	Ag015G2211300	Roisl.0008s0052.1.p
OG0000011	Ag027G3007700	Roisl.0019s0018.1.p
OG0000012	Ag006G0798800	Roisl.0209s0518.1.p
OG0000014	Ag012G1285000	Roisl.0023s0108.1.p
OG0000015	Ag034G3936100	Roisl.0214s0222.1.p, Roisl.0209s0283.1.p
OG0000015	Ag012G1294500	Roisl.0214s0740.1.p
OG0000015	Ag076G5308600	Roisl.0006s0132.1.p
OG0000015	Ag058G4974300	Roisl.0053s0047.1.p
OG0000015	Ag024G2875100	Roisl.0032s0105.1.p
OG0000020	Ag068G5227400	Roisl.0179s0050.1.p, Roisl.0188s0045.1.p, Roisl.0004s0008.1.p, Roisl.0188s0102.1.p, Roisl.0011s0407.1.p, Roisl.0184s0238.1.p, Roisl.0214s0108.1.p, Roisl.0062s0029.1.p, Roisl.0025s0013.1.p, Roisl.0188s0101.1.p, Roisl.0022s0062.1.p, Roisl.0214s0107.1.p, Roisl.0010s0023.1.p, Roisl.0011s0406.1.p, Roisl.0010s0021.1.p, Roisl.0214s0786.1.p, Roisl.0204s0002.1.p, Roisl.0005s0155.1.p, Roisl.0214s0099.1.p, Roisl.0028s0692.1.p, Roisl.0213s0860.1.p, Roisl.0210s0466.1.p, Roisl.0007s0026.1.p, Roisl.0020s0173.1.p, Roisl.0028s0007.1.p, Roisl.0184s0237.1.p, Roisl.0046s1265.1.p, Roisl.0210s2047.1.p, Roisl.0208s0011.1.p, Roisl.0056s0045.1.p, Roisl.0213s0006.1.p, Roisl.0214s0304.1.p, Roisl.0053s0189.1.p, Roisl.0027s0142.1.p
OG0000020	Ag060G5002800, Ag014G2139700, Ag001G0002100, Ag013G1354100, Ag034G3996700, Ag078G5375900, Ag036G4119800, Ag019G2511100, Ag025G2915300, Ag017G2430400, Ag041G4354300, Ag013G1396100, Ag067G5206100, Ag022G2668600, Ag064G5103400, Ag023G2811600, Ag011G1267500	Roisl.0082s0242.1.p
OG0000020	Ag039G4234300	Roisl.0188s0046.1.p
OG0000021	Ag013G1488900, Ag031G3408800	Roisl.0082s0017.1.p, Roisl.0179s0097.1.p, Roisl.0198s0008.1.p, Roisl.0023s0095.1.p, Roisl.0046s0797.1.p, Roisl.0014s0138.1.p, Roisl.0213s0355.1.p, Roisl.0006s0361.1.p, Roisl.0046s0769.1.p, Roisl.0066s0388.1.p, Roisl.0032s0086.1.p, Roisl.0005s0191.1.p, Roisl.0214s0300.1.p, Roisl.0072s0013.1.p, Roisl.0185s0094.1.p, Roisl.0188s0063.1.p, Roisl.0011s0031.1.p, Roisl.0191s0373.1.p, Roisl.0014s0139.1.p, Roisl.0066s0257.1.p
OG0000022	Ag002G0155300	Roisl.0010s0088.1.p
OG0000022	Ag002G0160300, Ag002G0160500	Roisl.0008s0014.1.p, Roisl.0010s0121.1.p
OG0000022	Ag034G3829100	Roisl.0021s0361.1.p
OG0000022	Ag024G2896000	Roisl.0091s0926.1.p, Roisl.0050s0030.1.p, Roisl.0050s0031.1.p
OG0000022	Ag006G0805800, Ag058G4977300, Ag022G2695300	Roisl.0009s0109.1.p
OG0000022	Ag014G2040000	Roisl.0074s0275.1.p
OG0000024	Ag050G4762100, Ag050G4762000, Ag050G4761900, Ag050G4746600, Ag050G4752600, Ag050G4752400, Ag050G4746500, Ag050G4746300, Ag022G2696300, Ag022G2696700, Ag050G4754800, Ag050G4755000, Ag050G4751800, Ag050G4752100, Ag050G4752300	Roisl.0015s0178.1.p
OG0000024	Ag013G1754200	Roisl.0213s0365.1.p, Roisl.0213s0382.1.p, Roisl.0213s0370.1.p, Roisl.0213s0366.1.p, Roisl.0213s0367.1.p, Roisl.0026s0117.1.p, Roisl.0026s0135.1.p, Roisl.0011s0535.1.p, Roisl.0011s0534.1.p, Roisl.0006s0183.1.p
OG0000025	Ag015G2255100	Roisl.0002s0230.1.p, Roisl.0062s0001.1.p, Roisl.0020s0076.1.p
OG0000025	Ag067G5188200, Ag030G3132300	Roisl.0213s0858.1.p, Roisl.0022s0006.1.p
OG0000026	Ag063G5074400, Ag063G5074600, Ag020G2577200, Ag030G3131700, Ag002G0272200, Ag055G4904800, Ag003G0347700, Ag014G2059100, Ag016G2402300, Ag016G2403500, Ag053G4869800, Ag287G5488300, Ag015G2272200, Ag023G2829200, Ag013G1736700, Ag015G2272100, Ag016G2403600, Ag025G2906900, Ag031G3406200, Ag063G5074500, Ag063G5074300, Ag016G2402400	Roisl.0213s0871.1.p
OG0000027	Ag021G2619200	Roisl.0213s0580.1.p, Roisl.0213s0582.1.p
OG0000027	Ag021G2619900	Roisl.0213s0590.1.p, Roisl.0213s0588.1.p, Roisl.0213s0583.1.p
OG0000027	Ag077G5324400	Roisl.0008s0130.1.p
OG0000027	Ag077G5325900	Roisl.0184s0128.1.p, Roisl.0184s0127.1.p
OG0000027	Ag093G5459600	Roisl.0214s0896.1.p
OG0000027	Ag093G5459100, Ag033G3498600, Ag002G0200100, Ag077G5325600	Roisl.0008s0069.1.p
OG0000027	Ag033G3496400	Roisl.0012s0193.1.p, Roisl.0008s0072.1.p
OG0000029	Ag002G0180900, Ag022G2648100	Roisl.0208s0029.1.p
OG0000030	Ag014G2144800, Ag014G2145600, Ag014G2146200, Ag014G2146400, Ag014G2146900, Ag014G2147100, Ag014G2147000, Ag014G2146700, Ag014G2145800, Ag014G2145100, Ag014G2144300, Ag014G2147700	Roisl.0115s0348.1.p, Roisl.0115s0350.1.p, Roisl.0115s0351.1.p, Roisl.0019s0830.1.p, Roisl.0019s0831.1.p, Roisl.0115s0300.1.p
OG0000030	Ag014G1952600, Ag014G1958800, Ag014G1958700, Ag014G1965000, Ag042G4396900, Ag042G4397700, Ag042G4398200, Ag014G1952300, Ag014G1952400	Roisl.0056s0019.1.p, Roisl.0046s0733.1.p, Roisl.0213s0186.1.p, Roisl.0053s0027.1.p, Roisl.0060s0006.1.p
OG0000030	Ag014G2099300, Ag027G3062200, Ag014G1975300	Roisl.0074s0600.1.p, Roisl.0043s0011.1.p, Roisl.0046s0887.1.p, Roisl.0042s0059.1.p
OG0000030	Ag014G1840000	Roisl.0074s0641.1.p
OG0000030	Ag013G1357800	Roisl.0046s0886.1.p
OG0000030	Ag014G1839700, Ag014G1840100	Roisl.0209s0322.1.p, Roisl.0209s0320.1.p, Roisl.0209s0318.1.p
OG0000031	Ag018G2463100	Roisl.0055s0036.1.p
OG0000031	Ag012G1296200, Ag030G3133700	Roisl.0006s0260.1.p, Roisl.0189s0047.1.p, Roisl.0047s0054.1.p, Roisl.0189s0150.1.p, Roisl.0209s0447.1.p
OG0000031	Ag011G1132700, Ag003G0359800	Roisl.0188s0032.1.p, Roisl.0036s0104.1.p
OG0000031	Ag028G3081200, Ag048G4605200, Ag023G2817900	Roisl.0020s0022.1.p, Roisl.0184s0020.1.p, Roisl.0204s0107.1.p
OG0000032	Ag037G4132500	Roisl.0021s0539.1.p
OG0000032	Ag005G0786000	Roisl.0005s0192.1.p
OG0000032	Ag011G1160200, Ag011G1160300, Ag011G1160400	Roisl.0029s0063.1.p
OG0000034	Ag093G5459200, Ag033G3498700	Roisl.0008s0068.1.p
OG0000034	Ag093G5459500, Ag033G3498900	Roisl.0214s0895.1.p
OG0000034	Ag033G3477100, Ag052G4847100	Roisl.0008s0077.1.p
OG0000034	Ag048G4579800	Roisl.0091s0192.1.p, Roisl.0091s0193.1.p, Roisl.0091s0191.1.p, Roisl.0091s0190.1.p
OG0000034	Ag033G3496000, Ag077G5324500	Roisl.0008s0129.1.p, Roisl.0008s0131.1.p
OG0000034	Ag033G3500200, Ag093G5460400	Roisl.0214s0905.1.p
OG0000035	Ag061G5042200, Ag007G0851700, Ag007G0851600, Ag015G2256800, Ag031G3385600	Roisl.0213s0218.1.p
OG0000035	Ag093G5463700	Roisl.0214s0147.1.p
OG0000040	Ag031G3415700	Roisl.0066s0406.1.p, Roisl.0184s0161.1.p, Roisl.0012s0376.1.p, Roisl.0214s0030.1.p
OG0000040	Ag039G4283900	Roisl.0020s0088.1.p, Roisl.0179s0100.1.p, Roisl.0058s0100.1.p, Roisl.0209s0494.1.p, Roisl.0214s0186.1.p
OG0000040	Ag038G4173200	Roisl.0012s0087.1.p
OG0000042	Ag046G4535300, Ag066G5171000, Ag024G2870100	Roisl.0204s0126.1.p, Roisl.0012s0194.1.p
OG0000042	Ag007G0876900, Ag096G5474100	Roisl.0025s0036.1.p, Roisl.0022s0501.1.p
OG0000042	Ag015G2214400, Ag011G1070600	Roisl.0035s0107.1.p, Roisl.0012s0035.1.p
OG0000042	Ag023G2817300, Ag039G4253700, Ag002G0154100	Roisl.0025s0035.1.p, Roisl.0048s0004.1.p, Roisl.0028s0881.1.p
OG0000043	Ag022G2736700, Ag016G2284200	Roisl.0080s0178.1.p
OG0000043	Ag019G2521200	Roisl.0013s0195.1.p
OG0000046	Ag019G2498100	Roisl.0200s0033.1.p, Roisl.0006s0046.1.p, Roisl.0082s0471.1.p, Roisl.0213s0356.1.p, Roisl.0209s0778.1.p, Roisl.0210s2175.1.p, Roisl.0029s0020.1.p, Roisl.0082s0470.1.p, Roisl.0189s0032.1.p, Roisl.0028s0924.1.p, Roisl.0184s0183.1.p, Roisl.0202s0007.1.p, Roisl.0200s0032.1.p, Roisl.0184s0227.1.p, Roisl.0029s0021.1.p, Roisl.0210s2176.1.p, Roisl.0213s0357.1.p, Roisl.0209s0777.1.p, Roisl.0189s0033.1.p
OG0000046	Ag004G0691700	Roisl.0029s0014.1.p, Roisl.0005s0079.1.p, Roisl.0056s0010.1.p, Roisl.0208s0028.1.p, Roisl.0008s0152.1.p, Roisl.0045s0045.1.p, Roisl.0062s0016.1.p, Roisl.0198s0056.1.p, Roisl.0209s0245.1.p, Roisl.0005s0329.1.p, Roisl.0015s0173.1.p
OG0000048	Ag039G4227200, Ag039G4227400, Ag039G4227300	Roisl.0214s0362.1.p
OG0000048	Ag013G1657300, Ag013G1657200, Ag013G1657100, Ag013G1657000, Ag013G1657400, Ag013G1658600, Ag013G1658500, Ag013G1651500, Ag013G1657700, Ag022G2632300	Roisl.0028s0624.1.p, Roisl.0211s0012.1.p
OG0000048	Ag034G3744100, Ag013G1648400, Ag016G2390700, Ag013G1573400, Ag013G1573000, Ag013G1626000, Ag013G1648500, Ag013G1647900	Roisl.0017s0510.1.p
OG0000048	Ag032G3445200, Ag048G4573000, Ag013G1577300, Ag013G1657800	Roisl.0028s0615.1.p
OG0000050	Ag002G0166000, Ag019G2535000, Ag013G1454200, Ag002G0129500, Ag014G1805000, Ag002G0202200, Ag015G2221900, Ag015G2264900, Ag025G2919100, Ag014G2113900, Ag004G0548900	Roisl.0008s0345.1.p, Roisl.0025s0047.1.p
OG0000050	Ag016G2298800, Ag034G3860900, Ag015G2213900, Ag020G2565400, Ag003G0365400, Ag022G2666500, Ag013G1429800, Ag023G2797800, Ag078G5357100, Ag088G5430600, Ag006G0803400, Ag034G3970700, Ag066G5153700	Roisl.0214s0827.1.p
OG0000050	Ag031G3328800, Ag019G2527600, Ag020G2554600	Roisl.0020s0012.1.p, Roisl.0214s0245.1.p
OG0000050	Ag027G3020100, Ag013G1440200, Ag022G2649500, Ag066G5147200, Ag001G0043200, Ag024G2885900	Roisl.0082s0464.1.p
OG0000051	Ag003G0387400, Ag003G0387300, Ag003G0387500, Ag003G0387800, Ag003G0387600, Ag003G0387700	Roisl.0028s0722.1.p
OG0000051	Ag003G0385200, Ag003G0384600, Ag003G0385100, Ag003G0385000, Ag003G0384900	Roisl.0189s0079.1.p
OG0000052	Ag032G3434200, Ag032G3433000	Roisl.0011s0479.1.p
