Orthogroup	Cochlearia_excelsa	Brassica_oleracea
OG0000000	g34998, g14238, g16629, g40232, g4651, g36861, g25563	XP_013594332.1
OG0000000	g22659	XP_013607847.1
OG0000000	g23875, g4482	XP_013631219.1
OG0000000	g15642	XP_013639798.1
OG0000000	g4652, g42066	XP_013624834.1, XP_013617584.1, XP_013628140.1, XP_013632803.1, XP_013594673.1, XP_013639579.1, XP_013639401.1, XP_013594791.1, XP_013589029.1, XP_013632943.1, XP_013607959.1, XP_013614584.1, XP_013624981.1, XP_013624943.1, XP_013629442.1, XP_013629898.1, XP_013589204.1
OG0000000	g40877, g32052, g11718, g40053	XP_013627230.1
OG0000000	g36791, g41892, g31287, g53283, g32963, g16747, g16413, g41832, g25280	XP_013594460.1
OG0000000	g1710, g51108, g47070, g43826, g49581	XP_013594530.1
OG0000000	g45106, g24897, g34861, g52921, g13894, g26632	XP_013624623.1
OG0000000	g23493	XP_013601459.1
OG0000000	g44562, g51061, g1238, g44545, g28474, g44506, g29058, g23419, g19097, g2263	XP_013617747.1, XP_013625011.1, XP_013583433.1, XP_013601125.1, XP_013608309.1, XP_013617255.1, XP_013624915.1, XP_013595166.1
OG0000000	g14416, g10434, g12783, g43405, g3096	XP_013601024.1, XP_013601437.1, XP_013639767.1
OG0000000	g41948	XP_013633487.1, XP_013633135.1, XP_013639278.1
OG0000002	g54223, g47322, g50479, g22753, g1903, g3746	XP_013601696.1, XP_013617415.1, XP_013601104.1, XP_013604825.1
OG0000002	g3134	XP_013624612.1
OG0000002	g37245, g2354, g39436, g6838, g25760, g29103, g23772, g90, g50454, g36751, g4010, g43962, g19245, g43934, g44424, g41749, g24257, g3133, g3191, g4742, g52215, g3933, g13094, g23775, g35212, g16357, g1174, g39575, g53949, g32517, g38095, g38550, g45383, g31907, g19556, g35262, g42582, g4354, g3990, g34279, g45327, g19105, g28792, g31361, g9965, g16038, g50948, g24802, g16867, g54126, g2355, g25413, g53914, g39435, g16050, g49182	XP_013615241.1, XP_013624472.1
OG0000002	g16055, g23051, g18890, g45322	XP_013632468.1
OG0000002	g43884	XP_013594451.1
OG0000002	g36079	XP_013608132.1
OG0000002	g16868, g39578, g50949, g32031, g54127, g51347, g43933, g43961, g37679, g25411, g23774, g4011, g14412, g50453, g53950	XP_013624531.1
OG0000002	g28128, g35851, g3258, g32516	XP_013624471.1, XP_013630619.1
OG0000002	g22355	XP_013632797.1
OG0000003	g14063	XP_013594483.1, XP_013632484.1, XP_013616875.1, XP_013589405.1, XP_013595187.1
OG0000003	g51436, g50080, g50933, g49020	XP_013617895.1, XP_013601861.1, XP_013613505.1, XP_013632463.1
OG0000003	g18622	XP_013589254.1
OG0000003	g25137	XP_013624212.1
OG0000003	g6810, g1448	XP_013633333.1, XP_013624315.1, XP_013588987.1, XP_013583277.1, XP_013607765.1
OG0000003	g45682, g1467, g38320, g49844	XP_013601688.1
OG0000003	g25134, g35681, g14225, g41636	XP_013617795.1
OG0000003	g18621	XP_013601139.1
OG0000003	g24632	XP_013600128.1, XP_013633271.1, XP_013595102.1, XP_013589262.1
OG0000003	g39352, g43844, g39389	XP_013639347.1
OG0000003	g42622	XP_013614573.1
OG0000003	g54170, g13785, g36223	XP_013589602.1
OG0000003	g26213, g52072	XP_013617246.1
OG0000003	g11178	XP_013601220.1
OG0000003	g46643, g3725, g24106	XP_013595077.1, XP_013639673.1, XP_013608157.1, XP_013589269.1, XP_013617855.1, XP_013589622.1, XP_013608127.1, XP_013608302.1, XP_013595068.1, XP_013588986.1
OG0000004	g1377	XP_013639674.1, XP_013607775.1
OG0000004	g42410, g1669, g8852, g8926, g33256, g8658, g27882, g42971, g52490, g11635, g26594, g26034, g30059	XP_013624852.1, XP_013624387.1, XP_013633000.1
OG0000004	g48697, g38565, g15527, g52604, g21487, g11636, g8259, g39218, g48654, g39210	XP_013594448.1
OG0000004	g14971, g14523, g43269, g39211, g30373, g22546, g21442, g8934, g32795, g48064, g43024, g2952, g33829, g26443, g15796, g33257, g35407, g3622, g34365, g34421, g15173, g26116, g26033, g3560, g9299, g26158, g25877, g32785, g42245, g35241, g24983, g9295, g30003, g30362, g42602, g43335, g4315, g14833, g30007, g4104, g35887, g3478	XP_013639070.1, XP_013624132.1, XP_013604648.1, XP_013622913.1, XP_013614766.1, XP_013617564.1, XP_013620246.1, XP_013622932.1, XP_013632119.1, XP_013615033.1, XP_013635049.1, XP_013634393.1, XP_013632334.1, XP_013638528.1, XP_013615016.1, XP_013622122.1, XP_013606813.1, XP_013624283.1, XP_013639617.1, XP_013601877.1, XP_013633191.1
OG0000004	g33193, g3782, g9018, g37863	XP_013590901.1, XP_013608188.1
OG0000004	g22323	XP_013588715.1
OG0000004	g30371, g48085, g4721, g53669, g21500, g25180, g52738, g21847	XP_013608377.1, XP_013620525.1, XP_013639090.1, XP_013617768.1, XP_013634238.1, XP_013594179.1, XP_013594371.1, XP_013595201.1, XP_013602945.1, XP_013601532.1, XP_013623778.1, XP_013607655.1
OG0000004	g32763	XP_013624193.1
OG0000004	g16396, g30119	XP_013616947.1
OG0000004	g26364, g35195, g3554, g33447, g33443, g52439, g30683, g11402, g42267, g4097, g35533, g26378, g25248, g4110, g26383, g33093, g52754	XP_013639281.1
OG0000004	g32855	XP_013601368.1
OG0000004	g16275	XP_013624478.1
OG0000004	g33029	XP_013617170.1
OG0000004	g15895, g33141, g34291, g3426	XP_013608060.1, XP_013632935.1
OG0000004	g53542	XP_013601294.1
OG0000005	g4576, g20561, g20558	XP_013614810.1, XP_013624578.1
OG0000005	g35025, g4314, g3006, g14436, g25221, g43590	XP_013624326.1
OG0000005	g36078	XP_013626656.1, XP_013589417.1
OG0000005	g42010	XP_013639462.1
OG0000005	g3007	XP_013639428.1, XP_013607867.1, XP_013615207.1
OG0000005	g52866, g10483, g26067	XP_013633002.1, XP_013624018.1
OG0000005	g35068, g53526	XP_013624390.1
OG0000005	g53525, g15922, g34539	XP_013601099.1
OG0000005	g34343, g34347, g42612	XP_013601768.1
OG0000005	g21085, g8878, g21778, g22562, g21750, g53237, g33681, g48434, g38758, g15439, g48097, g30184, g21769, g38943, g38685, g15405, g21658, g21626, g15483, g9357	XP_013616730.1
OG0000005	g4552, g14576	XP_013639546.1, XP_013624082.1, XP_013589023.1, XP_013588872.1, XP_013583408.1
OG0000005	g41900	XP_013617438.1
OG0000005	g41972	XP_013613453.1
OG0000005	g34342	XP_013615225.1
OG0000005	g41143	XP_013594487.1
OG0000005	g35024, g42611, g49127, g41144	XP_013624826.1
OG0000005	g21883	XP_013614903.1
OG0000005	g8684, g42471, g30075, g8186, g34553, g33523, g19890, g30141	XP_013639562.1, XP_013594450.1, XP_013632769.1, XP_013624568.1
OG0000005	g21278, g20466, g48110, g35853, g34379, g25150, g49153, g15688, g34015, g9373, g39078, g34881, g53100, g43002, g53316, g33907, g48442, g52431, g30155, g48992, g15070, g42274, g49109, g20971, g26111, g21486, g21325, g8468, g43585, g43545, g43879, g39189, g21259	XP_013632581.1
OG0000005	g33707, g26603	XP_013624657.1
OG0000005	g24941, g6067, g53318, g33724	XP_013613865.1
OG0000005	g19815, g43673, g15300, g25996, g16262, g20544, g21254	XP_013639540.1
OG0000005	g34165, g43672, g41752, g9458, g34716, g49092	XP_013624597.1
OG0000005	g33704, g23055, g24933, g51797, g25490	XP_013639588.1, XP_013639715.1
OG0000005	g33923, g37457, g8422, g20735	XP_013624627.1
OG0000005	g16442, g21798, g21724	XP_013601164.1
OG0000005	g15105	XP_013624301.1
OG0000005	g35008, g30488, g34187, g20543, g52364, g36810	XP_013589090.1
OG0000007	g4635	XP_013614260.1, XP_013624837.1, XP_013589419.1, XP_013632751.1, XP_013639708.1
OG0000007	g40547, g4032, g24749, g15595	XP_013633377.1, XP_013632977.1, XP_013623353.1, XP_013633146.1, XP_013639247.1, XP_013614053.1, XP_013589057.1, XP_013617886.1
OG0000007	g9677	XP_013610211.1
OG0000007	g16483	XP_013601509.1
OG0000007	g47006, g45886, g50470	XP_013594580.1, XP_013607658.1
OG0000007	g596, g49751	XP_013594930.1
OG0000007	g48115, g32111, g42023	XP_013608328.1
OG0000008	g36794	XP_013594703.1, XP_013583429.1, XP_013639704.1, XP_013639167.1, XP_013615146.1, XP_013612199.1, XP_013633438.1
OG0000008	g5353, g35020, g27856, g27175, g1942	XP_013601357.1
OG0000008	g52586	XP_013629664.1
OG0000008	g35255, g34273, g25872	XP_013639786.1
OG0000008	g26783	XP_013614821.1
OG0000008	g36094, g12608, g25554, g19408	XP_013639623.1, XP_013639271.1
OG0000008	g25873	XP_013624621.1, XP_013639785.1
OG0000008	g33123	XP_013624694.1
OG0000009	g32059	XP_013595203.1
OG0000009	g53845	XP_013633175.1
OG0000009	g43889, g48006	XP_013633205.1
OG0000009	g42166	XP_013594815.1
OG0000009	g38135, g4, g54233, g32288, g9848, g3832, g54192, g31394, g30358, g44061, g36068, g44251	XP_013613616.1
OG0000009	g39670, g22668, g25460, g181, g49313	XP_013614431.1
OG0000009	g10580, g39986, g32058	XP_013583375.1, XP_013624886.1
OG0000009	g11275, g53238, g41488, g4401, g4394, g44957	XP_013633284.1, XP_013589640.1, XP_013617979.1, XP_013608540.1, XP_013595158.1, XP_013589654.1, XP_013601782.1, XP_013588992.1, XP_013633488.1
OG0000009	g23979, g28647, g29131, g1512	XP_013616754.1, XP_013615524.1
OG0000011	g6794, g51199, g2482, g2714, g11450, g46138, g50714	XP_013617429.1
OG0000011	g18071, g2721, g42559, g4725, g47538	XP_013586656.1, XP_013616817.1, XP_013639582.1
OG0000011	g16592, g1020	XP_013627832.1, XP_013615711.1
OG0000011	g27930	XP_013619335.1
OG0000011	g48, g50936	XP_013607551.1
OG0000011	g24216, g17795	XP_013615397.1
OG0000011	g16517, g46209, g52302, g50725, g9756, g40322, g40680, g46208, g46628, g28265, g45606, g286, g36844, g27603	XP_013610312.1, XP_013624126.1, XP_013624406.1, XP_013608203.1
OG0000011	g24975	XP_013589498.1, XP_013632628.1, XP_013633248.1
OG0000011	g2720, g19256	XP_013601270.1, XP_013633251.1
OG0000012	g6006, g41912	XP_013614480.1
OG0000012	g1458, g24832, g50752	XP_013601728.1, XP_013626826.1, XP_013607511.1, XP_013607859.1
OG0000012	g4219, g9033, g16484, g37833	XP_013632980.1, XP_013617543.1, XP_013639263.1, XP_013623879.1, XP_013615145.1, XP_013632658.1, XP_013601976.1, XP_013594568.1, XP_013617695.1, XP_013607950.1, XP_013608186.1
OG0000012	g26075	XP_013614955.1, XP_013595015.1, XP_013601499.1, XP_013607737.1
OG0000014	g19791, g52909, g26674, g4300, g16405, g35809, g35692, g30259, g7994, g4606, g8736, g49794, g48035, g14367, g53110, g14694, g52347, g16258, g8788, g36341, g30447, g14547, g14537, g14496, g14517, g14826, g9281, g32574, g25814, g30464, g25793, g16617, g25898, g42953, g14379, g33305	XP_013595642.1, XP_013639554.1
