Orthogroup	Cardamine_glauca	Arabidopsis_lyrata_NCBI
OG0000000	Cg005G1542700	XP_020887909.1
OG0000000	Cg006G1881000	XP_020885673.1
OG0000000	Cg003G0793800	XP_020883444.1
OG0000003	Cg006G1905700	XP_020881895.1
OG0000003	Cg001G0274200, Cg002G0686800	XP_020889841.1
OG0000004	Cg005G1670400, Cg002G0621600, Cg001G0187300, Cg004G1344800, Cg008G2898200, Cg004G1359700, Cg004G1347000, Cg003G0835900, Cg006G1875200, Cg006G1877400	XP_020886397.1, XP_020866436.1
OG0000004	Cg002G0566400, Cg004G1175600, Cg008G2960200, Cg001G0254800, Cg008G2671600, Cg008G2922100, Cg007G2351100, Cg005G1719500, Cg004G1384700, Cg002G0576600, Cg002G0577700	XP_020870326.1, XP_020890321.1, XP_020887182.1, XP_020891399.1
OG0000004	Cg004G1187900	XP_020886399.1, XP_020881080.1, XP_020874109.1
OG0000004	Cg011G3014900, Cg001G0291700, Cg002G0631600, Cg001G0232800, Cg005G1551600	XP_020865758.1
OG0000005	Cg006G1917400	XP_020871957.1, XP_020866342.1, XP_020887113.1
OG0000007	Cg008G2926400	XP_020870157.1, XP_020870555.1
OG0000007	Cg004G1331500	XP_020882643.1
OG0000008	Cg002G0653600	XP_020871586.1
OG0000008	Cg002G0565700	XP_020881885.1, XP_020881611.1
OG0000009	Cg003G0834900	XP_020887659.1
OG0000009	Cg007G2452800	XP_020889795.1
OG0000009	Cg005G1717900, Cg003G0717800, Cg005G1769300	XP_020877155.1, XP_020876055.1
OG0000009	Cg008G2845600	XP_020881689.1
OG0000011	Cg008G2919200, Cg002G0664700, Cg003G0778000	XP_020873638.1
OG0000011	Cg005G1679200	XP_020885819.1, XP_020866216.1, XP_020885594.1, XP_020870692.1, XP_020889856.1, XP_020872445.1, XP_020875855.1, XP_020877678.1
OG0000011	Cg005G1679100	XP_020875848.1
OG0000015	Cg001G0251200	XP_020865814.1
OG0000018	Cg003G0814300	XP_020876240.1
OG0000020	Cg004G1313600	XP_002862745.2, XP_020874187.1
OG0000021	Cg006G1871200	XP_020872563.1, XP_020870832.1, XP_020872717.1, XP_020874922.1, XP_020879645.1
OG0000021	Cg006G1912000, Cg004G1333000	XP_020879723.1, XP_020874134.1, XP_020871964.1, XP_020874896.1, XP_020872412.1
OG0000022	Cg001G0134600	XP_020873422.1
OG0000022	Cg007G2277400	XP_002886462.1
OG0000022	Cg007G2272800, Cg007G2270400, Cg007G2272900, Cg007G2273000	XP_020865810.1
OG0000022	Cg007G2258400	XP_020865918.1
OG0000022	Cg001G0385000	XP_002868609.1
OG0000022	Cg004G1232100	XP_002883021.2
OG0000023	Cg007G2371000	XP_020870611.1
OG0000023	Cg003G0882200	XP_020875036.1
OG0000023	Cg006G1902200	XP_020871051.1
OG0000023	Cg001G0296000	XP_020888454.1
OG0000024	Cg006G1959100, Cg006G1958900, Cg006G1959600, Cg006G1959000, Cg006G1959800, Cg006G1959300	XP_020866666.1, XP_002890932.2, XP_002890929.1, XP_020866416.1, XP_002890930.2, XP_002890933.2, XP_002888578.2, XP_020883507.1, XP_020883506.1, XP_002890934.2, XP_002890931.2, XP_020866341.1
OG0000024	Cg002G0647900	XP_002893706.2
OG0000024	Cg006G1963900, Cg006G1963800	XP_020888987.1
OG0000024	Cg002G0447000, Cg002G0448700	XP_020881113.1, XP_020879759.1, XP_020879758.1, XP_002875716.2
OG0000025	Cg007G2444400	XP_020877486.1
OG0000027	Cg003G0758600	XP_020878445.1
OG0000027	Cg003G0758500	XP_002872592.1
OG0000027	Cg003G0758900	XP_020878447.1, XP_020878438.1
OG0000027	Cg001G0171100	XP_020873341.1
OG0000027	Cg003G0757800	XP_020867640.1
OG0000027	Cg001G0171900	XP_002867727.1
OG0000027	Cg001G0171700	XP_020873349.1
OG0000028	Cg003G0981300	XP_020874778.1
OG0000028	Cg007G2581000	XP_020875061.1
OG0000030	Cg004G1270000	XP_020871692.1, XP_020871677.1, XP_020888510.1
OG0000030	Cg004G1264800	XP_002885337.1
OG0000030	Cg006G1982700	XP_002890504.1, XP_002893432.1, XP_020866580.1
OG0000030	Cg002G0532900	XP_020879678.1, XP_020881930.1, XP_020880910.1
OG0000030	Cg006G2154000	XP_020869589.1
OG0000031	Cg003G0842000	XP_020872075.1, XP_020890956.1, XP_020882438.1, XP_020870253.1
OG0000034	Cg001G0172000	XP_002869784.2
OG0000034	Cg001G0190400	XP_020873360.1
OG0000034	Cg001G0190500	XP_002867849.1
OG0000034	Cg001G0172600	XP_020873368.1
OG0000034	Cg001G0172700	XP_020873356.1, XP_020873366.1
OG0000040	Cg007G2426000, Cg008G2852000, Cg008G2867800	XP_020888726.1
OG0000040	Cg003G0770800, Cg006G1822500, Cg003G0954000	XP_020890764.1, XP_020881671.1
OG0000040	Cg008G2847400, Cg008G2861900	XP_020884682.1, XP_020887780.1
OG0000044	Cg001G0233900	XP_020880050.1, XP_020868157.1
OG0000044	Cg008G2973700	XP_002865187.1
OG0000044	Cg008G2897600	XP_020881042.1
OG0000044	Cg008G2973900	XP_020880043.1, XP_020867167.1
