Orthogroup	Arabis_alpina	Odontarrhena_muralis
OG0000000	Aa_G305790.h1.t1	Om006G263990
OG0000002	Aa_G973590.h1.t1, Aa_G919120.h1.t1, Aa_G523140.h1.t1, Aa_G139860.h1.t1, Aa_G544990.h1.t1	Om003G106310
OG0000002	Aa_G201640.h1.t1, Aa_G517450.h1.t1, Aa_G841100.h1.t1, Aa_G891490.h1.t1, Aa_G380080.h1.t1, Aa_G876490.h1.t1, Aa_G440660.h1.t1, Aa_G6650.h1.t1, Aa_G429320.h1.t1	Om002G054700
OG0000002	Aa_G504380.h1.t1, Aa_G843080.h1.t1, Aa_G109850.h1.t1, Aa_G417360.h1.t1	Om007G309520, Om002G043270
OG0000002	Aa_G202910.h1.t1, Aa_G473920.h1.t1, Aa_G671100.h1.t1, Aa_G36530.h1.t1, Aa_G272260.h2.t1, Aa_G272260.h1.t1, Aa_G571690.h1.t1	Om003G105370, Om003G107650, Om008G342070, Om003G102030, Om004G152900
OG0000002	Aa_G940570.h1.t1, Aa_G202640.h1.t1	Om005G222520, Om004G148400, Om001G016090
OG0000003	Aa_G301670.h1.t1	Om007G276690
OG0000003	Aa_G169510.h1.t1	Om004G155100
OG0000005	Aa_G1025960.h1.t1	Om005G219680, Om008G356930, Om004G145060
OG0000005	Aa_G122060.h1.t1	Om001G028590, Om007G295980
OG0000007	Aa_G60120.h1.t1	Om006G262590, Om005G223090, Om005G223110, Om005G223130, Om002G079350, Om007G294980, Om007G304460, Om006G253570, Om001G035080, Om001G019950, Om007G300730, Om004G138310, Om002G075780, Om007G295140, Om006G263650, Om006G268070, Om002G088480, Om002G062480, Om001G019860
OG0000007	Aa_G175710.h1.t1	Om007G283730
OG0000010	Aa_G227980.h1.t1, Aa_G162930.h1.t1, Aa_G286860.h1.t1, Aa_G7690.h1.t1, Aa_G848940.h1.t1	Om008G341420
OG0000012	Aa_G297380.h1.t1	Om004G146180
OG0000013	Aa_G790.h1.t1	Om003G108850, Om006G268640
OG0000015	Aa_G522550.h1.t1	Om005G217510
OG0000015	Aa_G962140.h1.t1	Om003G105790, Om004G154560
OG0000015	Aa_G183280.h1.t1, Aa_G533220.h1.t1, Aa_G982290.h1.t1	Om007G305020
OG0000017	Aa_G135640.h1.t1	Om003G112310
OG0000020	Aa_G907350.h1.t1	Om010G364780, Om008G361310, Om002G078780
OG0000021	Aa_G505500.h1.t1	Om005G226540, Om001G020790
OG0000023	Aa_G92870.h1.t1, Aa_G494730.h1.t1, Aa_G92760.h1.t1	Om001G010360, Om001G009290
OG0000023	Aa_G597270.h1.t1	Om008G351620, Om008G351630
OG0000023	Aa_G200900.h1.t1	Om001G010200
OG0000023	Aa_G191740.h1.t1	Om001G011570
OG0000025	Aa_G123400.h1.t1, Aa_G71570.h1.t1, Aa_G123410.h1.t1	Om002G073490, Om002G073430
OG0000025	Aa_G687010.h2.t1, Aa_G687010.h3.t1, Aa_G687010.h1.t1, Aa_G687040.h1.t1, Aa_G604290.h1.t1, Aa_G604300.h1.t1	Om003G114490, Om003G114450
OG0000026	Aa_G387540.h1.t1	Om002G080990
OG0000028	Aa_G248570.h1.t1	Om001G022770, Om007G314890
OG0000029	Aa_G1055220.h1.t1, Aa_G1055220.h2.t1, Aa_G205300.h1.t1	Om005G216790
OG0000029	Aa_G154360.h1.t1	Om005G225700, Om001G013080, Om001G020560, Om002G078670, Om007G309080, Om007G298320
OG0000029	Aa_G302660.h1.t1	Om004G147450
OG0000029	Aa_G342490.h1.t1	Om006G262550, Om004G151510
OG0000030	Aa_G67230.h1.t1	Om004G153710
OG0000030	Aa_G347570.h1.t1, Aa_G618610.h1.t1, Aa_G125500.h1.t1	Om001G018460, Om005G215420, Om004G165210
OG0000030	Aa_G963460.h1.t1, Aa_G338960.h1.t1	Om001G015000, Om006G265800
OG0000030	Aa_G500830.h1.t1	Om005G226380
