Orthogroup	Cardamine_amara	Arabidopsis_lyrata_Rawat
OG0000000	evm.model.RL_4.378, evm.model.RL_7.1948, evm.model.RL_6.512, evm.model.RL_3.844, evm.model.RL_4.736, evm.model.RL_8.405	AL1G57270, AL8G19530
OG0000000	evm.model.RL_3.245	AL2G17020, AL1G64940, AL7G51790
OG0000000	evm.model.RL_4.599	AL1G65560
OG0000000	evm.model.RL_1.2840, evm.model.RL_3.692, evm.model.RL_5.2512	AL1G65200
OG0000003	evm.model.RL_8.1049	AL6G48210
OG0000003	evm.model.RL_6.672	AL2G19230
OG0000003	evm.model.RL_5.2420	AL97U10030, AL8G11290
OG0000003	evm.model.RL_2.1084	AL4G38100
OG0000003	evm.model.RL_2.667, evm.model.RL_2.693, evm.model.RL_7.2022, evm.model.RL_2.688, evm.model.RL_8.1019, evm.model.RL_8.1021, evm.model.RL_1.2656, evm.model.RL_8.1024, evm.model.RL_1.2650, evm.model.RL_8.1013	AL7G43690
OG0000003	evm.model.RL_1.2632	AL2G18790
OG0000003	evm.model.RL_1.3305	AL3G54340, AL8G29360
OG0000003	evm.model.RL_6.630, evm.model.RL_6.635, evm.model.RL_2.683, evm.model.RL_1.2634, evm.model.RL_5.2492, evm.model.RL_3.793, evm.model.RL_6.677, evm.model.RL_3.838, evm.model.RL_6.670	AL6G40720
OG0000003	evm.model.RL_6.652	AL1G51880
OG0000003	evm.model.RL_1.2635	AL3G44970
OG0000003	evm.model.RL_5.2495, evm.model.RL_5.2496, evm.model.RL_1.2659, evm.model.RL_1.2653, evm.model.RL_1.2637	AL1G65770, AL3G45600
OG0000004	evm.model.RL_2.303	AL3G48680, AL5G22440, AL6G44150, AL1G56670, AL3G22550, AL5G26100, AL7G39190, AL3G46930, AL2G10670, AL5G14470, AL8G16780, AL1G59080, AL4G28670, AL4G26210, AL8G17990, AL4G17570
OG0000004	evm.model.RL_2.401	AL6G27580
OG0000004	evm.model.RL_2.402	AL7G43450, AL5G14690, AL4G13050, AL4G31100, AL6G34180
OG0000005	evm.model.RL_4.816, evm.model.RL_4.229	AL6G36520
OG0000005	evm.model.RL_7.1952	AL8G23160
OG0000005	evm.model.RL_1.1902	AL2G39630
OG0000005	evm.model.RL_2.461	AL7G37950
OG0000006	evm.model.RL_6.444	AL1G53130
OG0000006	evm.model.RL_4.552	AL8G24640
OG0000006	evm.model.RL_4.553, evm.model.RL_5.578	AL9U10810
OG0000006	evm.model.RL_5.2330	AL1G37680, AL3G20440, AL8G18310
OG0000007	evm.model.RL_1.2700, evm.model.RL_2.507, evm.model.RL_2.539	AL6G33910, AL4G36510
OG0000007	evm.model.RL_4.2369	AL4G24130
OG0000007	evm.model.RL_2.2279	AL1G62960
OG0000007	evm.model.RL_4.1690, evm.model.RL_7.1569	AL4G43860
OG0000007	evm.model.RL_2.556	AL5G26440, AL3G26530, AL1G56620, AL8G11050, AL8G15150, AL7G49620, AL4G12690, AL8G16910
OG0000008	evm.model.RL_4.1914	AL2G20270, AL4G19160, AL298U10010, AL9U11800, AL4G18790, AL3G44010, AL7G44440, AL4G37240, AL4G20310, AL7G45220, AL6G27010, AL5G18950, AL2G17460, AL226U10010, AL8G21160, AL8G41980, AL6G49380, AL39U10050, AL6G25540, AL5G16170, AL7G48840, AL7G10810, AL8G17730, AL747U10010, AL4G21710, AL66U10030, AL1G63180, AL7G51050, AL1G65090, AL7G50980, AL8G11530, AL1G29200, AL8G21520, AL5G24310, AL3G40710, AL1G45690, AL5G20410, AL4G18090, AL2G19610, AL6G46960, AL3G44870, AL2G22310, AL4G13380, AL3G52160
OG0000008	evm.model.RL_7.1211	AL5G32180
OG0000010	evm.model.RL_1.2848, evm.model.RL_7.2062, evm.model.RL_2.395	AL8G19810
OG0000012	evm.model.RL_4.165	AL5G18610, AL1G66070
OG0000012	evm.model.RL_7.2040	AL4G14230, AL5G19240
OG0000012	evm.model.RL_5.2583	AL4G20380
OG0000012	evm.model.RL_2.748	AL2G18620
OG0000012	evm.model.RL_3.685, evm.model.RL_2.3	AL8G19630, AL7G45280
OG0000013	evm.model.RL_6.758, evm.model.RL_3.807, evm.model.RL_3.1357, evm.model.RL_4.820, evm.model.RL_2.791, evm.model.RL_6.523, evm.model.RL_4.704, evm.model.RL_2.641	AL3G45620
OG0000013	evm.model.RL_5.2507	AL6G41250
OG0000013	evm.model.RL_6.796	AL5G20640
OG0000014	evm.model.RL_3.2284	AL527U10010
OG0000014	evm.model.RL_7.2497	AL8G21700, AL8G22640, AL177U10010, AL5G19160, AL5G16500
OG0000014	evm.model.RL_1.2667	AL1G10620, AL1G57320, AL4G16410, AL1G54360
OG0000015	evm.model.RL_4.1006	AL1G20970, AL792U10020, AL429U10010, AL8G27740, AL4G24660, AL3G28900, AL4G16120, AL8G24680
OG0000015	evm.model.RL_1.2714	AL3G46060
OG0000015	evm.model.RL_4.1007	AL7G47990, AL2G21990, AL5G11720, AL615U10010, AL1G54160
OG0000017	evm.model.RL_7.1888	AL7G44020, AL3G44050, AL460U10020, AL6G40580
OG0000018	evm.model.RL_4.1915	AL4G20340, AL5G22660, AL3G44000, AL4G18810, AL564U10010, AL8G21810, AL2G20290, AL3G16850, AL9U11790, AL4G19170
OG0000018	evm.model.RL_6.190	AL3G52170, AL5G41490, AL4G18100, AL8G33160, AL8G23170, AL4G13400, AL2G40700
OG0000018	evm.model.RL_7.1872	AL7G47350, AL7G51150
OG0000019	evm.model.RL_7.2268	AL1G50520, AL5G34620, AL5G17780, AL7G52850
OG0000020	evm.model.RL_2.3364	AL8G28430
OG0000020	evm.model.RL_7.2129	AL4G17980
OG0000021	evm.model.RL_4.405	AL5G16490, AL5G19200
OG0000021	evm.model.RL_4.3275, evm.model.RL_5.2792	AL1G46090, AL5G10040, AL5G25470, AL96U10010
OG0000023	evm.model.RL_2.1843	AL7G30160
OG0000023	evm.model.RL_2.1842	AL7G30170
OG0000023	evm.model.RL_8.636	AL6G45970
OG0000023	evm.model.RL_2.1840	AL6G46030
OG0000023	evm.model.RL_8.624	AL6G46070
OG0000023	evm.model.RL_2.1829, evm.model.RL_2.1830	AL7G30270
OG0000023	evm.model.RL_2.1825.3.687c86e4	AL7G30280
OG0000025	evm.model.RL_8.1541	AL8G29920
OG0000026	evm.model.RL_5.679	AL460U10010
OG0000026	evm.model.RL_7.315	AL1G18480, AL4G42270, AL5G11540
OG0000027	evm.model.RL_5.2839	AL1G45210
OG0000027	evm.model.RL_7.603, evm.model.RL_7.580	AL5G23680
OG0000028	evm.model.RL_4.1689	AL1G65750, nbis-gene-1243
OG0000029	evm.model.RL_4.797	AL4G17400
OG0000031	evm.model.RL_3.758	AL2G12470
OG0000031	evm.model.RL_3.205	AL2G13170, AL2G12830, AL2G12810, AL2G13140, AL2G12820, AL2G18840
OG0000033	evm.model.RL_2.1820_evm.model.RL_2.1823	AL7G30310
OG0000033	evm.model.RL_3.424, evm.model.RL_3.1278	AL5G24540
OG0000033	evm.model.RL_8.413	AL6G48800
OG0000034	evm.model.RL_5.2588	AL8G16120, AL8G19610
OG0000036	evm.model.RL_5.2564	AL5G26550, AL920U10010
OG0000036	evm.model.RL_2.742, evm.model.RL_2.665	AL6G37450, AL4G17610, AL6G45120, AL1G60100, AL3G30200, AL2G27390
OG0000037	evm.model.RL_1.2680	AL7G49500, AL1G54600, AL2G19430
OG0000037	evm.model.RL_1.63	AL7G52580, AL4G33780
OG0000037	evm.model.RL_4.2891, evm.model.RL_5.3695	AL5G11300
OG0000037	evm.model.RL_3.518	AL6G28120, AL3G49490, AL1G47310, AL3G45700
OG0000038	evm.model.RL_7.1446	nbis-gene-1329
OG0000038	evm.model.RL_8.1346, evm.model.RL_8.1344	AL8G26900
OG0000039	evm.model.RL_3.1691	nbis-gene-244
OG0000040	evm.model.RL_7.2097	AL3G27510
OG0000042	evm.model.RL_3.4	AL677U10010, AL2G11290, AL1G59470
OG0000042	evm.model.RL_7.1372	AL8G11480
OG0000042	evm.model.RL_7.1972	AL3G43050
OG0000042	evm.model.RL_6.2221	AL364U10020, AL6G48140
OG0000043	evm.model.RL_8.981, evm.model.RL_8.1077	AL5G21640, AL2G17290, AL5G20230
OG0000044	evm.model.RL_8.225, evm.model.RL_2.612, evm.model.RL_1.2874, evm.model.RL_8.631, evm.model.RL_8.462, evm.model.RL_6.580, evm.model.RL_4.2682	AL1G53510, AL3G40680, AL7G41120, AL1G60090, AL6G41380, AL3G43290, AL8G21960, AL8G24550, AL3G45110, AL3G45080, AL6G44180, AL6G43460, AL1G51180, AL4G17640, AL6G40760, AL3G44690, AL4G20190
OG0000044	evm.model.RL_3.633, evm.model.RL_7.2338, evm.model.RL_8.226	AL5G16920, AL7G43910, AL3G42580
