Orthogroup	Arabidopsis_lyrata_NCBI	Arabidopsis_arenosa
OG0000000	XP_020887823.1	jg7091
OG0000000	XP_020890704.1, XP_020869115.1	jg7218
OG0000000	XP_020867739.1, XP_020872418.1, XP_020889487.1, XP_020890732.1	jg27616
OG0000004	XP_020886397.1, XP_020866436.1	jg6905
OG0000004	XP_020870326.1, XP_020890321.1, XP_020887182.1	jg12072, jg12472
OG0000004	XP_020891399.1	jg1749
OG0000004	XP_020886399.1	jg72, jg27337, jg20829, jg32155, jg32817, jg21191, jg8262, jg27197
OG0000008	XP_020881885.1, XP_020881611.1	jg15054, jg15062, jg15069, jg15057
OG0000009	XP_020887659.1	jg1846, jg6872, jg3218, jg20691
OG0000009	XP_020883429.1	jg17538
OG0000009	XP_020882780.1	jg13081, jg20041
OG0000011	XP_020881814.1	jg33383
OG0000011	XP_020878850.1	jg21637
OG0000011	XP_020873638.1	jg13840
OG0000011	XP_020878589.1, XP_020869090.1	jg26287
OG0000011	XP_020876758.1, XP_020889800.1, XP_020881514.1	jg13651
OG0000011	XP_020869856.1	jg20674
OG0000011	XP_020866192.1, XP_020877161.1	jg13487, jg13649
OG0000011	XP_020877831.1	jg11481
OG0000011	XP_020886056.1, XP_020881816.1, XP_020874677.1	jg4816, jg25269
OG0000011	XP_020872379.1, XP_020877201.1, XP_020879405.1	jg13838
OG0000011	XP_020871455.1	jg27639
OG0000011	XP_020887782.1	jg18104
OG0000011	XP_020889569.1	jg33105, jg17517, jg32960, jg20959
OG0000011	XP_020885819.1, XP_020866216.1	jg4342
OG0000011	XP_020885594.1, XP_020870692.1	jg14168
OG0000011	XP_020889856.1	jg21692
OG0000011	XP_020877678.1	jg32528
OG0000011	XP_020875848.1	jg6805
OG0000012	XP_020871500.1	jg9712
OG0000012	XP_020891087.1	jg14895, jg31555
OG0000012	XP_020886262.1	jg16352, jg8938, jg6738
OG0000012	XP_020889836.1	jg13806
OG0000014	XP_020871369.1	jg11731
OG0000020	XP_020887777.1	jg6965
OG0000020	XP_002862745.2, XP_020874187.1	jg27354
OG0000020	XP_020879010.1	jg32618
OG0000020	XP_020873825.1, XP_020878844.1	jg27355, jg11845
OG0000020	XP_020869021.1	jg6982, jg14690
OG0000020	XP_020872420.1, XP_020884768.1	jg32222, jg15995
OG0000021	XP_020872717.1, XP_020874922.1, XP_020879645.1	jg2029, jg15196, jg12414, jg15089, jg17083, jg11853, jg32267, jg1316, jg16332, jg27287
OG0000021	XP_020889705.1, XP_020876177.1, XP_020889912.1, XP_020882641.1, XP_020879663.1, XP_020876808.1, XP_020879537.1, XP_020888861.1	jg27179
OG0000021	XP_020885208.1	jg32393, jg11989, jg32560, jg4400
OG0000021	XP_020886960.1, XP_020890910.1, XP_020885657.1	jg26774
OG0000021	XP_020879723.1, XP_020874134.1, XP_020871964.1, XP_020874896.1, XP_020872412.1	jg25715
OG0000022	XP_020873422.1	jg9770
OG0000022	XP_020878202.1	jg5495
OG0000022	XP_020890510.1	jg617
OG0000022	XP_020865986.1	jg616
OG0000022	XP_002886463.2	jg618
OG0000022	XP_020865982.1	jg613
OG0000022	XP_020889844.1	jg645, jg586, jg583
OG0000022	XP_002886462.1	jg642
