Orthogroup	Aethionema_saxatile	Cochlearia_excelsa
OG0000000	As006G148660, As007G164610, As002G036700, As010G230770	g33141, g33365, g33163
OG0000000	As001G006630, As006G147610	g53446, g21402, g43378, g33569, g9309, g43377, g33624, g35386, g48663, g21409, g43220, g20888, g26620, g4470, g21492, g48652, g52367, g19951, g32653, g34565, g14368, g48258
OG0000000	As011G257780	g8618, g48844, g29953, g30349, g42202, g45346, g33172, g42917, g5670, g4379, g26806, g26418, g3791, g53423, g17359, g46217, g1846, g24660, g16587, g22593, g42663, g35498
OG0000002	As006G147770, As004G091160	g35474
OG0000002	As006G147780	g46798
OG0000002	As004G091170	g41750, g28791
OG0000003	As008G191470	g33680, g9355, g15407, g21631, g38950, g34586, g21782, g21660, g39023, g15482, g21883, g21100, g15220, g22475, g21086, g11617, g8880, g21791, g21805
OG0000003	As003G066710	g8364, g30181, g15105, g19836
OG0000003	As003G066750	g33901, g33983, g34112, g42538, g25312, g15593
OG0000003	As007G166460	g42395
OG0000003	As012G280070	g8357, g30183, g8315, g48435, g38569, g48098, g21770, g22560
OG0000003	As012G279580	g21054, g49855, g48912, g42470, g38715
OG0000003	As003G066700	g21727
OG0000003	As012G279590	g20618, g30193, g21406, g42425, g33817, g15177
OG0000004	As009G212350	g10434, g43405, g12783, g14416, g3096
OG0000004	As010G231160	g31287
OG0000005	As001G006250	g10582
OG0000005	As012G278720	g14417
OG0000005	As007G177090, As005G111430	g53018, g11716, g40876
OG0000006	As010G228090	g52712, g16483, g596, g51769, g50470, g45886, g4033, g47006, g40546, g42738, g32471, g41913, g42739, g49751, g24749, g9677, g9032, g4218, g35394, g34804, g11663, g32442, g47000, g6208, g23854, g4635, g14489, g35540, g24723, g1457, g1504, g5172, g24823, g23855, g25855, g40547, g43721, g48115, g32111, g42023, g40353, g47960, g40914, g52350, g5266
OG0000008	As009G213820	g25872
OG0000008	As002G039930	g43261
OG0000008	As001G006420	g52586
OG0000010	As012G280540, As003G067340	g43027, g35985
OG0000010	As005G110910	g34294, g16618
OG0000010	As011G258980	g8241, g18650, g26348
OG0000010	As004G091500	g2094
OG0000010	As010G230230	g52910
OG0000010	As010G230410	g43026
OG0000010	As011G260030, As011G260080	g53109, g48054
OG0000010	As002G038660, As004G091490, As006G148670, As002G039770	g30462
OG0000010	As011G259140, As002G039560, As002G039570	g52428
OG0000010	As010G229600	g41484, g8779
OG0000010	As003G066480	g14842
OG0000011	As006G147240	g24724
OG0000011	As007G165830, As002G041210	g42924
OG0000011	As002G042220	g595, g39387, g50471, g45887, g31002, g3488, g4325, g42740, g27504, g48116, g37572, g5173, g42024, g1503, g32112
OG0000012	As007G176710	g15121
OG0000013	As007G165470, As003G067330, As002G039360, As005G111230, As002G039700, As011G257240, As010G228560, As003G066630, As002G039780, As001G012770, As007G167080, As012G280310, As007G176700, As002G039000, As012G279120	g24947, g35918, g53893, g41958
OG0000013	As001G013310	g13558
OG0000014	As007G177950	g43483
OG0000014	As010G230580	g53391
OG0000014	As010G232150, As007G177430, As008G192770	g16697, g10634, g1970, g40835, g10249, g44050, g4521, g17734, g32003, g4816, g28378, g1568, g51668, g10565, g27276, g40834, g40838, g10566
OG0000015	As007G166610	g42099
OG0000015	As007G163280, As004G091800, As011G257210, As008G195330, As004G086610	g53814, g16594, g16764, g14880, g952, g32985, g12170, g24863, g35813, g36776, g26230, g26256, g43592, g5557
OG0000015	As011G257220	g1783, g40287, g27896, g24000, g1778, g40286
OG0000015	As010G225860	g3313, g42908, g24843, g26998, g48095, g12672, g5446, g26670, g41116, g47966, g53567, g15603, g23354, g2748, g31975
OG0000015	As001G010760	g16300
OG0000015	As011G260400	g35814, g36777, g17194, g10206, g42100, g35247, g34265, g40661, g36021, g25817, g53143, g53815, g8558, g14879, g27728, g36346, g32986, g8573
OG0000015	As011G262470	g35684
OG0000017	As003G068220	g4190, g3679, g33003
OG0000017	As009G209200	g3672, g32994, g27829, g41994
OG0000017	As006G147350	g3669, g48346, g48867, g4186, g8266, g18079, g4346, g43594, g39831, g34285
OG0000017	As006G144790, As012G280790	g14557, g17020, g39315
OG0000017	As011G261070, As010G227380	g41997, g33121, g3359, g6214
OG0000019	As009G203070	g36529, g42561, g14492, g51080, g41576
OG0000019	As004G091650	g4839
OG0000019	As010G228470	g43707, g18316, g27825
OG0000019	As001G007070	g24975
OG0000019	As012G281430, As001G013530	g18942, g2713
OG0000019	As001G014580	g16516
OG0000020	As007G165150, As001G010310, As001G015320	g35282, g34309, g41784, g25262, g3253
OG0000020	As009G211210, As012G277620	g7451
OG0000020	As002G039920, As009G211220	g26122
OG0000021	As002G035760, As001G004280	g14063
OG0000021	As001G005040	g34726
OG0000021	As003G071480, As010G232120	g3713, g24107, g3725, g24106, g46643
OG0000023	As004G084560, As004G084580, As004G084570	g25720, g40374
OG0000023	As003G061270	g23907, g24643
OG0000026	As001G006500, As007G166710	g27047
OG0000026	As007G165250	g29188, g6804, g35673, g23908, g6168, g46330, g19145, g15615, g14034, g4585, g1553, g34282, g43477, g2977, g7900, g49409, g28254, g23598, g14578, g6312
