Orthogroup	Brassica_rapa	Rorippa_islandica
OG0000000	XP_009123079.1	Roisl.0046s1371.1.p, Roisl.0091s0126.1.p
OG0000000	XP_009123632.2, XP_009150012.1, XP_033128757.1, XP_009106474.1	Roisl.0012s0255.1.p, Roisl.0053s0040.1.p
OG0000000	XP_009150345.1	Roisl.0213s0782.1.p
OG0000000	XP_033134315.1	Roisl.0210s2160.1.p
OG0000000	XP_033146952.1	Roisl.0213s0402.1.p
OG0000000	XP_018512944.1	Roisl.0052s0046.1.p
OG0000000	XP_033138224.1, XP_009144626.1, XP_033130110.1, XP_033129351.1, XP_009117187.1, XP_009129274.1, XP_033139897.1	Roisl.0020s0162.1.p, Roisl.0213s0727.1.p
OG0000000	XP_033142720.1, XP_033147264.1, XP_033134838.1, XP_033130352.1, XP_033142250.1, XP_009114092.1, XP_009138592.1, XP_009103531.2, XP_033134325.1, XP_033135924.1	Roisl.0213s0280.1.p
OG0000002	XP_033138748.1	Roisl.0012s0025.1.p
OG0000002	XP_033148076.1, XP_033134169.1	Roisl.0047s0024.1.p
OG0000003	XP_033145314.1, XP_009145336.1	Roisl.0058s0055.1.p
OG0000003	XP_009123480.1, XP_033129481.1, XP_033134448.1, XP_033143250.1, XP_018510870.2	Roisl.0075s0224.1.p, Roisl.0011s0302.1.p, Roisl.0210s0002.1.p, Roisl.0053s0016.1.p
OG0000003	XP_033129527.1	Roisl.0053s0045.1.p, Roisl.0189s0026.1.p, Roisl.0193s0022.1.p, Roisl.0020s0023.1.p, Roisl.0047s0047.1.p, Roisl.0213s0702.1.p, Roisl.0185s0035.1.p, Roisl.0179s0027.1.p, Roisl.0046s0266.1.p, Roisl.0013s0148.1.p, Roisl.0184s0125.1.p, Roisl.0191s0324.1.p, Roisl.0184s0019.1.p, Roisl.0041s0045.1.p, Roisl.0209s0112.1.p, Roisl.0111s0003.1.p, Roisl.0056s0038.1.p, Roisl.0213s0675.1.p, Roisl.0058s0002.1.p, Roisl.0012s0115.1.p, Roisl.0213s0710.1.p, Roisl.0213s0711.1.p, Roisl.0014s0059.1.p, Roisl.0213s0758.1.p
OG0000003	XP_033129372.1	Roisl.0015s0133.1.p, Roisl.0017s0491.1.p, Roisl.0179s0077.1.p, Roisl.0058s0001.1.p
OG0000003	XP_033129393.1	Roisl.0124s0003.1.p, Roisl.0185s0057.1.p, Roisl.0210s2127.1.p, Roisl.0188s0002.1.p
OG0000003	XP_009107616.2, XP_009138649.2, XP_033148502.1, XP_033133979.1, XP_033141128.1, XP_009119170.2	Roisl.0194s0028.1.p, Roisl.0209s0038.1.p
OG0000003	XP_033143214.1	Roisl.0198s0065.1.p
OG0000004	XP_033138950.1, XP_033130324.1	Roisl.0022s0436.1.p
OG0000004	XP_033129935.1	Roisl.0213s0732.1.p
OG0000005	XP_033147058.1	Roisl.0006s0578.1.p
OG0000005	XP_033148793.1	Roisl.0046s0518.1.p
OG0000005	XP_033131673.1, XP_033139087.1	Roisl.0194s0060.1.p
OG0000005	XP_033139184.1	Roisl.0025s0107.1.p
OG0000005	XP_033134337.1	Roisl.0201s0014.1.p, Roisl.0087s0005.1.p, Roisl.0014s0007.1.p, Roisl.0087s0007.1.p, Roisl.0195s0029.1.p, Roisl.0179s0085.1.p
OG0000007	XP_033131850.1, XP_033132443.1, XP_033141204.1, XP_033141185.1, XP_033143314.1, XP_033128723.1	Roisl.0064s0008.1.p
OG0000008	XP_033147243.1	Roisl.0075s0191.1.p
OG0000008	XP_033145226.1	Roisl.0025s0028.1.p, Roisl.0072s0014.1.p
OG0000008	XP_033142381.1	Roisl.0210s2153.1.p
OG0000008	XP_033131033.1, XP_033133054.1, XP_033128088.1, XP_033137451.1	Roisl.0082s0006.1.p
OG0000008	XP_033139686.1, XP_033140769.1	Roisl.0014s0141.1.p
OG0000008	XP_009115858.3	Roisl.0046s1128.1.p, Roisl.0046s1132.1.p, Roisl.0046s1119.1.p
OG0000008	XP_033138353.1	Roisl.0027s0062.1.p, Roisl.0058s0016.1.p
OG0000008	XP_033131793.1	Roisl.0022s0261.1.p
OG0000008	XP_033131838.1	Roisl.0053s0125.1.p
OG0000011	XP_009119519.1	Roisl.0019s0018.1.p
OG0000012	XP_009139681.1	Roisl.0007s0348.1.p, Roisl.0005s0302.1.p, Roisl.0074s0629.1.p, Roisl.0080s0608.1.p, Roisl.0115s0531.1.p, Roisl.0032s0103.1.p, Roisl.0006s0203.1.p, Roisl.0020s0178.1.p
OG0000012	XP_033132935.1, XP_018512892.1, XP_033145505.1	Roisl.0024s0027.1.p, Roisl.0091s0798.1.p, Roisl.0189s0072.1.p, Roisl.0027s0111.1.p, Roisl.0028s0041.1.p, Roisl.0210s1889.1.p, Roisl.0091s0194.1.p, Roisl.0204s0043.1.p, Roisl.0056s0007.1.p
OG0000012	XP_033134396.1, XP_009140434.1, XP_009124217.1	Roisl.0053s0082.1.p, Roisl.0012s0308.1.p, Roisl.0214s0226.1.p, Roisl.0046s0274.1.p, Roisl.0189s0022.1.p, Roisl.0189s0021.1.p, Roisl.0053s0277.1.p, Roisl.0012s0313.1.p, Roisl.0011s0567.1.p, Roisl.0198s0021.1.p, Roisl.0082s0083.1.p
OG0000014	XP_033138101.1	Roisl.0071s0016.1.p, Roisl.0036s0113.1.p, Roisl.0214s0188.1.p, Roisl.0012s0102.1.p, Roisl.0053s0340.1.p, Roisl.0209s0503.1.p, Roisl.0194s0016.1.p
OG0000014	XP_033134222.1	Roisl.0071s0004.1.p, Roisl.0184s0094.1.p, Roisl.0029s0055.1.p, Roisl.0009s0284.1.p, Roisl.0053s0435.1.p
OG0000014	XP_033133348.1, XP_033133951.1, XP_033148585.1, XP_033134224.1, XP_009135775.2, XP_033141138.1, XP_033138488.1, XP_033140198.1	Roisl.0214s0420.1.p, Roisl.0058s0048.1.p, Roisl.0020s0183.1.p, Roisl.0012s0051.1.p, Roisl.0214s0915.1.p, Roisl.0179s0062.1.p, Roisl.0082s0454.1.p, Roisl.0064s0002.1.p, Roisl.0185s0078.1.p, Roisl.0213s0587.1.p, Roisl.0066s0172.1.p, Roisl.0082s0607.1.p, Roisl.0009s0256.1.p, Roisl.0019s0087.1.p, Roisl.0053s0039.1.p, Roisl.0009s0006.1.p, Roisl.0209s0538.1.p, Roisl.0058s0116.1.p, Roisl.0051s0028.1.p, Roisl.0213s0759.1.p, Roisl.0188s0034.1.p, Roisl.0214s0180.1.p, Roisl.0023s0031.1.p, Roisl.0184s0053.1.p, Roisl.0053s0422.1.p, Roisl.0189s0189.1.p, Roisl.0210s2165.1.p, Roisl.0038s0010.1.p, Roisl.0214s0038.1.p
OG0000014	XP_033138986.1	Roisl.0214s0137.1.p
OG0000015	XP_033148475.1	Roisl.0209s0111.1.p, Roisl.0066s0288.1.p
OG0000015	XP_033143451.1	Roisl.0010s0007.1.p
OG0000015	XP_033143581.1, XP_018509525.1	Roisl.0006s0026.1.p
OG0000015	XP_009107707.1	Roisl.0032s0105.1.p
OG0000016	XP_033140973.1, XP_033138989.1, XP_033129378.1, XP_033129363.1, XP_033139530.1	Roisl.0210s2086.1.p
OG0000016	XP_033139529.1	Roisl.0019s0044.1.p
