Orthogroup	Cardamine_hirsuta	Cochlearia_excelsa
OG0000004	CARHR254290	g15642
OG0000005	CARHR055780	g1512, g23979, g28647, g29131
OG0000005	CARHR091740, CARHR034120, CARHR056420	g35969
OG0000005	CARHR077050	g32059, g53845
OG0000005	CARHR248000	g10582
OG0000006	CARHR214530	g52712
OG0000006	CARHR029270, CARHR266880, CARHR156020	g51769, g50470, g45886
OG0000006	CARHR183870	g23854
OG0000006	CARHR180780, CARHR055190, CARHR182530	g4635
OG0000006	CARHR216050	g25855
OG0000006	CARHR060230	g40547
OG0000006	CARHR266890	g43721
OG0000008	CARHR114970, CARHR117380, CARHR149870	g27813
OG0000008	CARHR217630	g52586
OG0000008	CARHR159360	g27856, g27175, g5353, g35020
OG0000008	CARHR293430	g26784, g43729, g37068
OG0000008	CARHR150550	g25554, g12608, g36094, g19408
OG0000008	CARHR056560	g4483
OG0000008	CARHR258310, CARHR217850, CARHR104250, CARHR181300, CARHR038360, CARHR257900, CARHR286450, CARHR035440, CARHR031010, CARHR117390, CARHR218770, CARHR259120, CARHR257810, CARHR218380, CARHR103530	g33123
OG0000008	CARHR115010	g13991
OG0000008	CARHR215020, CARHR181140, CARHR034850	g39484
OG0000008	CARHR131120, CARHR217020, CARHR164530, CARHR288680	g4392
OG0000010	CARHR287490	g53564, g44720, g33041
OG0000011	CARHR032720	g24724
OG0000011	CARHR190150, CARHR151420, CARHR057040	g42924
OG0000011	CARHR055810	g1630
OG0000011	CARHR256470	g41912
OG0000011	CARHR032700	g26075, g4219, g9033
OG0000013	CARHR116230, CARHR285000	g52620, g48035, g4139, g16474
OG0000015	CARHR258200	g3313, g42908, g24843, g26998, g48095, g12672, g5446, g26670, g41116, g47966, g53567
OG0000015	CARHR110600	g11220, g47913, g43577, g47635, g16300, g3315, g8709, g8210, g24633, g3775, g53218, g3753, g42134, g41971
OG0000017	CARHR213120	g41997, g33121, g3359, g6214
OG0000017	CARHR113350	g14581
OG0000017	CARHR049310, CARHR034150	g49587, g25192, g31804, g25430, g49408, g2974, g53154, g46949, g43284, g4232, g36899, g2975, g21115, g46328, g31759, g19143, g51013, g17279, g1555, g46224, g35267, g34284, g6170, g31341, g9914, g35675, g23910, g6802, g4158, g33390, g4583, g24610, g25001, g1556, g34853, g4345, g51012, g14558, g19142, g29187, g49407, g42003, g53153, g44074, g47797, g33120, g7898, g14750, g3057, g43352, g14036, g15607, g52007, g51052, g52970, g32655, g4343, g43479, g2953, g50650, g41998, g23595, g2979
OG0000019	CARHR218510	g16593, g27930, g4588, g36529, g42561, g14492, g51080, g41576, g52671, g24908, g42560, g4839, g33386, g45605, g16592, g1020, g46208, g40680, g40322, g46628, g9756, g2482, g2714, g46138, g11450, g50714, g6794, g51199
OG0000020	CARHR183140	g25871
OG0000020	CARHR115000, CARHR183020, CARHR149880, CARHR103550, CARHR258320, CARHR152520, CARHR154280, CARHR217870	g49592
OG0000020	CARHR287070	g25930, g51375
OG0000020	CARHR159330, CARHR114460	g35282, g34309, g41784
OG0000020	CARHR266440, CARHR182600, CARHR106310, CARHR116050	g25262, g3253
OG0000020	CARHR217640, CARHR108030	g8229, g5355, g32774, g16031, g35327, g35065, g34339, g4385, g27854, g31992, g15955
OG0000020	CARHR289940	g29531
OG0000020	CARHR154170	g35344
OG0000020	CARHR284230	g16096
OG0000020	CARHR266450, CARHR035020, CARHR108040, CARHR158140	g7451
OG0000020	CARHR266460	g34311, g35284, g3254, g4129
OG0000023	CARHR230510	g47441
OG0000023	CARHR230500	g23897
OG0000023	CARHR255010	g25717, g25713
OG0000023	CARHR255050	g48946, g43193
OG0000023	CARHR255040	g25723
OG0000023	CARHR254960, CARHR254930	g23101
OG0000023	CARHR254870	g40374
OG0000023	CARHR230300	g23907, g24643
OG0000023	CARHR254990	g25715, g48949
OG0000025	CARHR104940, CARHR242960	g972
OG0000026	CARHR215490	g17281, g33392, g4347, g50791, g25246, g46637
OG0000027	CARHR030460, CARHR030420, CARHR030890, CARHR031230	g43469
OG0000027	CARHR112760	g40788
OG0000027	CARHR045190	g28294
OG0000027	CARHR168020, CARHR167830	g2269
OG0000029	CARHR287350	g41853
OG0000029	CARHR287660	g4525, g37385, g6082
OG0000029	CARHR099970	g37850, g28202
OG0000029	CARHR183060	g31822, g37851
OG0000029	CARHR036950	g95
OG0000029	CARHR213600	g1672
OG0000030	CARHR181500	g31170, g6306, g40103, g6175, g48553, g8527, g41465, g35926, g31187, g6307, g53556
OG0000030	CARHR262520, CARHR029190, CARHR119670, CARHR035080, CARHR106930, CARHR110000, CARHR102250, CARHR289810, CARHR103350, CARHR112880	g14858
OG0000030	CARHR155440	g32521, g47920
OG0000030	CARHR285900	g33113
OG0000030	CARHR260310	g43791, g44909
OG0000031	CARHR048840	g45205, g45149, g24844
OG0000031	CARHR048810, CARHR051050, CARHR049170	g40889
OG0000031	CARHR048190, CARHR051150, CARHR047980	g40881, g40949, g40859, g40857, g40951, g6403, g40794
OG0000031	CARHR196550	g5030
OG0000031	CARHR091960	g13269
OG0000031	CARHR234420	g17118
OG0000031	CARHR049120	g40888
OG0000031	CARHR046370	g40752
OG0000032	CARHR257880	g52952, g35708, g52704, g41922, g17789, g49046, g53468, g32980, g22371, g8174, g41621, g53874, g36360, g32817, g20824, g2573, g13889, g16589, g31930, g15986, g31363, g51888, g23943, g41624, g24203, g4623, g6965, g26176, g32719, g4540, g3145, g3176, g32951, g52374, g52388, g53624, g4562, g32755, g3147, g20823, g26172, g9204, g7013, g46294, g3738, g26774, g53253, g52953, g52389, g43014, g4289, g33014, g53610, g43518, g3146, g4222, g3625, g3120, g22170, g52827, g52845, g26684, g3177, g53505, g49130, g33287, g33250, g33281, g43013, g4288, g43600, g36732, g17256, g16465, g28206, g13544, g36203, g13036, g22171, g29247, g44943, g39409, g42786, g4560, g29246, g36204, g16464, g51006, g28207, g13543, g17439, g17255, g42785, g51007, g26169, g27898, g7014
OG0000033	CARHR230270, CARHR230290	g23911
OG0000033	CARHR289950	g24014
OG0000033	CARHR230650, CARHR230570, CARHR230590, CARHR230540, CARHR230620	g23905
