Orthogroup	Arabidopsis_lyrata_NCBI	Cardamine_amara
OG0000000	XP_020889539.1	evm.model.RL_4.378, evm.model.RL_7.1948, evm.model.RL_6.512, evm.model.RL_3.844, evm.model.RL_4.736, evm.model.RL_8.405
OG0000000	XP_020880754.1, XP_020873125.1, XP_020875043.1, XP_020881970.1, XP_020882759.1, XP_020871264.1, XP_020886308.1, XP_020866272.1, XP_020889966.1, XP_020875528.1, XP_020871434.1, XP_020869121.1, XP_020871489.1, XP_020872490.1, XP_020869697.1	evm.model.RL_2.714
OG0000000	XP_020874412.1, XP_020871267.1, XP_020866323.1, XP_020887737.1	evm.model.RL_3.245
OG0000000	XP_020887182.1, XP_020890321.1, XP_020870326.1	evm.model.RL_2.920, evm.model.RL_4.662, evm.model.RL_6.582
OG0000000	XP_020865758.1	evm.model.RL_1.2840, evm.model.RL_3.692, evm.model.RL_5.2512
OG0000003	XP_020880760.1, XP_020877199.1	evm.model.RL_8.1049
OG0000003	XP_020874036.1	evm.model.RL_7.2059, evm.model.RL_6.676
OG0000005	XP_020882780.1	evm.model.RL_7.1952
OG0000005	XP_020876055.1, XP_020877155.1	evm.model.RL_2.1105, evm.model.RL_1.1903
OG0000005	XP_020887659.1	evm.model.RL_1.1086
OG0000006	XP_020870555.1, XP_020870157.1	evm.model.RL_6.444
OG0000006	XP_020871008.1	evm.model.RL_1.2522, evm.model.RL_2.3087, evm.model.RL_5.3322
OG0000006	XP_020866331.1, XP_020876409.1, XP_020879940.1, XP_020872053.1, XP_020872382.1, XP_020873755.1	evm.model.RL_5.2330
OG0000007	XP_020887823.1	evm.model.RL_2.1094
OG0000007	XP_020883444.1	evm.model.RL_4.2369
OG0000008	XP_020881885.1, XP_020881611.1	evm.model.RL_7.1211
OG0000010	XP_020871369.1	evm.model.RL_2.396
OG0000012	XP_020866256.1	evm.model.RL_4.165
OG0000012	XP_020872338.1, XP_020881433.1	evm.model.RL_7.2040
OG0000012	XP_020876901.1	evm.model.RL_5.2583
OG0000012	XP_020871051.1	evm.model.RL_2.748
OG0000012	XP_020872339.1	evm.model.RL_3.685
OG0000015	XP_020883676.1, XP_020890755.1, XP_020889910.1	evm.model.RL_4.1006
OG0000015	XP_020870556.1	evm.model.RL_4.1007
OG0000017	XP_020874114.1, XP_002883754.2, XP_020879010.1	evm.model.RL_7.1888
OG0000017	XP_020876951.1	evm.model.RL_7.1516
OG0000018	XP_020885208.1, XP_020885137.1, XP_020886953.1, XP_020886960.1, XP_020890910.1, XP_020885657.1	evm.model.RL_4.1915
