Eutrema_salsugineum	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
XP_006389698.1	675	AT4G18150.1	AT4G18150.1	orthologue	GO:0003674;GO:0005634;GO:0008150;;GO:0005515	Serine/Threonine-kinase, putative (DUF1296)
XP_006389699.2	186	AT3G56470.1	AT3G56470.1	orthologue	GO:0005634;GO:0003674;;GO:0005515	F-box protein At3g56470
XP_006389703.1	152	AT1G79985.1	AT1G79985.1	orthologue	GO:0005886;GO:0043001;GO:0006895;GO:0034067;GO:0003674;GO:0000139;GO:0005802;GO:0005829	Protein SYS1 homolog
XP_006389704.1	292	AT1G79970.1	AT1G79970.1	orthologue	GO:0005634;GO:0003674	At1g79970/F19K16.7 (F19K16.7/F19K16.7);F18B13.5 protein;Uncharacterized protein
XP_006389705.1	313	AT1G79960.1	AT1G79960.1	orthologue	GO:0045892;GO:0005634;GO:0003674	Transcription repressor OFP14 (Ovate family protein 14) (AtOFP14)
XP_006389706.1	986	AT1G79950.1	AT1G79950.1	orthologue	GO:0070716;GO:0006355;GO:0045910;GO:0048364;GO:0010569;GO:0000725;GO:0003678;GO:0005634;GO:1904430;GO:0036297;GO:0016818;GO:0006281;GO:0032508;GO:0000723;GO:0043007;GO:0005739;GO:0006310;GO:0090657;GO:0006260;GO:0005524;GO:0070182;GO:0009555;GO:0003677;GO:0016887;GO:0046872;GO:0051539;GO:0003676;GO:0004386;GO:0006139	Regulator of telomere elongation helicase 1 homolog;Regulator of telomere elongation helicase 1 homolog (EC 5.6.2.-)
XP_006389707.1	684	AT1G79940.1	AT1G79940.1	orthologue	GO:0008320;GO:0031207;GO:0005789;GO:0005739;GO:0005783;GO:0006614;GO:0009507;GO:0006620;GO:0005794;GO:0015031;GO:0003723	DnaJ / Sec63 Brl domains-containing protein;DnaJ protein ERDJ2A (Chaperone protein dnaJ 21) (AtDjC21) (AtJ21) (Endoplasmic reticulum dnaJ domain-containing protein 2A) (AtERdj2A) (Translocation protein SEC63 homolog ERDJ2A)
XP_006389710.2	326	AT1G79915.1	AT1G79915.1	orthologue	GO:0008276;GO:0006479;GO:0005634;GO:0032259	Methyltransferase family protein
XP_006389711.1	375	AT1G79910.1	AT1G79910.1	orthologue	GO:0015031;GO:0008104;GO:0005634;GO:0003674	Regulator of Vps4 activity in the MVB pathway protein
XP_006389712.2	297	AT1G79900.1	AT1G79900.1	orthologue	GO:0006972;GO:0005290;GO:0022857;GO:0005476;GO:0005739;GO:0006561;GO:0000064;GO:0061459;GO:0015189;GO:0005743;GO:0006810;GO:0055085	Mitochondrial arginine transporter BAC2 (Mitochondrial basic amino acid carrier 2) (AtMBAC2)
XP_006389713.1	863	AT1G09995.1, AT1G79890.1	AT1G79890.1	orthologue	GO:0003674;GO:0005739;GO:0032508;GO:0003678;GO:0005634;GO:0034085;GO:0005829;GO:0006139;GO:0016818;GO:0003677;GO:0005524;GO:0006974;GO:0046872;GO:0051536;GO:0004386;GO:0016020;GO:0003676	At1g09995 (DNA repair DEAD helicase RAD3/XP-D subfamily protein);DNA repair DEAD helicase RAD3/XP-D subfamily protein;Putative helicase; 55525-51977 (RAD3-like DNA-binding helicase protein);RAD3-like DNA-binding helicase protein
XP_006389714.1	410	AT1G79880.1	AT1G79880.1	orthologue	GO:0042780;GO:0005634;GO:1990904;GO:0005730;GO:0005654;GO:0003729;GO:0003723;GO:0003676;GO:0006396;GO:0005844	La protein 2 (AtLa2)
XP_006389715.1	313	AT1G79870.1	AT1G79870.1	orthologue	GO:0030267;GO:1901149;GO:0047995;GO:0009854;GO:0005737;GO:0016618;GO:0051287;GO:0005829;GO:0005739;GO:0008465;GO:0120509;GO:0016616	Glyoxylate/hydroxypyruvate reductase A HPR2 (EC 1.1.1.79) (EC 1.1.1.81) (NAD(P)H-dependent hydroxypyruvate reductase 2) (AtHPR2) (HPR 2)
XP_006389717.1	507	AT1G79860.1	AT1G79860.1	orthologue	GO:0005634;GO:0080092;GO:0009860;GO:0090406;GO:0005886;GO:0009793;GO:0005085;GO:0005737	Rop guanine nucleotide exchange factor 12 (AtRopGEF12) (Protein MATERNAL EFFECT EMBRYO ARREST 64) (Rho of plants guanine nucleotide exchange factor 12)
XP_006389718.1	150	AT1G79850.1	AT1G79850.1	other	GO:0009941;GO:0005739;GO:0003735;GO:0003729;GO:0009534;GO:0009570;GO:0009507;GO:0000312;GO:0032544;GO:0006412;GO:0019843;GO:0005840	Small ribosomal subunit protein uS17c (30S ribosomal protein S17, chloroplastic) (CS17)
XP_006389720.2	708	AT1G79840.2	AT1G79840.2	orthologue	GO:0010062;GO:0003700;GO:0005634;GO:0008289;GO:0043565;GO:0000981;GO:0000976;GO:0090628;GO:0003677;GO:0006355	HD-ZIP IV family of homeobox-leucine zipper protein with lipid-binding START domain-containing protein;Homeobox-leucine zipper protein GLABRA 2 (Protein GLABRA2) (HD-ZIP protein ATHB-10) (Homeobox-leucine zipper protein ATHB-10)
XP_006389722.1	958	AT1G79830.4	AT1G79830.4	orthologue	GO:0005737;GO:0005515;GO:0005576;GO:0005794;GO:0005634	Golgin Putative 5;Golgin candidate 5 (AtGC5)
XP_006389723.1	495	AT1G79820.1	AT1G79820.1	orthologue	GO:0009507;GO:0016020;GO:0015144;GO:0005768;GO:0015749;GO:0055085;GO:0005802;GO:0005794;GO:0022857;GO:0015149;GO:0005739;GO:0031969	Major facilitator superfamily protein;Probable plastidic glucose transporter 3
XP_006389724.1	329	AT1G79810.1	AT1G79810.1	orthologue	GO:0006635;GO:0016558;GO:0005829;GO:0009506;GO:0006513;GO:0009640;GO:0007031;GO:0005777;GO:0005515;GO:0004842;GO:0008270;GO:0005778;GO:0016740;GO:0046872	Peroxisome biogenesis protein 2 (EC 2.3.2.36) (E3 ubiquitin-protein ligase PEX2) (Peroxin-2) (AtPEX2) (AthPEX2) (Pex2p);RING-type E3 ubiquitin transferase (cysteine targeting) (EC 2.3.2.36) (Peroxin-2)
XP_006389725.2	223	AT3G27750.1	AT3G27750.1	orthologue	GO:0003723;GO:0009793;GO:0003727;GO:0009507;GO:0000373;GO:0009658;GO:1990825;GO:0006397;GO:0009535;GO:0005515	Protein THYLAKOID ASSEMBLY 8, chloroplastic (At-THA8) (AtTHA8) (Protein EMBRYO DEFECTIVE 3123)
XP_006389727.2	195	AT1G79800.1	AT1G79800.1	orthologue	GO:0016020;GO:0008150;GO:0005886;GO:0009055;GO:0098552	Early nodulin-like protein 7 (AtENODL7) (Phytocyanin-like protein ENODL7)
XP_006389728.1	190	AT1G79780.1	AT1G79780.1	orthologue	GO:0003674;GO:0005739;GO:0005886	CASP-like protein 3A2 (AtCASPL3A2)
XP_006389729.1	244	AT1G79790.2	AT1G79790.2	orthologue	GO:0042803;GO:0009507;GO:0005737;GO:0090711;GO:0009231;GO:0009570;GO:0043726;GO:0016787	Flavin mononucleotide hydrolase 1, chloroplatic (AtcpFHy1) (EC 3.1.3.102) (5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase) (AtcpFHy1/PyrP1) (EC 3.1.3.104) (5-amino-6-ribitylamino-2,4(1H,3H)-pyrimidinedione 5'-phosphate phosphatase) (ARPP phosphatase);Haloacid dehalogenase-like hydrolase (HAD) superfamily protein
XP_006389730.1	184	AT1G79770.1	AT1G79770.1	orthologue	GO:0003674;GO:0005634	CASP-like protein (DUF1677)
XP_006389731.1	319	AT1G79760.2	AT1G79760.2	orthologue	GO:0009507;GO:0003674;GO:0016020	At1g79760 (Downstream target of AGL15-4);Downstream target of AGL15-4 (F20B17.19)
XP_006389737.1	652	AT1G79750.1	AT1G79750.1	orthologue	GO:0004473;GO:0008270;GO:0006633;GO:0006108;GO:0051287;GO:0009507;GO:0005739;GO:0008948;GO:0006090;GO:0050897;GO:0004470;GO:0016616	NADP-dependent malic enzyme 4, chloroplastic (AtNADP-ME4) (NADP-malic enzyme 4) (EC 1.1.1.40)
XP_006389738.2	613	AT1G79730.1	AT1G79730.1	orthologue	GO:0006368;GO:0000724;GO:0009910;GO:0016593;GO:0000993;GO:0005634;GO:0005515;GO:0003682;GO:0009908	Protein PAF1 homolog (Protein EARLY FLOWERING 7) (Protein VERNALIZATION INDEPENDENCE 2)
XP_006389739.1	611	AT1G80000.1	AT1G80000.1	orthologue	GO:0035145;GO:0005634;GO:0003729;GO:0000184;GO:0005737;GO:0006397;GO:0006417;GO:0008380;GO:0051028	CASC3/Barentsz eIF4AIII binding protein;Protein MLN51 homolog (Protein CASC3 homolog) (Protein barentsz) (Btz)
XP_006389743.1	698	AT1G80010.1	AT1G80010.1	orthologue	GO:0006355;GO:0005634;GO:0008270	Protein FAR1-RELATED SEQUENCE 8
XP_006389744.1	499	AT1G80030.1	AT1G80030.1	orthologue	GO:0009507;GO:0009941;GO:0031072;GO:0006457;GO:0009408;GO:0051085;GO:0009535;GO:0005524;GO:0042026;GO:0051082;GO:0005737;GO:0008270	Molecular chaperone Hsp40/DnaJ family protein
XP_006389747.2	193	AT1G80050.1	AT1G80050.1	orthologue	GO:0003999;GO:0005737;GO:0006168;GO:0044209;GO:0005829;GO:0005794;GO:0035435;GO:0005315;GO:0005886;GO:0006166	Adenine phosphoribosyltransferase 2 (APRT 2) (AtAPT2) (EC 2.4.2.7);adenine phosphoribosyltransferase (EC 2.4.2.7)
XP_006389749.1	2361	AT1G80070.1	AT1G80070.1	orthologue	GO:0030619;GO:0000398;GO:0030623;GO:0000244;GO:0005515;GO:0017070;GO:0071013;GO:0005682;GO:0005739;GO:0005634;GO:0030620;GO:0097157;GO:0000380;GO:0005681;GO:0008237;GO:0008233;GO:0003723	Pre-mRNA-processing-splicing factor 8A (PRP8 homolog A) (AtPRP8A) (Protein ABNORMAL SUSPENSOR 2) (Protein EMBRYO DEFECTIVE 14) (Protein EMBRYO DEFECTIVE 177) (Protein EMBRYO DEFECTIVE 33) (Protein SUPPRESSOR OF OVEREXPRESSED FCA 81)
XP_006389750.1	493	AT1G80080.1	AT1G80080.1	orthologue	GO:0010376;GO:0071215;GO:0016020;GO:1905034;GO:0033612;GO:0010090;GO:0010375;GO:0010103;GO:0050832;GO:0005515;GO:0008356;GO:0007165;GO:0009737;GO:0042277;GO:0005886;GO:0045087	Protein TOO MANY MOUTHS (Receptor-like protein 17) (AtRLP17)
