Orthogroup	Arabidopsis_arenosa	Arabidopsis_lyrata_NCBI
OG0000000	jg7091	XP_020887823.1
OG0000000	jg7218	XP_020890704.1, XP_020869115.1
OG0000000	jg27616	XP_020867739.1, XP_020872418.1, XP_020889487.1, XP_020890732.1
OG0000004	jg6905	XP_020886397.1, XP_020866436.1
OG0000004	jg12072, jg12472	XP_020870326.1, XP_020890321.1, XP_020887182.1
OG0000004	jg1749	XP_020891399.1
OG0000004	jg72, jg27337, jg20829, jg32155, jg32817, jg21191, jg8262, jg27197	XP_020886399.1
OG0000008	jg15054, jg15062, jg15069, jg15057	XP_020881885.1, XP_020881611.1
OG0000009	jg1846, jg6872, jg3218, jg20691	XP_020887659.1
OG0000009	jg17538	XP_020883429.1
OG0000009	jg13081, jg20041	XP_020882780.1
OG0000011	jg33383	XP_020881814.1
OG0000011	jg21637	XP_020878850.1
OG0000011	jg13840	XP_020873638.1
OG0000011	jg26287	XP_020878589.1, XP_020869090.1
OG0000011	jg13651	XP_020876758.1, XP_020889800.1, XP_020881514.1
OG0000011	jg20674	XP_020869856.1
OG0000011	jg13487, jg13649	XP_020866192.1, XP_020877161.1
OG0000011	jg11481	XP_020877831.1
OG0000011	jg4816, jg25269	XP_020886056.1, XP_020881816.1, XP_020874677.1
OG0000011	jg13838	XP_020872379.1, XP_020877201.1, XP_020879405.1
OG0000011	jg27639	XP_020871455.1
OG0000011	jg18104	XP_020887782.1
OG0000011	jg33105, jg17517, jg32960, jg20959	XP_020889569.1
OG0000011	jg4342	XP_020885819.1, XP_020866216.1
OG0000011	jg14168	XP_020885594.1, XP_020870692.1
OG0000011	jg21692	XP_020889856.1
OG0000011	jg32528	XP_020877678.1
OG0000011	jg6805	XP_020875848.1
OG0000012	jg9712	XP_020871500.1
OG0000012	jg14895, jg31555	XP_020891087.1
OG0000012	jg16352, jg8938, jg6738	XP_020886262.1
OG0000012	jg13806	XP_020889836.1
OG0000014	jg11731	XP_020871369.1
OG0000020	jg6965	XP_020887777.1
OG0000020	jg27354	XP_002862745.2, XP_020874187.1
OG0000020	jg32618	XP_020879010.1
OG0000020	jg27355, jg11845	XP_020873825.1, XP_020878844.1
OG0000020	jg6982, jg14690	XP_020869021.1
OG0000020	jg32222, jg15995	XP_020872420.1, XP_020884768.1
OG0000021	jg2029, jg15196, jg12414, jg15089, jg17083, jg11853, jg32267, jg1316, jg16332, jg27287	XP_020872717.1, XP_020874922.1, XP_020879645.1
OG0000021	jg27179	XP_020889705.1, XP_020876177.1, XP_020889912.1, XP_020882641.1, XP_020879663.1, XP_020876808.1, XP_020879537.1, XP_020888861.1
OG0000021	jg32393, jg11989, jg32560, jg4400	XP_020885208.1
OG0000021	jg26774	XP_020886960.1, XP_020890910.1, XP_020885657.1
OG0000021	jg25715	XP_020879723.1, XP_020874134.1, XP_020871964.1, XP_020874896.1, XP_020872412.1
OG0000022	jg9770	XP_020873422.1
OG0000022	jg5495	XP_020878202.1
OG0000022	jg617	XP_020890510.1
OG0000022	jg616	XP_020865986.1
OG0000022	jg618	XP_002886463.2
OG0000022	jg613	XP_020865982.1
OG0000022	jg645, jg586, jg583	XP_020889844.1
OG0000022	jg642	XP_002886462.1
OG0000022	jg663	XP_020891718.1
OG0000022	jg481	XP_020891198.1
OG0000022	jg538	XP_020865792.1
OG0000022	jg612	XP_020865844.1
OG0000022	jg610	XP_020890513.1
OG0000022	jg611	XP_020865987.1
OG0000022	jg638	XP_020890773.1
OG0000022	jg26478	XP_002885504.2
OG0000022	jg29724	XP_020869509.1
OG0000022	jg29708, jg29704	XP_020868327.1
OG0000022	jg29712	XP_020870640.1, XP_020868325.1
OG0000022	jg29722, jg29734	XP_020869508.1
OG0000022	jg29678, jg29676	XP_020870927.1
OG0000022	jg372	XP_020865918.1
OG0000022	jg12744	XP_002868609.1
OG0000022	jg25741	XP_002883021.2
OG0000023	jg1550, jg27237, jg27744	XP_020890011.1
OG0000023	jg7019, jg10010, jg11895, jg12128, jg11974, jg21172, jg31034, jg12143, jg17365, jg32719, jg31024, jg26946	XP_020888454.1
OG0000023	jg12319	XP_020866256.1
OG0000024	jg31700	XP_020870297.1
OG0000024	jg31701	XP_020870502.1
OG0000024	jg31702, jg31695	XP_020866340.1
OG0000024	jg31706	XP_002890925.2
OG0000024	jg31676	XP_020869389.1
OG0000024	jg31674	XP_020869783.1
OG0000024	jg31678	XP_020866486.1
OG0000024	jg31679	XP_020866487.1, XP_002893661.2
OG0000024	jg31677	XP_020869388.1
OG0000024	jg31709	XP_020866666.1
OG0000024	jg31713	XP_002890932.2, XP_002890929.1
OG0000024	jg31714	XP_002890930.2, XP_002890933.2
OG0000024	jg2233	XP_002888578.2
OG0000024	jg16933	XP_020883507.1
OG0000024	jg16932	XP_020883506.1
OG0000024	jg31715	XP_002890934.2
OG0000024	jg31705	XP_020866341.1
OG0000024	jg31953, jg31952	XP_020866613.1
OG0000024	jg31856	XP_002893705.2
OG0000024	jg31855	XP_002893704.2
OG0000024	jg31708	XP_002890926.2
OG0000024	jg31857	XP_002893706.2
OG0000024	jg27402	XP_020888987.1
OG0000024	jg15696	XP_020881113.1
OG0000024	jg15770	XP_020879759.1
OG0000024	jg15771	XP_020879758.1
OG0000024	jg14278	XP_002875716.2
OG0000025	jg7349, jg6966, jg1482, jg14688, jg1903, jg6980	XP_020881073.1, XP_020879655.1
OG0000025	jg27352	XP_020876192.1
OG0000026	jg6878	XP_020879791.1
OG0000027	jg7518, jg7519	XP_020878446.1
OG0000027	jg7517	XP_020878445.1
OG0000027	jg7521	XP_002872592.1
OG0000027	jg7523	XP_020877175.1, XP_002872595.1
OG0000027	jg10189	XP_020873345.1
OG0000027	jg7515	XP_020878447.1, XP_020878438.1
OG0000027	jg10181	XP_020873367.1
OG0000027	jg10191	XP_020873352.1
OG0000027	jg7537, jg7533, jg7530	XP_020867640.1
OG0000027	jg10192	XP_002867727.1
OG0000027	jg10190	XP_020873349.1
OG0000028	jg22446	XP_020885754.1
OG0000028	jg11446	XP_020874777.1
OG0000028	jg22443, jg22441	XP_020871166.1
OG0000028	jg22952	XP_020886436.1
OG0000028	jg8944	XP_020873863.1
OG0000028	jg8946	XP_020875058.1, XP_020872452.1
OG0000028	jg22236	XP_002864330.1
OG0000028	jg22237	XP_002864331.1
OG0000028	jg22427, jg22428	XP_020872014.1
OG0000028	jg22247	XP_020877991.1
OG0000028	jg22219, jg12583, jg12582	XP_020873006.1
OG0000028	jg23436, jg23431	XP_020867892.1
OG0000028	jg8750	XP_020875061.1
OG0000028	jg23433, jg23437	XP_020871243.1
OG0000028	jg23430	XP_020867900.1
OG0000028	jg22006	XP_020865869.1
OG0000028	jg22007	XP_020865879.1
OG0000028	jg22259	XP_020877806.1
OG0000028	jg22278, jg22269	XP_020880460.1
OG0000028	jg22270, jg22279, jg22262	XP_020880469.1, XP_020880478.1
OG0000029	jg33138, jg30060, jg20837	XP_020869142.1, XP_020881896.1
OG0000029	jg1780, jg13951	XP_020871888.1
OG0000029	jg21311, jg32932, jg1778	XP_020874443.1
OG0000030	jg26153	XP_020871692.1
OG0000030	jg26152	XP_020871677.1, XP_020888510.1
OG0000030	jg30787	XP_002890504.1
OG0000030	jg31202	XP_002893432.1, XP_020866580.1
OG0000030	jg11086	XP_002868173.1
OG0000030	jg14799	XP_020879678.1
OG0000030	jg17824	XP_020881930.1
OG0000030	jg14802	XP_020880910.1
OG0000030	jg2112	XP_020889857.1
OG0000030	jg29499	XP_020869589.1
OG0000030	jg10900	XP_020885911.1
OG0000030	jg25272	XP_020888486.1
OG0000030	jg738	XP_002884981.1
OG0000030	jg25360	XP_002884979.1
OG0000034	jg10193	XP_002869784.2
OG0000034	jg10206	XP_020873361.1
OG0000034	jg10426	XP_020873360.1
OG0000034	jg10425	XP_002867849.1
OG0000034	jg10207	XP_020873368.1
OG0000034	jg10186	XP_020873845.1
OG0000034	jg10202, jg10195	XP_020873356.1
OG0000034	jg10208	XP_020873366.1
OG0000034	jg10177	XP_020872543.1
OG0000035	jg32621	XP_020875318.1
OG0000035	jg13872	XP_020870256.1, XP_020884941.1, XP_020875756.1
OG0000035	jg13873	XP_020882782.1, XP_020891219.1, XP_020872062.1, XP_020889582.1
OG0000035	jg13724	XP_020883599.1
OG0000035	jg27423, jg13741, jg10108, jg1332, jg28701, jg17048, jg13502	XP_020884365.1, XP_020876202.1, XP_020876425.1
OG0000038	jg27503	XP_020873505.1
OG0000040	jg17939	XP_020888726.1
OG0000042	jg26487, jg900, jg2222	XP_020876174.1
OG0000044	jg21834	XP_020880050.1, XP_020868157.1
OG0000044	jg7084, jg7157	XP_020877446.1
OG0000044	jg20417	XP_002865187.1
OG0000044	jg20420	XP_020881042.1
OG0000044	jg13687, jg20423	XP_020879725.1
OG0000044	jg20419	XP_020881036.1
