Orthogroup	Brassica_rapa	Erysimum_linariifolium
OG0000000	XP_033141125.1, XP_033140369.1, XP_033148095.1	El005G264610
OG0000000	XP_033140624.1, XP_033129388.1, XP_033130766.1	El004G210980, El005G262990, El005G263050, El005G264050, El003G177780
OG0000000	XP_033131705.1	El003G182470
OG0000002	XP_033138748.1	El002G130310
OG0000003	XP_033147287.1	El003G189560, El002G128770
OG0000003	XP_033147058.1	El007G351530
OG0000004	XP_009124577.2	El002G127280
OG0000004	XP_009123632.2, XP_009150012.1, XP_009106474.1	El001G052930, El004G230860, El003G157040, El005G268240
OG0000004	XP_009103531.2, XP_009114092.1, XP_033147264.1, XP_033130352.1, XP_033142720.1, XP_033134838.1	El005G268230
OG0000005	XP_033128715.1	El003G186250, El001G082120
OG0000005	XP_018515150.1	El006G304740, El004G194240, El006G320990, El001G081400
OG0000005	XP_033146265.1, XP_033134456.1, XP_033139816.1, XP_009110782.1	El002G096830
OG0000005	XP_033141077.1	El003G167150
OG0000005	XP_033139461.1	El004G208560
OG0000005	XP_033132529.1	El002G123530
OG0000006	XP_033136688.1, XP_033140897.1, XP_009103747.2, XP_033133217.1, XP_033138322.1, XP_009128548.2, XP_009127425.2, XP_033141185.1, XP_033139229.1, XP_018513873.2, XP_009107586.3, XP_009128533.2, XP_033137263.1, XP_033145152.1, XP_009144141.2, XP_033129678.1, XP_033140024.1, XP_033141430.1, XP_009140704.1, XP_033134787.1, XP_033130526.1, XP_033148049.1, XP_033137354.1, XP_033148175.1, XP_009151426.1, XP_033136152.1, XP_018510598.1, XP_033138823.1, XP_033143314.1	El006G316810
OG0000006	XP_009129528.2, XP_033133945.1	El001G046690
OG0000006	XP_033131419.1, XP_009120498.3, XP_033136681.1, XP_033146098.1, XP_033133923.1, XP_033136572.1, XP_018512878.2, XP_033141791.1, XP_033129838.1, XP_033145000.1, XP_033132451.1, XP_033141771.1, XP_033140064.1, XP_033134351.1, XP_033134269.1, XP_033141317.1, XP_033143215.1, XP_033143219.1, XP_033129449.1, XP_033143046.1, XP_033146928.1, XP_009103805.2, XP_033131533.1, XP_033141483.1, XP_033139072.1, XP_033147020.1, XP_033139845.1	El007G324910, El001G079730
OG0000007	XP_009139680.2	El006G311470
OG0000007	XP_033134315.1	El006G311480
OG0000007	XP_033132438.1, XP_033128765.1, XP_033146952.1, XP_009108636.2	El001G053750, El002G123330, El004G208390, El007G348150
OG0000007	XP_009103419.1	El002G114670
OG0000007	XP_009103405.1, XP_009103791.2	El008G369640
OG0000008	XP_033147243.1	El004G212460
OG0000008	XP_033145226.1	El003G182320
OG0000008	XP_033142381.1	El003G167760
OG0000008	XP_009115858.3	El003G174670
OG0000010	XP_033138986.1	El007G350710
OG0000011	XP_033143315.1	El002G121150
OG0000011	XP_033131837.1, XP_009150017.2	El002G082610
OG0000012	XP_033134299.1	El006G310180, El001G048000, El003G154210, El007G344400, El007G350120
OG0000012	XP_009139567.2	El005G268860, El003G182880
OG0000013	XP_009108251.2, XP_033131804.1, XP_033131809.1, XP_033146254.1, XP_033139285.1	El001G045710
OG0000013	XP_033138760.1, XP_009124167.1, XP_033134220.1, XP_033148484.1, XP_033131813.1, XP_009123338.2, XP_033131808.1, XP_033133991.1, XP_033131108.1, XP_033129945.1, XP_033143385.1, XP_033139571.1, XP_033143261.1, XP_033139051.1, XP_033134223.1, XP_033146993.1, XP_033147620.1, XP_009123559.2, XP_033129441.1	El007G350800
OG0000014	XP_033141144.1	El005G242270
OG0000014	XP_033129820.1, XP_033131415.1	El001G041310
OG0000014	XP_033138570.1, XP_033145180.1	El003G178520
OG0000015	XP_033136397.1, XP_033137014.1, XP_033138269.1, XP_009113103.2, XP_033146229.1, XP_033139829.1, XP_033143581.1, XP_018509525.1, XP_033143451.1	El060G376140, El053G375740
OG0000017	XP_033139110.1, XP_033128603.1, XP_033128598.1, XP_033130670.1, XP_033136846.1, XP_009128749.2, XP_033133948.1, XP_033131231.1, XP_033144078.1, XP_033148833.1, XP_033141176.1, XP_033140693.1, XP_033136828.1, XP_033146804.1, XP_033148581.1, XP_009119107.3, XP_009138630.2, XP_033133950.1, XP_033139108.1, XP_033144661.1, XP_033135041.1, XP_033133264.1	El007G336340
OG0000017	XP_033132853.1, XP_033139109.1	El007G356670
OG0000018	XP_033143299.1, XP_009113298.1, XP_033129326.1, XP_009108738.3, XP_033145198.1, XP_033128732.1, XP_033141182.1, XP_033135948.1, XP_033145970.1, XP_033141768.1, XP_033139918.1, XP_033128905.1, XP_033131029.1	El004G194720, El003G167750, El004G215650, El001G009450, El004G215630, El001G041830
OG0000018	XP_033129353.1, XP_033148520.1, XP_033129522.1, XP_033141116.1, XP_033129361.1, XP_009119482.2, XP_018513563.2, XP_033131843.1, XP_033141097.1, XP_009123464.1, XP_033133955.1, XP_033145227.1, XP_033136601.1, XP_033136202.1, XP_033146808.1, XP_009124449.2	El001G077880, El004G225550
OG0000019	XP_033144010.1	El002G122780
