Orthogroup	Cardamine_hirsuta	Odontarrhena_muralis
OG0000005	CARHR034640, CARHR017910	Om004G139040
OG0000005	CARHR217600	Om001G028590, Om007G295980
OG0000007	CARHR034550	Om006G253570, Om001G035080, Om001G019950, Om007G300730
OG0000008	CARHR111800, CARHR114980	Om007G308850
OG0000008	CARHR103540	Om001G020680
OG0000008	CARHR115010	Om001G012780, Om004G176570, Om001G012870, Om001G012790, Om002G085300, Om002G081720, Om001G023520, Om006G274880
OG0000008	CARHR215020, CARHR181140, CARHR034850	Om008G328770, Om004G146610, Om004G145690, Om006G232740, Om007G292230, Om004G145980, Om007G313990, Om006G260180, Om002G073680
OG0000011	CARHR060340, CARHR032700	Om005G184900
OG0000015	CARHR258200	Om008G350280
OG0000015	CARHR110600	Om005G217510
OG0000017	CARHR213120	Om003G101880, Om004G153720
OG0000018	CARHR146600	Om008G335480, Om007G284460, Om008G361630
OG0000019	CARHR218510	Om005G222770
OG0000020	CARHR159320, CARHR180190	Om007G308530, Om007G308500
OG0000020	CARHR159330, CARHR114460, CARHR266440, CARHR182600, CARHR106310, CARHR116050	Om010G364780, Om008G361310
OG0000020	CARHR101900, CARHR057520, CARHR158150	Om002G078780
OG0000023	CARHR057450	Om001G010400
OG0000023	CARHR230510, CARHR230500	Om001G010360, Om001G009290
OG0000023	CARHR255040	Om008G351580
OG0000023	CARHR254870	Om008G351620, Om008G351630
OG0000023	CARHR254920, CARHR254910, CARHR254880	Om008G351640, Om008G351650
OG0000023	CARHR230390, CARHR230400	Om001G010200
OG0000023	CARHR230300, CARHR230640	Om001G010250
OG0000023	CARHR055330	Om001G011570
OG0000025	CARHR100780	Om002G073490, Om002G073430
OG0000027	CARHR030460, CARHR030420, CARHR030890, CARHR031230	Om007G316890
OG0000027	CARHR213730	Om002G070390
OG0000027	CARHR112760	Om005G224020
OG0000028	CARHR153130	Om007G314890
OG0000028	CARHR116610, CARHR153140	Om007G308810, Om003G104130
OG0000029	CARHR154270	Om008G343780
OG0000029	CARHR287660	Om004G147450
OG0000029	CARHR213600	Om007G298330
OG0000030	CARHR181500	Om005G219530, Om004G150510, Om004G153710, Om020G374410, Om004G155320
OG0000030	CARHR103350	Om001G005680
OG0000030	CARHR285900	Om004G148440, Om006G271430, Om006G263330
OG0000030	CARHR258550, CARHR116060, CARHR260310, CARHR154720	Om005G226380
OG0000031	CARHR013000	Om005G191840, Om005G192090, Om005G192080, Om005G192190, Om005G191850
OG0000031	CARHR196550	Om006G252510
OG0000031	CARHR213210	Om007G317990
OG0000031	CARHR091960	Om002G063040
OG0000031	CARHR234420	Om001G018890
OG0000032	CARHR257880	Om007G313850, Om008G348910, Om008G348890
OG0000033	CARHR230270, CARHR230290	Om001G010240
OG0000033	CARHR230320, CARHR230240, CARHR055320	Om001G011550
OG0000033	CARHR289950	Om001G007120
OG0000033	CARHR230650, CARHR230570, CARHR230590, CARHR230540, CARHR230620	Om001G010220
OG0000033	CARHR230200, CARHR230230	Om001G010110
OG0000035	CARHR207670, CARHR110070, CARHR126120	Om006G273920, Om002G042810
OG0000037	CARHR220930	Om006G267090
OG0000038	CARHR141500	Om005G196570, Om004G131590
OG0000038	CARHR024990	Om003G091800
OG0000038	CARHR158480, CARHR158470, CARHR158440, CARHR222700	Om006G262290
OG0000040	CARHR025790, CARHR162370, CARHR260760, CARHR260790	Om002G084710, Om002G084780, Om002G084740, Om002G084670
OG0000040	CARHR095910, CARHR149840	Om007G309130
OG0000040	CARHR158510, CARHR158520	Om008G328570
OG0000040	CARHR134370	Om008G332860
OG0000041	CARHR104160	Om003G112520, Om001G018430, Om007G297590
OG0000043	CARHR288230	Om007G304750
OG0000044	CARHR117470	Om006G259440, Om005G221670, Om006G265780
