Orthogroup	Camelina_sativa	Brassica_rapa
OG0000000	XP_019097419.1, XP_019093315.1, XP_010419097.1, XP_010445866.1, XP_010513025.1	XP_009123632.2, XP_009150012.1, XP_033128757.1, XP_009106474.1
OG0000000	XP_010431321.2, XP_010480531.1	XP_009150345.1
OG0000000	XP_019084310.1, XP_010484878.1	XP_033146952.1
OG0000000	XP_019085587.1, XP_019087550.1	XP_018512944.1
OG0000000	XP_019097375.1, XP_010513742.1, XP_010495131.1, XP_010518579.1, XP_010462992.1	XP_033128765.1, XP_009108636.2, XP_033132438.1
OG0000000	XP_010472251.1, XP_019099588.1, XP_010474031.1, XP_010472440.1, XP_010451797.1, XP_010507264.1, XP_010468426.1	XP_009140393.1, XP_033148554.1, XP_009113628.1, XP_033146231.1, XP_009127418.1
OG0000000	XP_010507173.1, XP_019101891.1	XP_033131903.1
OG0000000	XP_019092328.1, XP_019087439.1, XP_010456766.1	XP_033130110.1
OG0000000	XP_010418558.1, XP_010489824.1, XP_019102134.1, XP_010436305.1, XP_010495246.1	XP_033129351.1
OG0000000	XP_019101890.1	XP_009129274.1
OG0000000	XP_010507174.1	XP_033139897.1
OG0000000	XP_010468192.1, XP_010424608.1, XP_010451493.1, XP_010451645.1, XP_010490248.1, XP_019085377.1, XP_010495306.1, XP_010480636.1, XP_010468796.1, XP_010495441.1	XP_033131605.1, XP_033131962.1
OG0000000	XP_010473903.1, XP_010512944.1, XP_019099570.1	XP_033134838.1
OG0000000	XP_010495165.1, XP_010495244.1	XP_009124577.2
OG0000002	XP_010495465.1, XP_010513345.1	XP_033148076.1, XP_033134169.1
OG0000003	XP_010462886.1, XP_010418651.1, XP_010481131.1, XP_010431573.1, XP_010463260.1, XP_010446053.1	XP_033147757.1, XP_018509111.1, XP_033133957.1, XP_033145281.1, XP_033134016.1
OG0000003	XP_019082654.1, XP_010489852.1	XP_009123480.1
OG0000003	XP_010418577.1, XP_010501871.1, XP_010501997.1	XP_018510870.2
OG0000003	XP_019094476.1	XP_033131784.1
OG0000003	XP_010496100.1, XP_010474339.1, XP_010418675.1	XP_033129527.1
OG0000003	XP_019100972.1	XP_009136045.1
OG0000003	XP_010435962.1, XP_010513407.1	XP_033134345.1, XP_009132643.2
OG0000003	XP_019087435.1	XP_033129372.1
OG0000003	XP_010431475.1	XP_033129330.1
OG0000003	XP_010446092.1	XP_033136094.1
OG0000003	XP_010419047.1, XP_019087294.1	XP_033129442.1
OG0000003	XP_019089103.1	XP_033146211.1, XP_033142170.1, XP_033143214.1
OG0000004	XP_010446038.1	XP_033142309.1
OG0000004	XP_010484959.1, XP_019098112.1, XP_010451376.1, XP_010468186.1, XP_010501684.1	XP_033148227.1, XP_033141775.1, XP_033140426.1, XP_033141600.1, XP_033131490.1, XP_033129333.1, XP_033132866.1, XP_033139421.1, XP_033146851.1, XP_033143942.1, XP_033137068.1, XP_033132321.1, XP_033132255.1, XP_033128096.1, XP_033139470.1, XP_033139367.1
OG0000004	XP_019098283.1	XP_033140624.1
OG0000004	XP_019096757.1	XP_033138950.1, XP_033130324.1
OG0000004	XP_010518461.1, XP_019096689.1, XP_010478337.2, XP_010495705.2, XP_010476476.1, XP_010462917.1	XP_033142456.1
OG0000004	XP_010468113.1, XP_019085399.1	XP_033138907.1, XP_033138951.1, XP_009139525.2
OG0000005	XP_019085415.1, XP_010450321.1	XP_009113007.1
OG0000005	XP_010430868.1, XP_010495615.1, XP_019094583.1	XP_033131673.1, XP_033139087.1
OG0000005	XP_010412462.1, XP_010451773.2	XP_033145199.1, XP_033138856.1, XP_033139537.1
OG0000005	XP_019098316.1, XP_019094600.1, XP_019097484.1, XP_019086811.1, XP_019091104.1, XP_019089272.1, XP_019085539.1, XP_019089029.1	XP_033138922.1
OG0000005	XP_019096023.1, XP_010418873.1, XP_019092325.1	XP_033139353.1, XP_033139489.1, XP_033138946.1
OG0000005	XP_010445897.1, XP_010484749.1	XP_033134418.1
OG0000007	XP_010431016.1, XP_010431602.1, XP_010495651.1	XP_033140542.1
OG0000007	XP_010456919.1, XP_019096427.1	XP_033132504.1
OG0000007	XP_010468495.1, XP_010445987.1, XP_010463082.1, XP_010507576.1, XP_010436436.1, XP_019091129.1, XP_019094477.1, XP_019097408.1, XP_019094446.1, XP_010480912.1	XP_009129528.2, XP_033133945.1
OG0000007	XP_010501923.1	XP_033146627.1
OG0000007	XP_019082601.1, XP_019090940.1, XP_019094917.1, XP_019093341.1, XP_019087695.1, XP_010470530.1, XP_019089183.1	XP_033133985.1, XP_033143316.1, XP_033138798.1, XP_033141235.1, XP_033133974.1, XP_033141172.1, XP_033145248.1, XP_033143243.1
OG0000007	XP_019101696.1, XP_019087470.1, XP_010513731.1, XP_010495913.1, XP_010507724.1, XP_010424263.1, XP_010501166.1, XP_019093691.1	XP_033145376.1, XP_033147221.1, XP_033128792.1, XP_018509939.2
OG0000007	XP_019099816.1, XP_010463256.1	XP_033142256.1, XP_033131850.1, XP_033132443.1, XP_033141204.1, XP_033141185.1, XP_033143314.1, XP_033128723.1
OG0000008	XP_010451669.1	XP_033147955.1
OG0000008	XP_019097485.1, XP_010451903.1, XP_019085491.1, XP_010479356.2	XP_033147243.1
OG0000008	XP_010445013.1, XP_010507052.1, XP_010490195.1, XP_019089099.1	XP_033145226.1
OG0000008	XP_010456611.1, XP_010469634.1, XP_010468583.2	XP_033139890.1, XP_033129084.1, XP_033145197.1, XP_018513989.2, XP_033129879.1, XP_033140569.1, XP_033140184.1
OG0000008	XP_010424538.1, XP_019096484.1	XP_033142381.1
OG0000008	XP_019098037.1, XP_010507054.1, XP_019087817.1, XP_010495527.1	XP_033139686.1, XP_033140769.1
OG0000008	XP_010431254.1, XP_010507402.1, XP_010507400.1, XP_019101905.1, XP_010431252.2	XP_009115858.3
OG0000008	XP_019102002.1, XP_010468441.1, XP_010451612.1, XP_010456943.1, XP_010424377.2	XP_033138353.1
OG0000008	XP_019087202.1	XP_033131793.1
OG0000008	XP_010495176.1, XP_010497048.1, XP_019100926.1, XP_010451668.1, XP_010434876.2, XP_010495526.1, XP_010445463.1, XP_010445485.1	XP_033131838.1
OG0000009	XP_019101780.1, XP_010446224.1, XP_010424733.1	XP_033139461.1
OG0000009	XP_019085473.1	XP_009142536.1, XP_009111228.2
OG0000009	XP_010481118.1	XP_033141066.1, XP_033146099.1, XP_009137100.1, XP_018515469.2, XP_033140104.1
