Arabidopsis_lyrata_NCBI	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
XP_002862155.2	256	AT5G54190.1	AT5G54190.1	other	GO:0009507;GO:0009640;GO:0009723;GO:0005515;GO:0009647;GO:0016630;GO:0015995;GO:0003729;GO:0009534;GO:0009941;GO:0015979	Protochlorophyllide reductase A, chloroplastic (PCR A) (EC 1.3.1.33) (NADPH-protochlorophyllide oxidoreductase A) (POR A)
XP_002862157.2	116	AT3G13120.1	AT3G13120.1	other	GO:0009507;GO:0006412;GO:0005739;GO:0009570;GO:0042644;GO:0005515;GO:0003735;GO:0003729;GO:0015935;GO:0005829;GO:0005840;GO:1990904;GO:0003723	Small ribosomal subunit protein uS10c (30S ribosomal protein S10, chloroplastic)
XP_002862158.2	189				GO:0006631;GO:0070403;GO:0016491	
XP_002862161.2	114	AT1G80620.1	AT1G80620.1	other	GO:0003735;GO:0006412;GO:0009507;GO:0005840;GO:0009536;GO:1990904	Small ribosomal subunit protein uS15c (30S ribosomal protein S15, chloroplastic)
XP_002862163.2	236	AT1G78480.1	AT1G78480.1	orthologue	GO:0016104;GO:0005811;GO:0009507;GO:0003674;GO:0016020;GO:0042300;GO:0016866	F3F9.1 (Prenyltransferase family protein)
XP_002862164.2	156	AT1G80340.1	AT1G80340.1	other	GO:0009686;GO:0016707;GO:0010114;GO:0005515;GO:0009845;GO:0009639;GO:0009416;GO:0009507;GO:0046872	Gibberellin 3-beta-dioxygenase 2 (EC 1.14.11.15) (GA 3-oxidase 2) (AtGA3ox2) (Gibberellin 3 beta-hydroxylase 2) (Protein GA4 homolog)
XP_002862166.2	218	AT5G66990.1	AT5G66990.1	orthologue	GO:0003700;GO:0006355;GO:0005634;GO:0003677	Protein RKD3 (AtRKD3) (RWP-RK domain-containing protein 3)
XP_002862167.1	90	AT5G43518.1, AT5G43510.2, AT5G43525.1, AT5G43513.1, AT5G43285.1	AT5G43285.1	orthologue	GO:0005515;GO:0010183;GO:0005576;GO:0008150;GO:0003674	Protein LURE 1.1 (AtLURE1.1) (Cysteine-Rich Peptide 810_1.1) (CRP810_1.1) (Defensin-like protein 217);Protein LURE 1.2 (AtLURE1.2) (Cysteine-Rich Peptide 810_1.2) (CRP810_1.2) (Defensin-like protein 213);Protein LURE 1.3 (AtLURE1.3) (Cysteine-Rich Peptide 810_1.3) (CRP810_1.3) (Defensin-like protein 214);Protein LURE 1.4 (AtLURE1.4) (Cysteine-Rich Peptide 810_1.4) (CRP810_1.4) (Defensin-like protein 216);Protein LURE 1.5 (AtLURE1.5) (Cysteine-Rich Peptide 810_1.5) (CRP810_1.5) (Defensin-like protein 212)
XP_002862168.1	90	AT5G43518.1, AT5G43510.2, AT5G43525.1, AT5G43513.1, AT5G43285.1	AT5G43285.1	orthologue	GO:0005515;GO:0010183;GO:0005576;GO:0008150;GO:0003674	Protein LURE 1.1 (AtLURE1.1) (Cysteine-Rich Peptide 810_1.1) (CRP810_1.1) (Defensin-like protein 217);Protein LURE 1.2 (AtLURE1.2) (Cysteine-Rich Peptide 810_1.2) (CRP810_1.2) (Defensin-like protein 213);Protein LURE 1.3 (AtLURE1.3) (Cysteine-Rich Peptide 810_1.3) (CRP810_1.3) (Defensin-like protein 214);Protein LURE 1.4 (AtLURE1.4) (Cysteine-Rich Peptide 810_1.4) (CRP810_1.4) (Defensin-like protein 216);Protein LURE 1.5 (AtLURE1.5) (Cysteine-Rich Peptide 810_1.5) (CRP810_1.5) (Defensin-like protein 212)
XP_002862173.2	284	AT3G22330.1	AT3G22330.1	other	GO:0005634;GO:0032991;GO:0009409;GO:0003729;GO:0000373;GO:0005730;GO:0005739;GO:0009505;GO:0003724;GO:0005829;GO:0005737;GO:0005524;GO:0016887	DEAD-box ATP-dependent RNA helicase 53, mitochondrial (EC 3.6.4.13)
