Orthogroup	Raphanus_sativus	Cardamine_amara
OG0000000	XP_018465985.1, XP_018462320.1	evm.model.RL_6.904, evm.model.RL_8.1136
OG0000000	XP_018470557.1	evm.model.RL_4.599
OG0000000	XP_018435304.1, XP_018467378.1	evm.model.RL_2.920, evm.model.RL_4.662, evm.model.RL_6.582
OG0000000	XP_018458866.1	evm.model.RL_8.1072
OG0000002	XP_018436084.1	evm.model.RL_5.2510, evm.model.RL_3.454
OG0000002	XP_018453671.1, XP_018459832.1	evm.model.RL_4.153
OG0000002	XP_018436085.1	evm.model.RL_3.619, evm.model.RL_3.842, evm.model.RL_8.341, evm.model.RL_5.754, evm.model.RL_2.2032, evm.model.RL_4.152, evm.model.RL_8.607
OG0000003	XP_018448864.1	evm.model.RL_5.2420
OG0000003	XP_018461854.1	evm.model.RL_2.548, evm.model.RL_2.709, evm.model.RL_6.630, evm.model.RL_6.635, evm.model.RL_2.683, evm.model.RL_1.2634, evm.model.RL_5.2492, evm.model.RL_3.793, evm.model.RL_6.677, evm.model.RL_3.838, evm.model.RL_6.670
OG0000003	XP_018463188.1, XP_018462737.1	evm.model.RL_7.2059, evm.model.RL_6.676
OG0000003	XP_018464076.1, XP_018465694.1, XP_018459974.1	evm.model.RL_1.2633
OG0000004	XP_018462059.1, XP_018453573.1	evm.model.RL_2.303
OG0000005	XP_018479454.1	evm.model.RL_2.975, evm.model.RL_4.402, evm.model.RL_4.816, evm.model.RL_4.229
OG0000005	XP_018454182.1	evm.model.RL_8.2917
OG0000005	XP_018479571.1, XP_018488331.1	evm.model.RL_7.1952, evm.model.RL_8.339
OG0000005	XP_018473658.1	evm.model.RL_1.3117
OG0000005	XP_018479530.1, XP_018462391.1	evm.model.RL_1.1904, evm.model.RL_2.461
OG0000006	XP_018466154.1, XP_018479922.1	evm.model.RL_1.817, evm.model.RL_2.785
OG0000006	XP_018479657.1	evm.model.RL_7.1936, evm.model.RL_4.552
OG0000006	XP_018455976.1	evm.model.RL_4.553, evm.model.RL_5.578
OG0000006	XP_018454081.1, XP_018453629.1, XP_018477728.1, XP_018459130.1, XP_018443492.1, XP_018437596.1, XP_018474159.1, XP_018439630.1, XP_018487830.1, XP_018489312.1, XP_018479768.1, XP_018460608.1, XP_018479975.1, XP_018437591.1, XP_018450753.1	evm.model.RL_5.2330
OG0000007	XP_018443420.1	evm.model.RL_4.333, evm.model.RL_4.870, evm.model.RL_4.1691, evm.model.RL_7.1568, evm.model.RL_5.674, evm.model.RL_4.1223
OG0000007	XP_018463622.1, XP_018435702.1, XP_018448498.1, XP_018435739.1, XP_018435737.1, XP_018443673.1, XP_018475855.1, XP_018453689.1, XP_018479455.1	evm.model.RL_2.539
OG0000007	XP_018458646.1	evm.model.RL_4.557, evm.model.RL_2.1095
OG0000007	XP_018463113.1, XP_018459162.1	evm.model.RL_2.2279
OG0000007	XP_018459875.1, XP_018472282.1, XP_018460558.1, XP_018463849.1, XP_018453704.1, XP_018479420.1, XP_018462177.1, XP_018478413.1, XP_018479618.1, XP_018487613.1, XP_018478228.1, XP_018479119.1, XP_018487413.1, XP_018487416.1, XP_018435875.1	evm.model.RL_2.556
OG0000008	XP_018487412.1	evm.model.RL_7.2148, evm.model.RL_2.761
OG0000008	XP_018465341.1, XP_018462648.1, XP_018454207.1, XP_018448605.1, XP_018458139.1, XP_018488090.1, XP_018444644.1, XP_018489767.1, XP_018459643.1, XP_018463424.1, XP_018487499.1, XP_018435369.1, XP_018454008.1, XP_018475693.1, XP_018435390.1, XP_018435386.1, XP_018479750.1, XP_018464703.1, XP_018455757.1, XP_018436131.1, XP_018459798.1, XP_018473907.1, XP_018482699.1, XP_018488222.1, XP_018464317.1, XP_018469961.1, XP_018458111.1, XP_018463415.1, XP_018453388.1, XP_018463041.1, XP_018448884.1, XP_018448882.1, XP_018489331.1, XP_018490599.1, XP_018460935.1	evm.model.RL_4.1914
OG0000010	XP_018467318.1	evm.model.RL_5.2592
OG0000011	XP_018479604.1, XP_018459024.1, XP_018462958.1, XP_018479316.1, XP_018481586.1, XP_018466155.1, XP_018479745.1, XP_018479747.1, XP_018465050.1, XP_018450842.1, XP_018466969.1, XP_018487564.1, XP_018479889.1, XP_018471963.1	evm.model.RL_6.446
OG0000012	XP_018480111.1	evm.model.RL_4.165
OG0000012	XP_018460988.1	evm.model.RL_6.730, evm.model.RL_5.2582
OG0000012	XP_018448717.1	evm.model.RL_3.685
OG0000012	XP_018459050.1	evm.model.RL_2.3
OG0000013	XP_018473864.1, XP_018476696.1	evm.model.RL_3.807, evm.model.RL_3.1357, evm.model.RL_4.820, evm.model.RL_2.791, evm.model.RL_6.523, evm.model.RL_4.704, evm.model.RL_2.641
OG0000013	XP_018467319.1, XP_018453656.1, XP_018458136.1, XP_018458135.1, XP_018458664.1, XP_018459125.1, XP_018453657.1, XP_018458096.1, XP_018476282.1, XP_018459495.1, XP_018476229.1, XP_018464964.1, XP_018476861.1, XP_018464106.1, XP_018436081.1	evm.model.RL_7.2034, evm.model.RL_2.725, evm.model.RL_2.397
OG0000014	XP_018487609.1, XP_018435910.1, XP_018473974.1, XP_018473976.1	evm.model.RL_1.2917
OG0000014	XP_018476436.1	evm.model.RL_3.2283
OG0000017	XP_018463043.1	evm.model.RL_7.1888
OG0000017	XP_018463663.1, XP_018481037.1	evm.model.RL_3.2130
OG0000018	XP_018465850.1	evm.model.RL_7.1872
OG0000019	XP_018487710.1, XP_018465525.1, XP_018479350.1	evm.model.RL_1.2654
OG0000019	XP_018465398.1, XP_018435783.1, XP_018436176.1	evm.model.RL_7.2268
OG0000020	XP_018482431.1	evm.model.RL_8.674
OG0000020	XP_018453806.1, XP_018461981.1, XP_018487719.1, XP_018467787.1	evm.model.RL_2.3364
OG0000020	XP_018487698.1	evm.model.RL_7.2129
OG0000021	XP_018474062.1	evm.model.RL_7.92, evm.model.RL_2.444
OG0000021	XP_018458516.1	evm.model.RL_6.1178, evm.model.RL_5.2234
OG0000021	XP_018443605.1, XP_018443313.1, XP_018443314.1, XP_018435962.1, XP_018436465.1, XP_018473666.1, XP_018448333.1, XP_018448335.1	evm.model.RL_4.3275, evm.model.RL_5.2792
OG0000023	XP_018468520.1, XP_018468522.1	evm.model.RL_2.1848
OG0000023	XP_018468512.1, XP_018468509.1, XP_018468514.1	evm.model.RL_2.1849
OG0000023	XP_018483533.1, XP_018478194.1	evm.model.RL_2.1843
OG0000023	XP_018483343.1, XP_018448955.1, XP_018451939.1	evm.model.RL_2.1842
OG0000023	XP_018454315.1, XP_018476504.1, XP_018476512.1	evm.model.RL_8.636
OG0000023	XP_018453781.1	evm.model.RL_8.624
OG0000023	XP_018455630.1	evm.model.RL_8.630
OG0000023	XP_018448922.1, XP_018448923.1	evm.model.RL_2.1829, evm.model.RL_2.1830
OG0000023	XP_018439285.1	evm.model.RL_2.1825.3.687c86e4
OG0000025	XP_018448361.1, XP_018448364.1, XP_018435503.1	evm.model.RL_2.3111
OG0000025	XP_018466544.1, XP_018480011.1, XP_018474193.1, XP_018474191.1, XP_018474185.1	evm.model.RL_8.1529
OG0000026	XP_018453000.1, XP_018457945.1	evm.model.RL_2.467, evm.model.RL_1.1627, evm.model.RL_1.2710
OG0000026	XP_018463661.1, XP_018464633.1, XP_018443774.1, XP_018448668.1, XP_018464311.1, XP_018444655.1, XP_018453979.1, XP_018465310.1, XP_018458109.1, XP_018460661.1, XP_018458793.1, XP_018487730.1, XP_018436457.1, XP_018487713.1, XP_018488093.1, XP_018464148.1, XP_018463452.1, XP_018448718.1, XP_018453740.1, XP_018436069.1, XP_018448846.1, XP_018461822.1, XP_018464214.1	evm.model.RL_7.315
OG0000027	XP_018448575.1, XP_018448576.1	evm.model.RL_5.2839
OG0000027	XP_018487153.1	evm.model.RL_7.603, evm.model.RL_7.580
OG0000028	XP_018463159.1	evm.model.RL_7.2004, evm.model.RL_7.2001, evm.model.RL_7.2002, evm.model.RL_7.4, evm.model.RL_5.3115
