Orthogroup	Arabidopsis_lyrata_Rawat	Euclidium_syriacum
OG0000000	AL6G27580	ESY9_g43741_DN1_SP0_c0.t1
OG0000000	AL1G62960, AL1G56600, AL7G44730	ESY6_g47093_DN2_SP0_c0.t1
OG0000000	AL3G48680	ESY17_g39043_DN1_SP0_c0.t1
OG0000002	AL7G45780, AL7G43430, AL5G25580, AL2G27160, AL1G53170, AL9U10140, AL5G30280, AL3G49840, AL3G15910, AL3G37080, AL1G57360, AL4G14300, AL8G20200, AL8G36900, AL5G16580, AL1G63470, AL5G20000, AL2G19560, AL122U10020, AL6G39770, AL8G20740, AL987U10010, AL4G19260, AL4G18310, AL6G46170, AL5G15420, AL4G14990, AL7G51360, AL7G51800, AL1G67410, AL1G66540, AL4G21030, AL5G12150	ESY9_g43349_DN2_SP0_c0.t1
OG0000003	AL7G30150, AL5G20380, AL488U10010, AL4G29570	ESY7_g19226_DN2_SP0_c46.t1
OG0000003	AL8G41490, AL4G39950, AL363U10020	ESY8_g60366_DN2_SP0_c0.t1
OG0000003	AL433U10010	ESY9_g43283_DN2_SP0_c0.t1
OG0000003	AL3G44960, AL4G18440, AL8G19180, AL27U10030	ESY9_g43824_DN1_SP0_c0.t1
OG0000003	AL3G42620	ESY2_g37193_DN1_SP0_c0.t1
OG0000003	AL481U10010	ESY6_g48209_DN3_SP0_c0.t1
OG0000004	AL1G59120	ESY9_g43878_DN2_SP0_c0.t1
OG0000004	AL7G43300	ESY3_g27908_DN2_SP0_c72.t1, ESY3_g29030_DN1_SP0_c59.t1, ESY2_g38064_DN2_SP0_c54.t1
OG0000004	AL1G65200	ESY3_g28075_DN1_SP0_c100.t1, ESY15_g65683_DN1_SP0_c52.t1, ESY13_g56188_DN3_SP0_c88.t1
OG0000007	AL9U10810, AL8G24640, AL1G53130, AL4G23810, AL4G24120, AL8G18310, AL1G37680, AL3G20440, AL2G22610, AL5G31160, AL1G46310, AL5G15300, AL1G34010, AL8G16470, AL1G61810, AL6G29050, AL5G28660, AL7G43440, AL4G23130, AL5G42560, AL4G15130, AL1G41850, AL7G40730, AL6G17970	ESY9_g43616_DN3_SP0_c12.t1
OG0000009	AL251U10020, AL3G32130	ESY6_g47492_DN1_SP0_c0.t1
OG0000009	AL5G15340	ESY2_g36312_DN1_SP0_c0.t1
OG0000009	AL6G10570	ESY6_g47366_DN1_SP0_c0.t1
OG0000009	AL5G14390, AL5G21470	ESY7_g19643_DN1_SP0_c0.t1, ESY4_g23742_DN2_SP0_c0.t1, ESY7_g17772_DN2_SP0_c0.t1
OG0000009	AL8G42570	ESY13_g56734_DN1_SP0_c0.t1
OG0000009	AL9U10020	ESY9_g43520_DN3_SP0_c0.t1
OG0000009	AL4G46120, AL8G23160	ESY8_g59457_DN2_SP0_c0.t1, ESY5_g5477_DN1_SP0_c0.t1, ESY5_g5044_DN1_SP0_c0.t1, ESY15_g65873_DN1_SP0_c0.t1, ESY5_g1712_DN1_SP0_c0.t1, ESY9_g43818_DN1_SP0_c0.t1, ESY19_g41266_DN2_SP0_c0.t1
OG0000011	AL6G32670	ESY12_g51066_DN2_SP0_c0.t1, ESY1_g9462_DN1_SP0_c0.t1
OG0000011	AL7G52850, AL1G50520, AL5G34620, AL5G17780, AL1G17050, AL2G26450	ESY8_g60782_DN3_SP0_c0.t1
OG0000011	AL6G47490	ESY1_g5998_DN3_SP0_c100.t1
OG0000011	AL2G23260	ESY6_g46861_DN2_SP0_c63.t1
OG0000015	AL25U10010, AL6G22310, AL7G26200	ESY7_g16245_DN2_SP0_c0.t1
OG0000015	AL8G27740, AL429U10010, AL792U10020, AL1G20970, AL8G24680, AL1G15850	ESY17_g40192_DN2_SP0_c0.t1, ESY13_g57357_DN1_SP0_c0.t1
OG0000015	AL2G24310	ESY2_g38598_DN3_SP0_c0.t1
OG0000020	AL189U10010, AL189U10020, AL3G44820, AL7G51100, AL6G40580, AL7G44020, AL3G44050, AL460U10020	ESY18_g63699_DN3_SP0_c0.t1, ESY9_g44479_DN2_SP0_c0.t1, ESY17_g39372_DN3_SP0_c44.t1, ESY11_g52417_DN3_SP0_c0.t1
OG0000020	AL5G20560	ESY13_g56796_DN1_SP0_c0.t1
OG0000020	AL6G44340, AL6G44350, AL1G18490, AL5G20700, AL4G18270, AL4G19490, AL5G11530, AL6G46630	ESY6_g46671_DN2_SP0_c83.t1
