Orthogroup	Noccaea_praecox	Arabidopsis_lyrata_NCBI
OG0000000	Np001G0039000, Np003G1298000, Np005G3158100, Np003G1529800, Np005G3074100	XP_020887823.1
OG0000000	Np003G1708100, Np006G3568800	XP_020885673.1
OG0000000	Np005G3087900, Np001G0546600, Np007G4183100, Np006G3224700	XP_020874113.1
OG0000003	Np005G3039000	XP_020881895.1
OG0000004	Np003G1676800	XP_020891399.1
OG0000004	Np002G1072700	XP_020866272.1, XP_020871264.1, XP_020886308.1, XP_020882759.1, XP_020875043.1, XP_020881970.1, XP_020889966.1, XP_020875528.1, XP_020871434.1, XP_020869121.1, XP_020871489.1, XP_020869697.1
OG0000004	Np004G2093200, Np007G3994400, Np005G2976000, Np005G3035100, Np002G0985300	XP_020878681.1
OG0000005	Np002G1043100	XP_020874036.1
OG0000007	Np008G4270000, Np002G0921200	XP_020870157.1, XP_020870555.1
OG0000007	Np003G1457500	XP_020873755.1, XP_020876409.1, XP_020866331.1, XP_020872053.1, XP_020879940.1, XP_020872382.1, XP_020871008.1, XP_020880934.1, XP_020868816.1, XP_020866419.1, XP_002893144.2, XP_020870776.1, XP_020871034.1, XP_002875947.2, XP_002868379.2, XP_020879876.1, XP_020883895.1, XP_020866620.1, XP_020873499.1, XP_020887609.1, XP_020874852.1
OG0000008	Np002G0964800	XP_020881833.1, XP_020881734.1, XP_020882642.1, XP_020879664.1, XP_020882276.1
OG0000008	Np001G0535300	XP_020881885.1, XP_020881611.1, XP_020881699.1, XP_020881700.1
OG0000009	Np005G2652900, Np004G2035600	XP_020887659.1
OG0000009	Np002G0805000	XP_020884776.1
OG0000009	Np004G2021700	XP_020883429.1
OG0000009	Np003G1663900, Np001G0129200, Np003G1783000	XP_020877155.1, XP_020876055.1
OG0000009	Np006G3566400	XP_020881689.1
OG0000009	Np002G0744000	XP_020867197.1
OG0000011	Np001G0276300	XP_020873638.1
OG0000011	Np004G2119600	XP_020878589.1, XP_020869090.1
OG0000011	Np002G1062300, Np003G1667700	XP_020872379.1, XP_020877201.1, XP_020879405.1, XP_020871455.1
OG0000011	Np001G0298900, Np004G2255700, Np001G0314400	XP_020881858.1
OG0000011	Np001G0276200	XP_020875848.1
OG0000011	Np007G4050800, Np001G0276100	XP_020875471.1, XP_020876980.1, XP_002888416.2
OG0000015	Np001G0295000, Np001G0361200	XP_020865814.1
OG0000020	Np003G1663000	XP_020887777.1
OG0000021	Np002G1064200, Np002G0964900, Np003G1389200, Np005G3017500, Np007G3934300, Np003G1720200	XP_020887754.1, XP_020885800.1, XP_020871592.1, XP_020879735.1, XP_020879721.1, XP_020887591.1, XP_020885208.1, XP_020885137.1, XP_020886953.1, XP_020886960.1, XP_020890910.1, XP_020885657.1
OG0000022	Np004G2449100	XP_020869508.1, XP_020870927.1
OG0000022	Np005G3189900	XP_002868609.1
OG0000023	Np002G1065700, Np005G3185500	XP_020870611.1
OG0000023	Np002G1180000	XP_020871051.1
OG0000023	Np002G1103400	XP_020874097.1
OG0000023	Np006G3415100	XP_020888558.1, XP_020874042.1, XP_020875073.1
OG0000023	Np007G4040200	XP_020866256.1
OG0000024	Np004G2150800	XP_020888987.1
OG0000024	Np001G0579500, Np001G0579400	XP_020881113.1, XP_020879759.1, XP_020879758.1, XP_002875716.2
OG0000024	Np004G2148800, Np004G2148600, Np005G2717400	XP_002893654.2
OG0000025	Np006G3544700	XP_020889652.1
OG0000026	Np002G1023700, Np003G1714900, Np004G2296200, Np002G1036400, Np006G3505400, Np002G0982000, Np002G0982200, Np004G2241900, Np002G1073000, Np002G1127100, Np004G2249100, Np002G1005400, Np001G0243300, Np002G0966100, Np004G2247000, Np001G0260700, Np002G1000900, Np004G2249200, Np006G3466700, Np001G0460600, Np001G0205400, Np002G1009300, Np006G3527300, Np001G0460700, Np003G1715000	XP_020879791.1
OG0000027	Np003G1806500	XP_020878445.1
OG0000027	Np005G2838800	XP_020873349.1
OG0000028	Np003G1643200	XP_020885754.1, XP_020874777.1, XP_020875627.1, XP_020874778.1, XP_020871166.1, XP_020886436.1
OG0000028	Np003G1814100, Np006G3583400, Np006G3684500, Np006G3583600, Np006G3583100, Np003G1813800, Np003G1813300	XP_020877991.1, XP_020873006.1
OG0000028	Np006G3533600, Np006G3532900, Np006G3474900, Np006G3473800, Np006G3703700, Np006G3698600, Np003G1462900, Np006G3474200, Np006G3698100, Np006G3696700	XP_020875061.1
OG0000028	Np003G1604900	XP_020865869.1, XP_020865879.1, XP_020877806.1, XP_020878007.1, XP_020880460.1, XP_020880469.1, XP_020880478.1
OG0000029	Np003G1680700, Np003G1751100	XP_020888389.1
OG0000029	Np006G3568700, Np002G1054100, Np003G1452300, Np003G1751000	XP_020874443.1
OG0000030	Np001G0090700	XP_002893432.1, XP_020866580.1
OG0000030	Np004G2249500, Np004G2249800	XP_020869589.1, XP_020885911.1, XP_020890322.1
OG0000030	Np004G2250000	XP_020888486.1
OG0000030	Np007G4070000	XP_002884990.1, XP_002884981.1, XP_002884979.1
OG0000031	Np005G2850000	XP_020870253.1
OG0000034	Np005G2840700, Np005G2840600	XP_002869784.2
OG0000034	Np005G2841700	XP_020873356.1
OG0000035	Np004G2088100, Np005G3165600	XP_020883112.1, XP_020887195.1, XP_020871214.1, XP_020875318.1, XP_020870256.1, XP_020884941.1, XP_020875756.1, XP_020887746.1, XP_020877165.1
OG0000035	Np005G2829500, Np004G2306200, Np004G2311400	XP_020883599.1, XP_020884365.1, XP_020876202.1, XP_020876425.1
OG0000035	Np007G3930700	XP_020870265.1, XP_020886028.1
OG0000038	Np007G3978400	XP_020871977.1, XP_020873505.1, XP_020879598.1, XP_020876468.1, XP_020880729.1
OG0000040	Np001G0278000	XP_020888726.1
OG0000040	Np006G3694800, Np006G3353400	XP_020877174.1, XP_020890764.1, XP_020881671.1, XP_020871402.1
OG0000042	Np004G2161100, Np002G0961400	XP_020876174.1
OG0000046	Np004G2388700, Np001G0160700	XP_020871374.1, XP_020877131.1, XP_020885942.1
OG0000046	Np002G0812000, Np006G3271700, Np002G0901300, Np007G3942200, Np006G3533700, Np004G2173800, Np007G4037000, Np003G1635500, Np004G2079600, Np005G3093000, Np006G3271600, Np007G4080200, Np005G3032100, Np004G2183100, Np004G2290100, Np002G1005100, Np004G2334400	XP_020877167.1, XP_020871406.1, XP_002883785.1, XP_020880655.1, XP_020876919.1, XP_020882740.1, XP_002893924.2, XP_020870337.1, XP_020887727.1, XP_020867102.1, XP_020874078.1, XP_020866165.1, XP_020872615.1, XP_020878672.1, XP_020882823.1, XP_020877149.1, XP_020879796.1, XP_020872313.1, XP_020883604.1, XP_020876127.1
OG0000047	Np002G1005500	XP_020883415.1
OG0000049	Np002G1103100	XP_020887816.1
OG0000051	Np004G2552100, Np007G3843500, Np007G3849300, Np004G2593300, Np003G1312800, Np003G1313100, Np003G1316200, Np004G2360300	XP_020868191.1
OG0000051	Np006G3285300, Np006G3285400	XP_020885498.1
OG0000051	Np002G1229200	XP_002886390.1
OG0000051	Np002G1168000, Np002G1055900, Np002G1071800	XP_002882601.1
OG0000051	Np006G3285800, Np006G3285900, Np006G3286000	XP_020884766.1, XP_020885237.1, XP_020890130.1
OG0000051	Np003G1730300	XP_020883307.1
OG0000051	Np006G3284800, Np006G3284200, Np006G3284000	XP_002881853.1, XP_020883310.1, XP_020883308.1, XP_020883311.1
OG0000052	Np001G0218600	XP_020882518.1, XP_020882260.1
OG0000052	Np002G0839600	XP_020881407.1, XP_020881410.1, XP_020881406.1
OG0000052	Np007G4239500	XP_020886942.1
OG0000055	Np006G3336100, Np006G3338700, Np003G1875300	XP_020889173.1
OG0000055	Np007G3923100, Np007G3922500	XP_002885221.2, XP_020889148.1, XP_002862289.1
OG0000055	Np005G2851900	XP_020883674.1
OG0000055	Np007G3753300	XP_020886512.1
OG0000056	Np002G1201900, Np002G1202000, Np002G1202100	XP_020890625.1, XP_002888056.1
OG0000056	Np002G1191800, Np002G1192300, Np002G1195300	XP_020891225.1, XP_002888053.1, XP_020891223.1
OG0000056	Np005G3136000, Np001G0467300	XP_020880767.1
OG0000058	Np004G2334500	XP_020868066.1
OG0000058	Np006G3504600	XP_020883504.1
