"Euclidium_syriacum"	"prot_length"	"Arabidopsis_thaliana"	"single_Arabidopsis_thaliana"	"homologue_type"	"OL_Arabidopsis_thaliana"	"N0_HOG"	"N0_Arabidopsis_thaliana"	"OG_Orthogroup"	"OG_Arabidopsis_thaliana"	"RBH_B_id"	"RBH_A_length"	"RBH_B_length"	"RBH_A_qcovhsp"	"RBH_B_qcovhsp"	"RBH_length"	"RBH_pident"	"RBH_bitscore"	"BLAST_saccver"	"BLAST_pident"	"BLAST_length"	"BLAST_mismatch"	"BLAST_gapopen"	"BLAST_qstart"	"BLAST_qend"	"BLAST_sstart"	"BLAST_send"	"BLAST_evalue"	"BLAST_bitscore"	"BLAST_qcovhsp"	"BLAST_qlen"	"BLAST_slen"
"ESY10_g13661_DN2_SP0_c0.t1"	69	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ESY10_g13664_DN2_SP0_c0.t1"	229	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ESY10_g13674_DN3_SP0_c0.t1"	586	"AT3G27390.1"	"AT3G27390.1"	"orthologue"	"AT3G27390.1"	"N0.HOG0011951"	"AT3G27390.1"	"OG0006060"	"AT3G27390.1"	"AT3G27390.1"	587	588	99	100	589	84.55	1009	"AT3G27390.1"	"84.55"	"589"	"87"	"2"	"1"	"586"	"1"	"588"	"0"	"1009"	"99"	"587"	"588"
"ESY10_g13676_DN3_SP0_c0.t1"	127	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G15690.1, AT4G04775.1"	"40"	"40"	"21"	"1"	"26"	"62"	"14"	"53"	"2.45e-06, 2.84e-06"	"43.9"	"29"	"128"	"169, 160"
"ESY10_g13677_DN2_SP0_c0.t1"	492	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G05850.1"	"38.028"	"71"	"44"	"0"	"308"	"378"	"206"	"276"	"4.84e-09"	"58.5"	"14"	"493"	"777"
"ESY10_g13678_DN3_SP0_c0.t1"	444	"AT1G31960.1, AT1G36970.1, AT2G07280.1, AT3G31560.1, AT4G05555.1"	"AT1G36970.1"	"other"	NA	NA	NA	"OG0000131"	"AT1G31960.1, AT1G36970.1, AT2G07280.1, AT3G31560.1, AT4G05555.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G31150.1"	"42.545"	"275"	"144"	"6"	"144"	"412"	"10"	"276"	"1.35e-61"	"211"	"61"	"444"	"673"
"ESY10_g13679_DN3_SP8_c0.t1"	279	"AT5G40650.1, AT3G27380.1"	"AT3G27380.1"	"orthologue"	"AT5G40650.1, AT3G27380.1"	"N0.HOG0005687"	"AT5G40650.1, AT3G27380.1"	"OG0001851"	"AT3G27380.1, AT5G40650.1"	"AT3G27380.1"	280	279	99	100	279	93.19	551	"AT3G27380.1"	"93.19"	"279"	"19"	"0"	"1"	"279"	"1"	"279"	"0"	"551"	"99"	"280"	"279"
"ESY10_g13680_DN2_SP0_c0.t1"	151	"AT3G27355.1"	"AT3G27355.1"	"orthologue"	"AT3G27355.1"	"N0.HOG0024928"	"AT3G27355.1"	"OG0018271"	"AT3G27355.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G27355.1"	"56.571"	"175"	"39"	"10"	"1"	"151"	"1"	"162"	"4e-50"	"157"	"99"	"152"	"162"
"ESY10_g13681_DN3_SP0_c0.t1"	287	"AT3G27350.2"	"AT3G27350.2"	"orthologue"	"AT3G27350.2"	"N0.HOG0011950"	"AT3G27350.2"	"OG0006059"	"AT3G27350.2"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G27350.2"	"62"	"300"	"75"	"8"	"1"	"287"	"1"	"274"	"1.06e-111"	"325"	"100"	"287"	"319"
"ESY10_g13686_DN1_SP0_c0.t1"	69	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G53340.1"	"36.17"	"47"	"30"	"0"	"16"	"62"	"141"	"187"	"0.095"	"29.6"	"67"	"70"	"338"
"ESY10_g13688_DN3_SP0_c0.t1"	320	"AT1G34170.3, AT1G43950.1, AT1G35520.1, AT1G35240.1, AT1G34410.1, AT1G34390.1, AT1G34310.1, AT1G35540.1"	"AT1G35240.1"	"orthologue"	"AT1G34170.3, AT1G43950.1, AT1G35520.1, AT1G35240.1, AT1G34410.1, AT1G34390.1, AT1G34310.1, AT1G35540.1"	"N0.HOG0003714"	"AT1G34170.3, AT1G43950.1, AT1G35520.1, AT1G35240.1, AT1G34410.1, AT1G34390.1, AT1G34310.1, AT1G35540.1"	"OG0000899"	"AT1G34170.3, AT1G34310.1, AT1G34390.1, AT1G34410.1, AT1G35240.1, AT1G35520.1, AT1G35540.1, AT1G43950.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G35240.1"	"58.537"	"287"	"117"	"1"	"6"	"290"	"88"	"374"	"8.34e-126"	"372"	"89"	"321"	"592"
"ESY10_g13703_DN2_SP0_c0.t1"	217	"AT2G17905.1, AT5G36225.1"	"AT5G36225.1"	"other"	NA	NA	NA	"OG0000028"	"AT2G17905.1, AT5G36225.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G36225.1"	"37.5"	"96"	"50"	"1"	"21"	"106"	"17"	"112"	"2.39e-13"	"66.6"	"40"	"217"	"235"
"ESY10_g13711_DN3_SP3_c0.t1"	140	"AT3G27340.1"	"AT3G27340.1"	"orthologue"	"AT3G27340.1"	"N0.HOG0013567"	"AT3G27340.1"	"OG0007503"	"AT3G27340.1"	"AT3G27340.1"	140	141	100	99	140	89.286	265	"AT3G27340.1"	"89.286"	"140"	"15"	"0"	"1"	"140"	"1"	"140"	"5.04e-93"	"265"	"100"	"140"	"141"
"ESY10_g13712_DN3_SP0_c0.t1"	576	"AT3G27330.1"	"AT3G27330.1"	"orthologue"	"AT3G27330.1"	"N0.HOG0006663"	"AT3G27330.1"	"OG0002361"	"AT3G27330.1, AT5G40720.1"	"AT3G27330.1"	577	913	96	61	556	84.173	976	"AT3G27330.1"	"84.173"	"556"	"82"	"2"	"1"	"553"	"1"	"553"	"0"	"976"	"96"	"577"	"913"
"ESY10_g13713_DN3_SP1_c0.t1"	351	"AT3G27330.1"	"AT3G27330.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G27330.1"	"74.044"	"366"	"68"	"10"	"1"	"351"	"560"	"913"	"3.47e-149"	"443"	"99"	"352"	"913"
"ESY10_g13714_DN3_SP0_c0.t1"	68	"AT5G40730.1"	"AT5G40730.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G40730.1"	"42.857"	"63"	"30"	"2"	"2"	"60"	"6"	"66"	"9.37e-05"	"36.2"	"86"	"69"	"69"
"ESY10_g13715_DN3_SP1_c0.t1"	967	"AT3G27325.2"	"AT3G27325.2"	"orthologue"	"AT3G27325.2"	"N0.HOG0014743"	"AT3G27325.2"	"OG0008596"	"AT3G27325.2"	"AT3G27325.2"	968	1121	99	88	983	86.673	1698	"AT3G27325.2"	"86.673"	"983"	"108"	"4"	"6"	"967"	"141"	"1121"	"0"	"1728"	"99"	"968"	"1121"
"ESY10_g13716_DN1_SP0_c0.t1"	138	"AT3G27325.2"	"AT3G27325.2"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G27325.2"	"79.661"	"118"	"21"	"1"	"14"	"131"	"29"	"143"	"2.69e-60"	"199"	"85"	"139"	"1121"
"ESY10_g13717_DN3_SP0_c0.t1"	250	"AT3G27310.1"	"AT3G27310.1"	"orthologue"	"AT3G27310.1"	"N0.HOG0019456"	"AT3G27310.1"	"OG0012965"	"AT3G27310.1"	"AT3G27310.1"	251	251	99	100	251	80.08	403	"AT3G27310.1"	"80.08"	"251"	"49"	"1"	"1"	"250"	"1"	"251"	"4.31e-144"	"403"	"99"	"251"	"251"
"ESY10_g13718_DN3_SP0_c0.t1"	290	"AT1G09480.1"	"AT1G09480.1"	"other"	NA	NA	NA	NA	NA	"AT1G09480.1"	291	369	98	77	287	77.003	432	"AT1G09480.1"	"77.003"	"287"	"62"	"3"	"5"	"290"	"86"	"369"	"5.55e-153"	"432"	"98"	"291"	"369"
"ESY10_g13719_DN1_SP0_c0.t1"	61	"AT3G27310.1"	"AT3G27310.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G27310.1"	"60.714"	"56"	"22"	"0"	"5"	"60"	"187"	"242"	"3.81e-14"	"63.5"	"90"	"62"	"251"
"ESY10_g13720_DN3_SP8_c18.t1"	516	"AT3G27300.4"	"AT3G27300.4"	"orthologue"	"AT3G27300.4"	"N0.HOG0005944"	"AT3G27300.4"	"OG0001984"	"AT3G27300.4, AT5G40760.1"	"AT3G27300.4"	517	587	99	88	516	91.279	989	"AT3G27300.4"	"91.279"	"516"	"45"	"0"	"1"	"516"	"72"	"587"	"0"	"989"	"99"	"517"	"587"
"ESY10_g13721_DN3_SP0_c0.t1"	473	"AT3G27290.1"	"AT3G27290.1"	"orthologue"	"AT3G27290.1"	"N0.HOG0024431"	"AT3G27290.1"	"OG0017784"	"AT3G27290.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G27290.1"	"60.934"	"407"	"109"	"8"	"69"	"469"	"20"	"382"	"4.19e-159"	"455"	"85"	"474"	"382"
"ESY10_g13722_DN3_SP0_c0.t1"	279	"AT3G27280.1"	"AT3G27280.1"	"orthologue"	"AT3G27280.1"	"N0.HOG0005281"	"AT3G27280.1"	"OG0001648"	"AT3G27280.1, AT5G40770.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G40770.1"	"88.043"	"276"	"33"	"0"	"1"	"276"	"1"	"276"	"0"	"498"	"99"	"280"	"277"
"ESY10_g13723_DN3_SP0_c0.t1"	249	"AT3G27270.2"	"AT3G27270.2"	"orthologue"	"AT3G27270.2"	"N0.HOG0021346"	"AT3G27270.2"	"OG0014787"	"AT3G27270.2"	"AT3G27270.2"	250	272	99	92	249	81.928	414	"AT3G27270.2"	"81.928"	"249"	"45"	"0"	"1"	"249"	"1"	"249"	"2.91e-148"	"414"	"99"	"250"	"272"
"ESY10_g13724_DN3_SP1_c0.t1"	717	"AT3G27260.3"	"AT3G27260.3"	"orthologue"	"AT3G27260.3"	"N0.HOG0014742"	"AT3G27260.3"	"OG0008595"	"AT3G27260.3"	"AT3G27260.3"	718	822	98	87	716	85.754	1134	"AT3G27260.3"	"85.754"	"716"	"90"	"3"	"1"	"705"	"1"	"715"	"0"	"1134"	"98"	"718"	"822"
"ESY10_g13727_DN2_SP0_c0.t1"	56	"AT3G09820.1"	"AT3G09820.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G09820.1"	"47.273"	"55"	"29"	"0"	"2"	"56"	"45"	"99"	"1.6e-11"	"56.6"	"96"	"57"	"344"
"ESY10_g13728_DN3_SP0_c0.t1"	275	"AT3G27250.1"	"AT3G27250.1"	"orthologue"	"AT3G27250.1"	"N0.HOG0011949"	"AT3G27250.1"	"OG0006058"	"AT3G27250.1"	"AT3G27250.1"	276	282	99	100	287	77.352	435	"AT3G27250.1"	"77.352"	"287"	"48"	"7"	"1"	"275"	"1"	"282"	"4.61e-156"	"435"	"99"	"276"	"282"
"ESY10_g13737_DN2_SP0_c0.t1"	173	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ESY10_g13738_DN3_SP7_c0.t1"	307	"AT3G27240.1"	"AT3G27240.1"	"orthologue"	"AT3G27240.1"	"N0.HOG0006193"	"AT3G27240.1"	"OG0002101"	"AT3G27240.1, AT5G40810.1"	"AT3G27240.1"	308	307	99	100	307	97.068	620	"AT3G27240.1"	"97.068"	"307"	"9"	"0"	"1"	"307"	"1"	"307"	"0"	"620"	"99"	"308"	"307"
"ESY10_g13739_DN3_SP0_c0.t1"	410	"AT3G27230.1"	"AT3G27230.1"	"orthologue"	"AT3G27230.1"	"N0.HOG0009829"	"AT3G27230.1"	"OG0004290"	"AT3G27230.1, AT5G40830.1"	"AT3G27230.1"	411	410	99	100	410	93.415	794	"AT3G27230.1"	"93.415"	"410"	"27"	"0"	"1"	"410"	"1"	"410"	"0"	"794"	"99"	"411"	"410"
"ESY10_g13740_DN3_SP6_c0.t1"	428	"AT3G27220.1"	"AT3G27220.1"	"orthologue"	"AT3G27220.1"	"N0.HOG0018081"	"AT3G27220.1"	"OG0011685"	"AT3G27220.1"	"AT3G27220.1"	429	426	99	97	413	89.486	764	"AT3G27220.1"	"89.486"	"428"	"43"	"1"	"1"	"428"	"1"	"426"	"0"	"780"	"99"	"429"	"426"
"ESY10_g13742_DN2_SP0_c0.t1"	116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ESY10_g13748_DN1_SP0_c0.t1"	78	"AT1G17745.2"	"AT1G17745.2"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G17745.2"	"81.818"	"44"	"8"	"0"	"1"	"44"	"138"	"181"	"1.81e-16"	"71.6"	"56"	"79"	"651"
