Orthogroup	Rorippa_islandica	Cardamine_hirsuta
OG0000000	Roisl.0046s1371.1.p, Roisl.0091s0126.1.p	CARHR219900, CARHR034550
OG0000000	Roisl.0012s0255.1.p, Roisl.0053s0040.1.p	CARHR228880, CARHR142010
OG0000000	Roisl.0020s0162.1.p, Roisl.0213s0727.1.p	CARHR153350
OG0000007	Roisl.0064s0008.1.p	CARHR051840
OG0000008	Roisl.0006s0140.1.p	CARHR288670
OG0000008	Roisl.0008s0117.1.p	CARHR257900, CARHR038360, CARHR181300, CARHR104250, CARHR286450, CARHR035440, CARHR117390, CARHR218770, CARHR031010
OG0000008	Roisl.0082s0661.1.p	CARHR159360
OG0000008	Roisl.0036s0059.1.p	CARHR217630
OG0000008	Roisl.0029s0057.1.p, Roisl.0043s0001.1.p	CARHR258310, CARHR217850
OG0000008	Roisl.0025s0028.1.p	CARHR183140
OG0000008	Roisl.0213s0742.1.p, Roisl.0188s0051.1.p	CARHR293430
OG0000008	Roisl.0066s0428.1.p, Roisl.0066s0426.1.p, Roisl.0008s0018.1.p	CARHR035430, CARHR217860
OG0000008	Roisl.0082s0006.1.p	CARHR215010
OG0000008	Roisl.0214s0198.1.p	CARHR103540
OG0000008	Roisl.0189s0008.1.p	CARHR118900
OG0000008	Roisl.0037s0001.1.p, Roisl.0041s0027.1.p, Roisl.0213s0638.1.p	CARHR115010
OG0000008	Roisl.0208s0049.1.p, Roisl.0065s0019.1.p, Roisl.0209s0203.1.p	CARHR291920, CARHR221030, CARHR117380
OG0000008	Roisl.0046s1128.1.p	CARHR161310, CARHR161290, CARHR161300
OG0000008	Roisl.0046s1132.1.p, Roisl.0046s1119.1.p	CARHR161340
OG0000008	Roisl.0027s0062.1.p, Roisl.0058s0016.1.p	CARHR103530
OG0000008	Roisl.0022s0261.1.p	CARHR257810, CARHR218380, CARHR259120
OG0000008	Roisl.0053s0125.1.p	CARHR119350, CARHR214330
