Orthogroup	Capsella_rubella	Odontarrhena_muralis
OG0000000	XP_023638874.1, XP_023644517.1	Om007G305590
OG0000000	XP_023632701.1	Om008G349060
OG0000000	XP_023639960.1	Om005G215690, Om007G308190
OG0000000	XP_023633832.1	Om007G313100
OG0000002	XP_023638855.1	Om007G309520, Om002G043270
OG0000003	XP_023640321.1, XP_023639598.1, XP_023633718.1	Om007G276690
OG0000003	XP_023639625.1	Om004G173160
OG0000003	XP_023643044.1	Om007G309690, Om008G345700
OG0000004	XP_023638968.1	Om003G114900
OG0000004	XP_023632892.1, XP_023635799.1	Om008G333050
OG0000004	XP_023633818.1	Om003G099290
OG0000004	XP_023642406.1, XP_023644536.1, XP_023640443.1, XP_023633512.1, XP_023634309.1, XP_023640349.1	Om004G159780
OG0000004	XP_023643231.1	Om008G320930
OG0000005	XP_023641325.1	Om004G141520
OG0000005	XP_023640809.1	Om004G151870, Om002G089170, Om004G141530
OG0000006	XP_023641719.1, XP_023637544.1	Om005G227740
OG0000007	XP_023637681.1	Om008G348570, Om007G299940, Om006G268360, Om002G076040
OG0000007	XP_023633451.1	Om007G308670, Om005G224350
OG0000008	XP_006305876.2, XP_023641963.1, XP_023633343.1, XP_006303816.2, XP_023644880.1, XP_023633617.1	Om007G284450, Om008G361640, Om007G313430
OG0000012	XP_023636242.1	Om002G076390
OG0000012	XP_023633772.1	Om007G305450
OG0000013	XP_023634267.1, XP_023644229.1	Om003G108850, Om006G268640
OG0000014	XP_023636038.1	Om007G309000
OG0000017	XP_023638100.1, XP_023644447.1, XP_023640322.1, XP_023633554.1, XP_006301549.2, XP_023644230.1, XP_023638121.1	Om003G112310
OG0000017	XP_023640323.1	Om004G151020, Om004G146420, Om008G347290, Om002G079940, Om008G359420, Om007G308900
OG0000017	XP_006302668.2	Om003G110750, Om007G302050, Om004G150950, Om009G363620, Om007G307580, Om008G344670, Om002G080330, Om001G016040
OG0000017	XP_023636109.1	Om003G101880, Om004G153720
OG0000018	XP_023634149.1, XP_023640318.1, XP_023645856.1, XP_023634431.1, XP_023634319.1, XP_023641905.1, XP_023634354.1, XP_023638482.1, XP_023637954.1, XP_023641377.1, XP_006303531.2, XP_023644562.1, XP_023634269.1, XP_023637241.1, XP_023638098.1, XP_023633350.1, XP_023642574.1, XP_023637243.1, XP_023644454.1, XP_023641378.1, XP_023641962.1, XP_023634347.1, XP_023644512.1, XP_023636053.1, XP_023638958.1, XP_006285455.2	Om008G335480, Om007G284460, Om008G361630
OG0000020	XP_023634318.1	Om007G307160, Om010G364780, Om008G361310, Om002G078780
OG0000021	XP_023641338.1	Om001G038730
OG0000023	XP_006284983.1	Om001G010400
OG0000023	XP_023634683.1, XP_006283253.1	Om001G010360, Om001G009290
OG0000023	XP_006287218.1	Om008G351580
OG0000023	XP_006289052.2, XP_023635860.1	Om008G351640, Om008G351650
OG0000023	XP_006285954.1	Om001G010200
OG0000023	XP_023634688.1	Om001G010350
OG0000023	XP_006282816.1	Om001G011570
OG0000024	XP_023638107.1	Om001G030080, Om007G305000
OG0000025	XP_023634475.1	Om002G073490, Om002G073430
OG0000026	XP_023636110.1	Om002G080990
OG0000026	XP_023642430.1	Om005G219100, Om002G081000, Om002G080320
OG0000027	XP_023644529.1	Om002G070390
OG0000028	XP_023636106.1, XP_023638859.1, XP_023644241.1, XP_023633373.1, XP_023638123.1, XP_023644257.1, XP_023644242.1, XP_023634002.1, XP_023638860.1, XP_023633615.1, XP_023641909.1	Om001G022770
OG0000031	XP_006306232.1	Om005G191840, Om005G192090, Om005G192080, Om005G192190, Om005G191850
OG0000031	XP_023636761.1	Om006G252510
OG0000031	XP_023635463.1	Om007G317990
OG0000031	XP_006297483.1	Om002G063040
OG0000031	XP_006283550.1	Om001G018890
OG0000033	XP_006283285.1	Om001G010240
OG0000033	XP_023634692.1	Om001G010210
OG0000033	XP_006283297.1, XP_006301684.1, XP_006285944.1, XP_023634693.1, XP_023634678.1	Om001G011550
OG0000033	XP_023634856.1	Om001G007120
OG0000033	XP_023635576.1	Om001G010110
OG0000034	XP_023635220.1	Om003G107450
OG0000034	XP_023636243.1	Om009G362950
OG0000035	XP_006299189.1, XP_023632757.1, XP_023641959.1	Om006G273920, Om002G042810
OG0000035	XP_023640388.1	Om007G280220, Om007G279280, Om006G269650, Om008G331040
