Orthogroup	Cardamine_hirsuta	Eutrema_salsugineum
OG0000000	CARHR153350	XP_024016239.1, XP_024006398.1
OG0000007	CARHR128840, CARHR216900, CARHR184100, CARHR117490, CARHR293410	XP_024006790.1
OG0000007	CARHR258710	XP_024009204.1, XP_024014376.1, XP_024006867.1, XP_024007289.1
OG0000007	CARHR180780, CARHR182530	XP_024011309.1
OG0000007	CARHR060230, CARHR133710, CARHR271640, CARHR058320	XP_024011120.1
OG0000007	CARHR096020	XP_024008018.1, XP_024006274.1, XP_024010318.1
OG0000007	CARHR151410	XP_024016334.1, XP_024014517.1, XP_024013385.1, XP_024016102.1, XP_024008005.1, XP_024014636.1, XP_024004080.1, XP_024013187.1
OG0000007	CARHR150730	XP_024016256.1, XP_024013573.1, XP_024016234.1
OG0000007	CARHR024460	XP_024013959.1, XP_024008092.1
OG0000007	CARHR271650	XP_024016262.1, XP_024004096.1
OG0000007	CARHR054390	XP_024006097.1, XP_024011350.1, XP_024004963.1, XP_024013926.1
OG0000007	CARHR099640, CARHR266880, CARHR029270, CARHR156020	XP_024004117.1
OG0000007	CARHR055800	XP_024016848.1
OG0000007	CARHR216040	XP_024013889.1
OG0000007	CARHR051840	XP_024007769.1
OG0000007	CARHR032440, CARHR057030	XP_024013556.1, XP_024014247.1
OG0000008	CARHR046080, CARHR116420	XP_024009261.1
OG0000008	CARHR159360	XP_024015912.1
OG0000008	CARHR217630	XP_024004048.1
OG0000008	CARHR183140	XP_024013171.1, XP_024010288.1, XP_024007970.1
OG0000008	CARHR056560, CARHR114970, CARHR150550	XP_024014429.1, XP_024004767.1, XP_024016281.1, XP_024015907.1, XP_024010446.1, XP_024004910.1, XP_024006484.1, XP_024007711.1, XP_024006634.1, XP_024014150.1, XP_024011400.1, XP_024010291.1, XP_024006405.1
OG0000008	CARHR293430	XP_024007971.1
OG0000008	CARHR215010	XP_024011354.1
OG0000008	CARHR161310, CARHR161290, CARHR161300, CARHR161340, CARHR161350	XP_024013173.1
OG0000008	CARHR118910, CARHR216990, CARHR111800	XP_024010217.1, XP_024010377.1
OG0000009	CARHR034640, CARHR017910	XP_024014484.1, XP_024013044.1, XP_024009292.1
OG0000009	CARHR077050, CARHR056420, CARHR034120	XP_024009307.1
OG0000009	CARHR114650	XP_024007257.1, XP_024009950.1
OG0000009	CARHR153540, CARHR055780	XP_024011403.1, XP_024016212.1
