Orthogroup	Arabis_alpina	Arabidopsis_thaliana
OG0000003	Aa_G505500.h1.t1	AT1G43760.1
OG0000008	Aa_G302250.h1.t1	AT3G51690.1, AT3G51700.1
OG0000011	Aa_G396980.h1.t1	AT3G30370.1, AT1G18050.1
OG0000022	Aa_G447870.h1.t1	AT5G16640.1
OG0000022	Aa_G683730.h1.t1	AT1G12615.1
OG0000022	Aa_G291980.h1.t1, Aa_G291990.h1.t1, Aa_G291960.h1.t1, Aa_G328340.h1.t1	AT1G12300.1, AT1G12775.1
OG0000022	Aa_G22660.h1.t1	AT1G06580.1
OG0000022	Aa_G97120.h1.t1	AT5G41170.1, AT3G16710.1
OG0000024	Aa_G737030.h1.t1, Aa_G731070.h1.t1	AT1G60370.1, AT1G30925.1, AT1G30930.1
OG0000024	Aa_G565550.h1.t1, Aa_G614530.h1.t1, Aa_G511000.h1.t1, Aa_G14060.h1.t1	AT3G56890.1, AT3G57580.1, AT3G57590.1
OG0000027	Aa_G200970.h1.t1	AT4G23320.3, AT4G23290.2, AT4G23240.1
OG0000027	Aa_G92870.h1.t1, Aa_G92760.h1.t1, Aa_G494730.h1.t1	AT4G23250.2
OG0000027	Aa_G200950.h1.t1, Aa_G200910.h1.t1	AT4G23200.1
OG0000027	Aa_G597270.h1.t1	AT4G11530.1
OG0000028	Aa_G687010.h2.t1, Aa_G687010.h3.t1, Aa_G687010.h1.t1, Aa_G687040.h1.t1, Aa_G604290.h1.t1, Aa_G604300.h1.t1	AT4G13680.1
OG0000028	Aa_G553200.h1.t1	AT5G52930.1, AT5G52940.1, AT5G54560.1, AT5G54550.1
OG0000029	Aa_G248570.h1.t1	AT5G36225.1, AT2G17905.1
OG0000030	Aa_G522160.h1.t1, Aa_G425920.h1.t1, Aa_G89020.h1.t1	AT1G54550.1, AT3G49510.1, AT3G49520.1
OG0000034	Aa_G782810.h1.t1, Aa_G619140.h1.t1	AT4G23180.1
OG0000034	Aa_G58870.h2.t1, Aa_G58870.h1.t1, Aa_G58900.h1.t1, Aa_G58880.h1.t1, Aa_G58910.h1.t1, Aa_G317980.h1.t1	AT4G21400.1
OG0000034	Aa_G58920.h1.t1	AT4G21410.3
OG0000034	Aa_G191750.h1.t1, Aa_G92790.h1.t1, Aa_G92810.h1.t1	AT3G45860.1
OG0000034	Aa_G191690.h1.t1	AT4G23130.2
OG0000035	Aa_G7660.h1.t1, Aa_G44290.h1.t1	AT2G07240.1
OG0000035	Aa_G155360.h1.t1, Aa_G275180.h1.t1, Aa_G417510.h1.t1, Aa_G75180.h1.t1, Aa_G54410.h1.t1, Aa_G9270.h1.t1, Aa_G246010.h1.t1	AT4G04957.1
OG0000044	Aa_G89780.h1.t1, Aa_G403300.h1.t1, Aa_G208070.h1.t1	AT5G46450.1
OG0000044	Aa_G33030.h1.t1	AT5G22690.2
OG0000044	Aa_G173310.h1.t1, Aa_G620000.h1.t1, Aa_G197680.h1.t1, Aa_G173300.h1.t1, Aa_G685500.h1.t1, Aa_G565790.h1.t1, Aa_G902620.h1.t1, Aa_G685490.h1.t1, Aa_G628640.h1.t1, Aa_G295910.h1.t1, Aa_G628620.h1.t1, Aa_G565810.h1.t1, Aa_G173340.h1.t1, Aa_G715510.h1.t1	AT5G51630.1
OG0000048	Aa_G584300.h1.t1	AT2G31470.1
OG0000048	Aa_G312310.h1.t1	AT3G10990.1, AT3G23960.1
OG0000048	Aa_G43710.h1.t1	AT3G49440.1
OG0000051	Aa_G599340.h1.t1	AT2G42455.1
OG0000052	Aa_G465260.h1.t1, Aa_G247990.h1.t1, Aa_G247980.h1.t1, Aa_G247970.h1.t1	AT3G26922.1
OG0000052	Aa_G521750.h1.t1	AT4G00160.1, AT3G52680.1
OG0000052	Aa_G555640.h1.t1, Aa_G207450.h1.t1, Aa_G61370.h1.t1	AT3G51530.1
OG0000052	Aa_G521780.h1.t1	AT3G55670.1
OG0000055	Aa_G659190.h1.t1	AT3G18120.1
OG0000056	Aa_G534290.h1.t1	AT1G61960.1
OG0000056	Aa_G615090.h1.t1	AT1G62120.1
OG0000056	Aa_G643840.h1.t1, Aa_G487430.h1.t1, Aa_G594110.h1.t1, Aa_G488310.h1.t1, Aa_G643830.h1.t1, Aa_G594100.h1.t1	AT1G61990.1, AT1G61980.1, AT1G61970.1
OG0000056	Aa_G162440.h1.t1	AT3G46950.1
OG0000060	Aa_G367650.h3.t1	AT3G46320.1
OG0000060	Aa_G375890.h6.t1	AT3G45930.1
OG0000060	Aa_G550780.h5.t1	AT3G53730.1
OG0000060	Aa_G197130.h3.t1	AT1G07660.1
OG0000060	Aa_G367650.h5.t1, Aa_G318860.h4.t1	AT5G59970.1
OG0000060	Aa_G550780.h6.t1	AT5G59690.1
OG0000060	Aa_G448310.h6.t1, Aa_G257700.h3.t1	AT2G28740.1
OG0000061	Aa_G496010.h1.t1, Aa_G380720.h1.t1	AT1G47920.1, AT1G48390.1
OG0000065	Aa_G756440.h1.t1, Aa_G190950.h1.t1	AT1G66910.1, AT1G67000.1, AT1G66930.2, AT1G66920.2
OG0000065	Aa_G439610.h1.t1	AT5G38250.1, AT5G38240.1
OG0000065	Aa_G120780.h1.t1, Aa_G120790.h1.t1, Aa_G508110.h1.t1	AT5G39030.1
OG0000066	Aa_G159180.h1.t1, Aa_G19080.h5.t1, Aa_G37410.h1.t1, Aa_G37430.h4.t1, Aa_G159180.h4.t1, Aa_G19080.h2.t1, Aa_G159190.h3.t1, Aa_G159180.h2.t1, Aa_G37410.h4.t1, Aa_G37430.h3.t1, Aa_G159180.h5.t1, Aa_G159180.h3.t1, Aa_G159190.h4.t1, Aa_G37410.h2.t1, Aa_G159190.h2.t1, Aa_G159190.h5.t1, Aa_G19080.h3.t1, Aa_G37430.h2.t1, Aa_G37430.h5.t1, Aa_G37410.h3.t1, Aa_G19080.h4.t1, Aa_G37410.h5.t1, Aa_G159190.h1.t1, Aa_G37430.h1.t1, Aa_G19080.h1.t1	AT5G10390.1, AT3G27360.1, AT5G10400.1, AT5G65360.1, AT1G09200.1, AT5G65350.1
OG0000066	Aa_G64790.h4.t1, Aa_G64790.h1.t1, Aa_G503380.h2.t1, Aa_G432280.h2.t1, Aa_G503390.h4.t1, Aa_G64790.h2.t1, Aa_G64790.h3.t1, Aa_G432280.h3.t1, Aa_G503390.h1.t1, Aa_G503380.h4.t1, Aa_G432280.h4.t1, Aa_G503390.h2.t1, Aa_G503380.h3.t1, Aa_G432280.h1.t1, Aa_G503380.h1.t1, Aa_G503390.h3.t1, Aa_G486090.h1.t1	AT5G10980.1
OG0000068	Aa_G484940.h1.t1, Aa_G389030.h1.t1	AT3G09160.1
OG0000069	Aa_G723430.h1.t1	AT1G24256.1
OG0000069	Aa_G396900.h1.t1	AT5G39640.1
OG0000070	Aa_G349430.h1.t1, Aa_G171980.h1.t1, Aa_G171960.h1.t1, Aa_G171970.h1.t1, Aa_G171940.h1.t1, Aa_G171950.h1.t1	AT1G10230.1
OG0000070	Aa_G433160.h1.t1, Aa_G266320.h1.t1	AT1G20140.1, AT2G25700.1
OG0000070	Aa_G410840.h1.t1	AT1G75950.1
OG0000075	Aa_G374860.h1.t1, Aa_G374850.h1.t1	AT4G39550.1
OG0000075	Aa_G254660.h1.t1	AT4G39570.1
OG0000075	Aa_G136250.h1.t1	AT4G39560.1
OG0000076	Aa_G137810.h1.t1	AT4G38940.1
OG0000077	Aa_G362960.h1.t1, Aa_G122040.h1.t1	AT5G44900.1
OG0000077	Aa_G160980.h1.t1	AT1G09665.1
OG0000077	Aa_G161010.h1.t1	AT1G60320.1, AT1G57830.1
OG0000078	Aa_G339750.h1.t1, Aa_G339690.h1.t1, Aa_G438190.h1.t1, Aa_G759390.h1.t1	AT3G03820.1
OG0000078	Aa_G339720.h1.t1	AT3G03850.1, AT3G03830.1
OG0000078	Aa_G339730.h1.t1	AT3G03840.1
OG0000086	Aa_G220980.h1.t1, Aa_G221010.h1.t1, Aa_G483980.h1.t1, Aa_G221000.h1.t1	AT5G37870.1, AT5G37900.1, AT5G37910.1
OG0000086	Aa_G703520.h1.t1	AT1G66610.1, AT1G66620.1, AT1G66630.1
OG0000089	Aa_G630880.h1.t1	AT5G23860.1
OG0000089	Aa_G199760.h1.t1	AT2G29550.1
OG0000089	Aa_G256660.h1.t1	AT5G12250.1
OG0000089	Aa_G103150.h1.t1	AT5G44340.1
OG0000089	Aa_G580380.h1.t1	AT4G20890.1
OG0000089	Aa_G656110.h1.t1	AT1G20010.1, AT1G75780.1
OG0000091	Aa_G363940.h1.t1	AT3G47570.1
OG0000091	Aa_G15590.h1.t1	AT5G20480.1
OG0000091	Aa_G15570.h1.t1	AT5G39390.1
OG0000091	Aa_G89050.h1.t1	AT3G47110.1
OG0000095	Aa_G271110.h1.t1	AT1G64840.1
OG0000096	Aa_G32180.h1.t1	AT3G44120.1, AT2G07140.1, AT3G18320.1, AT3G18330.1, AT3G18910.1, AT3G19410.1, AT3G18905.1, AT1G25141.1
OG0000098	Aa_G70590.h1.t1, Aa_G539300.h1.t1	AT4G10820.1, AT5G25300.1, AT5G25290.1
OG0000100	Aa_G65750.h1.t1, Aa_G65880.h1.t1, Aa_G65780.h1.t1	AT1G63730.1
OG0000100	Aa_G65760.h1.t1	AT1G63740.2
OG0000102	Aa_G577800.h1.t1	AT4G03635.1
OG0000102	Aa_G132920.h1.t1	AT5G52480.1
OG0000102	Aa_G42050.h1.t1	AT4G05460.1
OG0000105	Aa_G710830.h1.t1	AT4G04110.1
OG0000106	Aa_G456270.h1.t1, Aa_G32140.h1.t1	AT2G07760.1
OG0000106	Aa_G264820.h1.t1	AT5G28823.1
OG0000107	Aa_G115060.h1.t1	AT3G20100.1
OG0000107	Aa_G37190.h1.t1	AT2G14100.1, AT3G32047.1
OG0000107	Aa_G323960.h1.t1	AT3G20130.1, AT3G20960.2, AT3G20090.2, AT2G05180.1, AT4G15360.1
OG0000108	Aa_G367680.h1.t1, Aa_G576740.h1.t1	AT3G53750.1, AT2G37620.1
OG0000108	Aa_G99370.h1.t1	AT3G46520.1, AT5G59370.1
OG0000108	Aa_G5290.h1.t1	AT3G12110.1
OG0000108	Aa_G537640.h1.t1, Aa_G152880.h1.t1	AT5G09810.1
OG0000108	Aa_G429520.h1.t1	AT1G49240.1
OG0000108	Aa_G67360.h1.t1	AT2G42100.1
OG0000110	Aa_G32020.h1.t1	AT1G36510.1, AT3G32260.1
OG0000115	Aa_G447930.h1.t1, Aa_G30380.h1.t1	AT1G34070.1
OG0000117	Aa_G349950.h1.t1	AT1G23670.2
OG0000117	Aa_G62330.h1.t1	AT1G23510.1, AT1G23520.1
OG0000117	Aa_G62240.h1.t1	AT1G23640.1, AT1G23660.1
OG0000117	Aa_G436170.h1.t1, Aa_G187350.h1.t1, Aa_G349960.h1.t1	AT1G23570.2, AT1G23580.1
OG0000119	Aa_G251660.h1.t1	AT3G45540.1
OG0000123	Aa_G655250.h1.t1, Aa_G655250.h2.t1	AT5G36657.1
OG0000125	Aa_G257560.h1.t1	AT1G07560.1
OG0000125	Aa_G166390.h1.t1	AT1G49100.1
OG0000127	Aa_G552180.h1.t1	AT5G22880.1
OG0000127	Aa_G311330.h1.t1	AT2G37470.1
OG0000127	Aa_G33880.h1.t1	AT5G59910.1, AT3G45980.1
OG0000127	Aa_G69270.h1.t1	AT2G28720.1
OG0000128	Aa_G271300.h1.t1	AT3G59270.1
OG0000128	Aa_G784880.h1.t1	AT3G59200.1
OG0000128	Aa_G271260.h1.t1	AT3G59210.1
OG0000128	Aa_G430920.h1.t1, Aa_G469560.h1.t1	AT1G58310.1, AT4G14103.2, AT4G14096.1
OG0000129	Aa_G323510.h1.t1	AT1G65120.2
OG0000129	Aa_G61470.h1.t1, Aa_G716440.h1.t1, Aa_G61530.h1.t1	AT1G52450.1, AT1G52430.1, AT5G61950.1, AT5G61940.2, AT2G27630.1, AT2G27650.1, AT5G51530.1
OG0000130	Aa_G198530.h1.t1	AT1G04625.1, AT2G46460.1, AT1G47497.1
OG0000130	Aa_G9780.h1.t1	AT2G11205.1
OG0000130	Aa_G10940.h1.t1	AT1G27870.1, AT1G77815.1
OG0000132	Aa_G482030.h1.t1, Aa_G359110.h1.t1	AT3G54910.1
OG0000132	Aa_G478490.h1.t1, Aa_G110070.h1.t1	AT5G38590.2, AT5G38570.1, AT5G38565.1
