Orthogroup	Eutrema_salsugineum	Arabidopsis_lyrata_NCBI
OG0000000	XP_024006398.1	XP_020872418.1, XP_020889487.1
OG0000003	XP_024005010.1	XP_020881895.1
OG0000003	XP_024006452.1, XP_024009427.1, XP_024004072.1, XP_024004813.1, XP_024004020.1	XP_020889841.1
OG0000003	XP_024013347.1	XP_020883515.1
OG0000003	XP_024004030.1	XP_020887717.1
OG0000004	XP_024007302.1	XP_020870151.1, XP_020870162.1, XP_020886397.1, XP_020866436.1, XP_020870326.1, XP_020890321.1, XP_020887182.1, XP_020891399.1, XP_020866272.1, XP_020871264.1, XP_020886308.1, XP_020882759.1, XP_020875043.1, XP_020881970.1, XP_020889966.1, XP_020875528.1, XP_020871434.1, XP_020869121.1, XP_020871489.1, XP_020869697.1, XP_020880754.1, XP_020873125.1, XP_020887737.1
OG0000004	XP_024009341.1	XP_020886399.1
OG0000005	XP_006404995.2, XP_024013903.1	XP_020872641.1, XP_020866154.1, XP_020872381.1, XP_020877193.1
OG0000005	XP_006402217.2, XP_024013358.1, XP_024016125.1, XP_024013775.1	XP_020871957.1, XP_020866342.1, XP_020887113.1
OG0000007	XP_024007990.1	XP_020873755.1, XP_020876409.1, XP_020866331.1, XP_020872053.1, XP_020879940.1, XP_020872382.1
OG0000007	XP_024010245.1, XP_024016256.1, XP_024013573.1, XP_024016234.1, XP_024007956.1, XP_024014249.1, XP_024011210.1	XP_020871008.1
OG0000007	XP_024004167.1, XP_024004498.1, XP_024016181.1, XP_024013999.1, XP_024004407.1, XP_024006094.1, XP_024004777.1, XP_024013813.1, XP_024012279.1, XP_024010251.1, XP_024008087.1, XP_024007934.1, XP_024013544.1, XP_024008877.1, XP_024004851.1, XP_024009378.1, XP_024009383.1, XP_024015931.1, XP_024004816.1, XP_024014990.1	XP_020880934.1
OG0000007	XP_024016848.1, XP_024013889.1, XP_024007769.1	XP_020866419.1
OG0000007	XP_024014247.1	XP_002893144.2, XP_020870776.1, XP_020871034.1, XP_002875947.2, XP_002868379.2
OG0000008	XP_024007971.1	XP_020881833.1
OG0000008	XP_024013173.1	XP_020881885.1, XP_020881611.1, XP_020881699.1, XP_020881700.1
OG0000008	XP_024010217.1, XP_024010377.1	XP_020879665.1, XP_020882645.1, XP_020879646.1, XP_020872716.1, XP_020874196.1
OG0000009	XP_006391314.1	XP_020887659.1
