Orthogroup	Cochlearia_excelsa	Raphanus_sativus
OG0000000	g25278, g41831	XP_018472305.1
OG0000000	g34710, g46576	XP_018443420.1
OG0000000	g15642	XP_018435931.1
OG0000000	g4652, g42066	XP_018473866.1, XP_018473869.1, XP_018473811.1, XP_018487729.1, XP_018479554.1, XP_018487722.1, XP_018458508.1, XP_018435836.1, XP_018460445.1, XP_018466408.1, XP_018459879.1, XP_018458776.1, XP_018458831.1, XP_018435953.1, XP_018461970.1, XP_018462044.1, XP_018478488.1, XP_018473859.1, XP_018453885.1, XP_018473827.1
OG0000000	g14626	XP_018473555.1
OG0000000	g4407, g12767, g32529, g14904, g23387, g17148, g557, g16965, g14625, g13935, g31989, g1635, g14365, g47735, g1361, g10755, g37592, g39292	XP_018462157.1
OG0000000	g2380	XP_018464511.1, XP_018474039.1, XP_018458646.1
OG0000000	g34709, g4497, g26082, g48927	XP_018465308.1, XP_018463500.1, XP_018443699.1, XP_018459856.1
OG0000000	g44562, g51061, g1238, g44545, g28474, g44506, g29058, g23419, g19097, g2263	XP_018479791.1, XP_018435819.1, XP_018463807.1, XP_018479254.1, XP_018474361.1, XP_018458945.1, XP_018463519.1, XP_018461587.1, XP_018479550.1, XP_018473616.1
OG0000000	g14416, g10434, g12783, g43405, g3096	XP_018466708.1, XP_018454128.1
OG0000000	g34450, g26048, g33078, g18495, g45105, g43929, g26644, g46718, g14652	XP_018464681.1
OG0000000	g41948	XP_018463022.1
OG0000002	g24273, g31606, g31905, g24143	XP_018436084.1
OG0000002	g37245, g2354, g39436, g6838, g25760, g29103, g23772, g90, g50454, g36751, g4010, g43962, g19245, g43934, g44424, g41749, g24257, g3133, g3191, g4742, g52215, g3933, g13094, g23775, g35212, g16357, g1174, g39575, g53949, g32517, g38095, g38550, g45383, g31907, g19556, g35262, g42582, g4354, g3990, g34279, g45327, g19105, g28792, g31361, g9965, g16038, g50948, g24802, g16867, g54126, g2355, g25413, g53914, g39435, g16050, g49182	XP_018461124.1
OG0000002	g36079	XP_018436085.1
OG0000002	g28128, g35851, g3258, g32516	XP_018466031.1
OG0000002	g22355	XP_018465756.1
OG0000003	g14063	XP_018479340.1, XP_018473970.1, XP_018474062.1
OG0000003	g51436, g50080, g50933, g49020	XP_018467689.1, XP_018453433.1, XP_018453884.1, XP_018461971.1
OG0000003	g18622, g25137	XP_018453894.1
OG0000003	g6810, g1448	XP_018487877.1, XP_018473660.1, XP_018436223.1, XP_018464826.1, XP_018464837.1, XP_018463488.1, XP_018473840.1
OG0000003	g25134	XP_018435394.1
OG0000003	g24632	XP_018460607.1
OG0000003	g42621	XP_018458309.1, XP_018477029.1
OG0000003	g42622	XP_018462893.1
OG0000003	g12346, g2655, g14239, g52812	XP_018467654.1
OG0000003	g26213, g52072	XP_018487950.1, XP_018479095.1
OG0000003	g53942, g4056, g32055, g3715	XP_018435818.1
OG0000003	g46643, g3725, g24106	XP_018448335.1, XP_018448333.1, XP_018473666.1, XP_018436465.1, XP_018435962.1
OG0000004	g42410, g1669, g8852, g8926, g33256, g8658, g27882, g42971, g52490, g11635, g26594, g26034, g30059	XP_018466160.1, XP_018473944.1
OG0000004	g30215, g8478, g34832, g22569, g21980, g3591, g32844, g52627, g21889	XP_018467378.1
OG0000004	g21983, g42984, g20893, g26400, g20569, g25307, g35496, g22187, g30034, g35136, g53148, g26496, g23263, g19433, g53231, g5034, g16879, g34609, g30041, g8348, g18470, g43270, g20927, g21387, g53257, g32762, g25182, g53206, g53402, g42012, g49243, g19888, g15221, g48834, g14943, g8471, g3588, g40872, g15611, g20848, g42568, g33231, g52412, g35580, g35834, g15847, g15509, g42990, g32807, g49050, g3533, g43274, g49066, g15473, g48262, g4602, g48198, g44460, g26367, g33388, g52326, g8598, g21125, g22323	XP_018461339.1
OG0000004	g30371, g48085, g4721, g53669, g21500, g25180, g52738, g21847	XP_018458452.1, XP_018479562.1
OG0000004	g48700, g20926, g15557, g42275, g8925, g8257, g28585, g16658, g39214, g39216, g48656, g1668, g8853, g30531	XP_018435922.1
OG0000004	g21492, g48652, g53446, g48258, g26620, g4470	XP_018459921.1
OG0000004	g16396, g30119	XP_018454350.1
OG0000004	g32855	XP_018463541.1
OG0000004	g16275, g33029	XP_018456393.1
OG0000004	g15895, g33141, g34291, g3426	XP_018464654.1
OG0000004	g6262	XP_018459208.1, XP_018459207.1
OG0000004	g53542	XP_018462257.1, XP_018435900.1
OG0000004	g15622	XP_018462320.1, XP_018465985.1
OG0000005	g49126, g35025, g4314, g3006, g14436, g25221, g43590	XP_018435852.1, XP_018435851.1
OG0000005	g36078, g42010	XP_018464531.1
OG0000005	g3007	XP_018473854.1, XP_018453823.1, XP_018459047.1
OG0000005	g52866, g10483, g26067	XP_018459967.1, XP_018479006.1
OG0000005	g53525, g15922, g34539	XP_018460312.1, XP_018448667.1
OG0000005	g41973	XP_018460938.1
OG0000005	g4552, g14576	XP_018463109.1
OG0000005	g21883	XP_018448581.1
OG0000005	g8684, g42471, g30075, g8186, g34553, g33523, g19890, g30141	XP_018462024.1, XP_018463630.1
OG0000005	g21278, g20466, g48110, g35853, g34379, g25150, g49153, g15688, g34015, g9373, g39078, g34881, g53100, g43002, g53316, g33907, g48442, g52431, g30155, g48992, g15070, g42274, g49109, g20971, g26111, g21486, g21325, g8468, g43585, g43545, g43879, g39189, g21259, g33707, g26603, g24941, g6067, g53318, g33724, g39080, g34188, g39076, g48144, g30487, g38818, g19815, g43673, g15300, g25996, g16262, g20544, g21254, g34165, g43672, g41752, g9458, g34716, g49092, g33704, g23055, g24933, g51797, g25490	XP_018458503.1
OG0000005	g38647, g8887, g38787, g20781, g20429, g15199, g38927, g21070, g38625, g21166, g15225, g33699, g15167, g38944, g30416, g45939, g7984, g34641, g30595, g22591, g42464, g9347, g42519, g20942	XP_018464823.1
OG0000005	g16442, g21798, g21724	XP_018479521.1
OG0000005	g20611, g15105, g33817	XP_018458647.1
OG0000007	g4635	XP_018479657.1, XP_018455976.1, XP_018466179.1, XP_018462223.1
OG0000007	g40547, g4032, g24749, g15595	XP_018489358.1, XP_018462149.1, XP_018462910.1, XP_018443719.1, XP_018463971.1, XP_018453920.1, XP_018453600.1, XP_018453608.1, XP_018464726.1, XP_018465240.1, XP_018435826.1
OG0000007	g24723, g1457, g35540	XP_018487693.1
OG0000007	g9677	XP_018479518.1, XP_018479614.1
OG0000007	g52712	XP_018468724.1
OG0000007	g43721	XP_018473766.1
OG0000007	g16483	XP_018438060.1, XP_018465863.1, XP_018471975.1, XP_018453972.1, XP_018463970.1, XP_018455359.1, XP_018459674.1, XP_018448282.1
OG0000007	g4033	XP_018443248.1
OG0000007	g47006, g45886, g50470	XP_018459130.1, XP_018458777.1
OG0000007	g47000, g11663, g32442, g35394, g34804	XP_018466130.1, XP_018467308.1, XP_018464921.1
OG0000008	g36794	XP_018464359.1, XP_018463808.1, XP_018464542.1, XP_018460436.1, XP_018467327.1, XP_018436091.1, XP_018459493.1, XP_018458167.1
OG0000008	g35255, g34273, g25872	XP_018462957.1
OG0000008	g26783	XP_018454207.1, XP_018462648.1, XP_018465341.1
OG0000008	g37068, g26784, g43729	XP_018487527.1, XP_018467072.1
OG0000008	g25873	XP_018462956.1
OG0000008	g11343	XP_018473385.1
OG0000008	g39484, g13991	XP_018435526.1
OG0000009	g1267, g50707, g54239, g22012, g2983, g47996, g6090, g43671, g9847, g53582	XP_018463485.1, XP_018435713.1
OG0000009	g36085, g14872, g26760	XP_018479454.1
OG0000009	g42166	XP_018448691.1
