"Cochlearia_excelsa"	"Arabidopsis_thaliana"	"single_Arabidopsis_thaliana"	"OL_Arabidopsis_thaliana"	"N0_HOG"	"N0_Arabidopsis_thaliana"	"OG_Orthogroup"	"OG_Arabidopsis_thaliana"	"RBH_B_id"	"RBH_A_length"	"RBH_B_length"	"RBH_A_qcovhsp"	"RBH_B_qcovhsp"	"RBH_length"	"RBH_pident"	"RBH_bitscore"	"BLAST_saccver"	"BLAST_pident"	"BLAST_length"	"BLAST_mismatch"	"BLAST_gapopen"	"BLAST_qstart"	"BLAST_qend"	"BLAST_sstart"	"BLAST_send"	"BLAST_evalue"	"BLAST_bitscore"	"BLAST_qcovhsp"	"BLAST_qlen"	"BLAST_slen"
"g10"	"AT5G65990.1"	"AT5G65990.1"	"AT5G65990.1"	"N0.HOG0017352"	"AT5G65990.1"	"OG0011028"	"AT5G65990.1"	"AT5G65990.1"	418	427	96	99	403	88.263	702	"AT5G65990.1"	90.819	403	37	0	15	417	25	427	0	702	96	418	427
"g100"	"AT5G67460.1"	"AT5G67460.1"	"AT5G67460.1"	"N0.HOG0020105"	"AT5G67460.1"	"OG0013590"	"AT5G67460.1"	"AT5G67460.1"	380	380	99	100	393	73.35	532	"AT5G67460.1"	75.064	393	71	9	1	379	1	380	0	557	99	380	380
"g1000"	"AT2G04115.1, AT1G51240.1, AT1G51250.1, AT1G51230.1, AT5G39493.1, AT1G09245.1, AT3G10455.1"	"AT2G04115.1"	NA	"N0.HOG0001757"	"AT2G04115.1, AT1G51240.1, AT1G51250.1, AT1G51230.1, AT5G39493.1, AT1G09245.1, AT3G10455.1"	"OG0000257"	"AT1G09245.1, AT1G51230.1, AT1G51240.1, AT1G51250.1, AT2G04115.1, AT3G10455.1, AT5G39493.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G04115.1"	30.282	142	56	7	1	104	15	151	1.41e-09	51.6	98	106	151
"g10000"	"AT5G24180.1, AT5G24220.1, AT5G24190.1"	"AT5G24220.1"	"AT5G24180.1, AT5G24220.1, AT5G24190.1"	"N0.HOG0010917"	"AT5G24180.1, AT5G24220.1, AT5G24190.1"	"OG0005186"	"AT5G24180.1, AT5G24190.1, AT5G24220.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G24220.1"	57.402	331	134	3	2	328	42	369	1.46e-134	387	98	335	376
"g10001"	"AT5G24300.1"	"AT5G24300.1"	"AT5G24300.1"	"N0.HOG0020628"	"AT5G24300.1"	"OG0014091"	"AT5G24300.1"	"AT5G24300.1"	637	652	99	99	652	84.509	1123	"AT5G24300.1"	84.509	652	83	4	1	635	1	651	0	1123	99	637	652
"g10003"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G06900.1"	34.532	139	63	4	26	138	456	592	6.94e-18	79.3	71	160	1024
"g10004"	"AT1G06900.1"	"AT1G06900.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G06900.1"	42.453	106	57	2	74	179	272	373	4.77e-16	75.9	51	206	1024
"g10005"	"AT5G24314.2"	"AT5G24314.2"	"AT5G24314.2"	"N0.HOG0020625"	"AT5G24314.2"	"OG0014088"	"AT5G24314.2"	"AT5G24314.2"	163	169	99	100	173	79.769	274	"AT5G24314.2"	79.769	173	20	4	1	162	1	169	8.42e-96	274	99	163	169
"g10006"	"AT5G24330.1"	"AT5G24330.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G24330.1"	94.318	88	5	0	1	88	262	349	6.78e-58	180	99	89	349
"g10007"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G23160.2"	30.201	149	58	3	9	111	98	246	2.28e-17	84.7	23	446	1043
"g10008"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ATMG00710.1"	55.952	84	37	0	111	194	1	84	4.39e-29	107	27	315	120
"g10009"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G24330.1"	79.478	268	49	2	1	262	1	268	1.45e-143	425	34	767	349
"g1001"	"AT5G55160.2"	"AT5G55160.2"	"AT5G55160.2"	"N0.HOG0004244"	"AT4G26840.1, AT5G55160.2"	"OG0001133"	"AT4G26840.1, AT5G55160.2"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G26840.1, AT5G55160.2"	84.783	92	13	1	1	92	1	91	1.67e-53	162	84	110	100
"g10010"	"AT5G24370.1"	"AT5G24370.1"	"AT5G24370.1"	"N0.HOG0027048"	"AT5G24370.1"	"OG0020190"	"AT5G24370.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G24370.1"	65.497	171	57	1	1	171	16	184	1.06e-78	231	99	173	191
"g10011"	"AT5G24380.1"	"AT5G24380.1"	"AT5G24380.1"	"N0.HOG0023926"	"AT5G24380.1"	"OG0017311"	"AT5G24380.1"	"AT5G24380.1"	662	664	99	100	664	90.512	1201	"AT5G24380.1"	90.512	664	60	2	1	661	1	664	0	1234	99	662	664
"g10012"	"AT5G24390.1"	"AT5G24390.1"	"AT5G24390.1"	"N0.HOG0020627"	"AT5G24390.1"	"OG0014090"	"AT5G24390.1"	"AT5G24390.1"	534	528	99	99	541	80.037	799	"AT5G24390.1"	80.407	541	84	5	1	533	1	527	0	826	99	534	528
