Orthogroup	Aethionema_saxatile	Eutrema_salsugineum
OG0000002	As006G147770, As004G091160	XP_024010270.1
OG0000003	As008G191470	XP_024014856.1, XP_024013377.1, XP_024009240.1, XP_024009782.1, XP_024015852.1, XP_024005017.1, XP_024016242.1, XP_024010582.1, XP_024013222.1, XP_024009444.1, XP_024007247.1, XP_024009086.1, XP_024016190.1, XP_024013070.1, XP_024016232.1, XP_024007244.1, XP_024009447.1, XP_024011359.1, XP_024009254.1, XP_024016210.1, XP_024010672.1, XP_024011237.1, XP_024006599.1, XP_024006505.1, XP_024016350.1
OG0000003	As003G066710	XP_024015845.1
OG0000003	As012G280070	XP_024010454.1, XP_024010649.1, XP_024013240.1
OG0000003	As007G166450, As007G166410, As003G066730, As003G066690, As007G166480	XP_024013092.1
OG0000003	As012G279590	XP_024013060.1
OG0000004	As007G177100	XP_024004906.1, XP_024016239.1, XP_024006491.1, XP_024014707.1
OG0000004	As009G212350	XP_024013148.1
OG0000005	As001G006250	XP_024004939.1
OG0000005	As007G177090, As005G111430	XP_024004039.1
OG0000006	As010G228090	XP_006397474.2, XP_024011387.1, XP_024004398.1, XP_024013912.1, XP_024010052.1, XP_024008043.1, XP_024004924.1, XP_024004074.1, XP_024004856.1, XP_024014006.1, XP_024004157.1, XP_024012322.1, XP_024009190.1, XP_024015267.1, XP_024012910.1, XP_024016848.1, XP_024007769.1, XP_024004963.1, XP_024011350.1, XP_024006097.1, XP_024004117.1, XP_024013889.1, XP_024013935.1, XP_024014247.1, XP_024008023.1, XP_024013556.1, XP_024004051.1, XP_024008092.1, XP_024013959.1, XP_024004096.1, XP_024016262.1, XP_024013573.1, XP_024016256.1, XP_024016234.1, XP_024011269.1, XP_024007956.1, XP_024013311.1, XP_024006790.1, XP_024014672.1, XP_024014249.1, XP_024010245.1, XP_024011210.1, XP_024008056.1, XP_024008087.1, XP_024007934.1, XP_024013813.1, XP_024010251.1, XP_024004777.1, XP_024013544.1, XP_024008877.1, XP_024004816.1, XP_024015931.1, XP_024014990.1, XP_024014172.1, XP_024004080.1, XP_024013187.1, XP_024007214.1, XP_024006883.1, XP_024016102.1, XP_024013385.1, XP_024008005.1, XP_024013999.1, XP_024004407.1, XP_024006094.1, XP_024016181.1, XP_024004167.1, XP_024004498.1, XP_024016122.1, XP_024007990.1, XP_024006104.1, XP_024004744.1, XP_024013221.1, XP_024016233.1, XP_024015025.1, XP_024013606.1, XP_024004172.1, XP_024004112.1, XP_024005863.1, XP_024004241.1, XP_024009670.1, XP_024010456.1, XP_024011309.1, XP_024009204.1, XP_024014376.1, XP_024007289.1, XP_024006867.1, XP_024006428.1, XP_024014517.1, XP_024016334.1, XP_024006841.1, XP_024006492.1, XP_024006274.1, XP_024008018.1, XP_024010318.1, XP_024013856.1, XP_024014636.1, XP_024004058.1, XP_024010431.1, XP_024010848.1, XP_024004788.1, XP_024012279.1, XP_024004851.1, XP_024009378.1, XP_024009383.1
OG0000008	As001G006420	XP_024004048.1
OG0000010	As010G230230	XP_024015164.1, XP_024011409.1
