Orthogroup	Cardamine_glauca	Eutrema_salsugineum
OG0000000	Cg002G0506900	XP_024013803.1, XP_024004899.1, XP_024011347.1
OG0000000	Cg002G0574500	XP_024006886.1, XP_024011324.1
OG0000000	Cg007G2381100	XP_024004414.1
OG0000000	Cg004G1415700	XP_024014707.1
OG0000002	Cg001G0121200	XP_024010711.1, XP_024016369.1
OG0000002	Cg002G0472400, Cg005G1504200	XP_024015214.1, XP_024010428.1, XP_024014055.1, XP_024004035.1, XP_024010274.1, XP_024009787.1, XP_024014545.1, XP_024015965.1, XP_024015835.1, XP_024011225.1, XP_024014994.1, XP_024013910.1, XP_024004913.1, XP_024011113.1, XP_024016286.1, XP_024005018.1, XP_024014765.1, XP_024010367.1, XP_024011386.1, XP_024010917.1, XP_024013995.1, XP_024016214.1, XP_024013252.1, XP_024015942.1, XP_024016545.1, XP_024016832.1, XP_024007222.1, XP_024013919.1, XP_024016563.1, XP_024011289.1, XP_024013913.1, XP_024004935.1, XP_024014816.1, XP_024009618.1, XP_024004973.1, XP_024004934.1, XP_024011355.1, XP_024010481.1, XP_024015298.1, XP_024013904.1, XP_024016251.1, XP_024012926.1, XP_024015916.1, XP_024010916.1, XP_024004042.1, XP_024016831.1, XP_024010385.1, XP_024004936.1, XP_024014573.1, XP_024009949.1, XP_024007765.1, XP_024004949.1, XP_024014451.1, XP_024004820.1, XP_024009486.1, XP_024014438.1, XP_024006401.1, XP_024015242.1, XP_024007240.1, XP_024013349.1
OG0000003	Cg008G2696300, Cg007G2280100	XP_024004423.1
OG0000003	Cg006G1905700	XP_024006573.1, XP_024005010.1, XP_024016553.1
OG0000003	Cg001G0274200, Cg002G0686800	XP_024004813.1, XP_024004020.1
OG0000004	Cg008G2652500	XP_024010229.1
OG0000004	Cg005G1712500, Cg005G1670400, Cg002G0621600, Cg001G0187300, Cg004G1344800, Cg008G2898200, Cg004G1359700, Cg004G1347000, Cg003G0835900, Cg006G1875200, Cg006G1877400, Cg007G2356200, Cg005G1738500, Cg005G1738100, Cg005G1737900, Cg002G0566400, Cg004G1175600, Cg008G2960200, Cg001G0254800, Cg008G2671600, Cg008G2922100, Cg007G2351100, Cg005G1719500, Cg004G1384700, Cg002G0576600, Cg002G0577700	XP_024007302.1
OG0000004	Cg004G1187900	XP_024009381.1, XP_024016564.1, XP_024011370.1, XP_024016539.1, XP_024009341.1, XP_024010464.1, XP_024010442.1, XP_024015847.1, XP_024014224.1, XP_024009247.1, XP_024014847.1, XP_024016570.1
OG0000005	Cg006G1917400	XP_024016125.1, XP_024013775.1
OG0000005	Cg004G1316700, Cg001G0326200, Cg001G0340800	XP_024009771.1, XP_024007306.1
OG0000007	Cg006G1891100	XP_024011120.1
OG0000008	Cg002G0653600	XP_024013171.1, XP_024010288.1, XP_024007970.1, XP_024013997.1, XP_024010682.1, XP_024009322.1, XP_024015209.1, XP_024009407.1, XP_024014486.1, XP_024013969.1, XP_024004792.1, XP_024006454.1, XP_024009495.1, XP_024009967.1, XP_024013989.1, XP_024014489.1
OG0000008	Cg002G0512100, Cg002G0565700	XP_024013173.1
OG0000009	Cg007G2452800	XP_024014484.1, XP_024013044.1, XP_024009292.1
OG0000009	Cg008G2714900	XP_024013918.1, XP_024007904.1
OG0000009	Cg005G1737500	XP_024004860.1, XP_024010394.1
OG0000009	Cg008G2845600	XP_024007257.1, XP_024009950.1
