Orthogroup	Cochlearia_excelsa	Eutrema_salsugineum
OG0000000	g4407, g12767, g32529, g14904, g23387, g17148, g557, g16965, g14625, g13935, g31989, g1635, g14365, g47735, g1361, g10755, g37592, g39292	XP_024004899.1
OG0000000	g14424	XP_024016239.1
OG0000000	g23493	XP_024006398.1
OG0000000	g44562, g51061, g1238, g44545, g28474, g44506, g29058, g23419, g19097, g2263	XP_024004414.1
OG0000000	g14416, g10434, g12783, g43405, g3096	XP_024013148.1
OG0000000	g3207, g41806, g1621, g32143, g32589, g16609, g50926, g52689, g53773, g32894, g37047, g24645, g42184, g21434	XP_024004139.1
OG0000000	g41948	XP_024004047.1, XP_024008096.1, XP_024016872.1, XP_024014000.1, XP_024010207.1
OG0000002	g12053, g52853, g57, g36475, g33085, g32227	XP_024006551.1
OG0000002	g3989	XP_024016294.1
OG0000002	g50076, g39920, g43321, g35849, g15943, g22279	XP_024010911.1, XP_024010912.1
OG0000002	g3134	XP_024010711.1
OG0000002	g24273, g31606, g31905, g24143	XP_024016369.1
OG0000002	g16351, g4776, g22857, g34979, g16823, g32695, g26240, g28129, g11929, g37738	XP_024014502.1, XP_024010212.1
OG0000002	g11234, g13620, g25759, g5204, g43183, g50380, g36398, g6668, g13329, g17143, g23133, g2533, g42581, g19246, g29102, g53818, g35831, g54196, g18045, g22726, g5655	XP_024015214.1, XP_024010428.1, XP_024014055.1, XP_024004035.1, XP_024010274.1, XP_024009787.1, XP_024014545.1, XP_024015965.1, XP_024015835.1, XP_024011225.1, XP_024014994.1, XP_024013910.1, XP_024004913.1, XP_024011113.1, XP_024016286.1, XP_024005018.1, XP_024014765.1, XP_024010367.1, XP_024011386.1, XP_024010917.1, XP_024013995.1, XP_024016214.1, XP_024013252.1, XP_024015942.1, XP_024016545.1, XP_024016832.1, XP_024007222.1, XP_024013919.1, XP_024016563.1, XP_024011289.1, XP_024013913.1, XP_024004935.1, XP_024014816.1, XP_024009618.1, XP_024004973.1, XP_024004934.1, XP_024011355.1, XP_024010481.1, XP_024015298.1, XP_024013904.1, XP_024016251.1, XP_024012926.1, XP_024015916.1, XP_024010916.1, XP_024004042.1, XP_024016831.1, XP_024010385.1, XP_024004936.1, XP_024014573.1, XP_024009949.1, XP_024007765.1, XP_024004949.1, XP_024014451.1, XP_024004820.1
OG0000002	g49137, g47542, g26461, g4894, g16056	XP_024009486.1
OG0000002	g3932	XP_024014438.1
OG0000002	g45382, g23050	XP_024006401.1, XP_024015242.1
OG0000002	g22482	XP_024016328.1
OG0000002	g22280, g22501, g28128, g35851, g3258, g32516, g22355	XP_024011378.1, XP_024009474.1, XP_024005004.1, XP_024016543.1, XP_024006422.1, XP_024013731.1, XP_024014482.1, XP_024013994.1, XP_024016829.1, XP_024004771.1, XP_024007242.1, XP_024009437.1, XP_024016221.1, XP_024016325.1, XP_024006459.1, XP_024010365.1, XP_024006657.1, XP_024004145.1, XP_024013154.1, XP_024004829.1
OG0000003	g14063	XP_024006573.1, XP_024005010.1, XP_024016553.1
OG0000003	g25137	XP_024006452.1
OG0000003	g45682, g1467, g38320, g49844	XP_024009427.1
OG0000003	g25134, g35681, g14225, g41636	XP_024004072.1
OG0000003	g18621	XP_024004813.1, XP_024004020.1
OG0000003	g24632	XP_024013151.1
OG0000003	g42621	XP_024011850.1
OG0000003	g14202	XP_024014297.1
OG0000003	g42622	XP_024011300.1
OG0000003	g12346, g2655, g14239, g52812	XP_024007996.1
OG0000003	g46643, g3725, g24106	XP_024015937.1, XP_024013347.1, XP_024009969.1
OG0000004	g1377	XP_024010229.1
OG0000004	g15065	XP_024013103.1, XP_024009926.1
OG0000004	g14971, g14523, g43269, g39211, g30373, g22546, g21442, g8934, g32795, g48064, g43024, g2952, g33829, g26443, g15796, g33257, g35407, g3622, g34365, g34421, g15173, g26116, g26033, g3560, g9299, g26158, g25877, g32785, g42245, g35241, g24983, g9295, g30003, g30362, g42602, g43335, g4315, g14833, g30007, g4104, g35887, g3478, g2775, g34021, g35112, g21533, g40027, g42389, g15495, g33193, g3782, g9018, g37863, g33293, g42450, g48264, g21448, g23935, g33771, g48661, g33568, g18221, g8678, g51092, g10991, g52741, g52421, g21073, g42791, g34845, g30252, g9059, g9287, g52509, g9224, g36650, g21099, g52367, g20888, g21409, g43220, g38581, g14594, g39193, g3480, g3485, g30215, g8478, g34832, g22569, g21980, g3591, g32844, g52627, g21889, g36307, g14311, g22564, g16722, g52330, g15795, g30550, g30376, g43381, g43271, g52452, g41990, g52465, g34225, g45199, g9313, g34234, g34239, g9300, g43277, g33824, g48660, g3805, g12233, g8324, g33593, g33825, g30503, g3496, g27039, g30161, g9209, g42645, g48261, g41664, g49210, g26280, g14798, g33617, g33194, g33196, g49131, g52631, g33159, g33162, g8795, g8799, g8814, g42851, g54402, g42876, g54422, g42880, g6413, g42788, g42838, g52873, g38593, g48815, g20696, g44996, g15614, g48195, g24604, g13930, g3519, g50316, g42490, g54130, g36924, g20637, g15496, g19970, g21983, g42984, g20893, g26400, g20569, g25307, g35496, g22187, g30034, g35136, g53148, g26496, g23263, g19433, g53231, g5034, g16879, g34609, g30041, g8348, g18470, g43270, g20927, g21387, g53257, g32762, g25182, g53206, g53402, g42012, g49243, g19888, g15221, g48834, g14943, g8471, g3588, g40872, g15611, g20848, g42568, g33231, g52412, g35580, g35834, g15847, g15509, g42990, g32807, g49050, g3533, g43274, g49066, g15473, g48262, g4602, g48198, g44460, g26367, g33388, g52326, g8598, g21125, g22323, g9185, g43736, g38628, g52657, g22577, g35938, g20554, g3532, g21616, g16001, g22041, g9161, g14835, g32831, g30173, g16047, g9043, g44884, g54140, g1368, g34921, g5669, g14984, g15061, g20703, g35818, g33600, g26147, g15064, g38611, g51042, g35409, g35603, g3515, g25767, g15746, g47598, g30366, g30371, g48085, g4721, g53669, g21500, g25180, g52738, g21847	XP_024007302.1
OG0000004	g33631, g43176, g15592, g4171, g14802, g15021, g34561, g26667, g14313, g33258, g43654, g42520, g29885, g4102, g33569, g9309, g43377, g43378, g35386, g48663, g21402, g9399, g21492, g48652, g53446, g48258, g26620, g4470, g34565, g14368, g32653, g50172, g19951, g16396, g30119, g33584, g8542, g34135, g42650, g49072, g24928, g8860, g21489, g4436, g9343, g33583, g3511, g48666, g48519, g42149, g52504	XP_024009381.1, XP_024016564.1, XP_024011370.1
OG0000004	g26364, g35195, g3554, g33447, g33443, g52439	XP_024009341.1
OG0000004	g30683, g11402, g42267, g4097, g35533, g26378, g25248, g4110, g26383, g33093, g52754	XP_024010464.1, XP_024010442.1, XP_024015847.1, XP_024014224.1, XP_024009247.1
OG0000005	g14824, g15574, g43589, g4576, g20561, g20558	XP_024003648.1
OG0000005	g3007	XP_006404995.2
OG0000005	g52866, g10483, g26067, g34544, g15875, g33596, g14065, g35068, g53526, g19913, g53525, g15922, g34539, g43208, g6103, g1720	XP_024013358.1
OG0000005	g25223	XP_024016125.1
OG0000005	g41973	XP_024013775.1
OG0000005	g34343, g34347, g42612	XP_024010447.1
OG0000005	g21085, g8878, g21778, g22562, g21750, g53237, g33681, g48434, g38758, g15439, g48097, g30184, g21769, g38943, g38685, g15405, g21658, g21626, g15483, g9357, g8861, g22053, g42458, g42535, g48454, g20472, g21554, g16181, g20634, g3529	XP_024016833.1
OG0000005	g49196	XP_024005029.1, XP_024009243.1
OG0000005	g21883	XP_024013377.1, XP_024015852.1
OG0000005	g22475, g21100, g15220	XP_024009771.1, XP_024007306.1
OG0000005	g8684, g42471, g30075, g8186	XP_024009493.1
OG0000005	g34553, g33523, g19890, g30141	XP_024016342.1, XP_024010922.1, XP_024006399.1, XP_024014499.1, XP_024014528.1, XP_024009400.1, XP_024011296.1, XP_024014507.1
