Orthogroup	Rorippa_islandica	Camelina_sativa
OG0000000	Roisl.0053s0186.1.p	XP_010413204.1
OG0000000	Roisl.0188s0090.1.p	XP_019094484.1, XP_010469202.1
OG0000000	Roisl.0012s0255.1.p, Roisl.0053s0040.1.p	XP_019097419.1, XP_019093315.1, XP_010419097.1, XP_010445866.1, XP_010513025.1
OG0000000	Roisl.0179s0101.1.p, Roisl.0179s0099.1.p	XP_010497088.1
OG0000000	Roisl.0213s0782.1.p	XP_010431321.2, XP_010480531.1
OG0000000	Roisl.0053s0185.1.p	XP_010484733.1, XP_010507009.1
OG0000000	Roisl.0023s0049.1.p, Roisl.0214s0436.1.p, Roisl.0214s0718.1.p, Roisl.0047s0012.1.p	XP_010412832.1
OG0000000	Roisl.0038s0044.1.p, Roisl.0022s0187.1.p, Roisl.0210s1364.1.p	XP_010490225.1, XP_010431586.1
OG0000000	Roisl.0083s0016.1.p	XP_010412393.1
OG0000000	Roisl.0037s0056.1.p	XP_019093318.1, XP_010436852.1
OG0000000	Roisl.0213s0402.1.p	XP_019084310.1, XP_010484878.1
OG0000000	Roisl.0052s0046.1.p	XP_019085587.1, XP_019087550.1
OG0000000	Roisl.0020s0162.1.p, Roisl.0213s0727.1.p	XP_010424208.1, XP_019101571.1, XP_019092328.1, XP_019087439.1, XP_010456766.1, XP_010418558.1, XP_010489824.1, XP_019102134.1, XP_010436305.1, XP_010495246.1, XP_019101890.1, XP_010463143.1, XP_019098912.1, XP_010507174.1
OG0000000	Roisl.0213s0280.1.p	XP_019087479.1, XP_010473903.1, XP_010512944.1, XP_019099570.1
OG0000002	Roisl.0194s0020.1.p	XP_010495428.1, XP_010518553.1, XP_010481019.1, XP_010474084.2
OG0000002	Roisl.0204s0005.1.p	XP_010506877.1
OG0000002	Roisl.0012s0044.1.p, Roisl.0200s0037.1.p, Roisl.0210s2181.1.p, Roisl.0014s0020.1.p, Roisl.0111s0033.1.p, Roisl.0022s0019.1.p, Roisl.0076s0006.1.p, Roisl.0214s0254.1.p, Roisl.0066s0414.1.p, Roisl.0006s0156.1.p, Roisl.0014s0086.1.p, Roisl.0083s0030.1.p, Roisl.0032s0054.1.p, Roisl.0041s0032.1.p	XP_010495565.1
OG0000002	Roisl.0047s0024.1.p	XP_010513345.1
OG0000003	Roisl.0058s0055.1.p	XP_019095265.1, XP_010468638.1, XP_019085542.1, XP_019096508.1, XP_019082748.1
OG0000003	Roisl.0075s0224.1.p, Roisl.0011s0302.1.p, Roisl.0210s0002.1.p, Roisl.0053s0016.1.p	XP_010430863.1, XP_010436564.1, XP_019082654.1, XP_010489852.1, XP_010419362.1, XP_019094392.1, XP_010507045.1, XP_010490042.1, XP_010412489.1, XP_010418577.1, XP_010501871.1, XP_010501997.1, XP_010445721.1, XP_010445560.1, XP_019082529.1, XP_019100691.1
OG0000003	Roisl.0005s0321.1.p, Roisl.0020s0174.1.p	XP_010501806.1
OG0000003	Roisl.0058s0089.1.p	XP_010512971.1
