Orthogroup	Arabidopsis_arenosa	Cardamine_hirsuta
OG0000000	jg7091	CARHR219240, CARHR166210
OG0000000	jg27616	CARHR153350
OG0000008	jg20324	CARHR046080, CARHR116420
OG0000008	jg27185	CARHR101910
OG0000008	jg15054, jg15062, jg15069, jg15057	CARHR161340
OG0000009	jg12452, jg19324, jg23533	CARHR145720
OG0000011	jg33383, jg21637	CARHR218510
OG0000011	jg13840	CARHR259400
OG0000012	jg27079	CARHR032720
OG0000015	jg11869	CARHR258200, CARHR258330
OG0000015	jg32432, jg6861, jg27710, jg6954, jg21086, jg11868, jg21314	CARHR110600
OG0000020	jg2142	CARHR113350, CARHR034150, CARHR049310
OG0000020	jg11780, jg21044, jg32221, jg11614, jg1479, jg1901, jg6982, jg14690, jg6883	CARHR213120
OG0000021	jg32225, jg20321, jg1978, jg701	CARHR146600
OG0000022	jg9770	CARHR234420
OG0000022	jg5495	CARHR196550
OG0000022	jg643, jg617, jg616, jg618, jg613	CARHR048190
OG0000022	jg645, jg586, jg583, jg572	CARHR051050, CARHR048810
OG0000022	jg642	CARHR049170
OG0000022	jg612, jg610, jg644	CARHR048480, CARHR048800
OG0000022	jg29675	CARHR048220
OG0000022	jg638	CARHR049120
OG0000022	jg29724	CARHR013000
OG0000022	jg29711	CARHR012910
OG0000022	jg372	CARHR046360
OG0000022	jg12744	CARHR213210
OG0000022	jg25741	CARHR091960
OG0000024	jg18272	CARHR030400
OG0000024	jg31712	CARHR030420
OG0000024	jg31673	CARHR126510, CARHR030870
OG0000024	jg31713	CARHR174240
OG0000024	jg31953, jg31952, jg31856, jg31855	CARHR113190
OG0000024	jg33003, jg33002	CARHR213730
OG0000024	jg31708	CARHR031540
OG0000024	jg27402, jg18984	CARHR062310
OG0000024	jg14278	CARHR167830
OG0000026	jg6878	CARHR104160
OG0000027	jg7517, jg7516	CARHR255070
OG0000027	jg7521	CARHR255040
OG0000027	jg7523	CARHR255010, CARHR263990, CARHR255060, CARHR254990
OG0000027	jg10174	CARHR057450
OG0000027	jg10184	CARHR230470, CARHR230480
OG0000027	jg10183	CARHR230450
OG0000027	jg10181	CARHR230510
OG0000027	jg10191	CARHR230400, CARHR230390
OG0000027	jg7537, jg7533, jg7530	CARHR254870
OG0000027	jg9025	CARHR230560
OG0000027	jg10192	CARHR230300
OG0000027	jg10199	CARHR055330
OG0000027	jg10187	CARHR230350
OG0000027	jg10190	CARHR230440
OG0000028	jg22443, jg22441	CARHR220000
OG0000028	jg22952	CARHR100780
OG0000028	jg8944, jg8946	CARHR242640, CARHR242590
OG0000028	jg22236	CARHR269260
OG0000028	jg22237	CARHR269250
OG0000028	jg22427, jg22428	CARHR268630
OG0000028	jg22219, jg12583, jg12582	CARHR267660
OG0000028	jg8750	CARHR242050
OG0000028	jg8748	CARHR244240
OG0000028	jg14605, jg28212	CARHR028780, CARHR203520
OG0000028	jg22445	CARHR267840
OG0000028	jg22278, jg22269, jg22270, jg22279, jg22262	CARHR267700
OG0000029	jg21311	CARHR116610, CARHR153140
OG0000030	jg2274	CARHR060010, CARHR059990
OG0000030	jg30787	CARHR162370
OG0000030	jg25536	CARHR260760, CARHR260790
OG0000030	jg1537, jg14799, jg17824, jg14802, jg14804	CARHR158520, CARHR158510, CARHR158530
OG0000030	jg11085	CARHR088850
OG0000030	jg25272	CARHR088860, CARHR095910, CARHR026350
OG0000032	jg27281, jg13794, jg27158, jg18577, jg19520, jg25717	CARHR287070, CARHR115000, CARHR258320, CARHR152520, CARHR154280, CARHR217870, CARHR103550, CARHR183020, CARHR149880
OG0000032	jg27186	CARHR287680, CARHR287700, CARHR266450
OG0000034	jg10193, jg10203, jg10197	CARHR230270, CARHR230290
OG0000034	jg10200	CARHR055320, CARHR230240
OG0000034	jg10426	CARHR228050, CARHR228010, CARHR228060, CARHR228080, CARHR228070
OG0000034	jg10425	CARHR289950
OG0000034	jg10186	CARHR230320
OG0000034	jg10202, jg10195, jg10208	CARHR230230, CARHR230200
OG0000034	jg10177	CARHR230540, CARHR230590, CARHR230570, CARHR230620, CARHR230650
OG0000035	jg32621, jg13872	CARHR120350
OG0000035	jg32484	CARHR153260, CARHR182390
OG0000042	jg2222	CARHR260310
OG0000042	jg32380	CARHR181500
OG0000044	jg21039	CARHR116340
OG0000044	jg21834	CARHR223510
OG0000044	jg20587	CARHR175160
OG0000044	jg20418	CARHR289560, CARHR289640, CARHR175800, CARHR175810, CARHR175170, CARHR175250
OG0000044	jg20420	CARHR175260
OG0000046	jg13501, jg20886	CARHR116100, CARHR183570, CARHR057390, CARHR107370
OG0000046	jg29315, jg17523, jg14196	CARHR159290
OG0000046	jg1035, jg17283, jg1573, jg1834, jg309, jg32416	CARHR273180, CARHR286710, CARHR217190
OG0000046	jg1572, jg1555, jg21339	CARHR117470
OG0000048	jg20748, jg20747	CARHR054750
OG0000048	jg33607	CARHR261660, CARHR042940
OG0000048	jg18210, jg18207	CARHR125110
OG0000048	jg18270	CARHR125800
OG0000048	jg740	CARHR126110
OG0000050	jg14086	CARHR154060
OG0000051	jg29349	CARHR002800
OG0000051	jg19555	CARHR137510
OG0000051	jg19558	CARHR137530
OG0000051	jg19551, jg19550, jg907, jg19552, jg19554, jg18423	CARHR127280
OG0000051	jg19560	CARHR137550, CARHR137540
OG0000051	jg19564	CARHR260850
OG0000052	jg13373	CARHR148060
OG0000052	jg1458, jg1459, jg1457	CARHR065210, CARHR065340
OG0000052	jg13394, jg13392, jg13393	CARHR150860
OG0000052	jg20913, jg15189	CARHR162490
