Orthogroup	Cardamine_glauca	Aethionema_saxatile
OG0000000	Cg005G189440, Cg005G189370, Cg007G257090, Cg005G189390, Cg006G204800, Cg003G091090, Cg006G205140, Cg002G067560, Cg008G315220, Cg004G145830, Cg001G019330, Cg004G147470, Cg005G181020, Cg004G145590	As001G006630, As006G147610
OG0000003	Cg004G144140, Cg001G032830	As012G280070
OG0000004	Cg001G033800, Cg004G154080	As007G177100
OG0000005	Cg005G185830	As001G006250
OG0000005	Cg006G213190	As012G278720, As007G177090, As005G111430
OG0000006	Cg008G312070, Cg006G203530, Cg001G010040, Cg005G192450, Cg006G206830, Cg008G318730, Cg008G316770, Cg004G148130, Cg002G063640, Cg001G021710	As010G228090
OG0000010	Cg006G205490	As002G038660, As004G091490, As006G148670, As002G039770, As010G231130, As011G259140, As002G039560, As002G039570
OG0000013	Cg007G257070, Cg005G184830	As010G228550, As010G230420, As010G230620, As001G011830, As003G066230, As001G010630, As007G166800, As001G010860, As002G040060, As006G147900, As012G279880, As010G230200
OG0000014	Cg007G266660	As007G177950
OG0000015	Cg008G310160	As011G257220
OG0000019	Cg008G308170	As009G203070, As004G091650
OG0000019	Cg005G182050	As010G228470
OG0000021	Cg006G208570	As002G035760, As001G004280
OG0000021	Cg003G084910	As005G111040
OG0000021	Cg003G080250	As003G071480, As010G232120
OG0000023	Cg001G017560	As003G061360
OG0000023	Cg003G082240	As004G084560, As004G084580, As004G084570
OG0000023	Cg001G017690	As003G061270
OG0000023	Cg001G017660	As003G061350
OG0000029	Cg007G253930	As001G005440
OG0000029	Cg005G177640	As004G091750, As003G064310
OG0000029	Cg006G212710	As008G192170
OG0000031	Cg007G247710	As001G032000
OG0000031	Cg001G042060, Cg004G133170	As006G134510
OG0000033	Cg001G017700	As003G061230, As003G061200, As003G061190, As003G061240
OG0000033	Cg001G019620, Cg001G019630	As003G059410, As003G059430, As003G059400
OG0000033	Cg001G017580, Cg001G017790	As003G061210, As003G061160
OG0000033	Cg003G079950, Cg003G094060	As004G086230
OG0000036	Cg008G323260	As010G230940, As008G183620, As012G280180, As011G261090
OG0000037	Cg007G255010	As011G257090
OG0000038	Cg005G159520	As009G211050, As009G210990, As009G210820
OG0000038	Cg002G052970	As007G157540
OG0000044	Cg003G096230	As011G256610, As008G193400, As002G039990, As001G010200, As007G166870, As011G258960, As005G108690, As002G051140, As011G259700, As009G206660, As011G259030, As002G039110
OG0000048	Cg004G119540	As006G137090, As006G137040, As006G137120, As006G137000
OG0000048	Cg004G119550	As006G137110, As006G137010, As006G136980
OG0000048	Cg008G298400, Cg008G298350	As001G017720, As001G017740, As001G017730, As001G017710
OG0000054	Cg001G018970	As007G163390, As001G010300
OG0000054	Cg005G189800, Cg005G189790	As004G090600, As007G163400, As011G258570, As001G015330, As001G010290, As001G006440
OG0000055	Cg002G060080	As001G022050
OG0000056	Cg007G265440, Cg006G204190	As007G178620
OG0000063	Cg002G052800	As006G129610
OG0000063	Cg005G178340	As006G129470
OG0000063	Cg003G107350	As005G114950
OG0000065	Cg001G020190	As012G279540, As012G279660
OG0000066	Cg007G276160, Cg014G331850, Cg002G064640, Cg003G077790, Cg002G064590, Cg007G254880	As002G052230
OG0000066	Cg001G001880	As003G074640
OG0000066	Cg006G226080	As007G156090
OG0000066	Cg006G236870, Cg008G290840	As002G052910
OG0000066	Cg008G290850, Cg003G113360	As005G118450
OG0000067	Cg007G270520	As011G256020
OG0000070	Cg005G186370	As010G229730
OG0000073	Cg004G150010, Cg008G302430	As002G034500, As002G034570, As002G034640
OG0000078	Cg002G071190	As004G095030
OG0000079	Cg004G118210, Cg002G047470, Cg005G185620, Cg001G038080, Cg007G249140, Cg008G310600, Cg008G310560, Cg008G308930	As012G285110
OG0000083	Cg005G178780, Cg007G271880, Cg008G322860, Cg005G190500, Cg004G140450, Cg004G140420, Cg004G140430, Cg004G140410, Cg004G140440, Cg005G190480, Cg005G190490, Cg004G121150	As006G138550
OG0000087	Cg008G303510	As010G222260
OG0000087	Cg005G177380	As006G128780
OG0000087	Cg008G292710	As002G051000
OG0000087	Cg005G171830	As012G274980
OG0000087	Cg008G320640	As004G086530
OG0000087	Cg001G020160	As003G058850
OG0000087	Cg007G276340	As010G237710
OG0000088	Cg005G181240, Cg002G059450, Cg002G059900, Cg002G059930, Cg002G059530	As010G225400, As010G225450, As010G225490, As010G225520, As010G223920
OG0000089	Cg008G290150	As002G053510
OG0000089	Cg004G135460	As011G250900
OG0000089	Cg005G168860	As006G146590, As012G277570
OG0000089	Cg002G060740, Cg003G107020	As010G224530, As005G115200
OG0000090	Cg008G317760, Cg011G329140	As004G082910
OG0000090	Cg007G276570, Cg001G034690, Cg001G034670, Cg001G034700	As003G065330
OG0000090	Cg001G005770, Cg002G074060, Cg006G235770	As012G273080
OG0000093	Cg002G047960, Cg002G047920, Cg002G047970, Cg004G145440, Cg004G145260	As012G284680, As012G284700, As012G284660
OG0000097	Cg003G079780, Cg003G094240	As004G086430, As004G086420, As004G086450, As004G086440
OG0000102	Cg001G040220, Cg001G033570	As002G042100
OG0000104	Cg005G177940, Cg005G177960, Cg005G177980, Cg005G177930	As006G129180, As006G129160
OG0000104	Cg006G197920, Cg006G197960, Cg006G197910, Cg006G197970	As012G271190, As012G271200
OG0000104	Cg005G178050, Cg005G178070, Cg005G177950, Cg005G177970	As006G129190
OG0000106	Cg004G135900, Cg004G134980, Cg004G134990, Cg004G136130	As002G041170, As002G041390, As002G041440
OG0000107	Cg004G136920	As011G252340
OG0000108	Cg008G306430, Cg004G146470, Cg007G245680, Cg007G245670	As007G178740, As007G178690, As007G178710, As007G178650, As007G179450, As007G178680, As007G178630, As007G178700, As007G178760, As007G178720, As006G126350
OG0000112	Cg008G314480, Cg008G314500, Cg008G314450, Cg008G314360, Cg008G314370, Cg008G314440, Cg008G314380, Cg008G314400, Cg008G314410, Cg008G314430, Cg008G314420, Cg008G314470, Cg008G314490, Cg008G314390, Cg008G314460	As011G262130, As011G262140, As009G217680, As009G217690
OG0000114	Cg008G318090, Cg008G320920	As006G137050, As006G137080
OG0000123	Cg006G232300	As008G183730, As008G183740
OG0000123	Cg001G014420	As008G183750
OG0000123	Cg001G029000, Cg001G029020	As008G183720
OG0000125	Cg002G052860	As006G146230, As012G277440
OG0000125	Cg008G283340	As005G107620
OG0000125	Cg008G302630	As005G113770
OG0000125	Cg003G107610	As005G114700, As010G224880
OG0000125	Cg005G178390	As006G129500
OG0000127	Cg007G262280	As008G186430, As008G186390, As008G185640, As008G186440
OG0000133	Cg005G185140	As004G090110
OG0000133	Cg007G269340, Cg003G084500, Cg005G185150, Cg004G141220	As007G167120, As007G166850, As004G092840, As011G261830
OG0000135	Cg004G138210	As002G042510, As003G066190, As008G191880, As005G111990, As004G096380, As007G164280, As003G056190, As005G109510, As001G016500, As009G209990, As009G209980, As002G040350, As002G033550, As003G063030, As006G148760, As009G206440
OG0000136	Cg001G037110	As005G116580, As005G116570
OG0000138	Cg001G039000	As004G084820, As010G224060
OG0000138	Cg002G067580, Cg002G067290	As001G027950, As001G027940, As007G161530
OG0000140	Cg003G106820	As005G115230
OG0000140	Cg003G106800, Cg003G106450, Cg003G106440, Cg003G106810, Cg008G324860, Cg003G096950	As005G115280, As005G115270, As005G115260, As005G115240, As008G190370
OG0000142	Cg005G177630	As003G060670
OG0000146	Cg003G102600, Cg003G098470, Cg003G098480	As002G047180
OG0000146	Cg003G102620, Cg003G102610	As002G047190
OG0000147	Cg004G155250	As011G265720
OG0000147	Cg001G010340	As001G002190
OG0000147	Cg003G104960	As002G049060
OG0000147	Cg007G280860	As010G243490
OG0000147	Cg001G032760, Cg004G146670	As011G259420
OG0000149	Cg002G060900	As010G224590
OG0000149	Cg003G107300, Cg003G107310, Cg003G107320, Cg003G107330, Cg003G107340, Cg001G028530, Cg003G082350, Cg003G107280, Cg002G060920	As010G224610
OG0000150	Cg002G064460, Cg001G004220, Cg002G061890, Cg002G061810, Cg005G186200	As010G225180, As010G225220, As010G225210
OG0000151	Cg001G012710	As007G166070
OG0000151	Cg004G124340	As006G141980, As006G133740
OG0000151	Cg004G152640	As011G263600
OG0000151	Cg003G103430	As002G047900
OG0000151	Cg007G246070	As001G030700
