Orthogroup	Euclidium_syriacum	Brassica_oleracea
OG0000000	ESY7_g16163_DN2_SP0_c0.t1	XP_013594726.1, XP_013633348.1, XP_013601000.1, XP_013625538.1, XP_013594959.1, XP_013627809.1, XP_013601491.1, XP_013625599.1, XP_013589527.1, XP_013629098.1, XP_013639526.1, XP_013595181.1, XP_013594888.1
OG0000000	ESY7_g16535_DN2_SP0_c0.t1, ESY20_g12791_DN2_SP0_c0.t1	XP_013589224.1
OG0000000	ESY6_g47093_DN2_SP0_c0.t1	XP_013615253.1, XP_013595033.1, XP_013632378.1, XP_013601606.1, XP_013631219.1
OG0000002	ESY9_g43349_DN2_SP0_c0.t1	XP_013589153.1, XP_013624587.1, XP_013594480.1, XP_013624534.1, XP_013617579.1, XP_013617544.1, XP_013630563.1, XP_013613891.1, XP_013617538.1, XP_013589182.1, XP_013617573.1, XP_013613929.1, XP_013594570.1, XP_013601542.1, XP_013617416.1, XP_013629257.1, XP_013601258.1, XP_013601696.1, XP_013617415.1, XP_013601104.1, XP_013604825.1, XP_013624612.1, XP_013615241.1, XP_013624472.1, XP_013632468.1, XP_013594451.1, XP_013608132.1, XP_013617459.1, XP_013624531.1, XP_013594539.1, XP_013614633.1, XP_013588951.1, XP_013617501.1, XP_013617190.1, XP_013624889.1, XP_013627007.1, XP_013601271.1, XP_013617774.1, XP_013588955.1, XP_013613745.1, XP_013639517.1, XP_013583333.1, XP_013594447.1, XP_013613743.1, XP_013617626.1, XP_013617419.1, XP_013632734.1, XP_013624189.1, XP_013639686.1, XP_013614171.1, XP_013601115.1, XP_013613445.1, XP_013614194.1, XP_013594822.1, XP_013601080.1, XP_013589610.1, XP_013632991.1, XP_013616926.1, XP_013629770.1, XP_013632851.1, XP_013624497.1, XP_013617221.1, XP_013632894.1, XP_013617715.1, XP_013607692.1, XP_013615062.1, XP_013617294.1, XP_013583360.1, XP_013589138.1, XP_013624471.1, XP_013630619.1, XP_013632362.1, XP_013632797.1
OG0000003	ESY7_g19226_DN2_SP0_c46.t1	XP_013589605.1, XP_013624294.1
OG0000003	ESY9_g43283_DN2_SP0_c0.t1	XP_013639726.1
OG0000003	ESY2_g37194_DN1_SP0_c0.t1	XP_013614573.1
OG0000003	ESY9_g43824_DN1_SP0_c0.t1	XP_013613468.1, XP_013617596.1, XP_013617356.1, XP_013627043.1, XP_013617494.1, XP_013632789.1, XP_013601566.1, XP_013639497.1, XP_013624636.1, XP_013614100.1, XP_013632720.1, XP_013639355.1, XP_013588945.1, XP_013632709.1, XP_013583280.1, XP_013601339.1, XP_013639556.1, XP_013617158.1, XP_013594697.1
OG0000003	ESY9_g43536_DN2_SP0_c0.t1, ESY9_g43962_DN2_SP0_c0.t1, ESY17_g39790_DN2_SP0_c0.t1	XP_013617855.1
OG0000004	ESY9_g43878_DN2_SP0_c0.t1	XP_013624852.1, XP_013624387.1, XP_013633000.1
OG0000004	ESY3_g28075_DN1_SP0_c100.t1, ESY15_g65683_DN1_SP0_c52.t1, ESY13_g56188_DN3_SP0_c88.t1	XP_013601294.1
OG0000005	ESY8_g60803_DN3_SP0_c6.t1	XP_013626656.1, XP_013589417.1
OG0000005	ESY1_g7388_DN1_SP0_c0.t1	XP_013624826.1
OG0000007	ESY9_g43616_DN3_SP0_c12.t1	XP_013614260.1, XP_013624837.1, XP_013589419.1, XP_013632751.1, XP_013639708.1, XP_013617290.1, XP_013585405.1, XP_013605146.1, XP_013634604.1, XP_013617289.1, XP_013603784.1, XP_013635455.1, XP_013623981.1, XP_013617071.1, XP_013632908.1, XP_013633377.1, XP_013632977.1, XP_013623353.1, XP_013633146.1, XP_013639247.1, XP_013614053.1, XP_013589057.1, XP_013617886.1, XP_013633894.1, XP_013624226.1, XP_013610211.1, XP_013594005.1, XP_013601472.1, XP_013632874.1, XP_013594943.1, XP_013601489.1, XP_013632690.1, XP_013589492.1, XP_013634243.1, XP_013594807.1, XP_013601610.1, XP_013595036.1, XP_013632892.1, XP_013617022.1, XP_013601509.1, XP_013596032.1, XP_013617093.1, XP_013589320.1, XP_013608313.1, XP_013624232.1, XP_013634404.1, XP_013639187.1, XP_013608445.1, XP_013632862.1, XP_013639373.1, XP_013595054.1, XP_013617368.1, XP_013589618.1, XP_013632912.1, XP_013594580.1, XP_013607658.1, XP_013594930.1, XP_013608328.1
OG0000008	ESY1_g7826_DN2_SP0_c27.t1	XP_013594703.1, XP_013583429.1, XP_013639704.1, XP_013639167.1, XP_013615146.1, XP_013612199.1, XP_013633438.1
OG0000009	ESY2_g34470_DN1_SP0_c0.t1	XP_013616938.1
OG0000009	ESY18_g63291_DN2_SP0_c0.t1, ESY8_g59590_DN3_SP0_c0.t1, ESY7_g17672_DN2_SP0_c0.t1, ESY2_g38373_DN2_SP0_c0.t1	XP_013633213.1
OG0000009	ESY8_g59457_DN2_SP0_c0.t1, ESY5_g5477_DN1_SP0_c0.t1, ESY5_g5044_DN1_SP0_c0.t1, ESY15_g65873_DN1_SP0_c0.t1, ESY5_g1712_DN1_SP0_c0.t1, ESY9_g43818_DN1_SP0_c0.t1, ESY19_g41266_DN2_SP0_c0.t1	XP_013639216.1, XP_013589238.1, XP_013589005.1, XP_013608331.1, XP_013589604.1, XP_013595149.1, XP_013639361.1, XP_013601764.1
OG0000011	ESY12_g51066_DN2_SP0_c0.t1, ESY1_g9462_DN1_SP0_c0.t1	XP_013617429.1
OG0000011	ESY5_g2565_DN1_SP0_c0.t1	XP_013586656.1, XP_013616817.1, XP_013639582.1
OG0000011	ESY1_g5997_DN2_SP0_c99.t1	XP_013591119.1
OG0000011	ESY8_g60782_DN3_SP0_c0.t1	XP_013607551.1, XP_013601186.1, XP_013594913.1, XP_013639515.1, XP_013601179.1, XP_013624987.1, XP_013615397.1, XP_013610312.1, XP_013624126.1, XP_013624406.1, XP_013608203.1
OG0000011	ESY11_g53520_DN3_SP0_c81.t1, ESY1_g6775_DN3_SP0_c50.t1	XP_013615036.1, XP_013632920.1, XP_013617587.1, XP_013633062.1
OG0000015	ESY4_g23102_DN1_SP0_c100.t1	XP_013608212.1
OG0000015	ESY14_g21116_DN2_SP0_c1.t1	XP_013614071.1
OG0000015	ESY5_g1619_DN2_SP0_c2.t1	XP_013617324.1
OG0000015	ESY4_g23103_DN1_SP0_c0.t1	XP_013617384.1
OG0000015	ESY2_g38598_DN3_SP0_c0.t1	XP_013617465.1
OG0000015	ESY4_g23101_DN1_SP0_c72.t1	XP_013639376.1, XP_013583421.1, XP_013607863.1
OG0000015	ESY4_g24528_DN1_SP0_c0.t1, ESY13_g56278_DN1_SP0_c1.t1	XP_013615586.1
OG0000016	ESY1_g9010_DN1_SP0_c0.t1	YP_004927455.1, XP_013617545.1, XP_013601273.1, XP_013589195.1, XP_013588937.1, XP_013639541.1, XP_013615067.1
OG0000020	ESY18_g63699_DN3_SP0_c0.t1, ESY9_g44479_DN2_SP0_c0.t1, ESY17_g39372_DN3_SP0_c44.t1, ESY11_g52417_DN3_SP0_c0.t1	XP_013632401.1, XP_013624672.1, XP_013594657.1, XP_013601111.1, XP_013613669.1, XP_013589042.1, XP_013589244.1, XP_013632054.1, XP_013626814.1, XP_013616921.1, XP_013626793.1, XP_013601623.1, XP_013617516.1, XP_013624895.1, XP_013632844.1, XP_013615448.1, XP_013624951.1, XP_013601120.1, XP_013617481.1, XP_013633218.1, XP_013633384.1, XP_013601147.1, XP_013624224.1, XP_013591412.1, XP_013617648.1, XP_013589099.1, XP_013632836.1, XP_013585421.1
OG0000020	ESY4_g22336_DN1_SP0_c100.t1, ESY6_g46671_DN2_SP0_c83.t1, ESY23_g73_DN3_SP0_c0.t1	XP_013624038.1, XP_013608147.1
OG0000021	ESY2_g36897_DN3_SP0_c0.t1, ESY1_g8553_DN3_SP0_c0.t1, ESY2_g36889_DN2_SP0_c0.t1, ESY5_g1040_DN3_SP0_c0.t1, ESY4_g26006_DN3_SP0_c0.t1, ESY7_g17537_DN3_SP0_c0.t1, ESY1_g9704_DN3_SP0_c0.t1, ESY6_g48613_DN3_SP0_c0.t1, ESY6_g47610_DN3_SP0_c0.t1, ESY4_g25933_DN3_SP0_c0.t1, ESY9_g43848_DN3_SP0_c0.t1, ESY10_g15845_DN3_SP0_c0.t1, ESY1_g8552_DN3_SP0_c0.t1, ESY3_g30023_DN2_SP0_c0.t1, ESY19_g41697_DN3_SP0_c0.t1, ESY6_g45922_DN3_SP0_c0.t1, ESY5_g1354_DN3_SP0_c0.t1, ESY6_g47609_DN3_SP0_c0.t1, ESY6_g48612_DN3_SP0_c0.t1, ESY11_g54587_DN3_SP0_c0.t1, ESY6_g47608_DN3_SP0_c0.t1, ESY9_g43847_DN3_SP0_c0.t1, ESY15_g65477_DN3_SP0_c0.t1	XP_013608093.1, XP_013624295.1, XP_013632740.1, XP_013632330.1, XP_013594600.1, XP_013624087.1, XP_013616795.1, XP_013624037.1, XP_013635359.1, XP_013624942.1, XP_013639781.1, XP_013601073.1, XP_013632716.1, XP_013615260.1, XP_013639694.1, XP_013616959.1, XP_013633321.1, XP_013617328.1, XP_013633276.1, XP_013583343.1, XP_013624309.1, XP_013625589.1, XP_013592110.1, XP_013589433.1, XP_013595678.1, XP_013607721.1, XP_013608306.1, XP_013594522.1, XP_013608090.1, XP_013608094.1, XP_013632801.1, XP_013599600.1, XP_013589650.1, XP_013633047.1, XP_013613761.1, XP_013639394.1, XP_013601657.1, XP_013615573.1, XP_013608056.1, XP_013583415.1, XP_013624628.1
OG0000021	ESY9_g43840_DN2_SP0_c0.t1, ESY9_g43986_DN3_SP0_c0.t1	XP_013594507.1, XP_013631302.1
OG0000023	ESY11_g53222_DN2_SP0_c100.t1	XP_013624019.1, XP_013608330.1, XP_013639408.1, XP_013588873.1, XP_013613579.1, XP_013639689.1, XP_013615160.1, XP_013594643.1, XP_013589396.1, XP_013624598.1, XP_013630282.1, XP_013633092.1, XP_013617401.1, XP_013589397.1, XP_013632474.1, XP_013617360.1, XP_013624559.1, XP_013624147.1, XP_013630371.1, XP_013616977.1, XP_013607670.1, XP_013607828.1, XP_013617615.1, XP_013631991.1, XP_013608049.1, XP_013639746.1, XP_013589351.1, XP_013632550.1, XP_013607989.1, XP_013589200.1, XP_013613476.1, XP_013607705.1, XP_013608042.1, XP_013608012.1, XP_013594286.1, XP_013614920.1, XP_013632806.1, XP_013601010.1, XP_013598954.1, XP_013617098.1, XP_013620254.1, XP_013624411.1, XP_013639572.1, XP_013608082.1, XP_013639693.1, XP_013614919.1, XP_013623215.1
OG0000024	ESY7_g16494_DN2_SP0_c0.t1, ESY1_g12041_DN3_SP0_c0.t1, ESY8_g58334_DN1_SP0_c0.t1, ESY2_g33352_DN2_SP0_c0.t1, ESY2_g33350_DN2_SP0_c0.t1, ESY7_g19344_DN3_SP0_c0.t1, ESY1_g11290_DN3_SP0_c0.t1, ESY12_g51910_DN2_SP0_c0.t1, ESY12_g51907_DN2_SP0_c40.t1, ESY12_g51878_DN2_SP0_c0.t1	XP_013597425.1
OG0000027	ESY9_g42764_DN3_SP0_c0.t1	XP_013624060.1
OG0000027	ESY23_g74_DN3_SP0_c34.t1	XP_013595244.1
OG0000027	ESY9_g42607_DN2_SP0_c68.t1	XP_013598637.1
OG0000027	ESY7_g17001_DN1_SP0_c0.t1	XP_013595104.1
OG0000028	ESY3_g32269_DN2_SP0_c54.t1	XP_013597573.1, XP_013621193.1, XP_013608141.1, XP_013596721.1, XP_013597575.1, XP_013608214.1
OG0000029	ESY6_g48344_DN1_SP0_c0.t1	XP_013639358.1, XP_013607940.1, XP_013594529.1, XP_013632897.1, XP_013589092.1, XP_013600973.1, XP_013600972.1, XP_013617164.1, XP_013617163.1, XP_013633388.1, XP_013632483.1, XP_013601217.1, XP_013617192.1, XP_013613525.1, XP_013607906.1, XP_013624878.1, XP_013632925.1, XP_013633078.1, XP_013615203.1, XP_013624064.1, XP_013623917.1, XP_013624131.1
OG0000029	ESY1_g6329_DN2_SP0_c0.t1	XP_013617135.1, XP_013615424.1
OG0000029	ESY10_g13703_DN2_SP0_c0.t1	XP_013614462.1, XP_013639354.1, XP_013601446.1, XP_013607781.1
