Orthogroup	Raphanus_sativus	Capsella_rubella
OG0000000	XP_018435931.1	XP_023644510.1, XP_023644490.1
OG0000000	XP_018474641.1, XP_018463709.1, XP_018435631.1, XP_018453541.1, XP_018462157.1, XP_018435281.1, XP_018435286.1, XP_018460172.1, XP_018443746.1, XP_018479968.1, XP_018461263.1, XP_018435287.1, XP_018453921.1, XP_018460558.1, XP_018479757.1, XP_018472282.1, XP_018487416.1, XP_018487413.1, XP_018479119.1, XP_018487613.1, XP_018435875.1, XP_018453704.1, XP_018478228.1, XP_018463849.1, XP_018478413.1, XP_018479618.1, XP_018462177.1, XP_018479420.1	XP_023637681.1
OG0000000	XP_018448498.1, XP_018435739.1, XP_018435737.1, XP_018435702.1, XP_018463622.1, XP_018443673.1, XP_018453689.1, XP_018475855.1, XP_018479455.1	XP_023633614.1
OG0000000	XP_018479790.1, XP_018487667.1, XP_018488079.1, XP_018473662.1	XP_023634268.1, XP_023644256.1
OG0000000	XP_018487799.1	XP_023634285.1
OG0000000	XP_018458409.1, XP_018458407.1	XP_023638968.1
OG0000000	XP_018453573.1, XP_018462059.1	XP_023632892.1
OG0000002	XP_018436084.1, XP_018461124.1	XP_023638855.1
OG0000003	XP_018443742.1, XP_018465542.1, XP_018459724.1, XP_018443678.1, XP_018459621.1, XP_018473790.1	XP_023644456.1
OG0000004	XP_018466160.1, XP_018473944.1	XP_023644517.1, XP_023638874.1
OG0000004	XP_018462320.1, XP_018465985.1	XP_023632701.1
OG0000005	XP_018453890.1, XP_018463384.1	XP_023633718.1
OG0000005	XP_018473854.1, XP_018453823.1, XP_018459047.1, XP_018459385.1	XP_023640321.1
OG0000005	XP_018436209.1, XP_018454154.1, XP_018462540.1, XP_018460030.1, XP_018459967.1, XP_018479006.1, XP_018460312.1, XP_018448667.1, XP_018448864.1, XP_018460938.1	XP_023639598.1
OG0000005	XP_018463109.1	XP_023638126.1
OG0000005	XP_018448581.1	XP_023645768.1
OG0000005	XP_018458647.1	XP_023636063.1
OG0000007	XP_018479657.1, XP_018455976.1, XP_018466179.1, XP_018462223.1	XP_023640317.1
OG0000007	XP_018448723.1, XP_018448724.1	XP_023635039.1
OG0000007	XP_018437596.1, XP_018443492.1, XP_018477728.1, XP_018487830.1, XP_018436238.1, XP_018439630.1, XP_018454081.1, XP_018453629.1	XP_023639048.1, XP_023644546.1
OG0000007	XP_018443248.1	XP_023640335.1
OG0000007	XP_018459130.1	XP_023634292.1
OG0000008	XP_018454207.1, XP_018462648.1, XP_018465341.1	XP_023641963.1
OG0000008	XP_018435390.1, XP_018435386.1, XP_018454008.1, XP_018459643.1, XP_018463424.1, XP_018487499.1, XP_018435369.1, XP_018475693.1, XP_018488090.1, XP_018458139.1, XP_018489767.1, XP_018444644.1, XP_018448882.1, XP_018448884.1, XP_018464317.1, XP_018448605.1, XP_018463041.1, XP_018455757.1, XP_018458111.1, XP_018463415.1, XP_018453388.1, XP_018479750.1, XP_018464703.1, XP_018488222.1, XP_018482699.1, XP_018473907.1, XP_018459798.1, XP_018490599.1, XP_018489331.1, XP_018469961.1, XP_018460935.1	XP_023633343.1
OG0000008	XP_018487527.1, XP_018467072.1	XP_023641902.1
OG0000008	XP_018438736.1	XP_023638567.1
OG0000008	XP_018473385.1, XP_018448604.1	XP_023633352.1
OG0000008	XP_018435526.1	XP_023633344.1
OG0000009	XP_018458816.1	XP_023639354.1
OG0000009	XP_018467418.1, XP_018443533.1, XP_018481184.1	XP_023640352.1
OG0000011	XP_018448673.1, XP_018475002.1	XP_023644226.1
OG0000011	XP_018463028.1, XP_018463180.1, XP_018448497.1, XP_018479701.1, XP_018482968.1	XP_023643301.1, XP_023638031.1
OG0000011	XP_018448446.1	XP_006298993.2, XP_023637233.1
OG0000011	XP_018444097.1	XP_006288329.2
OG0000014	XP_018461000.1, XP_018458906.1	XP_023638462.1, XP_023634279.1
OG0000016	XP_018466545.1, XP_018464905.1, XP_018465409.1, XP_018443351.1	XP_023634145.1
OG0000018	XP_018453711.1, XP_018467280.1	XP_023639601.1
