Orthogroup	Arabidopsis_arenosa	Cardamine_glauca
OG0000000	jg2924, jg12072, jg12472	Cg002G062380, Cg002G069090, Cg005G186670
OG0000000	jg1749	Cg008G318220, Cg007G256290, Cg005G186910, Cg004G150450, Cg002G062250
OG0000000	jg6905	Cg006G204800, Cg003G091090, Cg006G205140, Cg002G067560, Cg008G315220, Cg004G145830, Cg001G019330, Cg004G147470, Cg005G181020, Cg004G145590
OG0000000	jg27064	Cg005G186000
OG0000003	jg14786	Cg006G209840
OG0000003	jg11917	Cg005G184670
OG0000003	jg11918	Cg005G182650
OG0000005	jg17698	Cg003G086520
OG0000005	jg1845	Cg008G295320, Cg005G188150
OG0000005	jg8025, jg11080, jg14183, jg14024, jg21899, jg13959, jg1165, jg13498, jg21058, jg18867, jg13113	Cg003G087270
OG0000005	jg21611, jg16911, jg12161, jg12492	Cg006G213190
OG0000007	jg6465	Cg003G084380
OG0000008	jg15069, jg15062, jg15057, jg15054	Cg002G060890
OG0000012	jg12454, jg31920	Cg003G089470, Cg006G226210
OG0000012	jg26946	Cg007G260780
OG0000015	jg21314, jg11868	Cg004G140320
OG0000017	jg32618	Cg004G142150
OG0000018	jg3954, jg701, jg1978, jg32225, jg20321	Cg003G095700
OG0000018	jg27179	Cg006G204250, Cg003G087690, Cg003G087660
OG0000019	jg13651, jg26287	Cg008G308170
OG0000019	jg13840	Cg003G084410, Cg008G317890
OG0000019	jg13839	Cg005G182050
OG0000021	jg17562	Cg006G208570
OG0000023	jg10174	Cg001G017560
OG0000023	jg7515, jg7514	Cg003G082360
OG0000023	jg7521	Cg003G082320
OG0000023	jg7533, jg7537, jg7530	Cg003G082240
OG0000023	jg10191	Cg001G017750
OG0000023	jg10192	Cg001G017690
OG0000025	jg8748, jg8750, jg23436, jg23431, jg23430, jg23437, jg23433, jg21838, jg4646, jg21837, jg4645	Cg001G005300
OG0000026	jg1482, jg6966, jg6980, jg14688, jg1903, jg7349, jg32153, jg20543, jg27936, jg21506, jg1826, jg1637, jg14016, jg1257	Cg005G183380
OG0000027	jg31698, jg31696, jg31707, jg31681, jg31709, jg31711, jg31710, jg31713, jg32093, jg31714, jg2233, jg31669, jg16932, jg16933, jg31705, jg31715	Cg006G214900, Cg006G214890, Cg006G214810, Cg006G214840, Cg006G214870, Cg006G214820, Cg006G214800
OG0000027	jg31708	Cg006G213920
OG0000027	jg33002, jg33003	Cg001G041530
OG0000027	jg31857	Cg002G070600
OG0000027	jg31665, jg31668, jg27402, jg18984	Cg006G215350, Cg006G215360
OG0000027	jg14278	Cg002G048550, Cg002G048720
OG0000028	jg13681, jg3965, jg11165, jg14797, jg11997, jg6737, jg2197, jg17461, jg12004, jg26958, jg13640, jg2465, jg27218, jg11460	Cg001G041970
OG0000029	jg17949	Cg006G212710
OG0000030	jg20585	Cg008G322770
OG0000031	jg611, jg588, jg582, jg580	Cg007G247230, Cg007G246930
OG0000031	jg642	Cg007G247710
OG0000031	jg12744	Cg001G042060
OG0000031	jg25741	Cg004G133170
OG0000031	jg372	Cg007G245660
OG0000033	jg10203, jg10197	Cg001G017700
OG0000033	jg10204	Cg001G017740, Cg001G017730
OG0000033	jg10186, jg10200, jg10207	Cg001G017780
OG0000033	jg10426	Cg001G019620
OG0000033	jg10425	Cg001G019630
OG0000033	jg10175	Cg001G017580
OG0000033	jg10208	Cg001G017790
OG0000033	jg7784	Cg003G079950, Cg003G094060
OG0000036	jg16618	Cg005G180340, Cg002G065870, Cg008G312450, Cg005G190140, Cg004G144710, Cg001G036700, Cg002G070690
OG0000036	jg11852, jg13931, jg6976, jg17098, jg1485, jg16419, jg27812, jg17384	Cg005G182230, Cg005G181070
OG0000038	jg20023, jg549	Cg005G159520
OG0000038	jg14792	Cg002G057430
OG0000038	jg21941, jg22515	Cg003G103850
OG0000038	jg20757, jg20756	Cg008G320560
OG0000038	jg31052	Cg002G052970
OG0000039	jg6819	Cg004G126960, Cg005G180100, Cg002G062370, Cg002G062340
OG0000040	jg30787, jg31202, jg31203	Cg006G217350
OG0000040	jg25536	Cg001G030090
OG0000040	jg29499	Cg006G235040
OG0000040	jg26152, jg26153	Cg004G137150
OG0000042	jg17939	Cg005G183270
OG0000042	jg26952	Cg005G175020, Cg003G088120
OG0000044	jg17523, jg29315, jg14196, jg1834, jg309, jg32416, jg1035, jg17283, jg1573	Cg001G029670
OG0000044	jg12140	Cg003G096230
OG0000045	jg21124	Cg003G091810
OG0000046	jg10780	Cg001G022610
OG0000046	jg2195	Cg007G266760
OG0000047	jg6462, jg31439, jg5264	Cg004G156550
OG0000048	jg24239	Cg004G119550
OG0000048	jg5646	Cg008G298370
OG0000048	jg5639	Cg008G298400, Cg008G298350
OG0000052	jg29349	Cg006G242960
OG0000052	jg19555	Cg005G163550
