Orthogroup	Alyssum_gmelinii	Arabidopsis_lyrata_Rawat
OG0000000	Ag004G340890, Ag001G084200	AL70U10050
OG0000000	Ag002G196660, Ag006G512050	AL4G11460
OG0000002	Ag005G410720	AL1G57360, AL3G37080
OG0000003	Ag001G024370	AL4G38100
OG0000003	Ag001G046010	AL1G51880
OG0000004	Ag002G133140	AL3G48680
OG0000004	Ag004G374310	AL1G56670
OG0000004	Ag004G314450	AL7G47010
OG0000004	Ag008G684310	AL5G12810
OG0000004	Ag005G427550	AL6G27580, AL5G15620, AL1G31370, AL3G28120, AL3G23500, AL7G39870, AL47U10020, AL3G43540, AL3G50410, AL1G48970, nbis-gene-231, AL8G17890
OG0000004	Ag006G503330	AL2G18100, AL8G13780, AL7G43930, AL4G15390, AL5G12120, AL5G12320, AL6G42260, AL7G38790, AL2G19780, AL4G14060, AL5G21300, AL8G22530, AL6G50660, AL110U10010, AL3G47190, AL5G13370, AL5G11100, AL396U10020, AL4G14390, AL5G30910, AL1G48610, AL8G30500
OG0000005	Ag008G703520	AL6G36520
OG0000005	Ag005G452100	AL9U10020
OG0000005	Ag007G610690	AL5G21470, AL5G14390
OG0000005	Ag005G434290	AL2G39630
OG0000005	Ag005G414560, Ag002G110220, Ag005G402610	AL8G14160, AL3G38620, AL3G49760, AL4G40870, AL5G22670, AL1G55360, AL6G10570
OG0000005	Ag006G527380	AL251U10020, AL3G32130
OG0000005	Ag005G402580	AL4G10500
OG0000005	Ag007G622540	AL6G49130
OG0000006	Ag005G455250	AL5G31160
OG0000007	Ag005G466650, Ag006G520850, Ag003G220210, Ag008G670760, Ag007G590140, Ag003G230710, Ag005G415480	AL6G33910, AL4G36510
OG0000007	Ag001G006450, Ag006G516390	AL1G62960
OG0000007	Ag002G132800	AL4G39790
OG0000008	Ag005G451490	AL6G44830, AL877U10020, AL8G22780
OG0000008	Ag001G015890	AL5G32180, AL5G32150, AL5G32140, AL3G23450
OG0000012	Ag007G621260, Ag005G417190	AL5G18610, AL1G66070
OG0000012	Ag007G633420	AL2G19210
OG0000012	Ag003G250900	AL4G14230, AL5G19240
OG0000012	Ag002G161720	AL8G19630, AL7G45280
OG0000013	Ag006G559810	AL3G45620
OG0000013	Ag001G041140	AL3G54050
OG0000015	Ag008G687430	AL3G46060
OG0000017	Ag005G432180, Ag001G042370	AL7G44020, AL3G44050, AL460U10020, AL6G40580
OG0000017	Ag004G368420, Ag003G267410, Ag004G341270, Ag002G159510, Ag002G182860	AL189U10020
OG0000018	Ag007G609170	AL7G47350, AL7G51150
OG0000019	Ag007G642200, Ag006G545350	AL2G22330
OG0000019	Ag005G447690, Ag004G361020, Ag001G055110, Ag007G635570, Ag001G073070	AL2G26450
OG0000020	Ag003G281030, Ag003G281020, Ag006G521270, Ag005G441960	AL4G17980
OG0000021	Ag002G135150	AL5G16490, AL5G19200
OG0000021	Ag002G201670	AL1G46090, AL5G10040, AL5G25470, AL96U10010
OG0000023	Ag006G569900, Ag006G545580, Ag006G549040	AL6G45910, AL7G30160, AL7G30170
OG0000023	Ag002G145570, Ag002G145600	AL6G45930, nbis-gene-1639
OG0000023	Ag002G145500	AL6G45970
OG0000023	Ag002G145450	AL1G66280
OG0000023	Ag006G547270	AL7G30270
OG0000023	Ag006G545510, Ag006G549380, Ag006G547220, Ag004G376920	AL7G30280
OG0000025	Ag003G230310	AL7G42840, AL594U10010, AL8G29780
OG0000026	Ag013G741580	AL2G12870, AL5G16730, AL9U11280
OG0000028	Ag005G466640, Ag009G736690, Ag001G053260, Ag004G352900, Ag006G577790, Ag003G259760, Ag002G132790, Ag005G466920, Ag005G466830, Ag005G466750	AL1G65750, nbis-gene-1243
OG0000029	Ag006G532500, Ag004G401820	AL6G10700
OG0000029	Ag004G375950	AL7G44460
OG0000029	Ag002G168100, Ag004G354120	AL4G17400
OG0000030	Ag008G659630, Ag006G491030	AL1G54660
OG0000030	Ag002G133450, Ag002G134890, Ag001G003750, Ag007G608580, Ag005G416870, Ag005G452160, Ag002G188880, Ag007G608590, Ag004G348700, Ag001G096020	AL8G14180
OG0000030	Ag001G021090, Ag003G292130, Ag005G430740	AL4G45380, AL3G35100, AL8G39990, AL7G36770, AL2G36380, AL6G22280, AL6G40680, AL1G51440, AL103U10010, AL8G23430, AL4G17850, AL2G38670, AL9U11580, AL3G44120
OG0000031	Ag001G078560, Ag004G386130	AL2G13170, AL2G12830, AL2G12810, AL2G13140, AL2G12820, AL2G18840
OG0000031	Ag004G316410, Ag004G316200, Ag004G317440, Ag004G317450, Ag004G315780, Ag004G316420	AL1G24380, AL1G24190
OG0000031	Ag002G111150, Ag002G107580	AL7G48260
OG0000031	Ag004G401670	AL2G13070, AL2G10190, AL2G10200, AL1G16610
OG0000033	Ag006G547230, Ag006G549390	AL7G30290
OG0000033	Ag006G543630, Ag006G543880	AL7G30340
OG0000033	Ag006G564890, Ag003G210460	AL7G32670
OG0000033	Ag006G547380, Ag006G549570	AL7G30350, AL7G30310
OG0000033	Ag002G130680, Ag002G130760	AL6G48800
OG0000034	Ag001G041740, Ag004G365370, Ag004G364780	AL8G16120
OG0000034	Ag005G442050	AL8G19760
OG0000034	Ag004G317550, Ag002G142920	AL8G18300, AL7G23790, AL4G30020, AL5G40150, AL8G20130, AL210U10020, AL1G51890
OG0000034	Ag003G264010, Ag001G058120, Ag005G440470	AL5G17770
OG0000035	Ag007G590010	AL2G14000, AL2G14020
OG0000035	Ag005G405240, Ag002G183820	AL8G43560
OG0000035	Ag003G212430, Ag007G589940, Ag007G589950, Ag007G590070, Ag007G590080, Ag007G590100	AL4G27390, AL4G27770
OG0000036	Ag003G262470, Ag003G288580, Ag005G424740	AL5G26550, AL920U10010
OG0000036	Ag004G360850, Ag004G351140, Ag006G523870, Ag004G387130, Ag003G230730	AL4G17610, AL6G45120, AL1G60100, AL3G30200
OG0000037	Ag001G053350	AL3G27890
OG0000038	Ag003G226390, Ag003G216540, Ag004G301790, Ag004G301770, Ag003G211230, Ag003G211160, Ag003G211040	AL2G12050
OG0000038	Ag001G003660	AL1G38800, AL1G38860
OG0000038	Ag007G594740, Ag007G591770, Ag004G335660	AL4G25900
OG0000038	Ag006G511550, Ag006G511600	AL6G35130, AL6G36280
OG0000038	Ag001G056400	nbis-gene-1360
OG0000038	Ag002G135290, Ag002G133990, Ag002G133520	AL1G14840
OG0000038	Ag002G200370, Ag002G200380, Ag002G200390, Ag002G200460, Ag002G200420	AL8G15660, AL7G27750
OG0000038	Ag004G312700	AL1G38680
OG0000038	Ag005G474640, Ag005G474620, Ag004G393210, Ag004G388210, Ag004G388220, Ag004G388090, Ag005G471010, Ag007G610580, Ag005G471020, Ag005G471040, Ag005G471080, Ag005G474650, Ag002G141090	AL3G22250, AL3G22230
OG0000039	Ag004G347330, Ag007G622120	nbis-gene-244
OG0000040	Ag005G468330, Ag005G409970, Ag005G409830, Ag005G409790, Ag005G470150, Ag005G469490, Ag005G470890, Ag005G470920, Ag005G470910	AL1G39630, AL1G35700, AL1G40160, AL1G40170, AL1G40180, AL3G27510
OG0000040	Ag002G192690, Ag002G188830	AL5G24990, AL3G24770, AL3G25930, AL3G25710, AL3G25690
OG0000040	Ag005G441920, Ag005G467750, Ag005G452660	AL2G23050, AL5G29320, AL5G29310, AL5G29340
OG0000040	Ag005G446880, Ag005G447100, Ag005G447140	AL275U10020, AL3G33690, AL3G33320, AL3G33700
OG0000041	Ag003G296430, Ag003G296390, Ag008G683020	AL7G44740
OG0000042	Ag007G610350, Ag001G022920	AL677U10010, AL2G11290, AL1G59470
OG0000042	Ag005G442270	AL364U10020
OG0000044	Ag006G512870	AL5G16920, AL7G43910, AL3G42580
OG0000045	Ag005G474590, Ag005G450900, Ag005G424570	AL2G19770
OG0000045	Ag005G417800, Ag004G353390, Ag005G464900, Ag002G130610, Ag001G035560, Ag008G683870, Ag005G459470, Ag009G736850, Ag002G151850, Ag005G408680, Ag005G420260, Ag003G262090, Ag004G355210	AL1G41870
OG0000045	Ag002G197550, Ag008G703200	AL1G56200, AL3G43240, AL2G29770
OG0000046	Ag006G575430	nbis-gene-1820
OG0000046	Ag002G129690, Ag002G129740	AL2G25210, AL2G25320
OG0000047	Ag007G585730, Ag007G603890, Ag006G525770	AL5G32340
OG0000048	Ag005G486480	AL3G13680
OG0000049	Ag003G236810	AL1G48510
OG0000050	Ag007G641850	AL2G19460, AL7G40460, AL8G34860, AL8G13000, AL5G20430
OG0000050	Ag002G123120, Ag004G303450, Ag008G721720, Ag004G400620, Ag002G193630	AL2G29160, AL704U10010, AL9U10060, AL8G15100, AL8G40700
OG0000052	Ag004G301370, Ag004G301320	AL1G20340
OG0000052	Ag002G194170	AL4G40940
OG0000052	Ag002G194060	AL4G40930
OG0000052	Ag002G194250	AL4G40960
OG0000052	Ag002G194440, Ag002G194380	AL4G41010, AL4G41000
OG0000053	Ag003G279130	AL8G40920, AL2G10380, AL1G59190, AL7G34190
OG0000054	Ag007G634740, Ag006G513370, Ag001G062410	nbis-gene-807
OG0000055	Ag004G382900	AL2G13390, AL2G13990
OG0000055	Ag002G180760, Ag003G281400, Ag003G282390	AL2G14050, AL2G14060, AL2G14070, AL2G14080, AL2G14090
OG0000056	Ag002G121000, Ag006G542770	AL6G44140, AL8G19010, AL8G19360, AL3G47230
OG0000057	Ag005G459510, Ag005G459380, Ag005G459480, Ag001G015510	AL3G53160, AL3G53140
OG0000057	Ag005G459490	AL3G29670
OG0000057	Ag005G459920	AL3G30470, AL3G30730
OG0000057	Ag005G462800, Ag005G462790	AL3G28670
OG0000057	Ag003G289060	nbis-gene-725, AL3G41130
OG0000059	Ag004G391520	AL6G19270
OG0000059	Ag004G350080, Ag005G474580, Ag006G490820, Ag002G134210	AL3G44960, AL8G19180, AL27U10030
OG0000059	Ag002G103440, Ag002G122810, Ag006G522950	AL3G36810
OG0000061	Ag003G281740, Ag004G369480, Ag007G641000, Ag005G463130, Ag003G220980, Ag002G137260, Ag006G514860	AL8G29100, AL1G31420, AL8G26420, AL6G33330
OG0000063	Ag004G307350	AL1G18100
OG0000064	Ag003G295980	AL7G10840
OG0000066	Ag003G225480	AL7G12350
OG0000066	Ag003G225470	AL2G35580, AL3G43470, AL6G41640, AL2G35590
OG0000066	Ag002G165440, Ag008G732850, Ag008G732860, Ag007G604700	AL6G20900
OG0000066	Ag002G125900	AL6G20890, AL1G19680, AL5G16700
OG0000067	Ag003G291740, Ag003G293500, Ag005G466230, Ag003G291820	AL3G20250, AL3G20240, AL3G20260
OG0000067	Ag005G407040, Ag005G407080, Ag005G407050	AL6G14890, AL6G15310
OG0000067	Ag007G607200, Ag007G607230, Ag003G227540	AL6G18740
OG0000068	Ag002G195230, Ag004G364800, Ag004G365410, Ag004G364540, Ag006G570020	AL7G43840
OG0000068	Ag002G161440, Ag003G260950, Ag006G498520	AL3G39900, AL6G50990
OG0000069	Ag002G200250	AL5G31050, nbis-gene-12, AL1G60290, AL5G25100
OG0000071	Ag003G234950, Ag003G217580	AL5G27290, AL1G43970, nbis-gene-561
OG0000071	Ag004G389390, Ag004G339910, Ag002G109160, Ag004G328070, Ag006G558850, Ag008G714970, Ag005G471910, Ag002G114540, Ag064G744880, Ag001G015270, Ag002G107710, Ag002G178100, Ag008G660740, Ag004G389850, Ag002G173990, Ag001G029400	AL6G40690
OG0000072	Ag005G487550, Ag005G428140, Ag004G338760, Ag004G343840, Ag004G379550, Ag010G739530, Ag004G328310, Ag004G366340, Ag002G206610, Ag001G061570, Ag005G425640, Ag004G328300, Ag007G617420, Ag004G389340, Ag004G394320	AL6G46480, AL2G19590, AL8G24560, AL4G13100, AL8G26200, AL7G48370, AL1G49480, AL3G45860, AL3G47220, AL5G17870, AL6G38840, AL6G40590, AL1G47050, AL6G52460, AL2G22030, AL8G22080, AL2G35490, AL5G20740, AL7G34330, AL5G17840, AL8G17600, AL2G22170, AL3G44280, AL7G53070, AL1G54140, AL170U10010, AL3G46660, AL7G45510, AL5G10400, AL3G43610, AL4G17930, AL4G12360, AL5G17970, AL9U10780, AL8G20850
OG0000073	Ag006G576040	AL7G37760
OG0000073	Ag002G118960, Ag002G118950	AL8G18480
OG0000073	Ag002G116850	AL6G42230
OG0000073	Ag002G117280	AL8G11840
OG0000073	Ag002G137530	AL3G46070
