Orthogroup	Eutrema_salsugineum	Cochlearia_excelsa
OG0000000	XP_024004899.1	g4407, g12767, g32529, g14904, g23387, g17148, g557, g16965, g14625, g13935, g31989, g1635, g14365, g47735, g1361, g10755, g37592, g39292
OG0000000	XP_024016239.1	g14424
OG0000000	XP_024006398.1	g23493
OG0000000	XP_024004414.1	g44562, g51061, g1238, g44545, g28474, g44506, g29058, g23419, g19097, g2263
OG0000000	XP_024013148.1	g14416, g10434, g12783, g43405, g3096
OG0000000	XP_024004139.1	g3207, g41806, g1621, g32143, g32589, g16609, g50926, g52689, g53773, g32894, g37047, g24645, g42184, g21434
OG0000000	XP_024004047.1, XP_024008096.1, XP_024016872.1, XP_024014000.1, XP_024010207.1	g41948
OG0000002	XP_024006551.1	g12053, g52853, g57, g36475, g33085, g32227
OG0000002	XP_024016294.1	g3989
OG0000002	XP_024010911.1, XP_024010912.1	g50076, g39920, g43321, g35849, g15943, g22279
OG0000002	XP_024010711.1	g3134
OG0000002	XP_024016369.1	g24273, g31606, g31905, g24143
OG0000002	XP_024014502.1, XP_024010212.1	g16351, g4776, g22857, g34979, g16823, g32695, g26240, g28129, g11929, g37738
OG0000002	XP_024015214.1, XP_024010428.1, XP_024014055.1, XP_024004035.1, XP_024010274.1, XP_024009787.1, XP_024014545.1, XP_024015965.1, XP_024015835.1, XP_024011225.1, XP_024014994.1, XP_024013910.1, XP_024004913.1, XP_024011113.1, XP_024016286.1, XP_024005018.1, XP_024014765.1, XP_024010367.1, XP_024011386.1, XP_024010917.1, XP_024013995.1, XP_024016214.1, XP_024013252.1, XP_024015942.1, XP_024016545.1, XP_024016832.1, XP_024007222.1, XP_024013919.1, XP_024016563.1, XP_024011289.1, XP_024013913.1, XP_024004935.1, XP_024014816.1, XP_024009618.1, XP_024004973.1, XP_024004934.1, XP_024011355.1, XP_024010481.1, XP_024015298.1, XP_024013904.1, XP_024016251.1, XP_024012926.1, XP_024015916.1, XP_024010916.1, XP_024004042.1, XP_024016831.1, XP_024010385.1, XP_024004936.1, XP_024014573.1, XP_024009949.1, XP_024007765.1, XP_024004949.1, XP_024014451.1, XP_024004820.1	g11234, g13620, g25759, g5204, g43183, g50380, g36398, g6668, g13329, g17143, g23133, g2533, g42581, g19246, g29102, g53818, g35831, g54196, g18045, g22726, g5655
OG0000002	XP_024009486.1	g49137, g47542, g26461, g4894, g16056
OG0000002	XP_024014438.1	g3932
OG0000002	XP_024006401.1, XP_024015242.1	g45382, g23050
OG0000002	XP_024016328.1	g22482
OG0000002	XP_024011378.1, XP_024009474.1, XP_024005004.1, XP_024016543.1, XP_024006422.1, XP_024013731.1, XP_024014482.1, XP_024013994.1, XP_024016829.1, XP_024004771.1, XP_024007242.1, XP_024009437.1, XP_024016221.1, XP_024016325.1, XP_024006459.1, XP_024010365.1, XP_024006657.1, XP_024004145.1, XP_024013154.1, XP_024004829.1	g22280, g22501, g28128, g35851, g3258, g32516, g22355
OG0000003	XP_024006573.1, XP_024005010.1, XP_024016553.1	g14063
OG0000003	XP_024006452.1	g25137
OG0000003	XP_024009427.1	g45682, g1467, g38320, g49844
OG0000003	XP_024004072.1	g25134, g35681, g14225, g41636
