Orthogroup	Capsella_rubella	Arabidopsis_lyrata_Rawat
OG0000000	XP_023632598.1	AL7G44730
OG0000000	XP_023644510.1, XP_023644490.1	AL3G23500, AL3G28120, AL7G39870
OG0000000	XP_023637681.1	AL2G10230, AL4G12690, AL532U10010, AL8G16910, AL1G56620, AL5G26440, AL3G26530, AL7G44950, AL8G15150, AL7G49620, AL8G11050, AL2G12570, AL4G43860, AL7G35240
OG0000000	XP_023633614.1	AL5G23220, AL8G18100, AL4G24130, AL1G50800, AL2G17910, AL8G39270
OG0000000	XP_023634268.1, XP_023644256.1	AL6G33910, AL4G36510
OG0000000	XP_023636065.1, XP_023634315.1	AL396U10020, AL4G14390
OG0000000	XP_023633818.1	AL5G12810
OG0000000	XP_023634340.1	AL8G13780, AL5G13370, AL3G47190, AL8G30500, AL1G48610, AL7G43930, AL4G15390, AL5G12120, AL5G12320, AL5G21300, AL2G19780, AL6G42260, AL4G14060, AL7G38790, AL5G30910, AL5G11100, AL8G22530, AL6G50660, AL110U10010, AL2G18100
OG0000000	XP_023642406.1, XP_023644536.1	AL4G31100, AL4G37840, AL7G43450, AL4G13050, AL5G14690
OG0000000	XP_023640443.1, XP_023633512.1	AL8G39910, AL1G63670
OG0000000	XP_023638968.1	AL6G44150, AL5G22440
OG0000000	XP_023635799.1	AL1G56670
OG0000000	XP_023632892.1	AL8G17990, AL4G17570
OG0000000	XP_023634342.1, XP_006300431.2	AL4G28670, AL4G26210, AL8G16780, AL1G59080, AL5G14470, AL7G39190, AL5G26100, AL3G22550, AL3G46930, AL2G10670
OG0000002	XP_023638855.1	AL3G37080, AL1G57360, AL4G14300
OG0000003	XP_023641338.1	AL7G30150, AL5G20380, AL488U10010, AL4G29570
OG0000003	XP_023638041.1	AL3G36810
OG0000003	XP_023637460.1, XP_023637566.1	AL7G45130
OG0000003	XP_023644456.1	AL3G44960, AL4G18440, AL8G19180, AL27U10030
OG0000004	XP_023638874.1	AL1G59120
OG0000004	XP_023639960.1	AL70U10050
OG0000004	XP_023633832.1	AL1G65560
OG0000005	XP_023633718.1	AL63U10040
OG0000005	XP_023640321.1	AL7G13490
OG0000005	XP_023639598.1	AL97U10030, AL8G11290
OG0000005	XP_023640434.1, XP_023642103.1	AL3G54340
OG0000007	XP_023640317.1	AL9U10810, AL8G24640
OG0000007	XP_023639048.1, XP_023644546.1	AL8G18310, AL1G37680, AL3G20440
OG0000007	XP_023643663.1	AL2G22610
OG0000007	XP_023640335.1, XP_023643356.1, XP_023634292.1	AL5G15300
OG0000007	XP_023644418.1	AL1G34010, AL8G16470, AL1G61810, AL6G29050, AL5G28660, AL7G43440, AL4G23130
OG0000007	XP_023636143.1, XP_023633251.1, XP_023633686.1, XP_023640302.1	AL5G42560, AL4G15130, AL1G41850, AL7G40730, AL6G17970
OG0000008	XP_023644880.1, XP_006303816.2	AL6G25540, AL39U10050, AL6G49380, AL226U10010, AL8G21160, AL8G41980, AL66U10030, AL7G10810, AL747U10010, AL8G17730, AL7G48840, AL4G21710, AL5G16170, AL1G29200, AL1G65090, AL7G51050, AL1G63180, AL7G50980, AL8G11530
OG0000008	XP_023633343.1	AL2G17460, AL6G27010, AL5G18950, AL7G45220
OG0000008	XP_023633617.1	AL8G21520, AL3G44870, AL6G46960, AL2G19610, AL5G20410, AL4G18090, AL1G45690, AL3G40710, AL5G24310, AL2G22310, AL4G13380, AL3G52160
OG0000008	XP_006305876.2	AL4G20310, AL4G18790, AL4G37240, AL3G44010, AL7G44440, AL2G20270, AL9U11800, AL298U10010, AL4G19160
OG0000008	XP_023638567.1	AL5G32180
OG0000009	XP_023639614.1, XP_023644435.1, XP_023644436.1	AL8G42570
OG0000009	XP_023640352.1	AL2G39630
OG0000011	XP_023638113.1, XP_023633028.1	AL6G32670
OG0000011	XP_023636996.1, XP_023635713.1, XP_023636144.1, XP_023636084.1, XP_023637727.1, XP_006305811.2, XP_023641252.1, XP_023637592.1, XP_023644258.1	AL1G17050
OG0000011	XP_023643301.1, XP_023638031.1	AL2G26450
OG0000011	XP_023641182.1	AL8G24370
OG0000011	XP_023638956.1	AL2G22330
OG0000012	XP_023640438.1	AL7G40740, AL6G17980
OG0000012	XP_023633714.1	AL4G10450, AL3G45980, AL4G24110
OG0000012	XP_023636126.1	AL5G20450
OG0000012	XP_023645773.1	AL971U10010
OG0000014	XP_023644214.1	AL8G19810, AL2G20440
OG0000014	XP_023638462.1, XP_023634279.1	AL8G23060
OG0000015	XP_023633382.1	AL3G46060
OG0000015	XP_023638902.1	AL2G24310
OG0000015	XP_023636914.1	AL1G29330, AL6G27260
OG0000020	XP_006279199.1	AL189U10010, AL189U10020, AL3G44820, AL7G51100
OG0000020	XP_023644230.1, XP_023638100.1, XP_023633554.1, XP_023644447.1, XP_023640322.1, XP_006301549.2, XP_023638121.1	AL6G40580, AL7G44020, AL3G44050, AL460U10020
OG0000021	XP_006303531.2, XP_023644562.1, XP_023641377.1	AL39U10070
OG0000021	XP_023638098.1	AL8G31610, AL7G45200, AL2G25080, AL5G20460, AL4G19440
OG0000021	XP_023634347.1, XP_023644512.1, XP_023636053.1, XP_006285455.2, XP_023638958.1	AL6G42400, AL3G43480, AL5G24330, AL3G37170, AL6G47300
OG0000021	XP_023645856.1, XP_023634319.1	AL5G41490, AL3G52170, AL2G40700, AL8G33160, AL4G18100, AL8G23170, AL4G13400
OG0000021	XP_023634431.1, XP_023644454.1, XP_023641962.1, XP_023641378.1, XP_023637243.1, XP_023642574.1	AL7G47350, AL7G51150
OG0000022	XP_023636761.1	AL6G27650
OG0000022	XP_006302102.1	AL2G13120
OG0000022	XP_006301814.1	AL2G13070
OG0000022	XP_006306232.1	AL1G24190
OG0000022	XP_006303680.2, XP_006303621.1	AL1G23970, AL1G24080
OG0000022	XP_006306401.2, XP_006303167.1	AL1G23630, AL1G24180, AL1G23620
OG0000022	XP_023643559.1	AL2G10190
OG0000022	XP_006302132.1	AL2G10200
OG0000022	XP_023635463.1	AL7G48260
OG0000022	XP_006297483.1	AL3G29640
OG0000023	XP_023633772.1	AL7G44260
OG0000023	XP_023636242.1	AL5G21700, AL7G45880
OG0000024	XP_023643300.1, XP_023632994.1	AL1G45240, AL1G45470, AL1G45480, AL1G45490, AL1G45350, AL1G45520
OG0000024	XP_023633131.1	AL1G45280, AL1G45290, AL1G45300, AL1G45270
OG0000024	XP_023632988.1	AL1G45540, AL1G45590, nbis-gene-188, AL1G45230, AL1G45550
OG0000024	XP_023644421.1, XP_023644420.1, XP_023632644.1, XP_023632643.1, XP_023644419.1	AL1G45570, AL1G45600
OG0000024	XP_023633039.1	AL1G46280
OG0000024	XP_023633004.1, XP_023639207.1	AL5G38280, AL5G39160
OG0000025	XP_023644235.1, XP_023636040.1, XP_023641958.1, XP_023644550.1, XP_023644451.1, XP_023634078.1	AL5G11540
OG0000025	XP_023636962.1	AL6G41860
OG0000025	XP_023636110.1	AL9U11280, AL5G16730, AL2G12870
OG0000025	XP_023641784.1, XP_023644446.1, XP_023636071.1	AL460U10010
OG0000027	XP_023635857.1	nbis-gene-1639
OG0000027	XP_023635858.1, XP_006289355.2	AL6G45930
OG0000027	XP_006287218.1	AL6G45970
OG0000027	XP_023635866.1	AL6G46000
OG0000027	XP_023634683.1	AL7G30160
OG0000027	XP_006283253.1	AL7G30170
OG0000027	XP_006289052.2	AL6G46070
OG0000027	XP_023634685.1	AL7G30260
OG0000028	XP_023634475.1	AL594U10010, AL7G42840
OG0000028	XP_006292343.1	AL5G44140
OG0000029	XP_023640390.1, XP_023635785.1, XP_023637682.1	AL1G65750
OG0000030	XP_006296044.1	AL3G33700, AL275U10020, AL3G33320, AL3G33690
OG0000030	XP_006297884.1	AL3G33370
OG0000030	XP_006303634.1	AL1G40180
OG0000030	XP_023632886.1, XP_023632793.1	AL1G40160, AL1G40170
OG0000030	XP_006293126.1	AL5G29320, AL5G29310, AL5G29340
OG0000030	XP_006305030.1	AL1G21870
OG0000030	XP_006297854.1, XP_006297862.1, XP_006300177.2	AL3G24770
OG0000030	XP_006298407.2	AL3G25930
OG0000031	XP_023633361.1	AL6G36560
OG0000031	XP_023635342.1	AL2G29770
OG0000034	XP_023634856.1	AL7G32670
OG0000034	XP_023634693.1, XP_023634678.1	AL7G30340
OG0000034	XP_023635576.1	AL7G30350
OG0000035	XP_023633542.1, XP_023633652.1, XP_023639706.1	AL3G42660, AL4G33750, AL7G46520, AL6G43970
OG0000035	XP_023640381.1, XP_023634177.1	AL4G18470, AL8G13010, AL8G34850, AL7G40470, AL7G45660, AL2G19470
OG0000040	XP_023634840.1, XP_023636105.1, XP_023633811.1	AL677U10010
OG0000040	XP_023640353.1	AL364U10020
OG0000042	XP_023634283.1	AL1G54660, AL2G36380, AL7G36770, AL6G22280, AL6G40680, AL8G39990, AL3G35100, AL4G45380, AL3G44120, AL9U11580, AL2G38670, AL103U10010, AL8G23430, AL4G17850
OG0000043	XP_006299187.2	AL8G34940, AL1G48950, AL5G15500, AL7G45030, AL983U10010, AL9U11830
OG0000044	XP_023638545.1	AL8G11930
OG0000044	XP_023634755.1	AL8G11910
OG0000044	XP_006281533.1	AL8G12190
OG0000044	XP_023634969.1	AL8G18470
OG0000044	XP_006282434.2	AL7G37760
OG0000046	XP_023641942.1, XP_023640348.1, XP_023636067.1, XP_006289233.2, XP_023638196.1	AL4G20190, AL3G44690, AL6G40760
OG0000048	XP_023640514.1	AL4G27390
OG0000048	XP_023643230.1, XP_023643229.1, XP_023636083.1, XP_006289868.2	AL2G14000, AL2G14020
OG0000049	XP_023634626.1	AL5G16120, AL5G16140
OG0000051	XP_006304062.1	AL1G20340
OG0000051	XP_023640868.1	AL4G40940
OG0000051	XP_023639525.1	AL4G41010
OG0000051	XP_023640425.1, XP_023640455.1, XP_023640454.1	AL4G41020
OG0000052	XP_023639245.1	AL5G15900
OG0000052	XP_023638292.1	AL5G15910
OG0000052	XP_006301891.2, XP_006301896.2	AL1G65610
OG0000052	XP_006291090.1	AL5G31970
OG0000052	XP_006291102.1	AL5G28950
OG0000052	XP_023638561.1, XP_006293221.1	AL5G28550, AL5G28540
OG0000055	XP_006299228.1, XP_006300113.1	nbis-gene-725, AL3G41130
OG0000055	XP_006300080.1, XP_023641394.1, XP_006299259.1, XP_006301327.2	nbis-gene-248, AL3G40140, AL3G40130
OG0000055	XP_023641570.1	AL3G30470
OG0000055	XP_023642764.1	AL3G38080
OG0000055	XP_006286657.2	AL4G21820
OG0000055	XP_023641561.1	AL3G50860
OG0000055	XP_006299379.1	AL3G30370
OG0000056	XP_006301460.1	AL2G13390
OG0000056	XP_006302241.1	AL2G14100
OG0000056	XP_006302237.1	AL2G13770
OG0000056	XP_006300465.1, XP_006302243.1	AL2G13820
OG0000056	XP_006301237.2	AL2G13790, AL2G14110
OG0000056	XP_023643438.1	AL2G14050
OG0000056	XP_006301411.1	AL2G14090
OG0000056	XP_006301193.1	AL2G14070
OG0000056	XP_006301052.1	AL2G14080
OG0000056	XP_006292456.1	AL5G26170
OG0000061	XP_023645797.1	AL1G55000
OG0000061	XP_006287607.1	AL6G23340
OG0000061	XP_006286287.2	AL7G44920
OG0000061	XP_023633781.1	AL7G25770
OG0000061	XP_006290130.1	AL6G16510
OG0000062	XP_023634169.1	AL7G40460, AL2G19460, AL8G34860, AL8G13000
OG0000064	XP_006301177.1, XP_006279224.1, XP_006279222.1, XP_006301148.1, XP_006300412.1, XP_006279227.1, XP_006301373.1, XP_006301746.1, XP_006301302.1, XP_006279223.1, XP_006301675.1, XP_006301967.1, XP_006281741.1	nbis-gene-1176, nbis-gene-2026, nbis-gene-926, nbis-gene-1175, nbis-gene-2028, nbis-gene-2027, nbis-gene-2044, nbis-gene-1, nbis-gene-2024, nbis-gene-2025, nbis-gene-2023
OG0000065	XP_023643067.1	AL2G25210
OG0000065	XP_023643778.1	AL2G25250, AL2G25260
OG0000065	XP_006300887.1	AL2G25200
OG0000065	XP_023638915.1	AL7G52590
OG0000066	XP_006301260.2, XP_006304637.1, XP_006292533.1	AL6G20900, AL5G16700, AL1G66190, AL1G19680, AL6G20890
OG0000066	XP_006284727.1, XP_006288773.2, XP_006284722.1, XP_006302978.1	AL6G21580
OG0000066	XP_006304375.1	AL1G32620
OG0000068	XP_006289556.2, XP_023637280.1	AL6G15310, AL6G14890
OG0000068	XP_023642606.1	AL1G48230, AL3G11550
OG0000068	XP_023633398.1	AL8G28020, AL8G27750
OG0000068	XP_006289558.2, XP_023637635.1	AL6G12890
OG0000068	XP_006286541.1	AL3G38420, AL6G12880, AL6G12910, AL6G12860
OG0000069	XP_023642292.1	AL3G40410, AL8G35170
OG0000069	XP_006304155.1	AL1G11090
OG0000069	XP_023645826.1	AL4G13470
OG0000069	XP_006288439.1	AL3G38360
OG0000070	XP_006305612.2	AL1G20940
OG0000070	XP_006292236.1, XP_006292951.2, XP_006290298.1, XP_006292400.1, XP_006291986.1, XP_006292823.1, XP_006292249.1, XP_006292597.1, XP_006291940.1	AL3G47920, AL5G12840, AL5G12830
OG0000070	XP_006304273.1	AL4G11370, AL1G32980, AL2G24470
OG0000070	XP_006302938.1	AL2G35960
OG0000070	XP_023637791.1	AL8G19640
OG0000070	XP_023637735.1	AL5G42190
OG0000070	XP_006286731.1, XP_006289176.1, XP_006285109.1	AL7G16760
OG0000072	XP_006282913.2, XP_023638967.1	AL8G19360, AL8G19010
OG0000074	XP_023636039.1	AL8G11830
OG0000075	XP_006285279.1	AL7G11590
OG0000075	XP_023635517.1	AL1G52760, AL1G52750, AL1G52780
OG0000075	XP_023635518.1	nbis-gene-1691
OG0000075	XP_006286716.1	AL7G11600, AL6G47540, AL6G47530
OG0000075	XP_023634488.1	AL7G11690
OG0000075	XP_023633364.1, XP_006281030.1, XP_006280653.1	AL34U10100, AL8G22340
OG0000075	XP_006301199.1	AL2G16730, AL2G16030
OG0000076	XP_023634774.1	AL7G10840
OG0000076	XP_006295567.2	AL4G29500
OG0000076	XP_006286831.1	AL3G53220
OG0000076	XP_006281621.1	AL8G13050
OG0000077	XP_006280897.2	AL8G13900
OG0000077	XP_006292755.1	AL5G12960
OG0000077	XP_006292790.1, XP_006293218.1	AL5G12970, AL5G12940
OG0000078	XP_006300074.1	AL3G13680
OG0000078	XP_006298876.1	AL3G13710
OG0000078	XP_006300092.1	AL3G13720
OG0000078	XP_023636207.1	AL6G29190
OG0000079	XP_023644218.1, XP_023645325.1	AL3G51940, AL1G57050, AL5G16890, AL1G58560, AL1G58670, AL4G20020, AL1G30000, AL5G27080, AL8G14210
OG0000081	XP_023638026.1, XP_023634808.1	AL2G21910
OG0000081	XP_023634311.1	AL1G31420, AL8G29100, AL8G26420, AL6G33330
OG0000086	XP_006285515.2, XP_006291706.2	AL7G53090
OG0000086	XP_023633444.1	AL8G39760
OG0000086	XP_006284296.1	nbis-gene-1912
OG0000086	XP_006285302.1, XP_006285318.2, XP_006284306.1, XP_023634328.1, XP_006285250.1	AL7G46870
OG0000086	XP_006284253.1	AL7G46850, AL7G46860
OG0000086	XP_006301558.1	AL7G53100
OG0000086	XP_006286814.1	AL7G53110
OG0000086	XP_006302255.2	AL2G24580
OG0000086	XP_023644277.1	AL2G24590
OG0000086	XP_006302616.1	AL2G24600
OG0000089	XP_006287738.1	AL6G35120
OG0000089	XP_006292748.1, XP_006291122.1	AL8G39670, AL5G25960
OG0000089	XP_006294210.1	AL4G24260
OG0000089	XP_006289933.1	AL6G23060
OG0000089	XP_006281513.1	AL8G15560
OG0000089	XP_006283733.1	AL7G33260
OG0000089	XP_006307490.1	AL1G32740
OG0000089	XP_006302256.1	AL2G35770
OG0000091	XP_023637739.1	AL5G26810
OG0000091	XP_023639002.1	AL5G26870
OG0000091	XP_006296540.2	AL5G23250
OG0000091	XP_023636467.1	AL6G32010
OG0000091	XP_023644362.1	AL8G24400
OG0000092	XP_023633335.1	AL8G24810
OG0000095	XP_006294389.1	AL4G18500
OG0000095	XP_006295399.1	AL4G15500, AL4G18540
OG0000095	XP_006294228.1	AL4G18560
OG0000095	XP_006294375.1, XP_006294370.2	AL4G15620
OG0000095	XP_006294323.1	AL4G15530
OG0000095	XP_006296376.2	AL4G18510, AL4G15660
OG0000095	XP_006295861.1	AL4G14510, AL4G14520
OG0000096	XP_023640363.1, XP_006296370.1, XP_006296007.1	nbis-gene-1025, AL4G22680, AL4G22640
OG0000096	XP_006297893.1	AL3G31600, AL3G31620, AL3G31610, AL439U10010
OG0000096	XP_006299978.1	AL3G50560
OG0000096	XP_006297929.1	AL3G31580
OG0000098	XP_023641898.1, XP_006297881.1	nbis-gene-805
OG0000098	XP_006292655.1	AL2G26330
OG0000098	XP_006305026.1	AL1G41020, AL1G41000, AL1G41010, AL1G40990
OG0000098	XP_006289986.1, XP_006289767.1	AL6G37130
OG0000100	XP_023641940.1	AL2G11210
OG0000100	XP_006301994.2	AL2G11240
OG0000100	XP_023643315.1	AL1G66260
OG0000100	XP_023644343.1	AL1G66350
OG0000100	XP_006301998.2	AL2G16740
OG0000100	XP_023643545.1	AL2G11390
OG0000100	XP_023643838.1	AL1G65640
OG0000100	XP_023642309.1	AL2G11200
OG0000102	XP_006288400.1	AL6G49150
OG0000102	XP_006289764.1, XP_006289669.1, XP_023644271.1, XP_006301748.2, XP_006301379.1	AL6G45160, AL6G49080, AL320U10010
OG0000102	XP_006285555.2	AL6G49090, AL320U10020
OG0000102	XP_006288542.1	AL6G49120
OG0000102	XP_023634256.1	AL9U10550
OG0000102	XP_006288348.1	AL9U10540
OG0000102	XP_006288252.1	AL6G49050
OG0000103	XP_023638897.1	AL1G52720
OG0000103	XP_023632588.1	AL8G17400, AL1G30370, AL8G10040, AL265U10010
OG0000106	XP_023646042.1, XP_023644298.1, XP_006301047.2, XP_023643263.1	AL6G40690
OG0000107	XP_006299861.1	AL3G33810
OG0000107	XP_006297457.1	AL3G33780
OG0000107	XP_006289895.1	AL3G33830, AL3G42780
OG0000107	XP_006299064.2	AL3G33790
OG0000107	XP_023642039.1	AL3G33800
